end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleLongTermNotesPayable,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromAffiliateCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EquityIssuancePerShareAmount,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,ForeignCurrencyTransactionGainLossBeforeTax,GeneralAndAdministrativeExpense,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InterestPayableCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherPrepaidExpenseCurrent,PaymentsForAdvanceToAffiliate,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidRent,PrepaidRent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfessionalFees,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,SaleOfStockConsiderationReceivedOnTransaction,SalesRevenueNet,SecurityDeposit,SecurityDeposit,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2012-10-31,2012-12-14,10-Q,"3D PIONEER SYSTEMS, INC.",DPSM,CIK0001556753,USD,,,,,18018.0,,,9657.0,9657.0,,,9127.0,-10180.0,,,,0.001,75000000.0,2002000.0,2002000.0,2002.0,,,,,13598.0,,3235.0,0.0,,,,,,,,,,,,859.0,0.0,,,,,,-179.0,,0.0,,,3235.0,9657.0,3235.0,,,0.0,,0.0,,-10180.0,-10359.0,0.0,10359.0,,,,,,,,,,,530.0,,,,0.0,0.0,9500.0,,,,,0.0,,,6422.0,,,,,,,,32032000.0,
2013-04-30,2013-06-12,10-Q,"3D PIONEER SYSTEMS, INC.",DPSM,CIK0001556753,USD,,100.0,,,42768.0,,,5818.0,5818.0,,,5646.0,,,,,0.001,75000000.0,4752000.0,4752000.0,4752.0,,,,,45037.0,,3235.0,0.0,,,,,,,,,,,,223.0,,,,,,,,,,,,3335.0,5818.0,3335.0,,,,,,,,-18674.0,0.0,18674.0,-18674.0,,,,,,,,,,172.0,,,,,,18451.0,,,,,0.0,,,2483.0,,,,,,,,4652000.0,
2013-07-31,2013-10-29,10-K,"3D PIONEER SYSTEMS, INC.",DPSM,CIK0001556753,USD,100.0,100.0,,,-712800.0,,,2231.0,2231.0,,,2231.0,-17076.0,,,,0.01,200000000.0,76032000.0,76032000.0,760320.0,,16532.0,16532.0,,48624.0,,3235.0,0.0,0.34,0.0006,,,,,,,,,,1482.0,,15431.0,15431.0,100.0,,,-709.0,,,,,3335.0,2231.0,3335.0,,,27500.0,,,,-44576.0,-45385.0,,45385.0,,48624.0,,,,,,,,,,,,,27500.0,,43903.0,,,,,,,,-1104.0,,,,27500.0,,,54780496.0,54780496.0,54780496.0
2013-10-31,2013-12-23,10-Q,"3D PIONEER SYSTEMS, INC.",DPSM,CIK0001556753,USD,,,,,,,,34982.0,34982.0,,,34982.0,32751.0,,,,0.01,200000000.0,76032000.0,76032000.0,760320.0,76923.0,,,,97331.0,,7295.0,0.0,,,,,,,,,,,,1071.0,,,,-100.0,,575.0,,27498.0,,575.0,,84793.0,34982.0,7870.0,76923.0,,54060.0,,,,-21309.0,-48707.0,,21209.0,,,,,,,,,,,,,,50000.0,,4060.0,20138.0,,,,,,,,-49811.0,,,,,,,,76032000.0,
2014-01-31,2014-03-21,10-Q,"3D PIONEER SYSTEMS, INC.",DPSM,CIK0001556753,USD,,12440.0,,,,,,17497.0,17497.0,,,17497.0,,,,,0.01,200000000.0,76108190.0,76108190.0,761082.0,76923.0,,,,154837.0,,13363.0,0.0,,,,,,,,,,,,45682.0,,,,,,,,1513.0,,2088.0,,104814.0,17497.0,27891.0,76923.0,,,,,,,-57506.0,,55993.0,,,,,,,,,,,,,,,,,10311.0,,,,,,,,-87317.0,,,,,,,,76032837.0,
2014-04-30,2014-06-23,10-Q,"3D PIONEER SYSTEMS, INC.",DPSM,CIK0001556753,USD,124706.0,,1044.0,,-227843.0,,,334047.0,283371.0,,,257491.0,,,,,0.01,200000000.0,77536256.0,77536256.0,775363.0,76923.0,,,,425948.0,,7295.0,0.0,,,,,,,,,,,-2183.0,142030.0,,,,,,,,1463.0,,3551.0,,212475.0,334047.0,135552.0,,,,,,,,-271111.0,,267465.0,-267465.0,,4000.0,,,,,,,,25880.0,,,,,,83034.0,51720.0,50676.0,,,,,,121572.0,,,,,,,,76887763.0,
2021-03-31,2021-05-13,10-Q,"3D PIONEER SYSTEMS, INC.",DPSM,CIK0001556753,USD,,179356.0,,975771.0,,284.0,,561027.0,388811.0,172216.0,376311.0,,,376311.0,,0.0,0.001,599999000.0,451473181.0,451473181.0,451473.0,,,,,,12500.0,800.0,0.0,,,284.0,34500.0,8601.0,34500.0,34500.0,34500.0,172500.0,172216.0,,2197.0,,,,,,,,,,,,190006.0,561027.0,190006.0,,,,,,,,-34193.0,,34193.0,-34193.0,,,,,0.001,1000.0,1000.0,1000.0,1.0,,,,,,,27962.0,,,-1056224.0,,,,,371021.0,,,,,,232320.0,,439117521.0,
