end,filed,form,Name,Ticker,CIK,Currency,AccountsAndNotesReceivableNet,AccountsAndOtherReceivablesNetCurrent,AccountsPayableCurrent,AccountsPayableTradeCurrent,AccountsReceivableNetCurrent,AccountsReceivableSale,AdditionalPaidInCapital,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountIssued1,ConvertibleNotesPayable,CostOfRevenue,CurrentForeignTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsValuationAllowance,Depreciation,DueFromRelatedParties,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EmployeeRelatedLiabilitiesCurrent,FinanceLeaseLiabilityCurrent,FinanceLeaseLiabilityNoncurrent,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInNotesReceivableRelatedPartiesCurrent,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidExpensesOther,InterestExpense,LaborAndRelatedExpense,LesseeOperatingLeaseDiscountRate,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeaseRightOfUseAsset,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherIncome,OtherNonoperatingIncomeExpense,OtherNotesPayable,OtherReceivables,OtherSellingGeneralAndAdministrativeExpense,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseNoncurrent,ProceedsFromContributionsFromParent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromShortTermDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentNet,RegulatedOperatingRevenue,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,RevenueFromRelatedParties,Revenues,ShareBasedCompensation,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueStockDividend,TaxesPayableCurrent,ValueAddedTaxReceivableNoncurrent,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2018-09-30,2019-03-14,10-Q,"Elvictor     Group, Inc.",ELVG,CIK0001741489,USD,3822.0,,2000.0,,,,111284.0,61967.0,61967.0,,38146.0,,,0.0001,200000000.0,20556700.0,20556700.0,2056.0,,,,,,,,75825.0,,75825.0,,20000.0,,22452.0,0.0,,,,,-3590.0,,,,,,,,,,,,,,,,,,,,,,,,24452.0,61967.0,24452.0,,,,,-3590.0,4031.0,-3590.0,,,,,61435.0,,,,,2531.0,,,100000000.0,,,,,,,,,,,1500.0,,,,,-75825.0,,441.0,,,37515.0,,,,,,,,20782598.0
2018-12-31,2019-04-03,10-K,"Elvictor     Group, Inc.",ELVG,CIK0001741489,USD,3000.0,,5000.0,,,,111284.0,37494.0,37494.0,,24494.0,,24394.0,0.0001,200000000.0,20556700.0,20556700.0,2056.0,,,,,,,,99554.0,,99554.0,,10000.0,,24708.0,0.0,,,,,-85164.0,,,2900.0,,,-3000.0,,,-10000.0,12318.0,,,,,,,,,,,,,,29708.0,37494.0,29708.0,,95658.0,,-71264.0,-85164.0,88986.0,-85164.0,,,,,85164.0,,,,,24486.0,,,100000000.0,,,,,,111284.0,77340.0,,56.0,-10000.0,40500.0,,,,,-99554.0,,3822.0,,24000.0,7786.0,6000.0,64000.0,12800.0,87340.0,,,,20466724.0
2019-03-31,2019-05-28,10-Q,"Elvictor     Group, Inc.",ELVG,CIK0001741489,USD,3473.0,,7000.0,,,,111284.0,25301.0,25301.0,,11828.0,,-12666.0,0.0001,200000000.0,20556700.0,20556700.0,2056.0,,,,,,,,120679.0,,120679.0,,10000.0,,25640.0,0.0,,,,,-21125.0,,,2000.0,,,-473.0,,,,932.0,,,,,,,,,,,,,,32640.0,25301.0,32640.0,,6932.0,,-19598.0,-21125.0,-21125.0,21598.0,,,,,,,,,,13598.0,,,100000000.0,,,,,,,,,,,8000.0,,,,,-120679.0,,473.0,,,-7339.0,,,,,,,,20109815.0
2019-06-30,2019-08-14,10-Q,"Elvictor     Group, Inc.",ELVG,CIK0001741489,USD,,,2330.0,,,,137524.0,24862.0,24862.0,,18862.0,,,0.0001,200000000.0,20661700.0,20661700.0,2066.0,,,,,,,,142271.0,,142271.0,,6000.0,,27072.0,0.0,,,,,-21592.0,,,,,,,,,,,,,,,,,,,,,,,,29402.0,24862.0,29402.0,,,,,-21592.0,21592.0,-21592.0,,,,,,,,,,13592.0,,,100000000.0,,,,,,,,,,,8000.0,,,,,-142271.0,,,,,-4540.0,1859.0,,1250.0,25000.0,,,,20603788.0
2019-09-30,2019-11-07,10-Q,"Elvictor     Group, Inc.",ELVG,CIK0001741489,USD,,,11575.0,,,,163990.0,14230.0,14230.0,,14230.0,,,0.0001,200000000.0,20681700.0,20681700.0,2068.0,,,,,,,,161105.0,,161105.0,,,,,0.0,,,,,-18834.0,,,,,,,,,,,,,,,,,,,,,,,,11575.0,14230.0,11575.0,,,,,-18834.0,18834.0,-18834.0,,,,,,,,,,1834.0,,,,,,,,,,,,,,17000.0,,,,,-161105.0,,,,,2655.0,2298.0,,,5000.0,,,,20679743.0
2019-12-31,2020-04-03,10-K,"Elvictor     Group, Inc.",ELVG,CIK0001741489,USD,,,5500.0,,,,210980.0,24359.0,24359.0,,24360.0,24359.0,-135.0,0.0001,200000000.0,20781700.0,20781700.0,2078.0,,,,,,,,204297.0,,204297.0,,,,163.0,-0.01,1935.0,,,473.0,-104743.0,,,500.0,,,3000.0,,,,-3078.0,1935.0,,,,,,,1935.0,,,,,,7598.0,24359.0,7598.0,,62922.0,,-63057.0,-104743.0,105216.0,-104743.0,,,,,,,,,,30740.0,,0.0001,100000000.0,80000000.0,80000000.0,8000.0,,,,30000.0,30000.0,,10000.0,68000.0,,,,,-204297.0,,473.0,473.0,,16761.0,,105000.0,26250.0,60000.0,,,,20654522.0
2020-03-31,2020-05-15,10-Q,"Elvictor     Group, Inc.",ELVG,CIK0001741489,USD,,,6203.0,,,,418139.0,123237.0,123237.0,,123237.0,,98877.0,0.0001,200000000.0,21196100.0,21196100.0,2120.0,,,,,,,,314448.0,,314448.0,,,,2288.0,0.0,10935.0,,,,,,,702.0,,,,,,,2126.0,9000.0,,,,,,,9000.0,,,,,,19426.0,123237.0,19426.0,,199326.0,,-100449.0,-110151.0,110151.0,-110151.0,,,,,,,,,,14455.0,,0.0001,100000000.0,80000000.0,80000000.0,8000.0,,,,207200.0,,,,81236.0,-110151.0,,,,-314448.0,,,,,103811.0,10000.0,,,207200.0,,,,21057342.0
2020-06-30,2020-08-13,10-Q,"Elvictor     Group, Inc.",ELVG,CIK0001741489,USD,,,10791.0,,,,437635.0,39615.0,39615.0,,39615.0,,,0.0001,200000000.0,21235100.0,21235100.0,2124.0,,,,,,440318.0,,440318.0,440318.0,440318.0,,,,1448.0,0.0,19935.0,,,,-125870.0,,,,,,,,,,,,,,,,,,9000.0,,,,,,32174.0,39615.0,32174.0,,,,,-125870.0,125870.0,-125870.0,,,,,44273530.0,,,,,21801.0,,0.0001,100000000.0,80000000.0,80000000.0,8000.0,,,,,,,,89069.0,-125870.0,,,,-440318.0,,,,,7441.0,,,12500.0,7000.0,,,,20588282.0
2020-09-30,2020-11-23,10-Q,"Elvictor     Group, Inc.",ELVG,CIK0001741489,USD,,,33772.0,,22079.0,,437635.0,357451.0,271538.0,85913.0,249459.0,249459.0,,0.0001,200000000.0,21235100.0,21235100.0,2124.0,,,,,,,508532.0,508532.0,508532.0,508532.0,,,,20538.0,0.0,28935.0,68831.0,17082.0,15119.0,-68214.0,,,,,,,,,,,,,,,,,,9000.0,,98785.0,20812.0,77973.0,12872.0,418224.0,357451.0,401142.0,17082.0,,,,-68214.0,83333.0,-68214.0,,,85913.0,16005.0,508532.0,,,249067.0,,7306.0,,0.0001,100000000.0,80000000.0,80000000.0,8000.0,,,,,,,,30022.0,-68214.0,,,,-508532.0,15119.0,,15119.0,,-60773.0,,,,,,,,21468453.0
2020-12-31,2021-04-19,10-K,"Elvictor     Group, Inc.",ELVG,CIK0001741489,USD,,,11988.0,63231.0,258990.0,,1167646.0,675191.0,604977.0,70214.0,343804.0,343804.0,319444.0,0.0001,700000000.0,26384673.0,26384673.0,2637.0,,405725.0,,1020.0,1020.0,,,314448.0,,314448.0,,,,1798.0,-0.02,,70214.0,70214.0,337878.0,,1020.0,,6488.0,63231.0,,-258991.0,1246.0,,,1635.0,-1935.0,,156306.0,,-2183.0,,769.0,59931.0,,49354.0,,,5339.0,733048.0,675191.0,733048.0,70214.0,215835.0,,103609.0,-355804.0,698020.0,-360142.0,,13548.0,70214.0,34670.0,,6465.0,,156308.0,,73942.0,,0.0001,100000000.0,80000000.0,80000000.0,8000.0,2183.0,2183.0,,214200.0,,,,239572.0,,,,,-1236140.0,79584.0,,466568.0,,-57857.0,,25000.0,66100.0,214200.0,0.0,1246.0,2183.0,21420725.0
