end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccretionOfDiscount,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockValue,ConvertibleDebtCurrent,DebtAndCapitalLeaseObligations,DebtInstrumentDecreaseForgiveness,DeferredTaxAssetsGoodwillAndIntangibleAssets,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,FiniteLivedIntangibleAssetsNet,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExaminationPenaltiesAndInterestAccrued,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherAdjustments,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesAssumed1,LiabilitiesCurrent,LoansAssumed1,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesIssued1,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherCommitment,OtherGeneralAndAdministrativeExpense,OtherGeneralExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromContributionsFromParent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfessionalFees,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,ShareBasedCompensation,StockholdersEquity,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TaxesAndLicenses,TechnologyServicesCosts,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2013-09-30,2013-12-12,10-Q,XALLES HOLDINGS INC.,XALL,CIK0001581220,USD,,1138.0,,35439.0,,,6950.0,6950.0,3187.0,,0.0001,500000000.0,10000000.0,10000000.0,,,1000.0,,,,,,,30627.0,,,,,20610.0,-20610.0,,0.0,,,,,,,,,,,,,6950.0,,1138.0,,,,,,-20610.0,,,-20610.0,30627.0,,,,0.0001,5000000.0,0.0,0.0,0.0,3763.0,,,,,,,,0.0,,5812.0,,,,,,,,10000000.0
2013-12-31,2014-03-14,10-K,XALLES HOLDINGS INC.,XALL,CIK0001581220,USD,1311.0,1311.0,,65409.0,,,15584.0,15584.0,15584.0,15584.0,0.0001,500000000.0,10300000.0,10300000.0,,,1030.0,,,,,,,52166.0,0.0,0.0,,,51377.0,-51377.0,0.0,0.0,0.0,,,,,1311.0,,,,0.0,,1311.0,15584.0,,1311.0,,,65650.0,,-50066.0,-51377.0,,51377.0,-51377.0,52166.0,,,5352.0,0.0001,5000000.0,0.0,0.0,0.0,,,,65650.0,,42660.0,,0.0,0.0,,14273.0,,35000.0,,650.0,30000.0,3365.0,,7763562.0
2014-03-31,2014-05-05,10-Q,XALLES HOLDINGS INC.,XALL,CIK0001581220,USD,,2928.0,,65409.0,,,1370.0,1370.0,1370.0,-14214.0,0.0001,500000000.0,10300000.0,10300000.0,,,1030.0,,,,,,,67997.0,,0.0,,,15831.0,-15831.0,0.0,0.0,0.0,,,,,1617.0,,,,0.0,,,1370.0,,2928.0,,,0.0,,-14214.0,-15831.0,,15831.0,-15831.0,67997.0,,207.0,6312.0,0.0001,5000000.0,0.0,0.0,0.0,,0.0,,0.0,,9312.0,,0.0,0.0,,-1558.0,,,,,,,,10300000.0
2014-06-30,2014-08-12,10-Q,XALLES HOLDINGS INC.,XALL,CIK0001581220,USD,,2588.0,,65409.0,,,2408.0,2408.0,2408.0,,0.0001,500000000.0,10300000.0,10300000.0,,,1030.0,,,,,,,77619.0,11000.0,0.0,,,9621.0,-9621.0,0.0,0.0,,,,,,,,,,,,,2408.0,,13588.0,,,,,,-9621.0,,9621.0,-9621.0,77619.0,,297.0,2638.0,0.0001,5000000.0,0.0,0.0,0.0,,,,,,6686.0,,,0.0,,-11180.0,,,,,,,,10300000.0
2014-09-30,2014-11-12,10-Q,XALLES HOLDINGS INC.,XALL,CIK0001581220,USD,,9995.0,,65409.0,,,9.0,9.0,9.0,,0.0001,500000000.0,10300000.0,10300000.0,,,1030.0,,,,,,,87425.0,11000.0,,,,9807.0,-9807.0,0.0,0.0,,,,,,,,,,,,,9.0,,20995.0,,,,,,-9807.0,,,-9807.0,87425.0,,,,0.0001,5000000.0,0.0,0.0,0.0,,,,,,,,,0.0,,-20986.0,,,,,,,,10300000.0
2014-12-31,2015-03-27,10-K,XALLES HOLDINGS INC.,XALL,CIK0001581220,USD,9129.0,,,-3075.0,,,0.0,9.0,9.0,-15575.0,0.0001,500000000.0,30900000.0,30900000.0,,,3090.0,,,,,212.0,212.0,96356.0,469.0,0.0,0.437,,484.0,-484.0,,,,212.0,,-212.0,,7819.0,,,,,,29926.0,0.0,,469.0,,484.0,20797.0,-484.0,-36372.0,-44674.0,,44674.0,,96356.0,,,14930.0,0.001,5000000.0,,,,,,,,21281.0,29260.0,-484.0,0.0,,,-469.0,,,,,,,,41200000.0
2015-03-31,2015-05-20,10-Q,XALLES HOLDINGS INC.,XALL,CIK0001581220,USD,5761.0,,,97835.0,32426.0,,9.0,9.0,9.0,,0.0001,500000000.0,10300000.0,10300000.0,,,1030.0,,,,,,,,,0.0,,,,,,,,,,,,-3368.0,,,,,,5761.0,9.0,,5761.0,,,11629.0,,-11629.0,-8261.0,,8261.0,,104617.0,,,,0.0001,5000000.0,,,,,,11629.0,,,8261.0,-104617.0,0.0,,,-5752.0,,,,,,,,10300000.0
2015-06-30,2015-08-14,10-Q,XALLES HOLDINGS INC.,XALL,CIK0001581220,USD,14450.0,,,97835.0,,,9.0,9.0,9.0,,0.0001,500000000.0,10300000.0,10300000.0,,,1030.0,,,,,,,,15000.0,0.0,,,,,,,,,,,,,,,,,,29450.0,9.0,,29450.0,,,,,,-23689.0,,23689.0,,128306.0,,918.0,601.0,0.0001,5000000.0,,,,,,,,,22170.0,-128306.0,,,,-29441.0,,,,,,,,10300000.0
2015-09-30,2015-12-11,10-Q,XALLES HOLDINGS INC.,XALL,CIK0001581220,USD,5968.0,,,-128736.0,,17.0,45983.0,45000.0,,,0.0001,500000000.0,30900000.0,30900000.0,15000.0,15.0,3090.0,30881.0,40000.0,,,,,,138662.0,,,983.0,,-32160.0,,,,,,,,,,,10989.0,,,,45983.0,,215511.0,,,,,,-43149.0,,32160.0,,,,,616.0,0.001,5000000.0,,,,45000.0,,,,,16512.0,-43897.0,,,,-169528.0,,,,,,,15015.0,30900000.0
2015-12-31,2016-04-14,10-K,XALLES HOLDINGS INC.,XALL,CIK0001581220,USD,32910.0,,40000.0,-129733.0,,34.0,989.0,23.0,23.0,23.0,0.0001,500000000.0,31015000.0,31015000.0,,,3102.0,60000.0,40000.0,,-14.0,56224.0,56210.0,,150644.0,-0.01,0.35,966.0,16931.0,-116039.0,,,,55998.0,-1249.0,-54754.0,5.0,,18460.0,,40411.0,,60000.0,,989.0,14450.0,283554.0,15000.0,37964.0,,-37941.0,,-156450.0,97211.0,116039.0,,156952.0,300000.0,,,0.001,5000000.0,1000000.0,1000000.0,1000.0,,,,,37964.0,39093.0,-156934.0,,,15.0,-282565.0,-125661.0,,15.0,,,,60015.0,30900315.0
