end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsAndServicesSold,DebtInstrumentInterestRateEffectivePercentage,DepreciationAndAmortization,EarningsPerShareBasicAndDiluted,GeneralAndAdministrativeExpense,GrossProfit,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InventoryNet,Liabilities,LiabilitiesAndStockholdersEquity,LineOfCredit,LineOfCreditFacilityAnnualPrincipalPayment,LineOfCreditFacilityIncreaseAccruedInterest,LineOfCreditFacilityPeriodicPaymentInterest,LinesOfCreditCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OtherNonoperatingIncomeExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PrepaidExpenseCurrent,ProceedsFromLinesOfCredit,ProfitLoss,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2021-09-30,2021-12-29,10-K,"Outdoor Specialty Products, Inc.",ODRS,CIK0001610718,USD,414.0,409.0,99232.0,16310.0,11310.0,6168.0,6168.0,,0.001,190000000.0,5284318.0,5284318.0,5285.0,,,,,,,,,,,5000.0,,4684.0,31073.0,16310.0,,,,,30250.0,,,,,,,0.001,10000000.0,458.0,,,-119280.0,,-14763.0,
2021-12-31,2022-02-03,10-Q,"Outdoor Specialty Products, Inc.",ODRS,CIK0001610718,USD,3079.0,726.0,99232.0,21682.0,16785.0,7073.0,7073.0,905.0,0.001,190000000.0,5284318.0,5284318.0,5285.0,13.0,0.035,103.0,0.0,8695.0,108.0,2665.0,317.0,-14.0,4584.0,4897.0,317.0,4670.0,45349.0,21682.0,7000.0,5294.0,5.0,5294.0,41544.0,11294.0,-10389.0,-8904.0,8695.0,-8587.0,-317.0,0.001,10000000.0,5042.0,11294.0,-8904.0,-128184.0,121.0,-23667.0,5284318.0
