end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilities,AccountsPayableCurrent,AccountsPayableInterestBearingInterestRate,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccruedProfessionalFeesCurrentAndNoncurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,Capital,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ConcentrationRiskPercentage1,CostsAndExpenses,CostsAndExpensesRelatedParty,CurrentFederalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateAtPeriodEnd,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateStatedPercentage,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxCreditCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedParties,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherAdjustments,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueFromRelatedPartiesCurrent,IncreaseDecreaseInDueToOtherRelatedParties,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,InterestExpense,InterestExpenseRelatedParty,InterestPaid,InterestPayable,InterestPayableCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesAssumed1,LiabilitiesCurrent,LoansPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoncashOrPartNoncashAcquisitionDebtAssumed1,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherCostAndExpenseOperating,OtherExpenses,OtherIncome,OtherNotesPayable,OtherNotesPayableCurrent,OtherOperatingIncomeExpenseNet,OtherSignificantNoncashTransactionValueOfConsiderationGiven1,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfOtherLongTermDebt,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfShortTermDebt,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RetainedEarningsAccumulatedDeficit,Revenues,SharesOutstanding,StockholdersEquity,StockIssued,StockIssued1,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueShareBasedCompensation,UnrecognizedTaxBenefitsDecreasesResultingFromCurrentPeriodTaxPositions,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,ValuationAllowanceDeferredTaxAssetChangeInAmount,ValuationAllowancesAndReservesPeriodIncreaseDecrease,WeightedAverageNumberOfSharesOutstandingBasic,OtherNonoperatingIncomeExpense,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2009-12-31,2010-03-24,10-K,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,,,,,,,,,,,,,,,1230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-12,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,,,,,,,,,,,,,,,5749.0,,,,,,,,,,,,,949.0,,,,,,,,,,,,,,,,,,0.0,,949.0,-949.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-949.0,,,,,,,-949.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6150000.0,,
2010-09-30,2010-11-09,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,,,,,,,,,,,,,,,4390.0,,,,,,,,,,,,,759.0,,,,,,,,,,,,,,,,,,0.0,,759.0,-759.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-759.0,,,,,,,-759.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6150000.0,,
2010-12-31,2011-03-11,10-K,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,38600.0,,,,,9750.0,,,,,,47050.0,,2007.0,2007.0,,2007.0,777.0,,,,,0.001,20000000.0,6150000.0,6150000.0,6150.0,6150.0,,5723.0,,,,,,,,,,,,,,,99543.0,9750.0,,0.0,,5723.0,-5723.0,0.0,,0.0,,,,,6500.0,,,,,,,,,,,,,,0.0,,,0.0,48350.0,2007.0,,48350.0,,0.0,0.0,777.0,-5723.0,,,,,,,-5723.0,,,,,,,,,,0.0,,,,,,,,0.0,,-46343.0,,,,,,,,,,,,,,,6150000.0,,
2011-03-31,2011-05-06,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,,,,,,,,,,,,,,,,,6591.0,4584.0,,,,,,,,,,,,3416.0,,,,,,,,,,,,,,,,,,0.0,,3416.0,-3416.0,0.0,,0.0,,,,,8000.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,0.0,4584.0,-3416.0,,,,,,,-3416.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,6150000.0,,
2011-06-30,2011-08-04,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,42725.0,,,,,,,,,,,47050.0,,1648.0,1648.0,,1648.0,,,,,,,20000000.0,6150000.0,6150000.0,0.001,6150.0,,1068.0,,,,,,,,,,,,,,,104027.0,9750.0,,0.0,,1068.0,-1068.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,52475.0,1648.0,,52475.0,,,,,-1068.0,,,,,,,-1068.0,,,,,,,,,,,,,,,,,,0.0,,-50827.0,,,,,,,,,,,,,,,6150000.0,,
2011-09-30,2011-10-31,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,43425.0,,,,,9750.0,,,,,,47050.0,,897.0,897.0,,897.0,,,,897.0,,0.001,20000000.0,6150000.0,,6150.0,,,1451.0,,,,,,,,,,,,,,,105478.0,,,0.0,,1451.0,-1451.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,53175.0,897.0,,53175.0,,,,,-1451.0,,,,,,,-1451.0,,,,,,,,,,,,,,,,,,0.0,,-52278.0,,,,,,,,,,,,,,,6150000.0,,
2011-12-31,2012-03-28,10-K,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,44156.0,,,,,28250.0,,,,,,47050.0,,161.0,161.0,,161.0,-1846.0,,,161.0,,0.001,20000000.0,6150000.0,,6150.0,,,25902.0,,0.0,8806.0,0.0,,,,,,0.0,,,125445.0,,125445.0,,,0.0,,25902.0,-25902.0,0.0,0.0,0.0,,,,,24056.0,,,,,,,,,,,,,,0.0,,,0.0,72406.0,161.0,,72406.0,0.0,0.0,0.0,-1846.0,-25902.0,0.0,,,,,,-25902.0,42651.0,-42651.0,,,,,,,,0.0,,,,,,,,0.0,,-72245.0,,,,,,,,,0.0,0.0,0.0,0.0,,-8806.0,6150000.0,,
2012-03-31,2012-05-09,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,56626.0,,,,,34125.0,,,,,,47050.0,,8730.0,8730.0,,8730.0,8569.0,,,8730.0,,0.001,20000000.0,6150000.0,,6150.0,,,9776.0,,,,,,,,,,,,,,,135221.0,,,0.0,,9776.0,-9776.0,0.0,,0.0,,,,,18345.0,,,,,,,,,,,,0.0,,0.0,,,0.0,90751.0,8730.0,,90751.0,,0.0,0.0,8569.0,-9776.0,0.0,,,,,,-9776.0,,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,-82021.0,,,,,,,,,,,,,,,6150000.0,,
2012-06-30,2012-08-02,10-Q,CANCER CAPITAL CORP.,CNCL,CIK0001130889,USD,53425.0,,,,,38925.0,,,,,,47050.0,,3393.0,3393.0,,3393.0,,,,,,0.001,20000000.0,6150000.0,,6150.0,,,6936.0,,,,,,,,,,,,,,,142157.0,,,0.0,0.0,-6936.0,-6936.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,92350.0,3393.0,,92350.0,,,,,-6936.0,,,,,,6936.0,-6936.0,,,,,0.0,,,,,,,,,,,,,0.0,,-88957.0,,,,,,,,,,,,,,,6150000.0,,
