end,filed,form,Name,Ticker,CIK,Currency,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,AssetsHeldInTrust,AssetsHeldInTrustNoncurrent,BusinessAcquisitionCostOfAcquiredEntityTransactionCosts,BusinessAcquisitionPercentageOfVotingInterestsAcquired,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashFDICInsuredAmount,CommonStockValue,DebtInstrumentConvertibleConversionPrice1,DeferredCompensationLiabilityClassifiedNoncurrent,DeferredOfferingCosts,DueToAffiliateCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EquityMethodInvestmentQuotedMarketValue,ExpenseRelatedToDistributionOrServicingAndUnderwritingFees,GainLossOnSaleOfInvestments,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInPrepaidExpensesOther,InterestIncomeOther,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebtCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesNoncurrent,OperatingCostsAndExpenses,OperatingIncomeLoss,OtherExpenses,OtherUnderwritingExpense,PaymentsForFees,PaymentsOfStockIssuanceCosts,PaymentsToAcquireInvestments,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromSubordinatedShortTermDebt,ProfitLoss,RelatedPartyTransactionAmountsOfTransaction,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPricePerShare,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TemporaryEquityAccretionToRedemptionValue,TemporaryEquityAccretionToRedemptionValueAdjustment,TemporaryEquityCarryingAmountAttributableToParent,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2021-03-31,2021-06-14,10-Q,PANACEA ACQUISITION CORP. II,PANA,CIK0001828989,USD,,24425.0,422537.0,,,,10017468.0,0.5,5000001.0,,,250000.0,,10.0,,422537.0,,0.0,,0.35,,,,1749.0,,5000.0,,422537.0,402537.0,1500000.0,,,,-5000.0,-224944.0,,100108.0,100108.0,5000.0,,529968.0,3450000.0,,,,0.0001,20000000.0,0.0,0.0,,,,-5000.0,,,-5000.0,,10.0,,20000.0,25000.0,,,,,5000000.0
2021-06-30,2021-08-13,10-Q,PANACEA ACQUISITION CORP. II,PANA,CIK0001828989,USD,52824.0,5229224.0,174166962.0,1665213.0,172501749.0,172501749.0,10017468.0,,5000001.0,670808.0,,250000.0,153.0,10.0,6037500.0,,,,,,,,,,1749.0,,6439374.0,174166962.0,401874.0,1500000.0,,,,-224944.0,,1749.0,,,226693.0,-226693.0,,,30000.0,,,0.0001,20000000.0,,,994405.0,,,-224944.0,,,-229944.0,,,,-4772412.0,,162482532.0,,,162727580.0,17250000.0
2021-09-30,2021-11-12,10-Q,PANACEA ACQUISITION CORP. II,PANA,CIK0001828989,USD,85939.0,,173982769.0,1477475.0,172505294.0,172505294.0,10017468.0,,5000001.0,634958.0,,250000.0,55.0,10.0,6037500.0,,,,,,,,,,3545.0,,6467489.0,173982769.0,429989.0,1500000.0,,,,-212308.0,,3545.0,,,215853.0,-215853.0,,,30000.0,,,0.0001,20000000.0,,,842517.0,,,-212308.0,,,-4985350.0,,,,-4984720.0,,,,,172500000.0,
