end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,AccruedIncomeTaxesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,AllowanceForDoubtfulAccountsReceivableCurrent,Assets,AssetsCurrent,AvailableForSaleSecuritiesCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockDividendsPerShareCashPaid,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfGoodsSold,CostOfRevenue,CostOfServices,DeferredIncomeTaxExpenseBenefit,DeferredRevenueAndCreditsCurrent,DeferredTaxLiabilitiesCurrent,Depreciation,DerivativeLiabilitiesCurrent,DividendIncomeOperating,DividendsCommonStock,EarningsPerShareBasicAndDiluted,GrossProfit,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxesReceivable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInIncomeTaxesReceivable,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInSecuritiesLoanedTransactions,InterestExpense,InterestPaid,InventoryNet,InvestmentIncomeDividend,InvestmentIncomeInvestmentExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MarketableSecuritiesUnrealizedGainLoss,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OtherAssetsNoncurrent,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,OtherIncome,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PaymentsForDerivativeInstrumentInvestingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfEquity,PaymentsOfDividends,PaymentsToAcquireAvailableForSaleSecurities,PaymentsToAcquireInvestments,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromDerivativeInstrumentInvestingActivities,ProceedsFromOtherDebt,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfAvailableForSaleSecurities,ProceedsFromSaleOfOtherPropertyPlantAndEquipment,ProceedsFromSaleOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,ReceivablesFromBrokersDealersAndClearingOrganizations,RepaymentsOfOtherDebt,RepaymentsOfSecuredDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsGross,SalesRevenueServicesGross,SecuredDebtCurrent,SecuredLongTermDebt,SecuritiesBorrowed,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,StockholdersEquity,TreasuryStockShares,TreasuryStockSharesAcquired,TreasuryStockValue,UnrealizedGainLossOnDerivatives,WeightedAverageNumberOfSharesOutstandingBasic
2009-12-31,2010-03-29,10-K,DAXOR CORP,DXR,CIK0000027367,USD,,,,,,,,,,,277088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-13,10-Q,DAXOR CORP,DXR,CIK0000027367,USD,,,,,,,,,,,213402.0,,0.1,,,,,,-3080438.0,156329.0,165411.0,9082.0,,,,,,,,0.04,202921.0,-39946.0,,,,,,,,,,,,8919.0,,,518858.0,31043.0,,,,,,,,188356.0,1653480.0,1707991.0,-1505070.0,,-3268794.0,3042.0,,,,,,,,,,,,,,,,,,,,,,734569.0,,368332.0,274343.0,93989.0,,,,973422.0,,,,,,-318123.0,4242285.0
2010-09-30,2010-11-12,10-Q,DAXOR CORP,DXR,CIK0000027367,USD,,,,,,,,,,,107043.0,,0.25,,,,,,6434379.0,174014.0,185742.0,11728.0,,,,,,,,0.62,267539.0,1799112.0,,,,,,,,,,,,20323.0,,,635678.0,35227.0,,,,,,,,2604804.0,5688781.0,1552404.0,-1284865.0,,3829575.0,3041.0,,,,,,,,,,,,,,,,,,,,,,694730.0,,453281.0,368201.0,85080.0,,,,857674.0,,,,,,2735102.0,4232691.0
2010-12-31,2011-03-29,10-K,DAXOR CORP,DXR,CIK0000027367,USD,436542.0,178820.0,2986800.0,14890272.0,10675228.0,,125402.0,91195415.0,86989265.0,53876071.0,57741.0,-219347.0,1.0,0.01,10000000.0,5316530.0,4226137.0,53165.0,,691786.0,727650.0,35864.0,606363.0,51920.0,9003946.0,296554.0,4330069.0,,-4229520.0,1.17,851607.0,3381892.0,2424813.0,,-97089.0,28814.0,2043725.0,5018.0,,90773.0,11699512.0,-26129.0,11634757.0,,63916.0,363634.0,2226198.0,150675.0,44200371.0,91195415.0,43900308.0,-1126103.0,-3931189.0,9401925.0,-5690083.0,4968264.0,14009267.0,6510718.0,-5659111.0,37158.0,,12166.0,1944.0,-61676.0,419080.0,,242934.0,4229520.0,,28856997.0,324710.0,130560.0,18623868.0,41462399.0,20378599.0,,65000.0,,4168992.0,32981.0,32382439.0,40877703.0,43431.0,3041640.0,32980341.0,1579257.0,1242264.0,336993.0,46798.0,300063.0,-22406036.0,3469078.0,,46995044.0,1090413.0,-242934.0,11603962.0,-1526064.0,
2011-06-30,2011-08-09,10-Q,DAXOR CORP,DXR,CIK0000027367,USD,1062638.0,193473.0,1135508.0,15641808.0,10677074.0,,125402.0,96237008.0,92119645.0,54059375.0,111769.0,,0.15,0.01,10000000.0,5316540.0,4223793.0,53165.0,139135.0,155056.0,160727.0,5671.0,,29365.0,7041693.0,,3426718.0,,,-0.04,197412.0,-182331.0,,,,,,,,,,,,81260.0,,357334.0,499887.0,37315.0,50656255.0,96237008.0,50382856.0,,,,,-184520.0,976946.0,1541209.0,-1343797.0,37158.0,323655.0,3094.0,,,,,,,,,,184342.0,,,,,,,4080205.0,,37213352.0,,,669783.0,30835640.0,358139.0,285097.0,73042.0,50466.0,273399.0,-31354266.0,871426.0,,45580753.0,1092747.0,,11626934.0,-1687134.0,4225349.0
2011-09-30,2011-11-14,10-Q,DAXOR CORP,DXR,CIK0000027367,USD,971146.0,189612.0,742579.0,11931796.0,10680860.0,,125402.0,88252642.0,84149550.0,52316506.0,29711.0,,,0.01,10000000.0,5316530.0,4216643.0,53165.0,-7893681.0,136166.0,149376.0,13210.0,,52529.0,2757226.0,,11777529.0,,,-0.99,191531.0,-2845136.0,,,,,,,,,,,,29769.0,,313494.0,645792.0,31444.0,50630590.0,88252642.0,50371788.0,,,,,-4183669.0,-5767733.0,1452603.0,-1261072.0,37158.0,-3710012.0,3093.0,,,,,,,,,,338333.0,,,,,,,4065934.0,,30961894.0,,,637051.0,26651971.0,340907.0,260231.0,80676.0,57230.0,258802.0,-26171717.0,815552.0,,37622052.0,1099887.0,,11695740.0,-6608910.0,4219026.0
2011-12-31,2012-03-28,10-K,DAXOR CORP,DXR,CIK0000027367,USD,525168.0,219684.0,87093.0,12572514.0,10684752.0,9731.0,130402.0,85724861.0,81686352.0,55804364.0,59625.0,1884.0,0.25,0.01,10000000.0,5316530.0,4202351.0,53165.0,,616063.0,652511.0,36448.0,1249624.0,38671.0,4564054.0,290791.0,7103448.0,-7028.0,-1054450.0,-1.7,793834.0,-5142076.0,3002828.0,2013031.0,88626.0,-45864.0,-2899707.0,-13249.0,-2013031.0,62100.0,812134.0,-78779.0,730784.0,,175348.0,301534.0,2237734.0,153816.0,49508270.0,85724861.0,49264316.0,-2317758.0,17898970.0,-11388438.0,-6508648.0,-7185639.0,-6541301.0,6580248.0,-5786414.0,37158.0,,12374.0,6425.0,-168923.0,8961293.0,,230337.0,1054450.0,,25722529.0,123150.0,209339.0,14318728.0,44633031.0,9181156.0,,,,4001351.0,5000.0,23078775.0,25404421.0,44853.0,2705952.0,24740252.0,1446345.0,1125249.0,321096.0,58054.0,243954.0,-23136820.0,3874296.0,9731.0,36216591.0,1114179.0,-230337.0,11834092.0,-8501859.0,
