end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccruedIncomeTaxesCurrent,AccruedRentCurrentAndNoncurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapitalCommonStock,Assets,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CurrentFederalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtInstrumentInterestRateStatedPercentage,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationNondeductibleExpense,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxSettlementsDomestic,EffectiveIncomeTaxRateReconciliationTaxSettlementsStateAndLocal,FederalIncomeTaxExpenseBenefitContinuingOperations,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeTaxExaminationPenaltiesAndInterestExpense,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidTaxes,InterestExpense,InterestExpenseDebt,InterestPaid,InterestPaidNet,InterestPayableCurrent,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,OtherIncome,OtherNonoperatingIncomeExpense,PaymentsOfCapitalDistribution,PaymentsOfDividendsCommonStock,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockValue,PrepaidExpenseCurrent,PrepaidTaxes,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfShortTermInvestments,ProfitLoss,RealizedInvestmentGainsLosses,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,StockholdersEquity,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2009-12-31,2010-03-30,10-K,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,,,,,,,307409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870649.0,,,,,
2010-06-30,2010-08-12,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,,,,,,,895653.0,,,,,,,,,,,4755.0,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,8240.0,18167.0,,,0.0,,,,,,,,,,,,,,,,,,673.0,,,,,,,,,,18167.0,26407.0,,8240.0,,,-13412.0,13412.0,,,,,,,,,,,,,,,25734.0,,,,,,,,,,
2010-09-30,2010-11-15,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,,,,,,,893140.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4101.0,-2513.0,,,0.0,,,,,,,,,,,,,,,,,,1588.0,,,,,,,,,,-2513.0,1588.0,,4101.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,
2010-12-31,2011-03-31,10-K,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,14357.0,13411.0,,0.0,2272883.0,889887.0,889887.0,582478.0,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,-4119.0,,,,,,,,,,,,,,0.19,,0.19,,,,,,,,,,,26872.0,248840.0,,,13411.0,0.0,,,,,,,1281.0,,,,0.0,,,0.0,,,3578.0,9000.0,,889887.0,14357.0,0.0,,608902.0,-26424.0,,235429.0,275712.0,,26872.0,,,,-239548.0,,,,0.0,0.01,5000000.0,0.0,0.0,,0.0,,,608902.0,,272134.0,,-1398614.0,,0.0,875530.0,,,1260280.0,,1260280.0
2011-03-31,2011-05-16,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,,,,,,,888962.0,-925.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,12226.0,,,,,,,,,,,,10250.0,,,,,,,,,,1051.0,,,,,,,,-925.0,,-11175.0,1051.0,,12226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,2011-08-10,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,8374.0,0.0,,,1516419.0,73025.0,73025.0,,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,0.0,,,,,,,,,,,,,,,-0.03,,,,,,,,,,,,30654.0,-30297.0,-30297.0,,12944.0,-12944.0,,,,,,,,,,,,,,,,,357.0,,,73025.0,8374.0,,,,,,-43241.0,357.0,,30654.0,,,0.0,0.0,,,,,0.01,5000000.0,0.0,0.0,,,,,,,0.0,,-1453029.0,,,64651.0,,,,1260773.0,
2011-09-30,2011-11-14,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,4845.0,0.0,,,1516419.0,59760.0,59760.0,,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,0.0,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,5697.0,-5650.0,-5650.0,,4084.0,-4084.0,,,,,,,,,,,,,,,,,47.0,,,59760.0,4845.0,,,,,,-9734.0,47.0,,5697.0,,,0.0,0.0,,,,,0.01,5000000.0,0.0,0.0,,,,,,,0.0,,-1462765.0,,,54915.0,,,,1260773.0,
2011-12-31,2012-03-28,10-K,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,16945.0,,,0.0,1516419.0,57014.0,44340.0,-845547.0,,,,0.0,0.001,30000000.0,1260773.0,1260773.0,1261.0,-78997.0,-28000.0,,,,0.0,,0.0,,0.0,278000.0,,278000.0,,-0.06,,-0.06,,,,,,,,,,-3000.0,80485.0,-78997.0,,,0.0,32692.0,-63000.0,,,,,,2588.0,,,,-12674.0,,,0.0,,,1488.0,0.0,,57014.0,16945.0,-756464.0,,0.0,-89083.0,,-78997.0,1488.0,,80485.0,,,,,,,,756464.0,0.01,5000000.0,0.0,0.0,,12674.0,,,0.0,-78997.0,0.0,,-1477611.0,,0.0,40069.0,,,1260773.0,,1260773.0
2012-03-31,2012-05-15,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,9845.0,,,,1516419.0,44047.0,31373.0,-12967.0,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5887.0,,,,,,,,,,,,-7100.0,,,,,,,,,,20.0,,,44047.0,9845.0,,,,-12967.0,,-5867.0,20.0,,5887.0,,,,,,,,,0.01,5000000.0,0.0,0.0,,12674.0,,,,-5867.0,,,-1483478.0,,,34202.0,,,,1260773.0,
2012-06-30,2012-08-09,10-Q,RIDGEFIELD ACQUISITION CORP,RDGA,CIK0000812152,USD,4595.0,,,,1516419.0,29868.0,29868.0,,,,,,0.001,30000000.0,1260773.0,1260773.0,1261.0,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,8973.0,,-8929.0,,,0.0,,,,,,,,,,,,,,,,,44.0,,,29868.0,4595.0,,,,,,-8929.0,44.0,,8973.0,,,,,,,,,0.01,5000000.0,0.0,0.0,,0.0,,,,,,,-1492407.0,,,25273.0,,,,1260773.0,
