end,filed,form,Name,Ticker,CIK,Currency,AccruedProfessionalFeesCurrent,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockNoParValue,CommonStockNoParValue,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CurrentIncomeTaxExpenseBenefit,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromAffiliateCurrent,DueFromAffiliateNoncurrent,DueFromOfficersOrStockholders,DueFromRelatedPartiesCurrent,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,FinancialServicesRevenue,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInDueFromAffiliatesCurrent,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToOtherRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInIncomeTaxes,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPropertyAndOtherTaxesPayable,InterestExpenseRelatedParty,InterestIncomeOperating,InterestIncomeRelatedParty,InterestPaid,InterestPaidNet,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesSubjectToCompromiseOtherLiabilities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,PreferredStockNoParValue,PreferredStockNoParValue,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PreferredStockValueOutstanding,ProceedsFromContributionsFromAffiliates,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RelatedPartyTransactionOtherRevenuesFromTransactionsWithRelatedParty,RelatedPartyTransactionRate,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,TaxesPayableCurrent,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,DueToRelatedPartiesCurrentAndNoncurrent
2010-06-30,2010-09-14,10-K,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,,,,7807.0,,,,,,,,,,,,,277193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,2010-11-08,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,,,,5732.0,-2075.0,,,,,,,,,800.0,,,,,,,,,,,0.0,,,,,4143.0,-378.0,,,,4369.0,,5266.0,,,,,,,,,5265.0,,,,,,,-5266.0,,3191.0,-1178.0,,5643.0,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,2011-02-10,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,,,,9845.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,5520.0,-1829.0,,,,,,,,,,,,,,,5191.0,,,,,,,,,,-1829.0,,7020.0,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,2011-05-09,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,,,,9265.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,5174.0,4010.0,-336.0,,,,,,,,,,,,,,,5174.0,,,,,,,,,,-336.0,,5510.0,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,2011-09-15,10-K,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,10000.0,245880.0,245880.0,9265.0,1458.0,,,,0.0,100000000.0,39999942.0,,500000.0,800.0,,,281970.0,236615.0,,,-15500.0,,,,,0.01,,,,7364.0,-3977.0,,800.0,20587.0,-3178.0,,-30000.0,,,,,,,,,,,,,245880.0,27850.0,,30000.0,,-28542.0,-4777.0,,24564.0,,,2350.0,,0.0,50000000.0,,0.0,,0.0,,,11200.0,,,20587.0,,,,218030.0,,,39999942.0,
2011-09-30,2011-11-09,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,10500.0,,245956.0,4277.0,-4988.0,,,,0.0,100000000.0,39999942.0,,500000.0,800.0,,,284943.0,241679.0,,,-17000.0,,,-0.0001,-0.0001,,,,,2737.0,-2173.0,,,5064.0,3049.0,,0.0,,,,,,,,,5064.0,,,,245956.0,30899.0,,0.0,,-4988.0,-2973.0,,7237.0,,,3399.0,,0.0,50000000.0,,0.0,,0.0,,,3000.0,,,5064.0,,,,215057.0,,,,
2011-12-31,2012-02-10,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,13000.0,,247923.0,9217.0,,,,,0.0,100000000.0,40000000.0,,500000.0,0.0,,,287197.0,238706.0,,,-18500.0,,,,-0.0001,,,,,5780.0,-2253.0,,,,,,,,,,,,,,,5027.0,,,,247923.0,35120.0,,,,,-2253.0,,7280.0,,,3620.0,,0.0,50000000.0,,0.0,,0.0,,,3000.0,,,5027.0,,,,212803.0,,,,
2012-03-31,2012-05-03,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,6500.0,,239282.0,1527.0,,,,,0.0,100000000.0,39999942.0,,500000.0,0.0,,,289926.0,237755.0,,,-20000.0,,,,-0.0001,-0.0001,,,5049.0,2779.0,-2730.0,,,,,,,,,,,,,,,5049.0,,,,239282.0,29208.0,,,,,-2730.0,,7779.0,,,2708.0,,0.0,50000000.0,,0.0,,0.0,,,3500.0,,,,,,,210074.0,,,,
2012-06-30,2012-09-24,10-K,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,9250.0,240060.0,240060.0,3264.0,-6001.0,,,0.0,0.0,100000000.0,39999942.0,39999942.0,500000.0,800.0,,,293055.0,236796.0,,,-21500.0,,,,,0.01,,,,12216.0,-10285.0,,800.0,20181.0,5265.0,,-20000.0,,,,,,,,,,20181.0,,,240060.0,33115.0,,20000.0,,-26001.0,-11085.0,,30466.0,,,2365.0,0.0,0.0,50000000.0,,0.0,0.0,0.0,,,12250.0,,6000.0,20181.0,,,,206945.0,,,39999942.0,
2012-09-30,2012-11-07,10-Q,INTERDYNE COMPANY,ITDN,CIK0000051011,USD,11565.0,,237563.0,10842.0,7578.0,,,0.0,,100000000.0,39999942.0,,500000.0,800.0,,,296392.0,226721.0,,,-20000.0,,,-0.0001,,0.0,,,,2397.0,-2537.0,,800.0,4925.0,840.0,,-15000.0,,,,,,,,,,,,,237563.0,33955.0,,15000.0,,-7422.0,-3337.0,,7462.0,,,2390.0,0.0,,50000000.0,,0.0,,0.0,,,3565.0,,,4925.0,,,,203608.0,,,39999942.0,
