end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccretionExpense,AccruedLiabilitiesCurrent,AccruedSalariesCurrentAndNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Assets,AssetsCurrent,BankOverdrafts,BuildingsAndImprovementsGross,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DisposalGroupNotDiscontinuedOperationLossGainOnWriteDown,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,GainLossOnDispositionOfAssets,GainLossOnDispositionOfAssets1,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLongLivedAssetsToBeDisposedOf,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedSalaries,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesPayableRelatedParties,InterestPaid,InterestPaidNet,InventoryNet,InventoryRealEstate,IssuanceOfStockAndWarrantsForServicesOrClaims,LaborAndRelatedExpense,Land,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MarketingAndAdvertisingExpense,MarketingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAssets,OtherAssetsNoncurrent,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossTax,OtherGeneralAndAdministrativeExpense,OtherNonoperatingExpense,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquireRealEstateHeldForInvestment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockValue,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLoans,ProceedsFromOtherDeposits,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromSaleOfRealEstateHeldforinvestment,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentDisposals,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RealEstateHeldforsale,RealEstateTaxExpense,RelatedPartyDepositLiabilities,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,SalariesWagesAndOfficersCompensation,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPercentageOfOwnershipAfterTransaction,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExercisePrice,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,SuppliesExpense,TaxesExcludingIncomeAndExciseTaxes,TemporaryEquityShareSubscriptions,TravelAndEntertainmentExpense,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2010-12-31,2011-01-28,10-K,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,0.0,,,,,,,,0.0,0.0,,,47022.0,-3139.0,,0.0001,,500000000.0,31390000.0,31390000.0,,,3139.0,,,,,,,,0.0,3139.0,,,,,,,3139.0,-3139.0,,-3139.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,-3139.0,,,,3139.0,,,,,,,,,,,,0.0,,0.0001,20000000.0,,0.0,,,,,,,,,-3139.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,31390000.0,
2011-03-31,2011-04-19,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,,,,,,,,,,,,,31240.0,31240.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,17248.0,-17722.0,,,,,,,,,,,,,41461.0,,,,,,,,,,,,,,,,474.0,48961.0,,-17722.0,,,,17722.0,,,,,,,,,,,,,,,,,,,7500.0,,,,,,,-17722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106390000.0,
2011-09-30,2011-10-03,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,,,,,,,,,,,,,60751.0,,,0.0001,,500000000.0,31390000.0,31390000.0,,,3139.0,,,,,,,,,3139.0,,,,,,,50550.0,-52630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2080.0,,,,,,,52630.0,,,,,,,,,,,,,,0.0001,20000000.0,,,,,,,,,,,-52630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31390000.0
2011-12-31,2012-04-16,10-K,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,618313.0,,,,,8226.0,,,457385.0,22215.0,,150000.0,22215.0,22215.0,,0.0001,,500000000.0,106390000.0,106390000.0,,,10639.0,,,,,,,,8226.0,171567.0,,,,,,,158930.0,-171567.0,,-171567.0,,,,,,,,,,,618314.0,,,,,,,,,,200000.0,,618313.0,457385.0,,,12637.0,618314.0,-432758.0,-163341.0,,,,171567.0,,,,,,,,,,,,443397.0,,0.0001,20000000.0,,0.0,,,,,618313.0,,,,-171567.0,,243397.0,435170.0,,,,,,,,,,,,,,-160928.0,-160928.0,,,,,,,,,,,,,,,,106390000.0,
2012-03-31,2012-05-15,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,621813.0,,,,,,,,450131.0,,,,21130.0,-1085.0,,0.0001,,8000000000.0,106390000.0,106390000.0,,,10639.0,,,,,,6170.0,,6170.0,182321.0,,,,0.0,,,28487.0,-10755.0,,,,-28864.0,,,,,,,,,3500.0,,,,,,,,,,,1000.0,621813.0,450131.0,,,377.0,3500.0,,-4585.0,,,,28864.0,,,,,,,,,,297.0,,,,0.0001,2000000000.0,,0.0,,,,,,,,3149.0,-28864.0,,,429001.0,,,,,,,,,,,,,,-171682.0,,,,,,,,,,,,,,,,,106390000.0,
2012-06-30,2012-08-20,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,621813.0,,,,,20566.0,10040.0,,431317.0,,,150000.0,8486.0,,,0.0001,,8000000000.0,106490500.0,106490500.0,,,10649.0,,,,,,6170.0,,,211185.0,,,,,,,28487.0,-28864.0,,,,,,,,,,,,,,,,,,,,,,,200000.0,1649.0,621813.0,431317.0,,,377.0,,,,,,,28864.0,,,,,,,,,,6865.0,,,,0.0001,2000000000.0,,0.0,,,,,,,,14180.0,-28864.0,,243397.0,422831.0,,,,,,,,,,,28864.0,,,-190496.0,,,,,,,,,,,,,,,,,,
2012-09-30,2012-11-14,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,631813.0,,,,,26736.0,10040.0,,422718.0,,,150000.0,6058.0,,,0.0001,,8000000000.0,106490500.0,106490500.0,,,10649.0,,,,,,6170.0,,,229784.0,,,,,,,16251.0,-18598.0,,,,-18598.0,,,,,,,,,,,,,,,,,,,200000.0,361.0,631813.0,422718.0,,,2347.0,,,,,,,18598.0,,,,,,,,,,6621.0,,,,0.0001,2000000000.0,,,,,,,,,,3099.0,-18598.0,,243397.0,416660.0,,,,,,,,,,,,,,-209095.0,,,,,,,,,,,,,,,,,,
2012-12-31,2013-04-02,10-K,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,634114.0,,,,,32906.0,18734.0,,415799.0,5308.0,,150000.0,5308.0,-16907.0,0.0,0.0001,,8000000000.0,106548500.0,106548500.0,,,10655.0,,,,27698.0,247704.0,24680.0,,24680.0,247704.0,,,0.0,,,,69066.0,-76137.0,,,,-76137.0,,,,,,,,,15801.0,,,,,,0.0,,,,200000.0,9496.0,634114.0,415799.0,634114.0,,7110.0,34550.0,,-51457.0,-76137.0,-76137.0,634114.0,79137.0,-76137.0,,84219.0,-84219.0,,,,,,8904.0,,,,0.0001,2000000000.0,0.0,,18750.0,18750.0,,,,,,25987.0,-76137.0,,243397.0,410491.0,,,,2961.0,,3000.0,,,,,,,,-218315.0,-218315.0,158500.0,,158500.0,158500.0,,,,18750.0,,,,,,,-27698.0,,106548500.0
2013-03-31,2013-05-15,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,631613.0,,,,,39076.0,71879.0,,410215.0,,,150000.0,5895.0,587.0,,0.0001,,8000000000.0,106904034.0,106904034.0,,,10691.0,,,,,,6170.0,,6170.0,303968.0,,,0.0,,,,52381.0,-56263.0,,,,-56263.0,,,,,,,,,-2501.0,,,,,,,,,,200000.0,18588.0,631613.0,410215.0,,,3882.0,50680.0,,-50093.0,,,,56263.0,-56263.0,,,,,,,,,16723.0,,,,0.0001,2000000000.0,0.0,,,53181.0,,,,,,10900.0,-56263.0,,243397.0,404321.0,,,,,,,,,,,,,,-221398.0,,,,355534.0,,,,,,,,,,,,,,106726267.0
2013-06-30,2013-08-05,10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,CIK0001491829,USD,,647814.0,,,,,45246.0,78523.0,,403197.0,,,150000.0,3529.0,,,0.0001,,8000000000.0,106948367.0,106948367.0,,,10696.0,,,,,,12340.0,,,333836.0,,,0.0,,,,29868.0,,,,,-31794.0,,,,,,,,,,,,,,,1517.0,,,,200000.0,,647814.0,403197.0,,,1926.0,,,,,,634114.0,31794.0,-31794.0,,,,,,,,,,,,,0.0001,2000000000.0,0.0,,,,,,,,,,-31794.0,,243397.0,398151.0,,,300000.0,,,,,,,,,,,-244617.0,,,,,,,,,,,,,,,,,,106948367.0
