end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AllocatedShareBasedCompensationExpense,AmortizationOfFinancingCosts,Assets,AssetsCurrent,Cash,CashPeriodIncreaseDecrease,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,ClassOfWarrantOrRightOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebt,ConvertibleDebtCurrent,ConvertibleDebtNoncurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,DebtConversionConvertedInstrumentAmount1,DebtInstrumentUnamortizedDiscountCurrent,DebtInstrumentUnamortizedDiscountNoncurrent,DepreciationAndAmortization,EarningsPerShareBasicAndDiluted,EmployeeRelatedLiabilitiesCurrent,FiniteLivedIntangibleAssetsNet,GainsLossesOnExtinguishmentOfDebt,GrossProfit,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherCurrentAssets,IndefiniteLivedTrademarks,InterestExpense,InventoryNet,InventoryWriteDown,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoncashOrPartNoncashAcquisitionDebtAssumed1,NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,NoncashOrPartNoncashAcquisitionInventoryAcquired1,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OtherAmortizationOfDeferredCharges,OtherAssetsCurrent,OtherGeneralAndAdministrativeExpense,OtherNoncashExpense,PaymentsToAcquireFurnitureAndFixtures,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOfWarrants,ProceedsFromRepaymentsOfBankOverdrafts,PropertyPlantAndEquipmentNet,RepaymentsOfDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,SharesIssued,StockholdersEquity,StockholdersEquityOther,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,TreasuryStockSharesAcquired,TreasuryStockValue,TreasuryStockValueAcquiredCostMethod,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2009-12-31,2010-04-16,10-K,"PURESPECTRUM, INC.",PSRU,CIK0001415306,USD,,,,,,,,,,,,609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-421403.0,,,,,,,,,
2010-06-30,2010-08-23,10-Q,"PURESPECTRUM, INC.",PSRU,CIK0001415306,USD,,,,,,,,345804.0,,,,10497.0,,,,,,,,,,,,,16834.0,,,,,-0.01,,,31987.0,-7163.0,,,,,,,,1228962.0,,,,,,,,,,,-2796676.0,,,,,-1196975.0,,,,1592538.0,-1599701.0,,,1129387.0,,,,,,,,,,,,,,117347.0,,9671.0,,,,,,,,,,,,,,,,
2010-09-30,2010-12-01,10-Q,"PURESPECTRUM, INC.",PSRU,CIK0001415306,USD,,,,,,,,26771.0,,,,2414.0,,,,,,,,,,,,10091.0,,,,,,-0.01,,,,1512.0,,,,,,,,871498.0,,1286529.0,,,,,,,,,-2673743.0,,,,,-2158027.0,,,,517228.0,-515716.0,,,466231.0,,,,,,,,,,,,,,24226.0,,11603.0,,,,,,,,,,,,,,,,389150842.0
2010-12-31,2011-04-15,10-K,"PURESPECTRUM, INC.",PSRU,CIK0001415306,USD,1263065.0,1659.0,290690.0,20241473.0,2341491.0,2341491.0,,,,1053299.0,114666.0,31294.0,,0.75,72000000.0,0.0001,900000000.0,422651503.0,351691363.0,43416.0,1038740.0,591540.0,447200.0,,,,218460.0,670800.0,,,243853.0,586613.0,,,,,,,,,164110.0,,69568.0,,,,1053299.0,2675103.0,447200.0,,,,-7972934.0,,,,,,224305.0,61650.0,61650.0,,,,12145.0,,,,0.0001,50000000.0,2000000.0,2000000.0,200.0,,,,,187910.0,,,-22184093.0,,,,,44136929.0,0.06,,-2069004.0,-106805.0,1857331.0,135200.0,329593.0,639812.0,170000.0,170000.0,170000.0,
2011-06-30,2011-08-11,10-Q,"PURESPECTRUM, INC.",PSRU,CIK0001415306,USD,1299957.0,399.0,508628.0,20212984.0,,,,,,958056.0,44087.0,200.0,,,,0.0001,900000000.0,636368278.0,,63637.0,,804562.0,614900.0,,529.0,,,,,0.0,243853.0,584207.0,,-103.0,,,,,,,164110.0,405469.0,31669.0,,,,958056.0,3142955.0,614900.0,,,,-501784.0,,,,,-405469.0,224305.0,61650.0,,96212.0,-96315.0,,11819.0,96212.0,,,0.0001,50000000.0,2000000.0,2000000.0,200.0,,,,,165652.0,,,-23076620.0,426.0,,,,,,,-2799799.0,,,,,,,,,
2011-09-30,2019-10-21,10-Q,"PURESPECTRUM, INC.",PSRU,CIK0001415306,USD,1335877.0,399.0,602071.0,20240984.0,,,,,,946476.0,44086.0,200.0,,0.75,72000000.0,0.0001,900000000.0,876368278.0,876368278.0,87637.0,1528377.0,829627.0,698750.0,,,,5578.0,419250.0,,0.0,243853.0,584207.0,,,,,,,,,164110.0,249359.0,31669.0,,,,946476.0,3297383.0,698750.0,,,,-301858.0,,,,,-249359.0,224305.0,61650.0,61650.0,52499.0,-52499.0,,11818.0,52499.0,,,0.0001,50000000.0,2000000.0,2000000.0,200.0,,,,,154073.0,,,-23378478.0,,,44136929.0,0.06,44136929.0,0.06,950000000.0,-3049657.0,,,,,,,,,675237213.0
