end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccretionExpense,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCostsAndDiscounts,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ContractuallySpecifiedServicingFeesAmount,ConvertibleNotesPayableCurrent,CurrentIncomeTaxExpenseBenefit,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscountPremiumNet,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationAndAmortization,DerivativeCostOfHedge,DerivativeGainLossOnDerivativeNet,DerivativeGainOnDerivative,DerivativeLiabilities,DerivativeLiabilitiesCurrent,DerivativeLiabilitiesNoncurrent,DueToOfficersOrStockholdersCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther,GainLossOnDerivativeInstrumentsNetPretax,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,ImpairmentOfOngoingProject,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationTaxCreditsOther,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInDueToRelatedParties,InterestExpense,InterestExpenseDebtExcludingAmortization,InterestPaid,InterestPaidNet,InterestPayableCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LineOfCredit,LoansPayable,LongTermNotesPayable,MineralPropertiesNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,NonoperatingIncomeExpense,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherNoncashExpense,OtherNoncashIncome,OtherSignificantNoncashTransactionValueOfConsiderationReceived1,PaymentsToAcquireMineralRights,PaymentsToAcquireProductiveAssets,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfUnsecuredDebt,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromOtherDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RepaymentsOfConvertibleDebt,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,Revenues,SellingAndMarketingExpense,SellingGeneralAndAdministrativeExpense,ShareBasedGoodsAndNonemployeeServicesTransactionValuationMethodExpectedDividendRate,ShareBasedGoodsAndNonemployeeServicesTransactionValuationMethodExpectedVolatilityRate,ShareBasedGoodsAndNonemployeeServicesTransactionValuationMethodRiskFreeInterestRate,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueRestrictedStockAwardGross,StockIssuedDuringPeriodValueShareBasedCompensation,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccountsPayableCurrentAndNoncurrent,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,ConvertibleNotesPayable,DebtConversionConvertedInstrumentAmount1,OtherGeneralAndAdministrativeExpense,ProceedsFromLinesOfCredit,SaleOfStockConsiderationReceivedPerTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SharesIssued
2014-09-30,2015-06-01,10-Q,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,3000.0,,,,,,,10936.0,5936.0,5936.0,,,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1181.0,,,,,,,,,,,,,,,,,,,3000.0,10936.0,,,,,,5000.0,,,,-14181.0,,,,,,,,14181.0,,,,,,,,,,,,,,,,,,,13000.0,,,,-22064.0,,0.0,,,,,,7936.0,,,,,,,,,,,,,,30000000.0,,,,,,,,,
2014-12-31,2015-06-01,10-Q,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,3000.0,,,,,,,12754.0,7754.0,7754.0,,,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,,,,,,,,,,,,,,,,,,,,,,,,15000.0,,,0.0,,,,,,,1182.0,,,,,,,,,,,,,,,,,,,18000.0,12754.0,,,,,,5000.0,,,,-13182.0,,,,,,,,13182.0,,,,,,,,,,,,,,,,,,,12000.0,,,,-35246.0,,0.0,,,,,,-5246.0,,,,,,,,,,,,,,30000000.0,,,,,,,,,
2015-03-31,2015-07-23,10-K,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,4500.0,,,,,,,12655.0,7655.0,7655.0,,-16606.0,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,,,,,,,,,,,,,,,,,,,,,,,,15000.0,,,0.0,,,,,,,4106.0,0.0,,,0.0,,,,,,4500.0,,,,,0.0,,,,19500.0,12655.0,,,,,,5000.0,15000.0,0.0,-31606.0,-36106.0,,,,,,,,36106.0,,,,,,0.0,,,,,,0.0,,,,,15000.0,,32000.0,,,,-36845.0,,0.0,,,,,,-6845.0,,,,,,,,,,,,,,30000000.0,,,,,,,,,
2015-06-30,2015-08-28,10-Q,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,11000.0,,,,,,,11258.0,6258.0,6258.0,,-1397.0,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,,,,,,,,,,,,,,,,,,,,,,,,25000.0,,,0.0,,,,,,,2847.0,,,,0.0,,,,,,6500.0,,,,,0.0,,,,36000.0,11258.0,,,,,,5000.0,10000.0,,-11397.0,-17897.0,,,,,,,,17897.0,,,,,,,,,,,,,,,,,10000.0,,15050.0,,,,-54742.0,,0.0,,,,,,-24742.0,,,,,,,,,,,,,,30000000.0,,,,,,,,,
2015-09-30,2015-11-16,10-Q,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,3000.0,,,,,,,10849.0,5849.0,5849.0,,,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,,,,,,,,,,,,,,,,,,,,,,,,40000.0,,,0.0,,,,,,,3909.0,,,,,,,,,,,,,,,,,,,43000.0,10849.0,,,,,,5000.0,,,,-7409.0,,,,,,,,7409.0,,,,,,,,,,,,,,,,,,,3500.0,,,,-62151.0,,0.0,,,,,,-32151.0,,,,,,,,,,,,,,30000000.0,,,,,,,,,
2015-12-31,2016-03-03,10-Q,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,0.0,,,,,,,11349.0,6349.0,6349.0,,,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,,,,,,,,,,,,,,,,,,,,,,,,50000.0,,,0.0,,,,,,,1500.0,,,,,,,,,,,,,,,,,,,50000.0,11349.0,,,,,,5000.0,,,,-6500.0,,,,,,,,6500.0,,,,,,,,,,,,,,,,,,,5000.0,,,,-68651.0,,0.0,,,,,,-38651.0,,,,,,,,,,,,,,30000000.0,,,,,,,,,
2016-03-31,2016-06-29,10-K,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,1500.0,,,,,,,1674.0,1674.0,1674.0,,-5981.0,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,,,,,,,,,,,,,,,,,,,,,,,,50000.0,,,0.0,,,,,,,9431.0,5000.0,,,0.0,,,,,,-3000.0,,,,,0.0,,,,51500.0,1674.0,,,,,,0.0,35000.0,,-40981.0,-42981.0,,,,,,,,42981.0,,,,,,,,,,,,,,,,,35000.0,,28550.0,,,,-79826.0,,0.0,,,,,,-49826.0,,,,,,,,,,,,,,30000000.0,,,,,,,,,
2016-06-30,2016-08-15,10-Q,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,6998.0,,,,,,,11174.0,,11174.0,,9500.0,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,,,,,,,,,,,,,,,,,,,,,,,,65000.0,,,0.0,,,,,,,1498.0,,,,0.0,,,,,,5498.0,,,,,0.0,,,,71998.0,11174.0,,,,,,,15000.0,,-5500.0,-10998.0,,,,,,,,10998.0,,,,,,,,,,,,,,,,,15000.0,,9500.0,,,,-90824.0,,0.0,,,,,,-60824.0,,,,,,,,,,,,,,30000000.0,,,,,,,,,
2016-09-30,2016-11-10,10-Q,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,910.0,,,,,,,7535.0,,7535.0,,,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,,,,,,,,,,,,,,,,,,,,,,,,75000.0,,,0.0,,,,,,,2551.0,,,,,,,,,,,,,,,,,,,75910.0,7535.0,,,,,,,,,,-7551.0,,,,,,,,7551.0,,,,,,,,,,,,,,,,,,,5000.0,,,,-98375.0,,0.0,,,,,,-68375.0,,,,,,,,,,,,,,30000000.0,,,,,,,,,
2016-12-31,2017-02-14,10-Q,"Palayan Resources, Inc.",PLYN,CIK0001612851,USD,0.0,,,,,,,2465.0,,2465.0,,,,,,,0.001,75000000.0,30000000.0,30000000.0,30000.0,,,,,,,,,,,,,,,,,,,,,,,,75000.0,,,0.0,,,,,,,1160.0,,,,,,,,,,,,,,,,,,,75000.0,2465.0,,,,,,,,,,-4160.0,,,,,,,,4160.0,,,,,,,,,,,,,,,,,,,3000.0,,,,-102535.0,,0.0,,,,,,-72535.0,,,,,,,,,,,,,,30000000.0,,,,,,,,,
