end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,ClassOfWarrantOrRightOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DebtConversionConvertedInstrumentAmount1,DebtCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,GeneralAndAdministrativeExpense,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherAccruedLiabilities,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,ProceedsFromIssuanceOfOtherLongTermDebt,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForServices,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue
2020-12-31,2021-04-14,10-K,COMMUNITY REDEVELOPMENT INC.,CRDV,CIK0001084551,USD,0.0,3305.0,123798.0,8518.0,8518.0,8518.0,8518.0,8518.0,0.0,0.001,500000000.0,1250488.0,1250488.0,1250.0,,38041.0,745180.0,745180.0,0.0,0.0,0.0,45154.0,0.0,3305.0,,,0.0,,786526.0,8518.0,786526.0,50367.0,0.0,-41849.0,-46154.0,-45154.0,,38041.0,12326.0,,-904056.0,0.0,0.0,-778008.0,,0.0,125048768.0,125048768.0,125048768.0,0.001,5000000.0,0.0,0.0,0.0
2021-03-31,2021-05-17,10-Q,COMMUNITY REDEVELOPMENT INC.,CRDV,CIK0001084551,USD,29117.0,0.0,2866729.0,1559.0,1559.0,1559.0,1559.0,-6959.0,,0.001,3000000000.0,2495499668.0,2495499668.0,2495499.0,745180.0,38041.0,0.0,,,0.0,,4523771.0,0.0,,29087.0,-3275.0,0.0,4491000.0,67158.0,1559.0,67158.0,0.0,0.0,-6959.0,-4523771.0,-4523771.0,,,0.0,,-5427827.0,0.0,,-65599.0,4491000.0,,,1104845140.0,,,,,,
2021-06-30,2021-08-16,10-Q,COMMUNITY REDEVELOPMENT INC.,CRDV,CIK0001084551,USD,251.0,3000.0,2866729.0,92157.0,92157.0,92157.0,92157.0,,,0.001,3000000000.0,2496249668.0,2496249668.0,2496249.0,,277778.0,0.0,,,0.0,,124024.0,,,,,,,281029.0,92157.0,,,,,-124024.0,-124024.0,,,,,-5551850.0,0.0,,-188872.0,,,,1804341340.0,,,,,,
2021-09-30,2021-11-16,10-Q,COMMUNITY REDEVELOPMENT INC.,CRDV,CIK0001084551,USD,3001.0,6500.0,5338016.0,225405.0,225405.0,225405.0,225405.0,,,0.001,500000000.0,26212034.0,26212034.0,26212.0,,555556.0,0.0,,,-0.01,,150780.0,,,,,,,565057.0,225405.0,,,,,-150780.0,-150780.0,,,,,-5702630.0,0.0,,-339652.0,,,,20375119.0,,0.001,5000000.0,0.0,0.0,0.0
