end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrent,AccruedProfessionalFeesCurrent,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,Assets,AssetsCurrent,Cash,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockDividendsPerShareCashPaid,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostsAndExpenses,DeferredFederalIncomeTaxExpenseBenefit,DistributionMadeToLimitedPartnerCashDistributionsPaid,DueFromBanks,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCash,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ForeignCurrencyTransactionGainLossUnrealized,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedInvestmentIncomeReceivable,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,InterestBearingDepositsInBanks,InterestBearingDepositsInBanks,InterestExpense,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InvestmentIncomeInterest,InvestmentInterestRate,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,PaymentsForOperatingActivities,PaymentsForOperatingActivities,PaymentsForRepurchaseOfEquity,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStock,PreferredStockRedemptionAmount,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromOperatingActivities,ProceedsFromOtherDeposits,ReclassificationsOfTemporaryToPermanentEquity,RedeemableNoncontrollingInterestEquityCarryingAmount,RetainedEarningsAccumulatedDeficit,Revenues,SponsorFees,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForCash,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityCarryingAmount,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,TemporaryEquityForeignCurrencyTranslationAdjustments,TemporaryEquityIssuePeriodIncreaseOrDecrease,TemporaryEquityParOrStatedValuePerShare,TemporaryEquityRedemptionValue,TemporaryEquitySharesAuthorized,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageRateForeignDeposit
2008-10-31,2008-12-30,10-K,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,,,,791539894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-31,2010-01-14,10-K,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,,,,417115901.0,-374423993.0,,,,,,,,,-2193598.0,2186949.0,,,,,-0.42,,49721384.0,,9451.0,,-209519.0,,,,,,,,,20400.0,,,,,,-421992603.0,-2152774.0,,-2166549.0,,,-27049.0,,,2362293.0,659268709.0,,,,,,,,,,,20400.0,2186949.0,,,,,,,,,,,,,,,3700000.0,,,
2010-07-31,2010-09-09,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,,,,302911220.0,,,,,,,,,,-265928.0,255978.0,,,,,-0.11,,,,,,,,,,,,,,,,,,,,,,,,-255978.0,,,-9950.0,,,,,,,,,,,,,,,,255978.0,,,,,,,,,,,,,,,,,,
2010-10-31,2011-01-14,10-K,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,251886054.0,,,233438609.0,-183677292.0,,,,,,,1900000.0,233348012.0,-1151240.0,1137346.0,,,,,-0.45,,29546313.0,,10839.0,,,,,18803479994.0,233438609.0,,,,,,,,251886054.0,18538042.0,,-212008463.0,-1215142.0,,-1137346.0,,90597.0,-13894.0,,,1215142.0,635643603.0,,,,,,,,,,,,1137346.0,3950000.0,,440351417.0,5750000.0,641185966.0,233348012.0,,,,,,18447445.0,28870000.0,1900000.0,1900000.0,,2545205.0,
2011-01-31,2011-03-11,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,,,,229254085.0,-4184524.0,,,,,,,,,-211554.0,209237.0,,,,,-0.12,,-3934724.0,,-1817.0,,,,,,,,,,,,,,,,,-14321.0,-235479.0,,-209237.0,,,-2317.0,,,235479.0,149237508.0,,,,,,,,,,,,209237.0,,,,,,,,,,,,,,,,,1734783.0,
2011-04-30,2011-06-09,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,,,,194751257.0,,,,,,,,,,-171768.0,168979.0,,,,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,-168979.0,,,-2789.0,,,,,,,,,,,,,,,,168979.0,,,,,,,,,,,,,,,,,1452247.0,
2011-07-31,2011-09-09,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,191726484.0,,,191726484.0,,,,,,,,,,-181366.0,174419.0,,,,,-0.12,,,,,,,,,,191726484.0,,,,,,,,191726484.0,59663.0,,,,,-174419.0,,59663.0,-6947.0,,,,,,,,,,,,,,,,174419.0,,,,,,191666821.0,,,,,,,38870000.0,1500000.0,1500000.0,,1407065.0,
2011-10-31,2012-01-13,10-K,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,720487506.0,,,695214700.0,461776091.0,,,,,,,5200000.0,657092957.0,-1319152.0,1318427.0,,,,,-0.62,,22415883.0,,2025.0,,,,,51253125695.0,657302029.0,,,,,,,,720487506.0,63394549.0,440175239.0,440175239.0,-815031.0,,-1318427.0,935531.0,209072.0,-725.0,-6389.0,,815031.0,655675480.0,,655675480.0,,,1095850719.0,,,,,,,1318427.0,9000000.0,,1101865545.0,5700000.0,698375010.0,657092957.0,657092957.0,,,,,63185477.0,38870000.0,5200000.0,5200000.0,,4911719.0,
2012-01-31,2012-03-12,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,716709745.0,,,697345317.0,2130617.0,,,,,,,,,-716046.0,706482.0,,,,,-0.13,,15521595.0,,5191.0,,,,,,697345317.0,,,,,,,,716709745.0,32517416.0,,-12714426.0,-676552.0,,-706482.0,,244193.0,-9564.0,,,676552.0,279878758.0,,,,,,,,,,,,706482.0,,,,,,684192329.0,,,,,,32273223.0,38870000.0,5300000.0,5300000.0,,5542391.0,
2012-04-30,2012-06-11,10-Q,Invesco CurrencyShares Japanese Yen Trust,FXY,CIK0001353613,USD,,,,,215597801.0,,,215597801.0,,,,,,,,,,-279929.0,276609.0,,,,,-0.12,,,,,,,,,,215597801.0,,,,,,,,215597801.0,68995.0,,,,,-276609.0,276609.0,68995.0,-3320.0,-3320.0,,,,,,,,,,,,,,,276609.0,,,,,,,215528806.0,,,,,,43870000.0,1750000.0,1750000.0,,2288333.0,
