end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AdditionalPaidInCapitalCommonStock,Assets,AssetsNet,CommonStockSharesOutstanding,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GainLossOnInvestments,IncreaseDecreaseInOperatingAssets,InvestmentCompanyExpenseRatioIncludingIncentiveFee,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyNetAssetsFromOperationsIncreaseDecrease,InvestmentCompanyTotalReturn,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,NetAssetValuePerShare,RealizedInvestmentGainsLosses,SharesOutstanding,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,UnrealizedGainLossOnInvestments
2021-06-30,2021-09-27,10-K,GrayscaleÂ® Digital Large Cap Fund LLC,GDLC,CIK0001729997,USD,0.0,-113633000.0,367308000.0,367308000.0,15837800.0,0.21,100607000.0,90651000.0,0.0259,18.34,17.82,-0.52,-0.0259,256330000.0,3.4592,-9956000.0,112405000.0,367308000.0,1.0,254903000.0,23.19,13961000.0,15837800.0,78604000.0,9808800.0,9808800.0,78604000.0,86646000.0
2021-09-30,2021-11-05,10-Q,GrayscaleÂ® Digital Large Cap Fund LLC,GDLC,CIK0001729997,USD,0.0,-114568000.0,467356000.0,467356000.0,15867400.0,0.21,101946000.0,99113000.0,0.025,6.44,6.26,-0.18,-0.025,99113000.0,1.5808,-2833000.0,124211000.0,467356000.0,1.0,343145000.0,29.45,13704000.0,15867400.0,935000.0,29600.0,29600.0,935000.0,88242000.0
2021-12-31,2022-02-10,10-Q,GrayscaleÂ® Digital Large Cap Fund LLC,GDLC,CIK0001729997,USD,0.0,-114568000.0,496947000.0,496947000.0,15867400.0,,33352000.0,29591000.0,0.025,2.11,1.87,-0.24,-0.025,29591000.0,,-3761000.0,138316000.0,496947000.0,1.0,358631000.0,31.32,17866000.0,15867400.0,0.0,0.0,0.0,0.0,15486000.0
