end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccountsReceivableRelatedPartiesCurrent,AccruedInvestmentIncomeReceivable,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,AdditionalPaidInCapital,Assets,AssetsCurrent,AssetsDesignatedToClosedBlockCashAndCashEquivalents,AssetsNoncurrent,AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,BankOverdrafts,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValueIncludingDiscontinuedOperations,CashAndCashEquivalentsFairValueDisclosure,CashCashEquivalentsAndShortTermInvestments,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashDivestedFromDeconsolidation,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockOtherSharesOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,CommonStockValueOutstanding,ContractRevenueCost,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,CurrentStateAndLocalTaxExpenseBenefit,CustomerDepositsCurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilitiesCurrent,DepositLiabilitiesReclassifiedAsLoansReceivable1,Depreciation,DepreciationAndAmortization,DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent,DueFromRelatedPartiesNoncurrent,DueToRelatedPartiesCurrent,EarnestMoneyDeposits,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EmployeeRelatedLiabilitiesCurrent,FixturesAndEquipmentGross,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReceivable,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInBookOverdrafts,IncreaseDecreaseInDeposits,IncreaseDecreaseInFuelInventories,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOutstandingChecksOperatingActivities,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInRestrictedCashForOperatingActivities,InterestAndOtherIncome,InterestExpenseRelatedParty,InterestIncomeRelatedParty,InterestPaid,InterestPaidNet,InterestPayableCurrent,InventoryGross,InventoryNet,InventoryRawMaterials,InventoryRawMaterialsAndSupplies,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansAndLeasesReceivableAllowance,LoansPayableCurrent,LongTermInvestmentsAndReceivablesNet,LossContingencyLossInPeriod,MachineryAndEquipmentGross,NetCashProvidedByUsedInDiscontinuedOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAllocatedToLimitedPartners,NotesReceivableRelatedPartiesNoncurrent,OfficersCompensation,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherGeneralExpense,OtherLiabilitiesCurrent,OtherNoncashIncomeTaxExpense,OtherPrepaidExpenseCurrent,PaymentsForProceedsFromProductiveAssets,PaymentsForRepurchaseOfEquity,PaymentsToAcquireFederalHomeLoanBankStock,PaymentsToAcquireInvestments,PaymentsToAcquireLoansReceivable,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfPropertyPlantAndEquipment,ProceedsFromStockPlans,ProfitLoss,PropertyPlantAndEquipmentNet,PublicUtilitiesInventory,PublicUtilitiesPropertyPlantAndEquipmentAccumulatedDepreciation,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfRelatedPartyDebt,RevenueFromRelatedParties,Revenues,RevenuesNetOfInterestExpense,ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesIssuedInPeriod,SharesIssued,SharesOutstanding,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2017-03-31,2017-05-25,10-Q,Chee Corp.,ECRP,CIK0001696898,USD,,,,,,,,,,,,,,,,,,,,,,,461.0,,-2435.0,,,75000000.0,,4500000.0,,0.001,,,,461.0,,,,,905.0,,,172.0,,,,,,0.0,,,,,6107.0,5339.0,,,,,,,0.0,,,,,,8800.0,,,,,-9100.0,,,,,0.0,,,,,,,,,,,,,,,,,,,-2000.0,-435.0,-768.0,,,,-6107.0,,,,-905.0,,,,,,,,-2000.0,,,,,,,-768.0,,,,,,,5800.0,,,,,,,,4500000.0,
2017-07-31,2017-09-07,10-Q,Chee Corp.,ECRP,CIK0001696898,USD,,,,,,,,,1312.0,370.0,15107.0,10778.0,,,,,,856.0,,,,,,,,,,75000000.0,4520.0,4500000.0,,0.001,,,,870.0,,706.0,,,,1305.0,,,,,,,,0.0,,,7600.0,,3251.0,7930.0,,,4679.0,,,,,599.0,,,,,,,,,,,,,,,,,,,,,,15107.0,,7600.0,8905.0,,,3730.0,,,,,,,,3973.0,3973.0,,,-3251.0,,,,,,1305.0,,,,,,,,,7478.0,,,,0.0,3730.0,2444.0,,,,,8800.0,,,,,6202.0,,,4511522.0,
2017-10-31,2017-12-06,10-Q,Chee Corp.,ECRP,CIK0001696898,USD,,,,2500.0,,,,,-608.0,2092.0,3524.0,12673.0,,16197.0,,,,3399.0,,,,,,,,,93000.0,75000000.0,4613000.0,0.0,,0.001,,,,648.0,,0.0,,,,,,,,,,,,0.0,,,7600.0,,6277.0,3652.0,,,-2625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,16197.0,,10100.0,10100.0,,,,,,,,,,,-2625.0,,,,-6277.0,,,,,,,,,,,,,,,7478.0,,,,-2625.0,3524.0,1796.0,,,,,4300.0,,,,,6097.0,,,4521011.0,
2018-01-31,2018-05-16,10-K,Chee Corp.,ECRP,CIK0001696898,USD,,,,,,,,,-7631.0,22938.0,19713.0,8901.0,,28614.0,,,162.0,162.0,,,162.0,,,,-5785.0,,,75000000.0,5707.0,5707250.0,,0.001,,,,2987.0,,0.0,,,,,,1116.0,,,,,,0.0,,,7600.0,,25651.0,19913.0,-5738.0,,,,-5738.0,,0.0,,,,,,,,,,,-6451.0,-135.0,,,,0.0,,,788.0,,,,28614.0,,7600.0,7600.0,,7600.0,,,,,24145.0,,-18722.0,-11208.0,-5738.0,,,,-25651.0,-5738.0,,,,,,,,-18722.0,24145.0,,,0.0,,7951.0,,,24145.0,-5738.0,19713.0,788.0,,,,,22900.0,,24145.0,,,21014.0,,,4541723.0,
2018-04-30,2018-06-05,10-Q,Chee Corp.,ECRP,CIK0001696898,USD,,,,,,,,,-10292.0,22938.0,18672.0,7281.0,,25953.0,,,1179.0,1179.0,,,,,487.0,,1017.0,,,75000000.0,5707.0,5707250.0,,0.001,,,,487.0,,0.0,,,,,,1041.0,,,,,,0.0,,,7600.0,,9574.0,6913.0,,,-2661.0,,,,0.0,,0.0,,,,0.0,487.0,,,,2150.0,,,,,0.0,,,,,,,25953.0,,7600.0,7600.0,,,,,,,,,0.0,1017.0,-2661.0,-2661.0,,,-9574.0,,,,,,,,,,,,0.0,,,5801.0,,,,-2661.0,18672.0,301.0,,,,,7400.0,,,,,18353.0,,,5707250.0,
2018-07-31,2018-08-20,10-Q,Chee Corp.,ECRP,CIK0001696898,USD,,,,,,,,,-13156.0,22938.0,17630.0,5459.0,,23089.0,,,985.0,985.0,,,,,,,,,,75000000.0,5707.0,5707250.0,,0.001,,1529.0,,1529.0,,0.0,,,,,3300.0,,,,,,,0.0,,,7600.0,,11315.0,8541.0,,,-2864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,23089.0,,7600.0,7600.0,,,,,,,,,,,-2864.0,,,,-11315.0,,,,,,,,,,,,,,,3701.0,,,,-2864.0,17630.0,773.0,,,,,9980.0,,,,,15489.0,,,5707250.0,
2018-10-31,2018-11-26,10-Q,Chee Corp.,ECRP,CIK0001696898,USD,0.0,,,,,,18380.0,,-19767.0,22938.0,16589.0,3189.0,1297.0,19778.0,,,1297.0,1297.0,,,,,,,,,,75000000.0,5707.0,5707250.0,,0.001,5707250.0,,81.0,,,0.0,,,,,,,,,,,,0.0,,,,,7530.0,919.0,,,-6611.0,,,,,,,,,,,,,,,,,,,,,,,,,692.0,,19778.0,,10900.0,10900.0,,10900.0,,,,,,,,,-6611.0,,,,-7530.0,,,,,,,,1200.0,,,,,,,1200.0,,,,-6611.0,16589.0,692.0,,,,,1000.0,,,,,8878.0,,,5707250.0,
2019-01-31,2019-05-07,10-K,Chee Corp.,ECRP,CIK0001696898,USD,0.0,,,0.0,0.0,,,,-24019.0,22938.0,20676.0,5129.0,,15547.0,,,3830.0,3830.0,,,3830.0,3830.0,,,3668.0,,,75000000.0,5707.0,5707250.0,,0.001,5707250.0,,2714.0,,,0.0,,,,,,4166.0,,,,,,0.0,,,16050.0,,40754.0,24366.0,-16388.0,,,,,0.0,0.0,,0.0,0.0,,,,,,,,7651.0,-210.0,,,,0.0,,,999.0,999.0,,,20676.0,4626.0,16050.0,16050.0,,16050.0,,,,,8450.0,0.0,0.0,-4781.0,-16388.0,,,,-40754.0,-16388.0,,,,,,,,0.0,0.0,,,8450.0,,300.0,,0.0,,-16388.0,15547.0,999.0,,,,,27080.0,,,,,4626.0,,,5707250.0,5707250.0
2019-04-30,2019-05-22,10-Q,Chee Corp.,ECRP,CIK0001696898,USD,,,600.0,600.0,,,,,-29797.0,22938.0,14506.0,992.0,,15498.0,,,331.0,331.0,331.0,,,,,,-3499.0,,,75000000.0,5707.0,5707250.0,,,5707250.0,,338.0,,,0.0,,,,,,1041.0,,,,,,0.0,,,,,8840.0,3062.0,,,-5778.0,,,0.0,0.0,,600.0,0.0,,,,338.0,,,338.0,300.0,,,,,0.0,,,661.0,,,661.0,15498.0,-1152.0,16650.0,16650.0,,16050.0,,,,,,0.0,,-3499.0,-5779.0,-5778.0,,,-8840.0,,,,,,,,,,,,,,0.0,0.0,,0.0,,-5778.0,14506.0,,,,,,3400.0,3400.0,,,,-1153.0,,,5707250.0,5707250.0
2019-07-31,2019-09-10,10-Q,Chee Corp.,ECRP,CIK0001696898,USD,1500.0,,,1500.0,,,,7365.0,-35455.0,22938.0,13464.0,776.0,,14240.0,,,115.0,115.0,,115.0,,,,,,,,75000000.0,5707.0,5707250.0,,0.001,5707250.0,0.0,0.0,,,0.0,,,,,,,,,,,,0.0,,,19550.0,,5657.0,0.0,,,-5657.0,,,,,,,,,,,,,,,,,,,,,,,,,,661.0,14240.0,-6810.0,21050.0,21050.0,3500.0,,,,20829.0,,,,,,-5658.0,,,,-5657.0,,,,,,,,,,,,,,0.0,0.0,,,,-5657.0,13464.0,661.0,,,,,0.0,,,,,-6811.0,,,5707250.0,
