end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,Assets,AssetsCurrent,AssetsHeldInTrust,AssetsHeldInTrustNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashFDICInsuredAmount,DebtInstrumentConvertibleThresholdPercentageOfStockPriceTrigger,DerivativeLiabilitiesNoncurrent,DueToRelatedPartiesCurrent,EquityMethodInvestmentOwnershipPercentage,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestAndDebtExpense,InterestExpenseTrustPreferredSecurities,InvestmentIncomeInterest,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MarketableSecuritiesGainLoss,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,OtherAssetsNoncurrent,PaymentsOfStockIssuanceCosts,PaymentsToAcquireTrustPreferredInvestments,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromRelatedPartyDebt,RedeemableNoncontrollingInterestEquityCommonCarryingAmount,RetainedEarningsAccumulatedDeficit,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForServices,TemporaryEquityAccretionToRedemptionValue,TemporaryEquityRedemptionPricePerShare,TemporaryEquitySharesOutstanding,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense
2021-03-31,2021-06-01,10-Q,Khosla Ventures Acquisition Co. III,KVSC,CIK0001846068,USD,514567.0,43338.0,5094605.0,31705310.0,566275430.0,2148059.0,1380371.0,563302226.0,1304417.0,1304417.0,1304417.0,250000.0,1.0,17150000.0,159783.0,0.5,20802.0,-17233302.0,25000.0,607305.0,844791.0,1668787.0,844792.0,47887500.0,100000.0,0.0,37633266.0,566275430.0,767688.0,,565763927.0,-563302226.0,-1157284.0,-17233302.0,-95802.0,825145.0,31300.0,563302226.0,0.0001,1000000.0,0.0,0.0,0.0,843642.0,,551312494.0,14266050.0,160383.0,563302226.0,-34660705.0,-34660062.0,0.0,2253221.0,10.0,56330222.0,0.0,0.0
2021-06-30,2021-10-07,10-Q,Khosla Ventures Acquisition Co. III,KVSC,CIK0001846068,USD,50478.0,,0.0,,565326874.0,1401274.0,1245496.0,563310786.0,557632.0,557632.0,,250000.0,,21200000.0,5300.0,0.5,295206.0,-4386646.0,,,,,,,,,41071356.0,565326874.0,155778.0,8560.0,,,,-4386646.0,-345206.0,614814.0,,,0.0001,1000000.0,0.0,0.0,0.0,843642.0,,,,,,-39047351.0,-39046708.0,,5069727.0,10.0,56330222.0,0.0,
2021-09-30,2021-11-05,10-Q,Khosla Ventures Acquisition Co. III,KVSC,CIK0001846068,USD,58254.0,60144.0,0.0,,565051348.0,1329736.0,1056038.0,563319440.0,486094.0,486094.0,,250000.0,,11300000.0,5300.0,0.5,352100.0,9506554.0,,,,,,,,,31289276.0,565051348.0,273698.0,8654.0,,,,9506554.0,-402100.0,402172.0,,,0.0001,1000000.0,0.0,0.0,0.0,843642.0,,,,,,-29558011.0,-29557368.0,,17214.0,10.0,56330222.0,0.0,
