end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AllocatedShareBasedCompensationExpense,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCostsAndDiscounts,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockDividendsShares,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ConversionOfStockSharesIssued1,CostsAndExpenses,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentFairValue,DebtInstrumentInterestRateDuringPeriod,EarningsPerShareBasicAndDiluted,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseDebt,InterestExpenseOther,InterestPaid,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NotesIssued1,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherExpenses,OtherNonoperatingIncomeExpense,PaymentsOfFinancingCosts,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PreferredStockValueOutstanding,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromShortTermDebt,ProfessionalFees,ProfitLoss,ReceivableWithImputedInterestDiscount,ReclassificationsOfTemporaryToPermanentEquity,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,Revenues,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableWeightedAverageExercisePrice,SharesOutstanding,ShortTermBorrowings,ShortTermDebtPercentageBearingFixedInterestRate,ShortTermNonBankLoansAndNotesPayable,ShorttermDebtMaximumMonthendOutstandingAmount,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,StockIssuedDuringPeriodValueShareBasedCompensationGross,StockIssuedDuringPeriodValueStockOptionsExercised,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,ImpairmentOfIntangibleAssetsExcludingGoodwill,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOwnedAccumulatedDepreciation
2017-10-31,2017-12-08,10-Q,"BAKHU HOLDINGS, CORP.",BKUH,CIK0001440153,USD,,129908.0,1952.0,2000.0,,,,890.0,7886.0,,7886.0,7886.0,7788.0,,,,,0.001,150000000.0,45000000.0,45000000.0,45000.0,,,,,,,,,-624.0,,-81361.0,0.0,,,,63643.0,375.0,,,,1265.0,,,,,,7886.0,176579.0,24241.0,,-16453.0,,-81361.0,,,,35890.0,,,80096.0,-80096.0,215693.0,,,,,,,,,,,,,25000.0,,-759.0,80720.0,,,,,-215693.0,,,,,,,,,8829.0,0.15,,,-168693.0,,,,,,,,,,,45000000.0,,,,
2018-01-31,2018-03-07,10-Q,"BAKHU HOLDINGS, CORP.",BKUH,CIK0001440153,USD,,151568.0,2327.0,46740.0,,,,,1026.0,,1026.0,1026.0,,,,,,0.001,150000000.0,260037.0,260037.0,260.0,,,28520.0,,,,,,2350.0,,-35145.0,-0.14,0.0,,,,,,,,6625.0,,,,,,1026.0,204864.0,,,,,-35145.0,,,,42140.0,,,28520.0,-28520.0,250838.0,,-6625.0,,,,,,,,,,,,,,26170.0,,,,,-250838.0,,2350.0,,,,,,,8829.0,0.15,,,-208838.0,,,,,,,,,,,260037.0,,,,
2018-04-30,2018-05-31,10-Q,"BAKHU HOLDINGS, CORP.",BKUH,CIK0001440153,USD,,239886.0,2702.0,46740.0,,,,,243.0,,243.0,243.0,,,,,,0.001,150000000.0,260037.0,260037.0,260.0,,,93101.0,,,,,,2166.0,,-99726.0,-0.38,0.0,,,,,,,,6625.0,,,,,,1026.0,303807.0,,,,,-99726.0,,,60000.0,48390.0,,,93101.0,-93101.0,350564.0,,-6625.0,,,,,,,,,,,,,,90935.0,,,,,-350564.0,,2166.0,,,,,,,12829.0,0.15,,,-303564.0,,,,,,,,,,,260037.0,,,,
2018-07-31,2018-12-06,10-K,"BAKHU HOLDINGS, CORP.",BKUH,CIK0001440153,USD,,13000.0,,3884787.0,,,,,13138.0,13138.0,,13138.0,13040.0,13138.0,,,,0.001,150000000.0,71938184.0,71938184.0,,71938.0,,3802783.0,,,0.0,,,,,-3831786.0,-0.41,0.0,0.0,,-9246.0,-875.0,,,,29003.0,,,0.0,702.0,22531.0,13138.0,22531.0,324241.0,0.0,-311201.0,,-3831786.0,,,,,,,,-3802783.0,,,-29003.0,1137.0,0.001,50000000.0,0.0,0.0,,0.0,,,335000.0,25000.0,-35000.0,378.0,257672.0,-3831786.0,0.0,-87332.0,,-3966118.0,0.0,14405.0,3530706.0,,,,,,,,8829.0,,-9393.0,44019.0,3530706.0,,,,,,,,,9253913.0,,,,
2018-10-31,2018-12-21,10-Q,"BAKHU HOLDINGS, CORP.",BKUH,CIK0001440153,USD,,,,,,52650.0,,,,,,0.0,-13138.0,,,,,,,,,,,,122002.0,,,,,,,,-122336.0,0.0,0.0,0.0,,-13000.0,335.0,,,,334.0,,,0.0,,,,,121863.0,0.0,-135001.0,,-122336.0,-122336.0,,,,,,,-122002.0,,,-334.0,,,,,,,,,,,0.0,,121863.0,30505.0,,,,,,,38847.0,,,,,,,,,,,-131729.0,,,,,,,,0.0,,,71938184.0,,,,
2019-01-31,2019-03-25,10-Q,"BAKHU HOLDINGS, CORP.",BKUH,CIK0001440153,USD,,0.0,,3884787.0,,0.0,,,0.0,0.0,,0.0,,,,,,0.001,500000000.0,71938184.0,71938184.0,,71938.0,,0.0,,,0.0,,,,,-334.0,0.0,0.0,,,,,,,,334.0,,,,1371.0,132063.0,0.0,132063.0,,,,,-334.0,-334.0,,,,,,,0.0,428000.0,,-334.0,,0.001,50000000.0,4.0,4.0,,0.0,,,,,,,0.0,,0.0,,,-4088788.0,,0.0,,,,,,,,,130692.0,,-132063.0,,,,,,,,,,,71938184.0,,,,
2019-04-30,2019-06-14,10-Q,"BAKHU HOLDINGS, CORP.",BKUH,CIK0001440153,USD,,2855.0,,14177986.0,10500000.0,10509175.0,,,4208.0,4208.0,,4208.0,,,,,7000000.0,0.001,500000000.0,288938184.0,288938184.0,,288938.0,210000000.0,10510020.0,,,,,,,,-10510020.0,-0.04,0.0,,,,,1370.0,,,0.0,,,,0.0,136118.0,4208.0,136118.0,,,,,-10510020.0,-10510020.0,,,,,,,-10510020.0,428000.0,,0.0,,0.001,50000000.0,4.0,4.0,,0.0,,,,,,,0.0,,,,,-14598834.0,,845.0,,,,,,,,,133263.0,,-131910.0,,,,10199.0,,,,,,,250713465.0,,,,
2019-07-31,2019-11-13,10-K,"BAKHU HOLDINGS, CORP.",BKUH,CIK0001440153,USD,,5208.0,,14177986.0,,,,,1633.0,1633.0,,1633.0,-11505.0,1633.0,,,,0.001,500000000.0,288938184.0,288938184.0,,288938.0,,10651226.0,,,0.0,0.1,,,,-10651894.0,-0.06,0.0,0.0,,-7792.0,668.0,,25000.0,,668.0,20360.0,,0.0,0.0,152721.0,1633.0,152721.0,147513.0,0.0,-159018.0,,-10651894.0,,0.0,,,0.0,0.0,,-10651226.0,428000.0,,-668.0,0.0,0.001,50000000.0,4.0,4.0,0.0,0.0,,,0.0,0.0,0.0,147513.0,51581.0,-10651894.0,0.0,-9393.0,0.0,-14618012.0,0.0,40619.0,10500000.0,,,,,151088.0,,,147513.0,,-151088.0,0.0,10500000.0,10199.0,,10199.0,3530706.0,,,0.0,,170225855.0,,,,
2019-10-31,2019-12-23,10-Q,"BAKHU HOLDINGS, CORP.",BKUH,CIK0001440153,USD,,0.0,,14177986.0,,2671.0,,,3618.0,3618.0,,3618.0,1985.0,,,,,0.001,500000000.0,288938184.0,288938184.0,,288938.0,,32307.0,,,0.0,,0.0,973.0,-34732.0,-34732.0,0.0,0.0,0.0,0.0,-5208.0,2425.0,0.0,,,2425.0,20360.0,,0.0,2425.0,189438.0,3618.0,189438.0,39500.0,0.0,-37515.0,-37515.0,-34732.0,-34732.0,,,,,187013.0,32307.0,-32307.0,428000.0,2671.0,-2425.0,,0.001,50000000.0,4.0,4.0,,0.0,,39500.0,,39500.0,,0.0,28663.0,,0.0,,,-14652744.0,0.0,973.0,0.0,,,,,,,,0.0,,-185820.0,,,,,,,,0.0,,,288938184.0,,,,
2020-01-31,2020-03-16,10-Q,"BAKHU HOLDINGS, CORP.",BKUH,CIK0001440153,USD,,25265.0,,14177986.0,,3414.0,,,1445.0,1445.0,,1445.0,,,,,,0.001,500000000.0,288938184.0,288938184.0,,288938.0,,70438.0,,,,,0.0,13652.0,-73481.0,-73481.0,0.0,0.0,,,,,,,,3043.0,,,,5468.0,260746.0,1445.0,260746.0,,,,,-73481.0,-73481.0,,,,,230013.0,70438.0,-70438.0,428000.0,3414.0,-3043.0,,0.001,50000000.0,4.0,4.0,,0.0,,,,,,,53372.0,,,,,-14726225.0,0.0,13652.0,,,,,,,,,0.0,,-259301.0,,,,,,,,,,,288938184.0,,,,
