end,filed,form,Name,Ticker,CIK,Currency,AccountsAndOtherReceivablesNetCurrent,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesAndOtherLiabilities,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AmortizationOfIntangibleAssets,AssetImpairmentCharges,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ConstructionInProgressGross,CostOfGoodsSold,CostOfRevenue,CustomerAdvancesAndDeposits,DeferredIncomeTaxAssetsNet,DeferredRevenueAndCreditsCurrent,Depreciation,DepreciationAmortizationAndAccretionNet,DepreciationAndAmortization,DueFromRelatedParties,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationTaxCredits,EffectOfExchangeRateOnCashAndCashEquivalents,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,ForeignCurrencyTransactionGainBeforeTax,ForeignCurrencyTransactionGainLossBeforeTax,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseOther,InterestIncomeExpenseNet,InterestIncomeOther,InterestPaid,InterestPaidNet,InventoryFinishedGoods,InventoryNet,InventoryRawMaterials,InventoryRawMaterialsAndSupplies,InventoryWorkInProcessNetOfReserves,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MinorityInterest,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoncontrollingInterestInVariableInterestEntity,NonoperatingIncomeExpense,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OtherAssetImpairmentCharges,OtherAssetsNoncurrent,OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,OtherExpenses,OtherIncome,OtherIndefiniteLivedIntangibleAssets,OtherNonoperatingExpense,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherNonrecurringIncomeExpense,OtherNotesPayableCurrent,OtherReceivablesNetCurrent,PaymentsForDeposits,PaymentsForSoftware,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,PrepaidExpenseNoncurrent,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromInterestReceived,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOtherNet,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,SalesRevenueNet,SellingAndMarketingExpense,ShortTermBankLoansAndNotesPayable,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,TaxesPayableCurrent,TemporaryEquityForeignCurrencyTranslationAdjustments,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2017-03-31,2017-05-08,10-Q,ADVECO GROUP INC.,ADVV,CIK0001698519,USD,,,12000.0,,,,,,,,,,,,27720.0,,2520.0,1771.0,,,,75000000.0,5000000.0,5000000.0,5000.0,,,7000.0,7000.0,,,,,,,,,,13767.0,,0.0,,,,,,,,,1029.0,3000.0,1971.0,,12000.0,,,,,,1000.0,1000.0,,,,,,,,,,,,25767.0,27720.0,,,12000.0,-25200.0,14971.0,1971.0,,,,1029.0,1971.0,,1200.0,,,,,,,,1029.0,,,,-1200.0,,24000.0,,,,,12000.0,,,12000.0,,1971.0,24000.0,,,-3047.0,10000.0,10000.0,10000.0,,,,1953.0,,,,,,,,5000000.0,5000000.0
2017-06-30,2017-08-11,10-Q,ADVECO GROUP INC.,ADVV,CIK0001698519,USD,,,8000.0,,,,,,,,28597.0,,,,74295.0,,49595.0,,,,,75000000.0,6505000.0,6505000.0,6505.0,,,6670.0,6670.0,,,9927.0,,,,,,,13767.0,,0.0,,,,,,,,,1882.0,12427.0,10545.0,,,,,,,,,,,,,,,,,,,,,31694.0,74295.0,,,,,,10545.0,,,,1882.0,10545.0,,1100.0,,,,,,,,1882.0,,,,,,,,200.0,,,,,,,,,23400.0,,,7499.0,19097.0,19097.0,19097.0,,,,42601.0,,,,,,,,5748763.0,5748763.0
2017-09-30,2017-11-14,10-Q,ADVECO GROUP INC.,ADVV,CIK0001698519,USD,,,4100.0,,,,,,,,28597.0,,,,47531.0,,22531.0,,,,,75000000.0,6505000.0,6505000.0,6505.0,,,8220.0,8220.0,,,,,,,,,,13767.0,,0.0,,,,,,,,,23644.0,10708.0,-12936.0,,,,,,,,,,,,,,,,,,,,,17867.0,47531.0,,,,,,-12936.0,,,,23644.0,-12936.0,,1000.0,,,,,,,,23644.0,,,,,,,,1200.0,,,,,,,,,22800.0,,,-5438.0,18928.0,18928.0,,,,,29664.0,,,,,,,,6505100.0,6505100.0
2017-12-31,2018-04-23,10-K,ADVECO GROUP INC.,ADVV,CIK0001698519,USD,436152.0,4000.0,,521396.0,,2437.0,,115139.0,31224.0,2869890.0,,67574.0,67574.0,590.0,8951377.0,2104812.0,155244.0,121296.0,155244.0,,0.001,2000000000.0,434073648.0,434073648.0,434074.0,-6379759.0,3568666.0,,1074872.0,28828.0,,,47617.0,2100.0,,,798780.0,13095790.0,,-0.01,-0.01,-0.01,,-577.0,-87293.0,2588387.0,2501094.0,,,5310777.0,-693816.0,-6410983.0,997422.0,4000.0,,,-106520.0,,,,1000.0,103948.0,103948.0,859.0,,,103948.0,412227.0,589868.0,17995.0,46006.0,113640.0,14816958.0,8951377.0,14816958.0,-10719.0,7066294.0,-2900855.0,-4044143.0,-6410983.0,,,4000.0,5555677.0,-6249493.0,23100.0,,-31224.0,,,4440.0,97228.0,38827.0,-161490.0,,429645.0,,4573.0,,4662.0,2891620.0,83690.0,,,126704.0,,,30102.0,728466.0,-1197348.0,,887504.0,772365.0,,-9190050.0,381056.0,,48025.0,244900.0,728466.0,-5865581.0,-5865581.0,,1505100.0,,30102.0,8833.0,31224.0,6505100.0,434073648.0,6505100.0
2018-03-31,2018-05-15,10-Q,ADVECO GROUP INC.,ADVV,CIK0001698519,USD,,4676.0,,,,,,,,28597.0,,16755.0,,,,,40479.0,-116014.0,,,0.001,75000000.0,6505100.0,6505100.0,6505.0,-761595.0,,,62527.0,,,,38788.0,,,,,26143.0,,,0.0,,,1249.0,,,,,,553921.0,22069.0,-607000.0,398563.0,676.0,,,-110151.0,,,,,,6373.0,8.0,,,6373.0,,,,,,30819.0,,30819.0,,780217.0,-494157.0,-402074.0,-607000.0,,,,621386.0,-599317.0,,,154595.0,,,,1461.0,143.0,-7683.0,,,,,,,494157.0,,,,,,,,22639.0,-223746.0,,,,,-65921.0,84596.0,,,67465.0,,-30819.0,-6349211.0,,,,,,,,6505000.0,
2018-06-30,2018-08-14,10-Q,ADVECO GROUP INC.,ADVV,CIK0001698519,USD,,4603.0,,,,,,285818.0,,28597.0,,,,,,,9593.0,,,,0.001,75000000.0,6505100.0,6505100.0,6505.0,-1715404.0,,,100878.0,,,,,,,,,55659.0,,,0.0,,,,-151144.0,2564970.0,2413826.0,123376.0,,1765049.0,49023.0,-28443.0,,,,,,,,,,7605.0,,,17.0,,,,,,,,60262.0,,60262.0,,,,,-1838780.0,,,,1881991.0,-1832968.0,,,,1461.0,315.0,,,,-5812.0,,,,,,,,,,,,,,,,,,1181091.0,895273.0,,-95364.0,149901.0,,,116942.0,,-5865581.0,,,,,,,,,434073648.0,
2018-09-30,2018-11-19,10-Q,ADVECO GROUP INC.,ADVV,CIK0001698519,USD,,5402.0,,,,,,285818.0,,28597.0,,,,,,,,,15902.0,,0.001,7500000.0,6505100.0,6505100.0,6505.0,-652176.0,,,492054.0,,,,,,,,,56568.0,,,0.0,,,,-151144.0,2564970.0,2413826.0,311899.0,,698643.0,91691.0,-1659.0,,,,,,,,,,-24210.0,,,1.0,,,,,,,,61970.0,,61970.0,,,,,-964075.0,,-186755.0,,844812.0,-753121.0,,,,,10.0,,,,-210954.0,,,,,,,,,,,,,,,,,,1181091.0,895273.0,,-97072.0,583745.0,,,146169.0,,-8994756.0,,,,,,,,,434073648.0,
2018-12-31,2019-04-16,10-K,ADVECO GROUP INC.,ADVV,CIK0001698519,USD,11274.0,116535.0,,943756.0,127614.0,5991.0,116535.0,285818.0,255629.0,2869890.0,,67965.0,67965.0,,9451831.0,1127648.0,33340.0,-123263.0,33340.0,0.001,434074.0,2000000000.0,434073648.0,434073648.0,434074.0,-3241392.0,5010721.0,,1462639.0,24905.0,0.0,,179525.0,,,76460.0,76460.0,17034755.0,,,-0.01,,,1359.0,-151144.0,2564970.0,2413826.0,,,3173088.0,193313.0,-3465797.0,430032.0,,,,-121642.0,,,,,42916.0,42916.0,2.0,,,42916.0,415379.0,696570.0,17092.0,87578.0,176521.0,18558803.0,9451831.0,18558803.0,-18038.0,4592023.0,-1907966.0,-2807320.0,-3465797.0,-18038.0,,,3627000.0,-3433687.0,,,-224405.0,,,4363.0,12946.0,23750.0,-32110.0,,127614.0,11274.0,,,22677.0,1885289.0,160602.0,,,,,,,261763.0,-733704.0,,1181091.0,895273.0,895273.0,-12648527.0,1655952.0,,,453912.0,261763.0,-9106972.0,-9106972.0,,,,,49475.0,224405.0,,434073648.0,
2019-03-31,2019-05-15,10-Q,ADVECO GROUP INC.,ADVV,CIK0001698519,USD,74541.0,69465.0,,1010586.0,,29114.0,,350595.0,33767.0,2869890.0,,16979.0,,,10705949.0,2000353.0,61553.0,27294.0,,,0.001,2000000000.0,434073648.0,434073648.0,434074.0,-1130481.0,5330641.0,,260912.0,495611.0,0.0,,57418.0,,,,64243.0,18994156.0,,,,,,919.0,-171941.0,2631248.0,2459307.0,,,739917.0,81968.0,-908619.0,-85492.0,,,,-195467.0,,,,,,4069.0,,,,4069.0,,910282.0,,,,20943402.0,10705949.0,20943402.0,-18837.0,1490843.0,-249755.0,-1213794.0,-908619.0,,,,996996.0,-915028.0,,,221862.0,,,14439.0,,10478.0,6409.0,,107700.0,,,,12981.0,236774.0,174727.0,,,,,,,,-59275.0,,1251804.0,901209.0,,-13556347.0,342880.0,,,257079.0,208610.0,-10237453.0,-10237453.0,,,,,57274.0,,,,
2019-06-30,2019-08-16,10-Q,ADVECO GROUP INC.,ADVV,CIK0001698519,USD,,,,1297977.0,112730.0,28792.0,40487.0,367961.0,266526.0,2869890.0,,,,,10058936.0,2187505.0,26705.0,,,,0.001,2000000000.0,434073648.0,434073648.0,434074.0,-1067601.0,4762260.0,,621984.0,29958.0,0.0,,,,,,171391.0,19640457.0,,,0.0,,,,-184978.0,2574644.0,2389666.0,232759.0,,1310488.0,26000.0,,,,,,,,,,,2916.0,,,2.0,,,,1017749.0,,,,21363990.0,10058936.0,21363990.0,,,,,-1300360.0,-20681.0,,,1529833.0,-1503833.0,,,,2282.0,204851.0,11916.0,,,204210.0,,,24556.0,,,,,186230.0,,,,,,,,,,10755501.0,707589.0,707589.0,-14854863.0,647247.0,,,219345.0,174786.0,-11305054.0,,,,,,67595.0,,,434073648.0,
