end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableInterestBearingInterestRate,AccruedBonusesCurrentAndNoncurrent,AccruedProfessionalFeesCurrentAndNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentForAmortization,AmortizationOfDebtDiscountPremium,AmortizationOfLeasedAsset,Assets,AssetsCurrent,Cash,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockOtherValueOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConcentrationRiskPercentage1,ConstructionInProgressGross,ConvertibleLongTermNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsSold,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtCurrent,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentInterestRateIncreaseDecrease,DebtInstrumentPeriodicPaymentInterest,DeferredRevenue,DeferredRevenueCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositAssets,DepositAssetsOrLiabilitiesAmortizationExpenseFromExpirations,DepositsAssets,Depreciation,DepreciationAndAmortization,DerivativeGainLossOnDerivativeNet,DerivativeLiabilities,DerivativeLiabilitiesCurrent,DevelopmentCosts,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromOfficersOrStockholders,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,FairValueAssumptionsExpectedDividendRate,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsNet,ForeignCurrencyTransactionGainBeforeTax,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentChargeOnReclassifiedAssets,ImpairmentOfIntangibleAssetsFinitelived,ImpairmentOfLongLivedAssetsToBeDisposedOf,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDeposits,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InventoryFinishedGoods,InventoryGross,InventoryNet,InventoryRawMaterialsAndPurchasedPartsNetOfReserves,InventoryWriteDown,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesPayableRelatedPartiesNoncurrent,NotesReceivableGross,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherExpenses,OtherIncome,OtherNonoperatingIncome,OtherNotesPayableCurrent,PaymentsForConstructionInProcess,PaymentsToAcquireAndDevelopRealEstate,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquireReceivables,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValueOutstanding,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromNotesPayable,ProceedsFromOtherDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RelatedPartyTransactionRate,RepaymentsOfConvertibleDebt,RepaymentsOfDebt,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShortTermBorrowings,ShortTermDebtPercentageBearingFixedInterestRate,SponsorFees,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,SubordinatedBorrowingInterestRate,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2012-01-31,2012-03-29,10-Q,"BRK, INC.",MNIZ,CIK0001532926,USD,,2500.0,,,,,3900.0,,,,26544.0,6354.0,5654.0,,,,0.001,100000000.0,4099920.0,4099920.0,4100.0,,20190.0,30275.0,44814.0,,,,22590.0,,,,,,,,,,,,,,,,,,81635.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100179.0,26544.0,69904.0,,,,,-14606.0,,,,,,,-14606.0,,,,,,,,,,0.001,1000000.0,0.0,,0.0,700.0,,,,,,,,,,,,,,,,,,,,,14606.0,,,,,,-73635.0,,,,,,,,
2012-04-30,2012-07-31,10-K,"BRK, INC.",MNIZ,CIK0001532926,USD,,7392.0,,,,,12084.0,,,,42534.0,18644.0,15594.0,,15157.0,36200.0,0.001,100000000.0,4165920.0,4165920.0,4166.0,,,,68000.0,,,8000.0,36200.0,,,,,,37365.0,,-37365.0,,,,,,,,,,106757.0,,,,,,-0.02,,,,,,,80622.0,,,,,7392.0,,,,,5930.0,,5930.0,18000.0,3192.0,,,,,,,,,133041.0,42534.0,133041.0,23890.0,82880.0,-3700.0,-64023.0,-80537.0,,,,,,,-80622.0,,,85.0,85.0,,3700.0,,,,0.001,1000000.0,0.0,,0.0,3050.0,30000.0,,,36200.0,,,,18000.0,,,23890.0,,30000.0,,,9570.0,,,,,80622.0,,,,,,-90507.0,8250.0,,,,,,,
2012-07-31,2012-09-04,10-Q,"BRK, INC.",MNIZ,CIK0001532926,USD,,18607.0,,,,,12084.0,,,,30059.0,7486.0,41.0,,-15553.0,,0.001,100000000.0,4165920.0,4165920.0,4166.0,,,,68000.0,,,,39200.0,0.005,,,,,,,,4030.0,-4030.0,,1317.0,1317.0,,,,,150772.0,,,,25530.0,,-0.01,,,,,,,,,,,,11215.0,,,,,,,-4030.0,,-365.0,,,,,,,,,,30059.0,164581.0,,20100.0,,-35653.0,-44015.0,,,7089.0,,,,-44015.0,,,,,,,,,,0.001,1000000.0,,,,3415.0,,,,,,,,,,,,,,,1000.0,180.0,150772.0,,,,42698.0,,,,,,-134522.0,,,,,0.0,,,
2012-10-31,2012-12-07,10-Q,"BRK, INC.",MNIZ,CIK0001532926,USD,,10769.0,,,,,29742.0,,,,30657.0,9401.0,4671.0,,,,0.001,100000000.0,4308320.0,4308320.0,4308.0,,,,68000.0,,,,41200.0,0.005,,,,,,,,4730.0,,,,1317.0,,,,,165476.0,,,,25870.0,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30657.0,162083.0,,,,,-14704.0,,,7089.0,,,,-14704.0,,,,,,,,,,0.001,1000000.0,,,,,,,,,,,,,,,21256.0,,,,,,165476.0,,157.0,,13544.0,,,,,,-131426.0,,,,,,,4285947.0,
2013-01-31,2013-03-04,10-Q,"BRK, INC.",MNIZ,CIK0001532926,USD,,9828.0,,,,,29742.0,,,,36762.0,16823.0,12093.0,,,,0.001,100000000.0,4308320.0,4308320.0,4308.0,,,,68000.0,,,,51220.0,0.005,,,,,,,,4730.0,,,,1317.0,,,,,170170.0,,,,27590.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36762.0,172882.0,,,,,-4694.0,,,7089.0,,,,-4694.0,,,,,,,,,,0.001,1000000.0,0.0,,0.0,,,,,,,,,,,,19939.0,,,,,,170170.0,,48.0,,3425.0,,,,,,-136120.0,,,,,,,,
2013-04-30,2013-08-13,10-K,"BRK, INC.",MNIZ,CIK0001532926,USD,,10143.0,,,15105.0,5268.0,29742.0,,,,27554.0,8932.0,4202.0,4202.0,-11392.0,,0.001,100000000.0,4308320.0,4308320.0,4308.0,,,,68000.0,,,,51220.0,0.005,,,,,65406.0,186872.0,65406.0,4730.0,,4730.0,5268.0,5268.0,,,,,186873.0,,,,28820.0,,-0.02,,,,,,,75053.0,,,,,2751.0,,,,,,,-4030.0,21760.0,-2350.0,,,4030.0,4030.0,4030.0,,,,180377.0,27554.0,180377.0,23890.0,53210.0,,-64602.0,-80116.0,,,7089.0,,,,-80321.0,,-205.0,,205.0,,,,,,0.001,1000000.0,0.0,0.0,0.0,700.0,,,,16020.0,,,,21760.0,,,18622.0,,,,1000.0,1370.0,-186873.0,,,,75053.0,,,,,10815.0,-152823.0,17800.0,,,,0.0,,,
2013-07-31,2013-08-30,10-Q,"BRK, INC.",MNIZ,CIK0001532926,USD,,9189.0,,,,,29742.0,,,,26357.0,9052.0,4322.0,,120.0,,0.001,100000000.0,4308320.0,4308320.0,4308.0,,,,68000.0,,,,61200.0,,,,,,,,,,,,1317.0,1317.0,,,,,208646.0,,,,38759.0,,-0.01,,,,,,,,,,,,-954.0,,,,,,,,,,,,,,4030.0,,,,,26357.0,200953.0,,12850.0,,-12730.0,-21773.0,,,,,,1700.0,-21773.0,,,,,,,,,,0.001,1000000.0,0.0,0.0,,700.0,,,,,,,10000.0,2850.0,,,17305.0,,,,,,208646.0,,,,20456.0,,,,,,-174596.0,,,,,,,4308320.0,
2013-10-31,2013-12-06,10-Q,"BRK, INC.",MNIZ,CIK0001532926,USD,,11167.0,,,,,29742.0,,,,24062.0,8074.0,3344.0,,,,0.001,100000000.0,4308320.0,4308320.0,4308.0,,,,68000.0,,,,69700.0,,,,,,,,,,,4730.0,1317.0,1317.0,,,,,226819.0,,,,38779.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24062.0,216831.0,,,,,-18173.0,,,,,,,-18173.0,,,,,,,,,,0.001,1000000.0,0.0,0.0,,,,,,,,,,,,,15988.0,,,,,,226819.0,,,,16856.0,,,,,,-192769.0,,,,,,,4308320.0,
2014-01-31,2014-03-11,10-Q,"BRK, INC.",MNIZ,CIK0001532926,USD,,8179.0,,,,,29742.0,,,,22649.0,8678.0,3862.0,,,,0.001,100000000.0,4308320.0,4308320.0,4308.0,,,,68000.0,,,,69400.0,,,,,,,,,4116.0,,,1317.0,1317.0,,,,,240444.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22649.0,229043.0,,,,,-15581.0,,,,,,,-15581.0,,,,,,,,,,0.001,1000000.0,0.0,0.0,,,,,,,,,,,,,14671.0,,,,,,240444.0,,,,14264.0,,,,,,-206394.0,,,,,,,4308320.0,
2014-04-30,2014-07-23,10-K,"BRK, INC.",MNIZ,CIK0001532926,USD,,8546.0,,43485.0,,10536.0,29742.0,,,,24358.0,11004.0,10196.0,10196.0,5994.0,,0.001,100000000.0,4308320.0,4308320.0,4308.0,1.0,,,78000.0,3220.0,3220.0,,79400.0,0.005,,,,,92716.0,264902.0,-92716.0,,,,5268.0,5268.0,,,,,,,,38690.0,38690.0,,-0.02,,,,,,,,3780.0,,,,2103.0,,,,,,28380.0,3222.0,9870.0,700.0,,,,808.0,,,,,255210.0,24358.0,255210.0,23890.0,44350.0,,-38356.0,-78029.0,,,7089.0,,,,-78029.0,,,,,78000.0,,,,,0.001,1000000.0,0.0,0.0,,,10000.0,,28200.0,24480.0,9870.0,24480.0,,9870.0,,23890.0,13354.0,,,,,,-264902.0,,7000.0,7000.0,76541.0,,,,,,-230852.0,,,,,0.0,,4308320.0,
