end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockSharesSubscriptions,CommonStockValue,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtConversionOriginalDebtAmount1,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsPropertyPlantAndEquipment,DeferredTaxAssetsValuationAllowance,Depreciation,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectOfExchangeRateOnCashAndCashEquivalents,ExplorationExpense,ExplorationExpenseMining,ExtinguishmentOfDebtAmount,ExtinguishmentOfDebtAmount,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossRealized,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,ImpairmentOfOngoingProject,IncomeTaxExaminationPenaltiesAndInterestExpense,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReceivable,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherAdjustments,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInIncomeTaxesReceivable,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInReceivables,InterestIncomeExpenseNet,InterestPaid,InterestPaidNet,InterestReceivableCurrent,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansAndLeasesReceivableRelatedParties,LoansPayableCurrent,MineralPropertiesNet,MineralRights,MineralRights,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherLiabilitiesCurrent,OtherNonoperatingIncomeExpense,OtherReceivablesNetCurrent,PaymentsOfStockIssuanceCosts,PaymentsToAcquireMineralRights,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToFundLongtermLoansToRelatedParties,PrepaidExpenseCurrent,ProceedsFromBankDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromOtherDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfShortTermDebt,ProceedsFromShortTermDebt,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,ReceivablesNetCurrent,RepaymentsOfOtherDebt,RepaymentsOfRelatedPartyDebt,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedGoodsAndNonemployeeServicesTransactionStockholdersEquity,ShortTermBankLoansAndNotesPayable,ShortTermBorrowings,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,ValueAddedTaxReceivableCurrent,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccountsPayableRelatedPartiesCurrent
2017-05-31,2017-10-05,10-K,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,205436.0,,,4882331.0,,,1780.0,,47.0,-2547.0,,,,0.001,500000000.0,346520993.0,346520993.0,17000000.0,36000.0,26798.0,346521.0,,,,,1711438.0,0.0,1225771.0,485667.0,1711438.0,,,15950.0,0.0,0.34,22868.0,,0.0,31000.0,23086.0,-22868.0,1548.0,3617.0,286164.0,,0.0,0.0,0.0,,100783.0,-100783.0,,130682.0,-4401.0,,0.0,-4401.0,,0.0,-10000.0,0.0,,0.0,,,570.0,7000.0,280409.0,1780.0,,0.0,,,,,112535.0,0.0,-115082.0,-296422.0,-10258.0,286164.0,-286164.0,,,,,1733.0,,,,0.0,0.0,,63369.0,,26798.0,7120.0,15248.0,,,,15993.0,,,,,-5534279.0,,,,,,,0.0,59023.0,-278629.0,,,7200000.0,,63369.0,,,337244829.0,
2017-08-31,2018-01-23,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,245018.0,,,4882331.0,,,1868.0,,76.0,29.0,,,,0.001,500000000.0,346520993.0,346520993.0,,,30501.0,346521.0,,,,,,,,,,,,15433.0,0.0,,12602.0,,222.0,,,,-12602.0,,51179.0,,,,0.0,,,,,39582.0,21860.0,,0.0,16558.0,0.0,59.0,0.0,,,0.0,,,0.0,,340575.0,1868.0,,,,,,,2427.0,,-2398.0,-63781.0,-12602.0,51179.0,-51179.0,,,,,1792.0,,,,,,0.0,,,3703.0,718.0,,,0.0,,,,1994.0,1276.0,,-5598060.0,,,,,,,,80124.0,-338707.0,,,,,,,,346520993.0,
2017-11-30,2018-02-08,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,235012.0,,,4882331.0,,,3562.0,,0.0,,,,,0.001,500000000.0,346520993.0,346520993.0,,,47463.0,346521.0,,,,,,,,,,,,50469.0,0.0,,,,0.0,,,,5337.0,0.0,49573.0,,,,,,,,,,,,,,,,,,,,,,0.0,,369543.0,3562.0,,,,,,,,,,-44236.0,,49573.0,-49573.0,,,,,3562.0,,,,,,,,,,,,,,,,,,,,-5642296.0,,,,,,,9.0,84053.0,-365981.0,,,,,,,,346520993.0,
2018-02-28,2018-04-20,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,182539.0,,,5107414.0,,,36611.0,,29303.0,,,,,0.001,500000000.0,420420993.0,420420993.0,,,45708.0,420421.0,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,-5521.0,-38.0,102156.0,,,,,,,,,,,,,,,,,,,,,,0.0,,213079.0,36611.0,,,,,,,,,,-107715.0,,102156.0,-102156.0,,,,,7308.0,,,,,,,,,,,,,,,0.0,,,,,-5750011.0,,,,,,,,30540.0,-176468.0,,,,,-1.0,,,358016549.0,
2018-05-31,2018-10-01,10-K,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,171812.0,,,5105472.0,,,21094.0,,18982.0,18935.0,,,,0.001,500000000.0,477270993.0,477270993.0,,,66328.0,432021.0,,,,,1108859.0,0.0,808888.0,299971.0,1108859.0,,,0.0,0.0,0.21,,,,,,-13095.0,-13095.0,37043.0,268594.0,,1991.0,0.0,0.0,,51794.0,-51794.0,,76094.0,-11260.0,,,,,434.0,0.0,,-1991.0,0.0,,,-1991.0,,198189.0,21094.0,,,,,,,225120.0,,-206185.0,-246637.0,,268594.0,-268594.0,3851847.0,,,,2112.0,,,,,,,174742.0,85000.0,66328.0,0.0,-15950.0,-15950.0,,,0.0,,,,,-5780916.0,,,,,,,0.0,26377.0,-177095.0,,,,,174743.0,,,382339623.0,
2018-08-31,2018-10-26,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,194828.0,,,5105472.0,,,3968.0,,0.0,-18982.0,,,,0.001,500000000.0,432020993.0,432020993.0,17600000.0,88000.0,68610.0,432021.0,,,,,,,,,,,,,0.0,,,,,,,,538.0,,52580.0,,,,0.0,,,,,23016.0,9612.0,,,,,1856.0,,,,0.0,,,,,230823.0,3968.0,,,,,,,2288.0,,-21270.0,-52042.0,,52580.0,-52580.0,,,,,3968.0,,,,,,6.0,,,2282.0,,,,,,,,,0.0,,-5832958.0,,,,,,,6.0,35989.0,-226855.0,,,600000.0,,,,,449353602.0,
2018-11-30,2019-01-15,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,144866.0,,,5238347.0,,,4102.0,,155.0,,,,,0.001,500000000.0,477270993.0,477270993.0,,16000.0,12220.0,477271.0,,,,,,,,,,,,,0.0,,,,,,,,1150.0,-3086.0,84791.0,,,,,,,,,,,,,,,,,,,,,,,,195949.0,4102.0,,,,,,,,,,-86727.0,,84791.0,-84791.0,,,,-1936.0,3947.0,,,,,,,,,,,,,,,,,,,,-5919685.0,,,,,,,,51083.0,-191847.0,,,,,23715.0,,,465501213.0,
2019-02-28,2019-06-19,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,165492.0,,,5238347.0,,,5868.0,,3.0,,,,,0.001,500000000.0,477270993.0,477270993.0,,61000.0,46032.0,477271.0,,,,,,,,,,,,,0.0,,,,,,,,-665.0,,46061.0,,,,,,,,,,,,,,,,,,,,,,,,210629.0,5868.0,,,,,,,,,,-46726.0,,46061.0,-46061.0,,,,-665.0,5865.0,,,,,,,,,,,,,,,,,,,,-5966411.0,,,,,,,,45137.0,-204761.0,,,,,,,,477270993.0,
2019-05-31,2019-09-16,10-K,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,191901.0,,,5238347.0,,,3592.0,,0.0,,-18982.0,0.0,,0.001,500000000.0,477270993.0,477270993.0,,81000.0,60862.0,477271.0,,,,,1157291.0,0.0,857320.0,299971.0,1157291.0,,,,0.0,0.21,,,,,2466.0,,3516.0,2466.0,233526.0,,0.0,0.0,0.0,,48432.0,-48432.0,,48969.0,74450.0,,,,,1480.0,,,,0.0,,,,,238658.0,3592.0,,,,,,,89089.0,,-108071.0,-230630.0,,233526.0,-233526.0,4082477.0,,,2896.0,3592.0,,,,,,,25997.0,,60862.0,,,2230.0,2230.0,,,,,,,-6011546.0,,,,,,,,46757.0,-235066.0,,,,,25997.0,3592.0,,473292774.0,
2019-08-31,2020-01-15,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,183009.0,,,5291858.0,,,3945.0,,206.0,206.0,206.0,,,0.001,500000000.0,499970993.0,499970993.0,,,43500.0,499971.0,,,,,,,,,,,,,0.0,,,,,,,,-1161.0,2585.0,68321.0,,,,0.0,,,,,-1420.0,15406.0,-1420.0,,,,147.0,,,,163.0,163.0,,,,245172.0,3945.0,,,,,,,55849.0,,-55643.0,-65010.0,,68321.0,-68321.0,,,,,3739.0,,,,,,,12349.0,,43500.0,,,,,,,,,,,-6076556.0,,,,,,,,62163.0,-241227.0,,,,,12349.0,,,506887660.0,
2019-11-30,2020-01-30,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,222023.0,,,5291858.0,,,4044.0,,0.0,,,,,0.001,,499970993.0,499970993.0,,,53250.0,499971.0,,,,,,,,,,,,,0.0,,,,,,,,-2598.0,162.0,57907.0,,,,,,,,,,,,,,,,,,,,,,,,295864.0,4044.0,,,,,,,,,,-60343.0,-2436.0,57907.0,-57907.0,,,51.0,-2436.0,4044.0,,,,,,,,,,,,,,,,,,,,-6136899.0,,,,,,,,73790.0,-291820.0,,,,,,,,513961886.0,
2020-02-29,2020-06-04,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,172466.0,,,5415391.0,,,2238.0,,0.0,,,,,0.001,2000000000.0,561737659.0,561737659.0,,,69262.0,561738.0,,,,,,,,,,,,,0.0,,,,,,,,168.0,,64935.0,,,,,,,,,,,,,,,,,,,,,,,,203164.0,2238.0,,,,,,,,,,-110418.0,-45483.0,64935.0,-64935.0,,,44.0,-45483.0,,,,,,,,,,,,,,,,,,,,,-6247317.0,,,,,,,,30654.0,-200926.0,,,,,,2238.0,,543969040.0,
2020-05-31,2021-06-28,10-K,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,135008.0,,,5477265.0,,,7123.0,,3177.0,,3177.0,0.0,,0.001,2000000000.0,630626548.0,630626548.0,,,10736.0,630627.0,,,,,1218646.0,0.0,918675.0,299971.0,1218646.0,,,57200.0,0.0,0.21,,0.0,,,2747.0,,-556.0,2747.0,253029.0,,0.0,0.0,0.0,,61355.0,-61355.0,0.0,88533.0,88478.0,45790.0,,,,354.0,,,,,1232.0,,,,192208.0,7123.0,192208.0,,,,,,122848.0,,-119671.0,-292167.0,-39138.0,253029.0,-253029.0,4374644.0,,,-39138.0,,,,,,,,9736.0,,113112.0,,,,,,,,,,,-6303713.0,,,,,,,,47240.0,-185085.0,,,,,113112.0,3946.0,,549925820.0,
2020-08-31,2021-08-25,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,166839.0,,,5477265.0,,,3687.0,,77.0,,-3100.0,0.0,,0.001,2000000000.0,630626548.0,630626548.0,,,10736.0,630627.0,,,,,,,,,,,,,0.0,,,,,,,,-2991.0,,33871.0,,,,0.0,,,,,,36673.0,-3247.0,,,,-336.0,0.0,,,,0.0,,,,225634.0,3687.0,,,,,,,0.0,,-3100.0,-36862.0,,33871.0,-33871.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,-6340575.0,,,,,,,,58795.0,-221947.0,0.0,,,,,3610.0,,630626548.0,
2020-11-30,2021-09-02,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,198026.0,,,5483001.0,,,5281.0,,0.0,,,0.0,,0.001,2000000000.0,635626548.0,635626548.0,,,,635627.0,,,,,,,,,,,,68415.0,0.0,,,1431.0,,,,,-2122.0,,35693.0,,,,,,,,,,,,,,,,,,,,,,,,,5281.0,266474.0,,,,3448.0,2668.0,,,,-39246.0,-2122.0,37124.0,-37124.0,,,,,,,,,,,,,,,,,,,,,,,,,-6379821.0,,,,,,,33.0,,-261193.0,,,,,,5281.0,,635126548.0,
2021-02-28,2021-09-02,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,226389.0,,,5483001.0,,,7069.0,,0.0,,,0.0,,0.001,2000000000.0,635626548.0,635626548.0,,,,635627.0,,,,,,,,,,,,78161.0,0.0,,,911.0,,,,,-1460.0,,34101.0,,,,,,,,,,,,,,,,,,,,,,,,,7069.0,304734.0,,,,,,,,,-36472.0,-1460.0,35012.0,-35012.0,,,,,,,,,,,,,,,,,,,,,,,,,-6416293.0,,,,,,,184.0,,-297665.0,,,,,,7069.0,,635126548.0,
2021-05-31,2021-11-17,10-K,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,126458.0,,,5483001.0,,,18424.0,,9111.0,,5934.0,0.0,0.001,0.001,2000000000.0,635626548.0,635626548.0,,,44703.0,635627.0,,,,,1255742.0,0.0,955211.0,300531.0,1255742.0,,,208998.0,0.0,0.21,,2668.0,,,,,-17521.0,2261.0,158722.0,,0.0,0.0,0.0,,36536.0,-37096.0,560.0,,151799.0,-6290.0,,,,5367.0,,,,,0.0,,,,,18424.0,335456.0,,,,,,44703.0,,-38769.0,-176650.0,-15260.0,161390.0,-161390.0,4548600.0,,,,9313.0,,,,,0.0,,0.0,,44703.0,,,,,,,,,,,-6480363.0,,,,,,,,,-317032.0,,,,,,9313.0,,635126548.0,208998.0
2021-08-31,2021-11-24,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,127939.0,,,5523921.0,,,12349.0,,76.0,,-9035.0,0.0,,0.001,2000000000.0,675626548.0,675626548.0,,,0.0,675627.0,,,,,,,,,,,,220220.0,0.0,,,,,,,,8876.0,,63871.0,,,,0.0,,,,,,11222.0,1481.0,,,,1522.0,1438.0,,,,0.0,,,,,12349.0,348159.0,,,,,,36217.0,,-45252.0,-54995.0,,63871.0,-63871.0,,,,,,,,,,1438.0,,36217.0,,,,,,,,,,,,,-6535358.0,,,,,,,,,-335810.0,44703.0,,,,36217.0,10835.0,,649539591.0,
2021-11-30,2022-02-02,10-Q,WOLVERINE TECHNOLOGIES CORP.,WOLV,CIK0001424404,USD,129986.0,,,5561781.0,,,8908.0,,4456.0,,,0.0,,0.001,2000000000.0,715626548.0,715626548.0,,,0.0,715627.0,,,,,,,,,,,,,0.0,,,7334.0,,,,,2835.0,,84124.0,,,,,,,,,,,,,,,,,,,,,,,,,8908.0,355481.0,,,,9400.0,7334.0,,,,-88623.0,,91458.0,-91458.0,,,,,4452.0,,,,,,,,,,,,,,,,,,,,-6623981.0,,,,,,,,,-346573.0,,,,,77860.0,,,681566439.0,225495.0
