end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ContractRevenueCost,ContractsRevenue,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DeferredRevenueCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationAndAmortization,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestExpense,InterestIncomeExpenseNet,InterestPaid,InvestmentIncomeInterest,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLegalSettlements,ProceedsFromRepaymentsOfRelatedPartyDebt,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensation,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2010-04-30,2010-08-09,10-K,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,,,,,,165706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151856.0,,,,,,,,,
2010-07-31,2010-09-14,10-Q,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,,,,,,203948.0,38242.0,,,,,,,,,,,,,,,567.0,,,-0.02,,,,149728.0,,0.0,30888.0,,928.0,227.0,,227.0,123.0,,,,156258.0,,-118016.0,-150399.0,-104.0,150295.0,-150295.0,,,140330.0,,,0.0,,,,,,,0.0,,,,,,,,,,9135620.0
2010-10-31,2010-12-15,10-Q,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,,,,,,116123.0,,,,,,,,,0.0,,,,,,,567.0,,,-0.01,,,,123582.0,0.0,,,,,21.0,,,68.0,,,,,,,-124102.0,47.0,124149.0,-124149.0,,,,,,,,,,,,0.0,,,,,,,,,,,
2011-01-31,2011-03-15,10-Q,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,,,,,,27906.0,,,,,,,0.0,0.0,,,,,,,,565.0,,,-0.01,,,0.0,79873.0,0.0,,,,,0.0,,,24.0,,,,,,,-80414.0,24.0,80438.0,-80438.0,,,,,,,,,,,,,,,,,,,,,,,
2011-04-30,2011-07-29,10-K,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,10568.0,29487.0,,33958.0,31343.0,26277.0,-139429.0,0.0,18000000.0,10242561.0,8911755.0,6019530.0,0.0,0.0,,,11072.0,,,,,2266.0,33199.0,33199.0,-0.05,,,0.0,470422.0,0.0,0.0,98.0,0.0,921.0,382.0,,405.0,219.0,33958.0,54839.0,,305695.0,0.0,-445124.0,-472851.0,-163.0,472688.0,-472688.0,0.0,5066.0,273830.0,,,9000.0,,2615.0,7000.0,,-6040411.0,,26284.0,-20881.0,,,,,26284.0,273830.0,,9574873.0,
2011-07-31,2011-09-13,10-Q,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,48654.0,30054.0,,14050.0,12002.0,8753.0,-17524.0,0.0,18000000.0,10347825.0,10347825.0,6028590.0,,,,,11072.0,,,,,567.0,,65010.0,-0.01,,,0.0,96645.0,,0.0,38086.0,,-1817.0,1653.0,,1653.0,0.0,14050.0,124736.0,,36811.0,,-54335.0,-98865.0,-1653.0,97212.0,-97212.0,,3249.0,5000.0,,,15300.0,,2048.0,,,-6139276.0,,4060.0,-110686.0,,,,,,,,10278030.0,10278030.0
2011-10-31,2011-12-15,10-Q,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,83077.0,30621.0,,8328.0,6847.0,2993.0,,0.0,18000000.0,10847825.0,10847825.0,6054340.0,276.0,11327.0,276.0,,0.0,,,,,567.0,,74532.0,-0.01,,,,72269.0,11051.0,,,,,2560.0,,,0.0,8328.0,157609.0,,,,,-64345.0,-2560.0,72836.0,-61785.0,,3854.0,,,,,,1481.0,,,-6203621.0,11327.0,,-149281.0,,,,,,,,10623368.0,
2012-01-31,2012-03-15,10-Q,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,62340.0,31322.0,,49379.0,39926.0,37587.0,,0.0,18000000.0,14997682.0,14997682.0,6289796.0,0.0,4500.0,,,0.0,,,,,701.0,37318.0,,-0.01,,,-2416.0,134372.0,4500.0,,,,,2416.0,,,-3465.0,49379.0,99658.0,,,,,-136454.0,-5881.0,135073.0,-130573.0,,2339.0,,,,,,9453.0,,,-6340075.0,,,-50279.0,,,,,,,,11958718.0,
2012-04-30,2012-07-30,10-K,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,62794.0,32291.0,0.0,51650.0,43166.0,122.0,15207.0,0.0,35000000.0,17068182.0,17068182.0,6387246.0,3426.0,15827.0,,36246.0,0.0,1643635.0,0.0,-1643635.0,2804.0,2804.0,38106.0,,-0.03,0.34,0.0,-2416.0,391964.0,12401.0,0.0,52226.0,-11072.0,3384.0,11311.0,,11311.0,9.0,51650.0,100900.0,26150.0,286457.0,-8673.0,-262577.0,-396085.0,-13718.0,394768.0,-382367.0,8673.0,1682.0,247720.0,,,17999.0,40775.0,8484.0,0.0,14560.0,-6436496.0,,83750.0,-49250.0,,840835.0,,247720.0,83750.0,247720.0,,12099323.0,
2012-07-31,2012-09-14,10-Q,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,71852.0,33260.0,,9165.0,1650.0,1056.0,-40428.0,0.0,20500000.0,17469015.0,17469015.0,6412364.0,,,,,,,,,,969.0,41174.0,,0.0,,,-2000.0,75425.0,,0.0,9058.0,,-1088.0,3335.0,,3335.0,,9165.0,113026.0,,23386.0,,-63814.0,-79729.0,-3335.0,76394.0,-76394.0,,594.0,20318.0,20317.0,,1000.0,,7515.0,,,-6516225.0,,4800.0,-103861.0,,60000.0,,,4800.0,,,17295926.0,
2012-10-31,2012-12-18,10-Q,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,93430.0,34229.0,,11357.0,4811.0,4547.0,,0.0,35000000.0,20231455.0,20231455.0,6493264.0,0.0,0.0,,,,,,,,969.0,39609.0,,-0.01,,,,94276.0,0.0,,,,,3476.0,,,,11357.0,133039.0,,,,,-98721.0,-3476.0,95245.0,-95245.0,,264.0,,,,,,6546.0,,,-6614946.0,,,-121682.0,,,,,,,,18915917.0,
2013-01-31,2013-03-20,10-Q,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,89735.0,35198.0,12569.0,26961.0,21384.0,21261.0,,0.0,35000000.0,24394137.0,24394137.0,6658682.0,0.0,0.0,,,,,,,,969.0,29697.0,,-0.01,,,,144312.0,0.0,,,,,3495.0,,,-3495.0,26961.0,119432.0,,,,,-148776.0,-3495.0,145281.0,-145281.0,,123.0,,,,,,5577.0,,,-6763722.0,,,-92471.0,,,,,,,,22309533.0,
2013-04-30,2013-08-09,10-K,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,130940.0,36168.0,12569.0,32237.0,27630.0,123.0,-41361.0,0.0,67000000.0,25734137.0,25734137.0,6707082.0,0.0,0.0,,,,1756762.0,0.0,-1756762.0,3877.0,3877.0,47286.0,,-0.02,0.34,0.0,0.0,405957.0,0.0,0.0,68146.0,0.0,25825.0,13721.0,11.0,13721.0,11.0,32237.0,178226.0,26150.0,244962.0,0.0,-286323.0,-429144.0,-13710.0,415434.0,-415434.0,0.0,27507.0,229018.0,,,34548.0,40775.0,4607.0,23545.0,13426.0,-6865640.0,,91023.0,-145989.0,,1490400.0,,229018.0,90818.0,,,20848068.0,
2013-07-31,2013-09-23,10-Q,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,135249.0,36819.0,12569.0,31349.0,27393.0,32.0,-91.0,0.0,35000000.0,29002637.0,29002637.0,6787419.0,,,,,,,,,,653.0,47484.0,,0.0,,,,115791.0,,0.0,4309.0,,-146.0,2947.0,,2931.0,,31349.0,182733.0,,34395.0,,-34486.0,-127126.0,-2947.0,124179.0,-124179.0,,27361.0,34197.0,,,-834.0,,3956.0,834.0,,-6951372.0,,36340.0,-151384.0,1726500.0,1542000.0,,34197.0,46140.0,,,31158386.0,
2013-10-31,2013-12-16,10-Q,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,138412.0,37472.0,12569.0,34500.0,31197.0,3981.0,,0.0,35000000.0,33721037.0,33721037.0,6916219.0,,,,,,,,,,653.0,45906.0,,0.0,,,,123526.0,,,,,,2947.0,,,,34500.0,184318.0,,,,,-127126.0,-2947.0,124179.0,-124179.0,,27216.0,,,,,,3303.0,,,-7078498.0,,,-149818.0,,,,,,,,31158386.0,
2014-01-31,2014-03-24,10-Q,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,168686.0,38123.0,12569.0,30342.0,27690.0,619.0,,0.0,35000000.0,36821537.0,36821537.0,6980848.0,,,,,,,,,,651.0,45539.0,,0.0,,,,88233.0,,,,,,3494.0,,,,30342.0,214225.0,,,,,-98802.0,-3494.0,95308.0,-95308.0,,27071.0,,,,,,2652.0,,,-7177300.0,0.0,,-183883.0,,,,,,,,35040809.0,
2014-04-30,2014-08-13,10-K,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,172143.0,38775.0,12569.0,29726.0,27726.0,245.0,122.0,0.0,58700000.0,43179537.0,43179537.0,7115345.0,,,,,,1850000.0,0.0,-1850000.0,,2607.0,51007.0,,-0.01,0.34,0.0,,407637.0,,0.0,41203.0,,-26.0,12779.0,1.0,12779.0,,29726.0,223150.0,26150.0,229387.0,,-229265.0,-455698.0,-12778.0,442920.0,-442920.0,,27481.0,225666.0,,,,40775.0,2000.0,1621.0,,-7321338.0,,149921.0,-193424.0,,,,225666.0,182597.0,,,33300460.0,
2014-07-31,2014-09-22,10-Q,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,170580.0,39242.0,12569.0,28868.0,27335.0,0.0,-245.0,0.0,67000000.0,48732037.0,48732037.0,7206176.0,,,,,,,,,,497.0,82642.0,,0.0,,,,82350.0,,0.0,-1563.0,,-146.0,2776.0,,3489.0,,28868.0,253222.0,,54985.0,,-55230.0,-88207.0,-2776.0,85431.0,-85431.0,,27335.0,23350.0,,,,,1533.0,1621.0,,-7443099.0,,60037.0,-224354.0,6913500.0,5276000.0,,91452.0,96435.0,,,52366885.0,
2014-10-31,2014-12-31,10-Q,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,172088.0,39739.0,12569.0,31049.0,30013.0,2823.0,,0.0,67000000.0,55369037.0,55369037.0,7303232.0,,,,,,,,,,,74466.0,,,,,,,,,,,,,,,,31049.0,246554.0,,,,,,,,,,27190.0,,,,,,1036.0,,,-7531306.0,,,-215505.0,,,,,,,,,
2015-01-31,2015-03-27,10-Q,MASS MEGAWATTS WIND POWER INC,MMMW,CIK0001117228,USD,179371.0,40176.0,12569.0,27715.0,27116.0,26.0,,0.0,58700000.0,58612037.0,58612037.0,7339101.0,,,,,,,,,,437.0,75058.0,,0.0,,,,43658.0,,,,,,2424.0,,,,27715.0,254429.0,,,,,-47078.0,-2424.0,44654.0,-44654.0,,27090.0,,,,,,599.0,,,-7578384.0,0.0,,-226714.0,,,500000.0,,,,8000.0,51356370.0,
