end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,CostOfRevenue,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetsGrossNoncurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceNoncurrent,DirectOperatingCommunicationsCosts,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInPrepaidExpense,InterestPaid,IssuanceOfStockAndWarrantsForServicesOrClaims,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseTransferAgentAndCustodianFees,OfficersCompensation,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherCostAndExpenseOperating,OtherCostOfOperatingRevenue,OtherExpenses,OtherNonoperatingIncome,OtherOperatingIncome,PaidInKindInterest,PaymentsForProceedsFromOtherInterestEarningAssets,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromPartnershipContribution,ProceedsFromRelatedPartyDebt,ProfessionalAndContractServicesExpense,ProfessionalFees,ProfitLoss,RelatedPartyCosts,RetainedEarningsAccumulatedDeficit,Revenues,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,IncreaseDecreaseInDueToEmployeesCurrent,StockIssuedDuringPeriodValueOther
2014-12-31,2015-01-27,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,13058.0,,4500.0,,5515.0,5515.0,1015.0,,,0.001,75000000.0,4000000.0,4000000.0,,4000.0,1350.0,,,,,,,7500.0,9900.0,0.0,,,,,,3150.0,,-6207.0,0.0,0.0,,,,,,,,,,,,,,,30458.0,5515.0,30458.0,,,-6207.0,,1350.0,,9357.0,-6207.0,,3005.0,,6157.0,,,,,,,,,1500.0,1850.0,,,-28943.0,4500.0,,-24943.0,,,,,4000000.0,,
2015-03-31,2015-05-08,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,9886.0,,,37720.0,23981.0,23981.0,23981.0,,,0.001,75000000.0,7280000.0,7280000.0,,7280.0,1350.0,,,,,,,7500.0,12600.0,0.0,,,,,,1650.0,,-22062.0,0.0,0.0,,,,,,,,,,,,,,,29986.0,23981.0,29986.0,,,-22062.0,11727.0,1350.0,1500.0,23712.0,-22062.0,,3625.0,,3660.0,,,,,,,,,,18702.0,,,-51005.0,3000.0,,-6005.0,,,,,6452000.0,,
2015-06-30,2015-07-28,10-K,Frontera Group Inc.,FRTG,CIK0001602813,USD,13058.0,13058.0,,44927.0,9555.0,9555.0,388.0,-6228.0,-6228.0,0.0,1000000000.0,7280000.0,7280000.0,73.0,7280.0,0.0,,10695.0,,,10695.0,0.0,15300.0,7500.0,-0.01,,,,,27191.0,12300.0,,-54018.0,-0.01,0.0,0.0,,,,5157.0,10800.0,,,,,-9167.0,,,8500.0,35858.0,9555.0,35858.0,41000.0,-47228.0,-54018.0,12327.0,6300.0,,66318.0,,71303.0,8500.0,4500.0,27191.0,,,,0.0,9167.0,41000.0,,0.0,,24327.0,-54018.0,4500.0,-71303.0,16800.0,,-26303.0,-26303.0,3280000.0,44960.0,41000.0,5422356.0,,
2015-09-30,2015-10-19,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,274.0,,,37720.0,9929.0,9929.0,3262.0,2874.0,2874.0,0.001,75000000.0,7280000.0,7280000.0,,,1050.0,,,,,,,18000.0,30500.0,0.0,,,,,6442.0,950.0,,-12542.0,0.0,0.0,0.0,,,,-12784.0,2700.0,0.0,,,23000.0,2500.0,,,,48774.0,9929.0,48774.0,23000.0,-20126.0,-12542.0,650.0,1650.0,,13492.0,,,,,6442.0,,,,0.0,6667.0,,,23000.0,,4750.0,-12542.0,1050.0,-83845.0,2000.0,,-38845.0,,0.0,,,97890410.0,,
2015-12-31,2016-02-16,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,3848.0,,,37720.0,4236.0,4236.0,69.0,,,0.001,75000000.0,7280000.0,7280000.0,7280.0,,,,,,,,,20700.0,30500.0,0.0,,,,,7767.0,,,-11967.0,0.0,,,,,,,,,,,,,,,,55048.0,4236.0,55048.0,,,-11967.0,,2700.0,,11967.0,,,,,7767.0,,,,,4167.0,,,,,1500.0,-11967.0,,-95812.0,,,-50812.0,,,,,7280000.0,,
2016-03-31,2016-05-26,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,,,,105975.0,9000.0,9000.0,9000.0,,,0.0,1000000000.0,307280000.0,307280000.0,3073.0,,,,,,,,,,1500.0,0.0,,,,,4236.0,,,-5736.0,0.0,,,,,,,,,,,,,,,,1500.0,9000.0,1500.0,,,-5736.0,,,,5736.0,,,,,4236.0,,,,,,,,,,1500.0,-5736.0,,-101548.0,,,7500.0,,,,,73214066.0,,
2016-06-30,2016-10-31,10-K,Frontera Group Inc.,FRTG,CIK0001602813,USD,,5600.0,,105975.0,9000.0,9000.0,9000.0,8612.0,,0.0,1000000000.0,307280000.0,307280000.0,3073.0,,,-5856.0,16551.0,,,16551.0,,,4698.0,0.0,0.0,0.15,-0.15,0.0,14695.0,950.0,,,,,,,,,-6412.0,,,,,,9167.0,,,,10298.0,9000.0,10298.0,39500.0,-30888.0,-39043.0,,4350.0,,39993.0,,110346.0,,,,,,,,,9000.0,,30500.0,,20948.0,-39043.0,1050.0,-110346.0,2000.0,,-1298.0,-1298.0,,9000.0,,97890410.0,,
2016-09-30,2016-12-13,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,,250.0,,105975.0,9000.0,9000.0,9000.0,,,0.0,1000000000.0,307280000.0,307280000.0,3073.0,,,,,,,,,,10713.0,0.0,,,,,,,,,,,,,,,665.0,,,,,,,,,,10963.0,9000.0,10963.0,,,-665.0,665.0,,,665.0,,,,,,,,,,,,,,,,-665.0,,-111011.0,,,-1963.0,,,,,97890410.0,,
2016-12-31,2017-02-08,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,,875.0,,105975.0,3350.0,3350.0,3350.0,,,0.0,1000000000.0,307280000.0,307280000.0,3073.0,,,-2134.0,,45606.0,45606.0,,,,10713.0,0.0,,,,,625.0,,,,,,,2134.0,,,,,,,,,,,,,11588.0,3350.0,11588.0,,,-6275.0,,,,6275.0,,,,,,,,,,,,,,,5650.0,-6275.0,,-117286.0,,,-8238.0,,,,,307280000.0,,
2017-03-31,2017-05-19,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,,3600.0,,115975.0,10825.0,10825.0,10825.0,,,0.0,1000000000.0,307280000.0,307280000.0,3073.0,,,-1785.0,,45606.0,45606.0,,,,10713.0,0.0,,,,,600.0,,,,,,,1785.0,,,,,,,,,,,,,14313.0,10825.0,14313.0,,,-5250.0,,,,5250.0,,,,,,,,,,,,,,,4650.0,-5250.0,,-122536.0,,,-3488.0,,,,,307280000.0,,
