end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfRevenue,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,GrossProfit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInOtherAccruedLiabilities,InterestPaid,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromIssuanceOfCommonStock,ProfitLoss,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,AssetsCurrent,AssetsNoncurrent,CostOfGoodsAndServicesSold,DepositsAssetsCurrent,Depreciation,FinanceLeasePrincipalPayments,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccountsReceivable,NetCashProvidedByUsedInFinancingActivities,OperatingLeaseLiabilityCurrent,OperatingLeaseRightOfUseAsset,PropertyPlantAndEquipmentNet,RevenueFromContractWithCustomerExcludingAssessedTax,StockIssuedDuringPeriodValueAcquisitions
2004-12-31,2021-05-17,10-K,NOVAGANT CORP,NVGT,CIK0001089297,USD,10102.0,60415.0,18214341.0,0.0,2000000.0,0.0,-21.0,0.0,0.001,100000000.0,22000137.0,22000137.0,22000.0,0.0,0.0,0.34,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91457.0,-21.0,-21.0,10000.0,21.0,-21.0,140700.0,10940.0,0.01,20000000.0,0.0,0.0,0.0,,-21.0,-18327798.0,0.0,-91457.0,,22000137.0,,,,,,,,,,,,,,,,,
2005-12-31,2021-05-17,10-K,NOVAGANT CORP,NVGT,CIK0001089297,USD,10102.0,60415.0,18214341.0,0.0,2000000.0,0.0,0.0,0.0,0.001,100000000.0,22000137.0,22000137.0,22000.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91457.0,0.0,0.0,10000.0,0.0,0.0,140700.0,10940.0,0.01,20000000.0,0.0,0.0,0.0,,0.0,-18327798.0,0.0,-91457.0,,22000137.0,,,,,,,,,,,,,,,,,
2006-12-31,2021-05-17,10-K,NOVAGANT CORP,NVGT,CIK0001089297,USD,10102.0,60415.0,18214341.0,0.0,2000000.0,0.0,0.0,0.0,0.001,100000000.0,22000137.0,22000137.0,22000.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91457.0,0.0,0.0,10000.0,0.0,0.0,140700.0,10940.0,0.01,20000000.0,0.0,0.0,0.0,,0.0,-18327798.0,0.0,-91457.0,,22000137.0,,,,,,,,,,,,,,,,,
2007-12-31,2021-05-17,10-K,NOVAGANT CORP,NVGT,CIK0001089297,USD,10102.0,60415.0,18214341.0,0.0,2000000.0,0.0,0.0,0.0,0.001,100000000.0,22000137.0,22000137.0,22000.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91457.0,0.0,0.0,10000.0,0.0,0.0,140700.0,10940.0,0.01,20000000.0,0.0,0.0,0.0,,0.0,-18327798.0,0.0,-91457.0,,22000137.0,,,,,,,,,,,,,,,,,
2008-12-31,2021-05-17,10-K,NOVAGANT CORP,NVGT,CIK0001089297,USD,10102.0,60415.0,18214341.0,0.0,2000000.0,0.0,0.0,0.0,0.001,100000000.0,22000137.0,22000137.0,22000.0,0.0,0.0,0.34,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91457.0,0.0,0.0,10000.0,0.0,0.0,140700.0,10940.0,0.01,20000000.0,0.0,0.0,0.0,,0.0,-18327798.0,0.0,-91457.0,,22000137.0,,,,,,,,,,,,,,,,,
2021-12-31,2022-02-15,10-Q,NOVAGANT CORP,NVGT,CIK0001089297,USD,,,1599609.0,58454.0,,37765.0,,,0.001,1000000000.0,349989704.0,349989704.0,300000.0,,0.0,,14362.0,,,,,,,58454.0,247344.0,,-4552.0,,14385.0,,,,0.01,20000000.0,700000.0,0.0,700.0,,,-2089199.0,9833.0,-188890.0,300000000.0,349989704.0,244636.0,13766.0,52872.0,5582.0,31188.0,1341.0,,,-4552.0,0.0,,,2708.0,2654.0,2928.0,41021.0,
