end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CurrentIncomeTaxExpenseBenefit,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoninterestExpenseTransferAgentAndCustodianFees,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherGeneralExpense,OtherOperatingIncome,PaymentsToAcquireOtherProductiveAssets,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,SharesIssuedPricePerShare,ShortTermNonBankLoansAndNotesPayable,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2014-03-31,2014-06-04,10-Q,ZHRH CORPORATION,ZHEC,CIK0001594114,USD,,,,,15632.0,,16162.0,,16162.0,,,0.001,75000000.0,3740000.0,3740000.0,3740.0,0.0,,,,,7620.0,0.0,,2370.0,,,,,,,,,,7620.0,16162.0,,,,,,,,,-2417.0,,2417.0,-2417.0,,47.0,,,,,,47.0,,,,-10830.0,0.0,,,,,,,8542.0,,,,,,3706000.0,3706000.0,0.0
2014-06-30,2014-10-06,10-K,ZHRH CORPORATION,ZHEC,CIK0001594114,USD,,,,15632.0,15632.0,,29216.0,29216.0,29216.0,11653.0,,0.001,75000000.0,3740000.0,3740000.0,3740.0,0.0,,6043.0,6043.0,,27620.0,0.0,,16570.0,,,,-5537.0,5537.0,,,,,27620.0,29216.0,27620.0,,,27940.0,0.0,,-16287.0,,-16287.0,,16787.0,-16287.0,,217.0,,,27340.0,600.0,27340.0,,-16287.0,0.0,,-17776.0,500.0,,,,,27620.0,1596.0,1596.0,,600.0,,,,3700548.0,3700548.0,0.0
2014-09-30,2014-11-17,10-Q,ZHRH CORPORATION,ZHEC,CIK0001594114,USD,,,,,15632.0,,13805.0,,13805.0,-15411.0,,0.001,75000000.0,3740000.0,3740000.0,3740.0,0.0,,,,,27620.0,0.0,,107.0,,,,,,,,,,27620.0,13805.0,,,,0.0,0.0,,-15411.0,,-15411.0,,15411.0,-15411.0,,107.0,,,,,,15304.0,-15411.0,0.0,,-33187.0,,,,,,,,-13815.0,,,,,,3740000.0,3740000.0,0.0
2014-12-31,2015-02-24,10-Q,ZHRH CORPORATION,ZHEC,CIK0001594114,USD,,,,,31989.0,,,,,,,0.001,75000000.0,3740000.0,3740000.0,3740.0,,,,,,,0.0,,42.0,,-2542.0,,,,,,,,,,,,,,,,,,-2542.0,,2542.0,,,,,,,,,2500.0,,,,-35729.0,,,,,,,,,,,,,,3740000.0,,
2015-03-31,2015-05-20,10-Q,ZHRH CORPORATION,ZHEC,CIK0001594114,USD,,,,31989.0,,,,,,,,0.001,75000000.0,3740000.0,3740000.0,3740.0,,,,,,,0.0,,970.0,,,,,,,,,,2220.0,,,,,,,,,,-2220.0,,2220.0,-2220.0,,,,,,,,1250.0,,,,-37949.0,,,,,,2220.0,-2220.0,,,,,,,3740000.0,,
2015-06-30,2015-10-29,10-K,ZHRH CORPORATION,ZHEC,CIK0001594114,USD,2510.0,,2510.0,31989.0,,16357.0,,,,-29216.0,,0.001,75000000.0,3740000.0,3740000.0,3740.0,,,15696.0,15696.0,,,0.0,,2089.0,,,,-9653.0,9653.0,2510.0,,,,10437.0,,10437.0,,,-3336.0,,,-25880.0,,-28390.0,,28390.0,-28390.0,25880.0,,,,,,7927.0,26301.0,,,11263.0,-46166.0,,,,,,7927.0,-10437.0,,,,,,0.0,3740000.0,,
2015-09-30,2015-11-24,10-Q,ZHRH CORPORATION,ZHEC,CIK0001594114,USD,,,2510.0,31989.0,,,,,,,,0.001,75000000.0,3740000.0,3740000.0,3740.0,,,,,,,0.0,,,,,,,,,,,,10437.0,,,,,,,,,,,,,,,,,,,,,,,,,-46166.0,,,,,,7927.0,-10437.0,,,,,,0.0,3740000.0,,
2020-06-30,2021-09-21,10-K,ZHRH CORPORATION,ZHEC,CIK0001594114,USD,,1099.0,,31989.0,,,0.0,0.0,0.0,,0.0,0.0,75000000.0,3740000.0,3740000.0,3740.0,,1318.0,,1318.0,5179.0,,,0.21,,-6278.0,-6278.0,,,,,5179.0,1099.0,1099.0,16715.0,0.0,16715.0,10437.0,10437.0,,,,,,-6278.0,5179.0,6278.0,-6278.0,6278.0,,,,,,,,,,,-52444.0,,,,,,,-16715.0,,,,,1318.0,,,3740000.0,
2021-06-30,2021-09-21,10-K,ZHRH CORPORATION,ZHEC,CIK0001594114,USD,,60664.0,,-20916.0,,,0.0,,,,,0.001,75000000.0,75000000.0,75000000.0,75000.0,,23259.0,,24577.0,108020.0,,,0.21,218.0,,-170324.0,10437.0,,,,121196.0,59565.0,34304.0,168684.0,0.0,168684.0,,,,,,,,-170324.0,,180761.0,-180761.0,110759.0,,10437.0,,,,,95001.0,,,,-222768.0,,,,,,,-168684.0,,,,18355.0,23259.0,,,19358630.0,
2021-09-30,2021-11-19,10-Q,ZHRH CORPORATION,ZHEC,CIK0001594114,USD,,161767.0,,-15115.0,,,,,,,,0.0,75000000.0,75000000.0,75000000.0,75000.0,,,,,193535.0,,,,,,-192418.0,,,,,91315.0,101102.0,97177.0,355301.0,,355301.0,,,,,,,,-192418.0,,192418.0,-192418.0,,,,,,,,44141.0,,,,-415186.0,,,,,,,-355301.0,,,,,,,,75000000.0,
