end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrent,AccountsPayableTradeCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,AccumulatedOtherComprehensiveIncomeLossBeforeTax1,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdvancesToAffiliate,Assets,AssetsCurrent,AssetsNoncurrent,BusinessAcquisitionsProFormaNetIncomeLoss,BusinessCombinationAcquisitionRelatedCosts,BusinessCombinationConsiderationTransferred1,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,CapitalLeaseObligations,Cash,CashAndCashEquivalentsAtCarryingValue,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ComprehensiveIncomeNetOfTax,ConcentrationRiskPercentage1,CostOfRevenue,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxLiabilities,DeferredTaxLiabilities,DepositAssets,DepositsAssets,Depreciation,DepreciationAndAmortization,DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,DueToAffiliateCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCash,EffectOfExchangeRateOnCashAndCashEquivalents,FairValueAssetsMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,FinanceLeaseLiability,FinanceLeaseLiabilityCurrent,FinanceLeaseLiabilityNoncurrent,FinanceLeaseLiabilityPaymentsDue,FinanceLeaseLiabilityPaymentsDueYearFour,FinanceLeaseLiabilityPaymentsDueYearThree,FinanceLeaseLiabilityPaymentsDueYearTwo,FinanceLeaseRightOfUseAssetAmortization,ForeignCurrencyTransactionGainBeforeTax,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossRealized,GainLossOnInvestments,GainLossOnSaleOfPropertyPlantEquipment,GainOnFairValueHedgeIneffectiveness,GeneralAndAdministrativeExpense,GoodwillForeignCurrencyTranslationGainLoss,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxesReceivable,IncreaseDecreaseInIncomeTaxesReceivable,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseOfRestrictedInvestments,InterestPaidNet,InventoryNet,InvestmentIncomeInterestAndDividend,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LossOnSaleOfInvestments,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NetIncomeLossFromContinuingOperationsAvailableToCommonShareholdersBasic,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeaseWeightedAverageDiscountRatePercent,OtherAccountsPayableAndAccruedLiabilities,OtherComprehensiveIncomeForeignCurrencyTranslationAdjustmentTaxPortionAttributableToParent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherGeneralAndAdministrativeExpense,OtherIncome,OtherInvestments,OtherNonoperatingIncomeExpense,OtherReceivables,PaymentsForProceedsFromInvestments,PaymentsOfFinancingCosts,PaymentsToAcquireOtherInvestments,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockNoParValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesOutstanding,ProceedsFromIssuanceOfCommonStock,ProceedsFromLeasePayments,ProceedsFromRepaymentsOfOtherDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfInvestmentProjects,ProceedsFromSaleOfPropertyPlantAndEquipment,ProfitLoss,PropertyPlantAndEquipmentDisposals,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentGrossPeriodIncreaseDecrease,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOther,ProvisionForDoubtfulAccounts,PurchaseObligation,RepaymentsOfDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,RightOfUseAssetObtainedInExchangeForFinanceLeaseLiability,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,StockholdersEquity,StockIssuedDuringPeriodValueNewIssues,TaxesPayableCurrent,TaxesPayableCurrentAndNoncurrent,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic
2019-03-31,2019-05-15,10-Q,BIONEXUS GENE LAB CORP.,BGLC,CIK0001737523,USD,,,,10562.0,-148309.0,,-9832.0,-5011891.0,,1607160.0,1249788.0,,,,,,,597463.0,,1212954.0,-47285.0,,,,,,,6647636.0,-44322.0,,-18822.0,,,4549.0,615491.0,,10562.0,,,,0.0,,,,,,,19632.0,58825.0,,,,,,-11256.0,17145.0,,,,,-76489.0,17145.0,9266.0,-60203.0,,-1264.0,,,,,5251.0,1063.0,-3970.0,-3970.0,,-921.0,10050.0,,,,,,,,,129556.0,1607160.0,66182.0,,,-3606.0,-14631.0,-48561.0,-61467.0,,0.0,-60203.0,,,,,,,12212.0,19513.0,,,7020.0,12250.0,,26784.0,,,,-14631.0,,,,,,,,,,,-153892.0,,,-14631.0,345122.0,,,,-3606.0,,,28088.0,,,1477604.0,,,34338.0,74663734.0,74627558.0
2019-06-30,2019-08-09,10-Q,BIONEXUS GENE LAB CORP.,BGLC,CIK0001737523,USD,,,77459.0,,,,-27432.0,-5011891.0,,1512903.0,1170778.0,,,,,,74145.0,528248.0,1140387.0,,,0.0,,300000000.0,74627558.0,74627558.0,,6647636.0,-87998.0,,17020.0,,38465.0,4482.0,612139.0,,,,,,0.0,,,,,,74145.0,19498.0,54647.0,,,,,,-17600.0,-17600.0,,,,,81224.0,-2018.0,4625.0,,,1179.0,,,,,,,,,,,5940.0,,,,,,,,,123297.0,1512903.0,64168.0,,,,,,-70398.0,,0.0,-69219.0,,,,,,,10687.0,,,,7380.0,12070.0,,24451.0,,,,,0.0,,30000000.0,0.0,,,,,,,-70398.0,,404991.0,,330055.0,,,,,,-218707.0,21645.0,,,1389606.0,,33983.0,33983.0,74663734.0,74627558.0
2019-09-30,2019-11-14,10-Q,BIONEXUS GENE LAB CORP.,BGLC,CIK0001737523,USD,,,87800.0,,,-1009.0,-38234.0,-5011891.0,,1344403.0,1016281.0,328122.0,,,,,,370516.0,977149.0,,,0.0,,300000000.0,73697558.0,73697558.0,,6554636.0,-32830.0,,16499.0,,,4433.0,,606633.0,,,,,0.0,,,,,,68611.0,19517.0,49094.0,,,,,,-10802.0,-10802.0,,,,,63097.0,-10802.0,7674.0,,,28110.0,,,622.0,,,,,,,,11817.0,,,,,,,,,80626.0,1344403.0,27099.0,,,,,,-22028.0,,,-50138.0,,,,,,,7582.0,,,,5285.0,11940.0,,26693.0,,,,,0.0,,30000000.0,0.0,,,,,,,-22028.0,,404991.0,,316182.0,,,,,,-240734.0,24173.0,,,1263777.0,,,0.0,80283110.0,
2019-12-31,2020-03-31,10-K,BIONEXUS GENE LAB CORP.,BGLC,CIK0001737523,USD,,0.0,98219.0,,,6136.0,-17103.0,-5011891.0,,1231236.0,882571.0,348665.0,,,0.0,,,366038.0,859076.0,,-401163.0,,0.0,300000000.0,102730891.0,102730891.0,,6484669.0,-236595.0,,71067.0,4477.0,,0.0,,493038.0,41714.0,41714.0,0.0,,0.0,0.5,,9732.0,,,65287.0,20201.0,45086.0,20201.0,0.0,23948.0,21138.0,11618.0,9874.0,9874.0,9874.0,0.0,,,356641.0,9874.0,55888.0,,-275705.0,24759.0,24759.0,-10714.0,2858.0,0.0,7721.0,-30603.0,9758.0,9758.0,,-5047.0,7580.0,,11936.0,11936.0,0.0,0.0,0.0,12212.0,24148.0,108872.0,1231236.0,51574.0,57298.0,,-180805.0,-12817.0,-217273.0,-246469.0,-246469.0,,-275705.0,2001.0,11936.0,12212.0,23542.0,24148.0,0.067,19437.0,9732.0,,,25048.0,12215.0,29236.0,13057.0,,,0.0,12817.0,,0.0,30000000.0,0.0,-162967.0,-11012.0,,-1061.0,0.0,0.0,-246469.0,0.0,404991.0,,312908.0,0.0,0.0,,-16777.0,1061.0,-333311.0,126955.0,,23542.0,1122364.0,30033.0,,0.0,86369145.0,
2020-03-31,2020-05-08,10-Q,BIONEXUS GENE LAB CORP.,BGLC,CIK0001737523,USD,,,108497.0,,,-8869.0,-58780.0,-5011891.0,,1126915.0,808074.0,318841.0,-346008.0,,,,,314144.0,1396747.0,,537671.0,,0.0,300000000.0,102730891.0,171218152.0,,6484669.0,774948.0,,2414719.0,,,,,469752.0,10278.0,,,,0.0,0.5,,,,0.0,57386.0,19217.0,38169.0,,,,,2865.0,-41677.0,-294696.0,,,,,328418.0,,655307.0,,1070504.0,860.0,-57069.0,-183.0,3040.0,-39953.0,1258.0,-1470936.0,,163791.0,,-3026.0,7211.0,,,,,,,,,94181.0,1126915.0,47355.0,46826.0,,-6399.0,1712247.0,-977348.0,1069644.0,,,1073530.0,378.0,,8657.0,19596.0,,0.067,16592.0,-190829.0,,328418.0,746641.0,11620.0,,13927.0,,-3026.0,101498.0,307.0,,0.0,30000000.0,0.0,,2257.0,-6399.0,-368.0,,-1467865.0,-47953.0,-710172.0,404991.0,,287625.0,,,,-7901.0,,-381264.0,3070026.0,,19596.0,6192217.0,4294905.0,,11546.0,102730891.0,
2020-06-30,2020-08-11,10-Q,BIONEXUS GENE LAB CORP.,BGLC,CIK0001737523,USD,,,118478.0,,,-7945.0,-55294.0,-5011891.0,,1060241.0,762753.0,297488.0,,,,,,250133.0,1287111.0,,,,0.0,300000000.0,102730891.0,102730891.0,,6484669.0,7717.0,0.2339,944226.0,,,0.0,,478357.0,,,,,0.0,,,,,,57682.0,19316.0,38366.0,,,,,,,3486.0,43558.0,,,,216993.0,,159290.0,,-35354.0,487.0,,,0.0,,,,,,,,21097.0,,,,,,,,,90558.0,1060241.0,46452.0,44106.0,,,,,-35841.0,,,-33974.0,,11540.0,5740.0,16645.0,,0.067,14488.0,,,,23729.0,1825.0,,13166.0,,1380.0,,,,0.0,30000000.0,0.0,,,,,,,-35841.0,,404991.0,,279018.0,0.0,,,,,-447801.0,1103516.0,,,6199934.0,,,174.0,102730891.0,
2020-09-30,2020-11-03,10-Q,BIONEXUS GENE LAB CORP.,BGLC,CIK0001737523,USD,,,128786.0,,,661.0,-33352.0,-5011891.0,,1013219.0,720215.0,293004.0,,,,,,,2190072.0,,,,0.0,300000000.0,102730891.0,102730891.0,,6484669.0,482528.0,0.1,2568790.0,,,0.0,,422684.0,,,,,0.0,,,,,,59386.0,19886.0,39500.0,,,,,,,21942.0,248070.0,,,,294005.0,,522222.0,,234950.0,-492.0,,,0.0,,,,,,,,19165.0,,,,,,,,,81629.0,1013219.0,38163.0,43466.0,,,,,234458.0,,,237306.0,,11152.0,3966.0,14258.0,,0.067,6452.0,,,,9089.0,1880.0,,13847.0,,2356.0,,,,0.0,30000000.0,0.0,,,,,,,,,404991.0,,276866.0,0.0,,,,,-507836.0,3091012.0,,,6682462.0,,,673.0,102730891.0,
2020-12-31,2021-03-30,10-K,BIONEXUS GENE LAB CORP.,BGLC,CIK0001737523,USD,1939570.0,3170653.0,,,,,133684.0,-5011891.0,,10115293.0,7985494.0,2129799.0,,,147882.0,4294905.0,,699585.0,2787692.0,,1928616.0,,0.0,300000000.0,171218152.0,171218152.0,,10779574.0,1244885.0,0.4922,9670617.0,-1238.0,,1872.0,,2088107.0,90787.0,,-34923.0,1939570.0,0.012,,,60893.0,,,60340.0,25048.0,35292.0,0.0,13275.0,22017.0,25048.0,10816.0,,,150787.0,3965.0,706953.0,38742.0,1332943.0,,1719823.0,,1262509.0,,169649.0,-143496.0,2190.0,29563.0,147038.0,-524240.0,,411069.0,,-11313.0,1176170.0,-6310.0,0.0,,11004.0,12428.0,18945.0,20702.0,63079.0,3453139.0,10115293.0,3373598.0,79541.0,,-4947.0,1319990.0,552680.0,1094098.0,,,1273822.0,61128.0,20702.0,42377.0,62529.0,,0.054,93962.0,,,,886942.0,281668.0,,22640.0,,,108631.0,421621.0,,0.0,30000000.0,0.0,,38931.0,,,30059.0,1467865.0,1094098.0,-706953.0,,,1785602.0,,2658.0,4759391.0,,0.0,760787.0,11390440.0,65529.0,38931.0,6662154.0,4294905.0,,61313.0,102918015.0,
2021-03-31,2021-05-18,10-Q,BIONEXUS GENE LAB CORP.,BGLC,CIK0001737523,USD,,,,,,,-74784.0,-5011891.0,,9898531.0,7563071.0,2335460.0,0.0,,0.0,,,853198.0,2474659.0,,-313033.0,,,,171218152.0,171218152.0,,10779574.0,130276.0,0.5692,2866594.0,,,1813.0,,1621461.0,10622.0,,0.0,2111242.0,0.0,,,,,-8264.0,51791.0,22843.0,28948.0,,,,,4434.0,,-208468.0,,,,8264.0,302851.0,,582565.0,,338744.0,0.0,-36438.0,,2624.0,-32931.0,-293022.0,-299619.0,,402845.0,,-3358.0,1469192.0,,,,,,,,,3106101.0,9898531.0,3035429.0,70672.0,,-8550.0,-295826.0,115428.0,338744.0,,,342102.0,,16793.0,39911.0,55747.0,,0.054,38269.0,-124085.0,-208468.0,302851.0,62388.0,571609.0,,22933.0,,-3358.0,296025.0,807.0,,,,,,6375.0,-8550.0,,,0.0,,0.0,,,1708104.0,,,,,,1099531.0,3449159.0,,55747.0,6792430.0,,,28874.0,171218152.0,
2021-06-30,2021-08-12,10-Q,BIONEXUS GENE LAB CORP.,BGLC,CIK0001737523,USD,,,,,,,-82252.0,-5011891.0,,9448123.0,7098570.0,2349553.0,,,,,,422893.0,1482705.0,,,,0.0,300000000.0,171218152.0,171218152.0,,10779574.0,20794.0,0.1,2624564.0,,,1811.0,,1059812.0,,,,,0.0,,,,,,44995.0,21385.0,23610.0,,,,,,,,-7468.0,,,,378046.0,,467607.0,,136542.0,108280.0,,,2727.0,,,,,,,,1703136.0,,,,,,,,,2634899.0,9448123.0,2575793.0,59106.0,,,,,28262.0,,,139990.0,,18472.0,33685.0,51265.0,,,34884.0,,,,50429.0,614722.0,,29355.0,,3448.0,,,,0.0,30000000.0,0.0,,,,,,,,,,,1683566.0,,,,,,1127793.0,3092171.0,,,6813224.0,,,106161.0,171218152.0,
