end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapitalCommonStock,AdvertisingExpense,Assets,AssetsCurrent,AvailableForSaleSecuritiesCurrent,BusinessCombinationConsiderationTransferred1,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesDeferredRevenue,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsAndServicesSold,CostOfGoodsSold,DebtSecuritiesRealizedGainLoss,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DueFromAffiliates,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,GainLossOnInvestments,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidExpense,InventoryNet,InventoryWriteDown,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LossContingencyAccrualPayments,LossContingencyAccrualProvision,MarketableSecurities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherExpenses,OtherInterestAndDividendIncome,OtherNonoperatingIncomeExpense,PaymentsToAcquireMarketableSecurities,PaymentsToAcquireProductiveAssets,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromPreviousAcquisition,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RealizedInvestmentGainsLosses,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,SalesRevenueNet,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueNewIssues,TaxesPayableCurrent,UnrealizedGainLossOnInvestments,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2016-06-30,2016-08-22,10-Q,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,,14910.0,43432.0,,,3686.0,165615.0,165615.0,,,,,,,,42477.0,,,,0.0001,,50000000.0,15000000.0,15000000.0,1500.0,,142896.0,,,,,,,,,,,46916.0,0.0,,,,,1922.0,48840.0,,,,,,,,,,,,,79706.0,,61826.0,165615.0,61826.0,,,,,,,18732.0,30108.0,,,,,,,,,,,,24500.0,,,,,,102289.0,,191736.0,191736.0,,103789.0,,,,,,,15000000.0
2016-09-30,2016-11-04,10-Q,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,,15132.0,22943.0,,2998.0,3400.0,148688.0,148688.0,,,,,,,,20510.0,,,,0.0001,,50000000.0,15015000.0,15015000.0,1502.0,,199959.0,,,,,,,,,,,46916.0,-0.001,,,,,1340.0,9391.0,,-20149.0,,,,,,,,,,,105235.0,,62048.0,148688.0,62048.0,,,,,,,-20149.0,29540.0,,,,,,,,,3000.0,,,24800.0,,,,,,82140.0,,209350.0,209350.0,,86640.0,15000.0,,,,,,15000326.0
2016-12-31,2017-04-07,10-K,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,1000.0,1000.0,46154.0,,65197.0,15028.0,202253.0,202253.0,,,,,,,,67513.0,1123.0,,,0.0001,5000.0,50000000.0,15326150.0,15326150.0,1533.0,,705597.0,,-12116.0,,27287.0,,27287.0,27287.0,,,44375.0,78103.0,0.0,0.0,0.34,-0.34,,6971.0,121194.0,,-35634.0,,,-1292.0,,2271.0,,,-48873.0,-28963.0,,83586.0,,79103.0,202253.0,79103.0,,,,60230.0,,-59107.0,-35634.0,156828.0,,95084.0,,,,,,,60230.0,,,130983.0,,,,,3846.0,56420.0,,826791.0,826791.0,,123150.0,,,65230.0,,,12000.0,15058970.0
2017-03-31,2017-05-22,10-Q,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,,21194.0,24468.0,,65997.0,5996.0,195823.0,195823.0,,,,,,,,87355.0,19842.0,,,0.0001,,50000000.0,15330150.0,15330150.0,1533.0,,225075.0,,,,,,,,,,20000.0,28686.0,0.0,,,,,1526.0,63565.0,,,,,19364.0,,-21686.0,,,-49415.0,-414.0,,84000.0,,49880.0,195823.0,49880.0,,,,5800.0,,14042.0,21993.0,41572.0,21993.0,,,,,,,,5800.0,,,34050.0,,,,,,78413.0,,288640.0,288640.0,,145943.0,,,,,,,15326150.0
2017-06-30,2017-08-25,10-Q,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,,10575.0,37547.0,,65197.0,3995.0,296770.0,296770.0,,,,,,,,120786.0,,,,0.0001,,50000000.0,15326150.0,15326150.0,1533.0,251964.0,251964.0,,,,,,,,,,20000.0,107186.0,0.0,,,,,2662.0,75972.0,,,,,,,,,,,,,138437.0,,117761.0,296770.0,117761.0,,,,,,,34419.0,41553.0,34419.0,,,,,,,,,,,34896.0,,,,,,112279.0,,327936.0,327936.0,,179009.0,,,,,,,15326150.0
2017-09-30,2017-11-15,10-Q,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,,9482.0,44271.0,,65197.0,7576.0,292726.0,292726.0,,,,,,,,57045.0,,,,0.0001,,50000000.0,15326150.0,15326150.0,1533.0,269541.0,269541.0,,,,,,,,,,30535.0,54221.0,0.0,,,,,8294.0,90780.0,,50015.0,5142.0,,,,,,,,,,191410.0,,68845.0,292726.0,,,,,,,,44873.0,40765.0,50015.0,,,,-5142.0,,,,,,,24895.0,,,,,,157151.0,,360321.0,360321.0,,223881.0,,,,5142.0,,,15326150.0
2017-12-31,2018-04-13,10-K,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,24963.0,,37886.0,,65197.0,29116.0,279905.0,279905.0,,,,,,,,77879.0,10366.0,77879.0,,0.0001,,50000000.0,15326150.0,15326150.0,1533.0,892015.0,892015.0,,21760.0,,5527.0,,5527.0,5527.0,,,35222.0,44667.0,0.01,0.0,0.21,-0.21,,15969.0,318028.0,,87125.0,,,23963.0,,-8268.0,,,-33436.0,80554.0,,164140.0,,69630.0,279905.0,,,,,5000.0,,5366.0,87125.0,230903.0,,7000.0,,,,,,,5000.0,,,126741.0,,,,,59077.0,143545.0,1210043.0,1210043.0,1210043.0,,210275.0,,,,,,22000.0,15326150.0
2018-03-31,2018-05-15,10-Q,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,35394.0,,24012.0,,65197.0,12012.0,258927.0,258927.0,,,,,,,,103710.0,25831.0,,,0.0001,,50000000.0,15326150.0,15326150.0,1533.0,201166.0,201166.0,,,,,,,,,,33690.0,66902.0,,,,,,42649.0,59111.0,,,,,10431.0,,-13873.0,,,22236.0,-32935.0,,131205.0,,102296.0,258927.0,,,,,,,25831.0,-53644.0,112755.0,-28076.0,,25568.0,,,,,,,,,34325.0,,,,,23769.0,89901.0,260277.0,,260277.0,,156631.0,,,,,,,15326150.0
2018-06-30,2018-08-14,10-Q,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,14695.0,,43181.0,,65197.0,9907.0,265205.0,265205.0,,,,,,,,107188.0,,107188.0,,0.0001,,50000000.0,15326150.0,15326150.0,1533.0,171454.0,,,,,,,,,,,53068.0,110048.0,0.0,,,,,3040.0,64075.0,,,,,,,,,,,,,114836.0,,124743.0,265205.0,,,,,,,,-16169.0,80244.0,-19652.0,,,,3483.0,,,,,,,43527.0,,,,,23770.0,73732.0,235529.0,235529.0,,,140462.0,,,,,,,15326150.0
2018-09-30,2018-11-14,10-Q,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,12755.0,,30513.0,,65197.0,12237.0,,286449.0,,,,,,,,121465.0,,121465.0,,0.0001,,50000000.0,15326150.0,15326150.0,1533.0,128115.0,,,,,,,,,,,46142.0,145672.0,-0.001,,,,,1356.0,51023.0,,,,,,,,,,,,,134471.0,,158427.0,286449.0,,,,,,,,-12440.0,63463.0,-12440.0,,,,,,,,,,,26100.0,,,,,23770.0,61292.0,179138.0,179138.0,,,128022.0,,,,,,,15326150.0
