end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableCurrent,AccountsPayableInterestBearingCurrent,AccruedLiabilities,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,AssetsNoncurrent,CapitalizedComputerSoftwareGross,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CashFDICInsuredAmount,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsSold,CostOfRevenue,DebtConversionOriginalDebtAmount1,DeferredCosts,DeferredCostsCurrentAndNoncurrent,DeferredRevenueRefundPayments,Depreciation,DepreciationDepletionAndAmortization,DepreciationExpense,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationDeductions,EffectiveIncomeTaxRateReconciliationDeductionsOther,EffectiveIncomeTaxRateReconciliationDispositionOfAssets,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,ExtinguishmentOfDebtAmount,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpense,FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,FiniteLivedIntangibleAssetsFutureAmortizationExpense,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,FutureAmortizationExpenseAfterYearFive,FutureAmortizationExpenseRemainderOfFiscalYear,FutureAmortizationExpenseYearFive,FutureAmortizationExpenseYearFour,FutureAmortizationExpenseYearOne,FutureAmortizationExpenseYearThree,FutureAmortizationExpenseYearTwo,GainLossOnSaleOfOtherAssets,GainLossRelatedToLitigationSettlement,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLongLivedAssetsToBeDisposedOf,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossIncludingPortionAttributableToNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInDeferredCharges,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOperatingLiabilities,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsNetExcludingGoodwill,InterestAndDebtExpense,InterestAndDividendsPayableCurrent,InterestExpense,InterestPaid,InterestPayableCurrent,InvestmentIncomeNet,LaborAndRelatedExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MachineryAndEquipmentGross,MediumtermNotesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,NonoperatingIncomeExpense,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpense,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherAdditionalCapital,OtherAssetImpairmentCharges,OtherExpenses,OtherGeneralAndAdministrativeExpense,OtherGeneralExpense,OtherLiabilitiesCurrent,OtherNonoperatingIncomeExpense,OtherOperatingActivitiesCashFlowStatement,OtherSellingGeneralAndAdministrativeExpense,OtherShortTermBorrowings,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireSoftware,PrepaidExpense,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,PrepaidExpenseNoncurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfOtherDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentDisposals,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfNotesPayable,RepaymentsOfOtherDebt,RepaymentsOfRelatedPartyDebt,RepaymentsOfShortTermDebtMaturingInMoreThanThreeMonths,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShortTermBorrowings,ShortTermNonBankLoansAndNotesPayable,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueShareBasedCompensation,TravelAndEntertainmentExpense,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WriteOffOfDeferredDebtIssuanceCost
2008-12-31,2009-03-30,10-K,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,,,,,,,331000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-431022.0,,,,,,,,,,,,,121077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-192383.0,,,,,,,,
2009-12-31,2010-02-26,10-K,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,,,,,,,52430.0,,,,,,,,,,2961.0,2961.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-480390.0,,,,,,,,,,,,,238837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-294006.0,,87500.0,,,,,,
2010-06-30,2010-08-16,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,,,,,,,,,,,,,,,,,64101.0,,,,,,,,,,,,,-431855.0,,,,,,,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-273056.0,-276001.0,,,,,,,,,,,,,,,,-2945.0,,,,,,,,,,,,,-276001.0,,,,273056.0,,,,,,,2808.0,,58457.0,,-2945.0,,6422.0,,,,,,,,,,,,,,,,191437.0,,,,,,,,,,,,,,5991.0,,,,,,,,,,,7940.0,,170228897.0,
2010-09-30,2010-11-15,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,,,,,,,,,,,,,,,,,,31806.0,,,,,,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-93696.0,-96165.0,,,,,,,,,,,,,,,,-2469.0,,,,,,,,,,,,,-96165.0,,,,93696.0,,,,,,,3058.0,,46152.0,,,,4415.0,,,,,,,,,,,,,,,,19913.0,,,,,,,,,,,,,,17532.0,,,,,,,,,,,2626.0,,174589294.0,
2010-12-31,2011-03-30,10-K,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,543961.0,543961.0,,7847.0,,,6380566.0,153332.0,10451.0,,,,,328844.0,,1621.0,,128560.0,128560.0,125599.0,,,,,186393.0,,186393.0,,,,,1611.0,-1611.0,,,,,123113.0,,-0.01,0.0,0.34,-0.3016,-0.0384,,,0.0,,,,,,,,,,,,67052.0,,,,,,,,,,,,,,,-1896324.0,-1905362.0,,,,,467299.0,-5655.0,,,,,,-112000.0,68663.0,,1583.0,-9038.0,9480.0,,,,,328844.0,676504.0,,,1394101.0,-1611.0,-1266891.0,-1905362.0,,,,1896324.0,,,,,,1068860.0,11786.0,,215376.0,,,,26105.0,,,,,130000.0,258560.0,130000.0,,,1573332.0,,1420000.0,,,,455381.0,,,,1621.0,,-179231.0,,,,,,-6914619.0,,41173.0,,,63000.0,,,-347660.0,-347660.0,1420000.0,,63000.0,14643.0,,173723834.0,
2011-03-31,2011-05-13,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,,,,,,,,2723.0,,,,,,,,,,260733.0,132173.0,,,,,,,,,,,,,-1710.0,,,,,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149338.0,-150238.0,,,,,-66542.0,-699.0,,,,,,,,,,-900.0,1583.0,,,,,,,,,304687.0,-3910.0,-168604.0,-150238.0,,,,149338.0,,,,,,,2998.0,,46152.0,,,,4880.0,,,,-2200.0,,,,,,362000.0,,,,,,72719.0,,,,,,-57313.0,,,,,,,,17532.0,,,,,,,,,,,5057.0,,187559532.0,
2011-06-30,2011-08-11,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,405816.0,,18749.0,,-4256.0,6947852.0,12000.0,,,,,,399268.0,,2334.0,3640.0,175613.0,175615.0,,,,,,192643.0,,,,,,-25436.0,25436.0,,,,,,13800.0,,-0.01,,,,,,,,,,,,,,,,,,,65885.0,,,,,,,,,,,,,,,-114735.0,-115049.0,,,,,,,,,,,,,91321.0,,314.0,-314.0,,,,,,399268.0,438679.0,,,,,,-115049.0,,,,114735.0,,,,,61536.0,,3641.0,,15384.0,,-314.0,,4485.0,,,,,130000.0,305613.0,,,,,,,,,,47156.0,,,,1982.0,,,,,,,,-7179906.0,,43578.0,,,,,,-39411.0,-39411.0,,,,491.0,,192271986.0,
2011-09-30,2011-11-07,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,359787.0,,,6180.0,,,6947852.0,12000.0,,,,,,260373.0,,2129.0,,46399.0,46399.0,,,,,,,,192643.0,,,,,18265.0,,,,,,5800.0,,-0.01,,,,,,,,,,,,,,,,,,,63580.0,,,,,,,,,,,,,,,-71982.0,-72014.0,,,,,,,,,,,,130000.0,81845.0,,32.0,-32.0,,,,,,260373.0,371799.0,,,,,,-72014.0,,,,71982.0,,,,,,,2720.0,,,,,,3454.0,,,,,130000.0,176399.0,,,,,,,,,,8415.0,,,,1982.0,,,,,,,,-7251921.0,,56275.0,,,,,,-111426.0,,,,,1118.0,,192271985.0,
2011-12-31,2012-03-12,10-K,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,239821.0,,,30432.0,,-4608.0,6958740.0,22888.0,10487.0,,,,,98487.0,,1982.0,3640.0,13405.0,13405.0,-115155.0,,,,,,,192643.0,,,,,21826.0,-20215.0,,,1344.0,,5800.0,,-0.01,0.0,0.34,-0.2895,-0.0505,,,0.0,,,9143.0,,,,,,,,,61274.0,,,,,,,,,,,,,,,-413084.0,-414330.0,,,,,-281555.0,-1583.0,,,,,,130000.0,83100.0,,,-1246.0,2813.0,,,,,98487.0,276053.0,,,405575.0,-25780.0,-494950.0,-414330.0,,,,413084.0,,,,,,,11877.0,,61536.0,,,,17174.0,,,-3365.0,-2200.0,,13405.0,130000.0,,,522888.0,,500000.0,,,,138939.0,,495.0,,1982.0,,-117313.0,,,,,,-7328949.0,,176891.0,,,,,,-177566.0,,500000.0,,,6667.0,,191296975.0,
2012-03-31,2012-05-11,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,205132.0,,,8285.0,,,7259700.0,6000.0,-2679.0,,,,,232220.0,,5328.0,,144380.0,144380.0,130975.0,,,,,,,199683.0,,,,,18494.0,3332.0,,,,,5800.0,,-0.01,,,,,,,,,,2348.0,,,,,,,,,64018.0,,,,,,,,,,,,,,,-117431.0,-117431.0,,,,,56835.0,,,,,,,,82512.0,,,,,,,,,232220.0,219217.0,,,308000.0,-5438.0,-54156.0,117431.0,,,,117431.0,,,,,,,3079.0,,,,,,6378.0,,,5092.0,3678.0,,144380.0,,,,308000.0,,,,,,40842.0,,,,5328.0,,,,,,,,-7446380.0,,66358.0,,,,,,13003.0,,302000.0,,,774.0,,198650338.0,
