end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,BusinessAcquisitionPercentageOfVotingInterestsAcquired,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CurrentFederalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueFromOfficersOrStockholders,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,GeneralAndAdministrativeExpense,GrossProfit,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInPrepaidExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,PaymentsForRepurchaseOfCommonStock,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProfessionalFees,ProfitLoss,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,SharePrice,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockRepurchasedAndRetiredDuringPeriodShares,StockRepurchasedAndRetiredDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2014-08-31,2014-10-14,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,,,,,616.0,616.0,,616.0,,,,,75000000.0,4000000.0,4000000.0,4000.0,,0.0,,,,,,0.0,0.0,,0.0,,,,,,1678.0,616.0,1678.0,1678.0,,,-1061.0,1061.0,-1061.0,,,,,,,,,,,,,-5062.0,0.0,0.0,1061.0,,,,-1062.0,,,,,,,,4000000.0
2014-11-30,2015-03-19,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,,,20900.0,,20636.0,20636.0,,10636.0,,,,,75000000.0,5100000.0,5100000.0,5100.0,,0.0,,,,,,0.0,0.0,,0.0,,,,,,1678.0,20636.0,1678.0,1678.0,,,-1980.0,1980.0,-1980.0,,,,,,,,,,,,,-7042.0,0.0,0.0,1980.0,,,,18958.0,,,,,,,,4422308.0
2015-02-28,2015-06-29,10-K,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,,,20900.0,,14392.0,14392.0,,14392.0,10392.0,,,,75000000.0,5100000.0,5100000.0,5100.0,,,,,,,,,0.0,,,,,,,,1678.0,14392.0,1678.0,1678.0,23000.0,-12608.0,-12608.0,12608.0,-12608.0,,,,,22000.0,,,1000.0,,-12608.0,,,-13286.0,,0.0,12608.0,,,12714.0,12714.0,,,,,,,,
2015-05-31,2015-07-15,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,,,20900.0,,838.0,838.0,,838.0,-13554.0,,,,75000000.0,5100000.0,5100000.0,5100.0,,,,,,,,0.0,0.0,,16354.0,,,,,,4478.0,838.0,4478.0,4478.0,2800.0,-16354.0,-16354.0,16354.0,-16354.0,,,,,0.0,,2800.0,2800.0,,-16354.0,,,-29640.0,,,16354.0,,,,-3640.0,,,,,,,5100000.0,
2015-08-31,2015-10-23,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,,,20900.0,,51.0,51.0,,51.0,,,,,75000000.0,5100000.0,5100000.0,5100.0,,,,,,,,0.0,0.0,,2307.0,4500.0,,,,,1498.0,51.0,1498.0,1498.0,,,2193.0,2307.0,2193.0,,,,,,,,,,,,,-27447.0,4500.0,4500.0,2307.0,,,,-1447.0,,,,,,,5100000.0,
2015-11-30,2016-01-22,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,1000.0,,20900.0,,8.0,8.0,,8.0,,,,,75000000.0,5100000.0,5100000.0,5100.0,,,,,,,,0.0,0.0,,1322.0,,,,,,2778.0,8.0,2778.0,1778.0,,,-1322.0,1322.0,-1322.0,,,,,,,,,,,,,-27770.0,,0.0,1322.0,,,,-1770.0,,,,,,,5100000.0,
2016-02-29,2016-04-19,10-K,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,,20900.0,20900.0,,3757.0,3757.0,,3757.0,-10635.0,,,0.001,75000000.0,5100000.0,5100000.0,5100.0,4635.0,,8922.0,8922.0,,4678.0,,0.0,0.0,,21835.0,8200.0,,,,,4678.0,3757.0,4678.0,4678.0,3000.0,-13635.0,-13635.0,21835.0,-21834.0,,,,,0.0,3000.0,,3000.0,,-13634.0,,,-26921.0,8200.0,8200.0,21834.0,,,-921.0,-920.0,,,,,,,5100000.0,
2016-05-31,2016-07-21,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,6500.0,36578.0,,,7500.0,7500.0,0.96,,-3757.0,,,0.001,75000000.0,7100000.0,7100000.0,7100.0,,,,,,432.0,,0.0,,,16542.0,,,6500.0,7500.0,,7285.0,7500.0,7285.0,,13432.0,-17189.0,-16542.0,16542.0,-16542.0,,,7500.0,,17678.0,,,,,,,4246.0,-43463.0,,,,,,215.0,,,,870000.0,,,,5969565.0,
2016-08-31,2016-10-24,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,4500.0,36578.0,,,5000.0,5000.0,0.96,,,,,0.001,75000000.0,7100000.0,7100000.0,7100.0,,,,,,8343.0,,0.0,,,8448.0,,,,,,13233.0,5000.0,13233.0,,,,-8448.0,8448.0,-8448.0,,,5000.0,,,,,,,,,,-51911.0,,,,,,-8233.0,,,,,,,,7100000.0,
2016-11-30,2017-02-02,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,2819.0,36578.0,,,4227.0,4227.0,0.96,1727.0,,,,0.001,75000000.0,7100000.0,7100000.0,7100.0,,,,,,14177.0,,0.0,,,4537.0,,,,,,16996.0,4227.0,16996.0,,,,-4537.0,4537.0,-4537.0,,,2500.0,,,,,,,,,,-56447.0,,,,,,-12796.0,,,,,,,,7100000.0,
