end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,Assets,AssetsCurrent,BusinessAcquisitionPercentageOfVotingInterestsAcquired,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DeferredTaxAssetsNet,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DepreciationNonproduction,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,FiniteLivedIntangibleAssetsNet,GeneralAndAdministrativeExpense,ImpairmentOfIntangibleAssetsFinitelived,ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,ImpairmentOfLongLivedAssetsHeldForUse,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OtherNoncashExpense,PaymentsToAcquireMachineryAndEquipment,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RepaymentsOfNotesPayable,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpenseSoftwareExcludingAcquiredInProcessCost,RetainedEarningsAccumulatedDeficit,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForCash,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2009-09-30,2010-02-11,10-K,"PACIFIC SOFTWARE, INC.",PFSF,CIK0001400732,USD,,,,,,,,1915.0,,,,,,,,,,,,,,,,,,,,,,14151.0,,,,,,,,,,,,,,,,,,,15000.0,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,2010-05-25,10-Q,"PACIFIC SOFTWARE, INC.",PFSF,CIK0001400732,USD,,,,,,,,1915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-11,10-Q,"PACIFIC SOFTWARE, INC.",PFSF,CIK0001400732,USD,,,,,,,,0.0,-1915.0,,,,,,,,0.0,,,,,,,,0.01,,0.0,,,,,20467.0,,6021.0,,,246.0,,,246.0,,,,,28015.0,28015.0,-29930.0,,,,,,,,,,,,,,,28015.0,44954.0,-45465.0,,0.0,0.0,,,,,,4049000.0
2010-09-30,2011-01-13,10-K,"PACIFIC SOFTWARE, INC.",PFSF,CIK0001400732,USD,32150.0,,142841.0,,0.0,,,0.0,-1915.0,0.001,,100000000.0,4049000.0,4049000.0,4049.0,,0.0,,,0.0,-211603.0,,31656.0,,-0.02,,236.0,0.0,,,0.0,25285.0,,,,27961.0,907.0,0.0,1615.0,0.0,64713.0,0.0,,,17346.0,0.0,-19261.0,-92671.0,,,1518.0,0.0,,,0.001,10000000.0,0.0,0.0,3840.0,,,13506.0,85702.0,-74932.0,0.0,0.0,,0.0,-211603.0,-64713.0,,8098000.0,
2010-12-31,2011-02-15,10-Q,"PACIFIC SOFTWARE, INC.",PFSF,CIK0001400732,USD,,,,0.0,,,,0.0,0.0,0.001,,100000000.0,4049000.0,4049000.0,,,0.0,,,0.0,,,,-0.01,,,0.0,0.0,,,0.0,1040.0,,4750.0,,,798.0,0.0,798.0,0.0,,,,,0.0,0.0,0.0,-6588.0,,,,,0.0,,0.001,10000000.0,,,0.0,0.0,,0.0,4040.0,-6588.0,,,,0.0,,,,4049000.0,
2011-03-31,2011-05-13,10-Q,"PACIFIC SOFTWARE, INC.",PFSF,CIK0001400732,USD,,,,,,,,0.0,,0.001,,100000000.0,4049000.0,4049000.0,,,,,,0.0,,,,,-0.01,,0.0,0.0,,,,,,,,,,,798.0,,,,,,,,,-16999.0,,,,,,,0.001,10000000.0,,,,,,,13667.0,,,,0.0,,,,,,
2011-06-30,2011-08-15,10-Q,"PACIFIC SOFTWARE, INC.",PFSF,CIK0001400732,USD,36602.0,,142841.0,,699.0,,,0.0,,,,,,,4049.0,,0.0,,,,,,55811.0,,-0.01,,0.0,,,,,4452.0,,,2847.0,,,-699.0,1251.0,1251.0,96167.0,699.0,,,24155.0,24155.0,-24155.0,,,,,,,,,,0.0,699.0,,,,24155.0,4301.0,-7167.0,,0.0,0.0,,-242358.0,-95468.0,,,4049000.0
2011-09-30,2012-01-10,10-K,"PACIFIC SOFTWARE, INC.",PFSF,CIK0001400732,USD,39618.0,,142841.0,4254.0,1000.0,,,0.0,0.0,0.001,0.0,100000000.0,4049000.0,4049000.0,4049.0,,0.0,0.0,,0.0,-257430.0,,66761.0,,-0.02,0.0,454.0,0.0,0.0,,0.0,6468.0,,,,0.0,4254.0,-1000.0,5661.0,0.0,111540.0,1000.0,,,35105.0,0.0,-35105.0,30755.0,66761.0,,0.0,0.0,0.0,,0.001,10000000.0,0.0,1000.0,0.0,,,35105.0,41984.0,-45827.0,0.0,0.0,,0.0,,-110540.0,,8098000.0,
2011-12-31,2012-02-08,10-Q,"PACIFIC SOFTWARE, INC.",PFSF,CIK0001400732,USD,48227.0,0.0,142841.0,3649.0,2000.0,,,0.0,0.0,0.001,0.0,100000000.0,4049000.0,4049000.0,4049.0,,0.0,0.0,,0.0,-277920.0,,77994.0,-0.01,-0.01,,0.0,0.0,0.0,,0.0,8980.0,,0.0,,0.0,3649.0,-2000.0,1649.0,0.0,133030.0,2000.0,,0.0,11233.0,0.0,-11233.0,-20862.0,,,0.0,,0.0,,0.001,10000000.0,,2000.0,0.0,0.0,,11233.0,15980.0,-20862.0,0.0,0.0,,0.0,,-131030.0,,4049000.0,
2012-03-31,2012-05-11,10-Q,"PACIFIC SOFTWARE, INC.",PFSF,CIK0001400732,USD,47749.0,,142841.0,,1000.0,,,0.0,,0.001,,100000000.0,4049000.0,4049000.0,4049.0,,,,,0.0,-286454.0,,84361.0,,-0.002,,0.0,0.0,,,,,,,,,,,1644.0,,140564.0,1000.0,,,,,,-8162.0,,8162.0,,,,,0.001,10000000.0,0.0,1000.0,,,,,4766.0,,,,0.0,,,-139564.0,,,
