end,filed,form,Name,Ticker,CIK,Currency,AcceleratedShareRepurchasesSettlementPaymentOrReceipt,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableOtherCurrentAndNoncurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,Assets,AssetsNet,CapitalUnitsOutstanding,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ConcentrationRiskPercentage1,DebtInstrumentInterestRateIncreaseDecrease,DeferredRevenue,DistributionMadeToLimitedLiabilityCompanyLLCMemberCashDistributionsDeclared,DistributionMadeToLimitedLiabilityCompanyLLCMemberCashDistributionsPaid,DistributionMadeToLimitedLiabilityCompanyLLCMemberDistributionsDeclaredPerUnit,DistributionMadeToLimitedLiabilityCompanyLLCMemberDistributionsPaidPerUnit,DistributionMadeToLimitedPartnerCashDistributionsPaid,DistributionMadeToLimitedPartnerDistributionsPaidPerUnit,DividendsPayableAmountPerShare,DueFromAffiliates,DueToAffiliateCurrentAndNoncurrent,DueToCorrespondentBrokers,DueToOfficersOrStockholdersCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EquityMethodInvestmentOwnershipPercentage,EquityMethodInvestments,FairValueMeasuredOnRecurringBasisGainLossIncludedInEarnings,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchases,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSettlements,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersNet,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue,ForeignCurrencyTransactionGainBeforeTax,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionLossBeforeTax,GainLossOnInvestments,GeneralAndAdministrativeExpense,IncentiveFeeExpense,IncreaseDecreaseDueFromAffiliates,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedInvestmentIncomeReceivable,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueFromAffiliatesCurrent,IncreaseDecreaseInDueToAffiliates,IncreaseDecreaseInDueToAffiliatesCurrent,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInOperatingAssets,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidExpense,InterestAndDividendIncomeOperating,InterestAndFeeIncomeLoansAndLeases,InterestExpenseDebt,InterestIncomeDepositsWithFinancialInstitutions,InterestPaid,InterestPaidNet,InterestReceivable,InterestRevenueExpenseNet,InvestmentIncomeInterest,InvestmentIncomeInterestAndDividend,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedUnrecognizedUnrealizedDepreciation,Investments,Liabilities,LiabilityForUncertainTaxPositionsCurrent,LoansReceivableNet,LongTermDebt,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,ManagementFeeExpense,ManagementFeePayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoninterestExpenseInvestmentAdvisoryFees,NoninterestExpenseOfferingCost,NotesReceivableGross,OfferingCostsPartnershipInterests,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OtherAssets,OtherExpenses,OtherReceivables,PaidInKindInterest,PartnersCapital,PartnersCapitalAccountContributions,PartnersCapitalAccountDistributions,PartnersCapitalAccountPeriodIncreaseDecrease,PartnersCapitalAccountPrivatePlacementOfUnits,PartnersCapitalAccountPublicSaleOfUnits,PartnersCapitalAccountTreasuryUnitsPurchases,PartnersCapitalAccountUnitsSoldInPrivatePlacement,PartnersCapitalAccountUnitsTreasury,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForRepurchaseOfOtherEquity,PaymentsOfStockIssuanceCosts,PaymentsToAcquireInvestments,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromInterestReceived,ProceedsFromIssuanceOfCommonLimitedPartnersUnits,ProceedsFromIssuanceOfCommonStockDividendReinvestmentPlan,ProceedsFromNotesPayable,ProceedsFromPartnershipContribution,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProfessionalFees,ProfitLoss,RealizedInvestmentGainsLosses,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,RetainedEarningsUnappropriated,SeniorNotes,SponsorFees,StockIssuedDuringPeriodValueDividendReinvestmentPlan,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2013-03-31,2013-05-15,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,252.0,,,,,200117.0,199865.0,,200117.0,200117.0,3.0,,,,,,,,,,,,,,,,,0.0,1.0,200000.0,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,,,,,,,,,39.0,39.0,39.0,3.0,,,,,252.0,,,,,,,,,,,,,,,3.0,,,,,,,36.0,,,,,,199865.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22160.665
2013-06-30,2013-08-14,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,,,,,2967844.0,2964152.0,345667.53,2227282.0,2227282.0,,,,,,,,,,,,,0.0017,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,620.0,,,,,,,,,,,3237.0,,3674.0,3674.0,620.0,737325.0,737325.0,,,3692.0,,,,,,,,,,3090.0,3090.0,,,,,,,,,,,3090.0,,,,,,2964152.0,,,,,,,,,,,,,,,,,,,,,,,,485.0,,,,,,91828.126
2013-09-30,2013-11-14,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,,,,,4719850.0,4636860.0,540880.631,930628.0,930628.0,,,,,,,,,,,,,,41076.0,,,22892.0,0.16,,,,,,,,,,,,,,,,14591.0,,,,,,,,,,67966.0,,,,,,,,,,,65969.0,,95868.0,95868.0,67966.0,3224807.0,3224807.0,,,82990.0,,,,,,,,,,23331.0,26420.0,,,,,,,,,,,27902.0,,,,379970.0,,4636860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10020.0,,,433303.579
2013-12-31,2014-03-31,10-K,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,149.0,28002.0,,,13461818.0,,1559137.0,,6666659.0,6466545.0,,,1.0,,,,216380.0,,,,,,79109.0,31391.0,17347.0,65015.0,0.59,,,,,,,,,,6547061.0,,,,0.0,,34001.0,28075.0,,114809.0,,,,31139.0,,65015.0,362888.0,,-149.0,,54180.0,,,,,,,114809.0,,246730.0,393879.0,362888.0,6547061.0,6547061.0,,,96555.0,0.0,,,,,,,,,93146.0,,12898628.0,12898628.0,,-6432083.0,,,705946.0,,705946.0,,30991.0,,,,,,13365263.0,102068.0,266642.0,13165401.0,13216304.0,,,1536976.104,,,,705946.0,8162158.0,54180.0,,13820954.0,50262.0,,102068.0,1643099.0,,,,,,50262.0,,96156.0,50262.0,0.0,455812.023
2014-03-31,2014-05-15,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,,34009.0,516738.0,,21997159.0,,2550833.153,,6583010.0,-83649.0,,,1.0,,50000.0,,249979.0,,0.155,,0.015,,367646.0,4523.0,87469.0,95043.0,0.14,,,,,,,,,,,,,,0.0,137699.0,57955.0,256787.0,,18293.0,,50000.0,,-26868.0,,30028.0,289773.0,,-149.0,,-23220.0,,,,,,,133102.0,,289773.0,289773.0,289773.0,14882441.0,14882441.0,,,149566.0,0.0,200000.0,,,,,,,,109079.0,,8160807.0,8160807.0,,-8244456.0,,,467739.0,,1173685.0,,,,,,,,21847593.0,31750.0,321461.0,8482330.0,8514018.0,,,991696.384,,,,467739.0,8822516.0,30960.0,,8878525.0,71482.0,,63500.0,521145.0,306914.0,,,,,30466.0,,-167034.0,71482.0,0.0,2076096.502
2014-06-30,2014-08-13,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,,,456835.0,,30037303.0,29743867.0,3475116.678,,10981833.0,,,,,,,,128489.0,,,,,,814394.0,15480.0,,128489.0,0.17,,,0.0,,,,,,,,,,,0.0,216588.0,99663.0,,,,,,,,,,498314.0,,,,,,,,,,,239778.0,651.0,656910.0,657661.0,498314.0,17993558.0,17993558.0,,,293436.0,0.0,,,,,,,,,149467.0,149467.0,,,,,,,,,1619053.0,9780.0,159247.0,,,,,,29743867.0,,,,,,,,,1032623.0,,,,7740.0,,,,,,,193372.0,,,,,59962.0,,99663.0,,,2906193.746
2014-09-30,2014-11-12,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,,,1300495.0,,44741868.0,,5195730.953,,2463712.0,,,,,,,,,0.002,,,,,661993.0,31391.0,,201571.0,0.18,,,0.0,,,,,,,,,,,0.0,182045.0,156590.0,,,,,,,,,,782949.0,,,,,,,,,,,502243.0,11024.0,854884.0,865908.0,782949.0,41093624.0,41093624.0,,,284530.0,0.0,,,,,,,,,222701.0,82959.0,,,,,,,,,2434134.0,,82959.0,,,,,,44457338.0,,,,,,,,,1998825.0,,,,20296.0,,,,,,,98002.0,,,,,90994.0,,296332.0,,,4345654.006
2014-12-31,2015-03-27,10-K,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,2316.0,102387.0,,,62929147.0,,7282960.0,,7875917.0,1209258.0,,,,0.0175,,2751722.0,1939052.0,,0.702,,0.008,,791088.0,29489.0,804607.0,293860.0,0.7699999999999999,,,0.0,,77992548.0,31194554.0,,,,53447442.0,,,,0.0,667789.0,544147.0,763013.0,,649504.0,,,,-1902.0,,228845.0,3870437.0,,265.0,,-3793.0,,,,,,,764313.0,20622.0,3351246.0,4930492.0,3870437.0,53447442.0,53447442.0,,,639155.0,0.0,,,,,,,,,794737.0,313490.0,,46255026.0,,-45045768.0,,,2732776.0,37814.0,3438722.0,105215.0,651131.0,,,,,,62289992.0,31750.0,2751722.0,48924729.0,48955714.0,48955714.0,65634.0,5731096.0,7272.0,,65634.0,2732776.0,77992548.0,50387.0,,50909704.0,812669.0,,82784.0,31194554.0,759428.0,,,,,812669.0,,,,0.0,3921471.0
2015-03-31,2015-05-14,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,3135.0,,,,72702193.0,,8418486.0,,9078867.0,1202950.0,,,,,,,944850.0,,0.178,,,,1120636.0,11812.0,,337611.0,0.18,,,0.0,,,,,,,,,,,,144057.0,277180.0,329548.0,,269141.0,,,,-17677.0,,43751.0,1385899.0,,819.0,,-6089.0,,,,,,,1033454.0,17616.0,1768866.0,1786482.0,1385899.0,61424938.0,61424938.0,,,714311.0,0.0,,,,,,,,,361748.0,361753.0,,8294314.0,,-7091364.0,,,550229.0,,3988951.0,,400583.0,,,,,,71987882.0,,1386160.0,9697890.0,9698151.0,9698151.0,,1135525.687,,,,567906.0,31259529.0,44298.0,,9807070.0,441310.0,,,23282033.0,289988.0,,,,,441310.0,,,,0.0,7804588.0
2015-06-30,2015-08-11,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,3822.0,,,,85257832.0,84413298.0,9873705.0,,13109572.0,,,,,,,,,,,,,,1367745.0,50810.0,,365774.0,0.18,,,0.0,,,,,,,68604367.0,,,,,150307.0,327310.0,,,,,,,,,,1636553.0,,,,,,,,,,,2137938.0,11506.0,2138151.0,2149657.0,1636553.0,68604367.0,68604367.0,,,844534.0,0.0,,,,,,,,,424187.0,424128.0,,,,,,,,,4696946.0,,513104.0,,,,,,84413298.0,,,,,,,,,,,,,38210.0,,,,,,,192093.0,,,,,,,,,,9110508.0
