end,filed,form,Name,Ticker,CIK,Currency,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockValue,ContributionOfProperty,CostOfGoodsAndServicesSold,CostOfRevenue,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProfitLoss,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic,CashAndCashEquivalentsAtCarryingValueIncludingDiscontinuedOperations,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,OperatingCostsAndExpenses
2016-03-31,2016-06-20,10-Q,"Road Marshall, Inc.",RDMR,CIK0001657249,USD,2700.0,21546.0,,,,,0.0001,500000000.0,15000000.0,15000000.0,1500.0,10.0,,,,25756.0,0.0,,3524.0,,,,,,,,2700.0,,,,-3524.0,3524.0,0.0001,20000000.0,100000.0,100000.0,,,,,,,,,-2700.0,,,,15000000.0,,,
2016-06-30,2016-08-11,10-Q,"Road Marshall, Inc.",RDMR,CIK0001657249,USD,2700.0,48796.0,25000.0,,,,0.0001,500000000.0,20000000.0,20000000.0,2000.0,10.0,,,,28506.0,0.0,,2750.0,,,,,,,25000.0,2700.0,,,,-2750.0,2750.0,0.0001,20000000.0,100000.0,100000.0,,,,,,,,,22300.0,,,,17362637.0,,,
2016-09-30,2017-01-13,10-K,"Road Marshall, Inc.",RDMR,CIK0001657249,USD,1670.0,61556.0,25000.0,,25000.0,25000.0,0.0001,500000000.0,20000000.0,20000000.0,,2000.0,36656.0,,,,0.0,,30326.0,,-30326.0,30326.0,,,,25000.0,1670.0,25000.0,25000.0,,-30326.0,30326.0,0.0001,20000000.0,100000.0,100000.0,10.0,36656.0,,25000.0,,-30326.0,-40236.0,,23330.0,,25000.0,,16849315.0,,,
2016-12-31,2017-02-21,10-Q,"Road Marshall, Inc.",RDMR,CIK0001657249,USD,1880.0,88006.0,,,25000.0,,0.0001,500000000.0,20000000.0,20000000.0,,2000.0,,,,,0.0,,26660.0,,,26660.0,,,,25000.0,1880.0,,,,-26660.0,26660.0,0.0001,20000000.0,100000.0,100000.0,10.0,,,,,,-66896.0,,23120.0,,,,20000000.0,,,
2017-03-31,2017-06-02,10-Q,"Road Marshall, Inc.",RDMR,CIK0001657249,USD,3745.0,99886.0,35000.0,,35000.0,,0.0001,500000000.0,20000000.0,20000000.0,,2000.0,,8000.0,8000.0,,0.0,,5745.0,2000.0,,,,,,35000.0,3745.0,,,,-3745.0,5745.0,0.0001,20000000.0,100000.0,100000.0,10.0,,,,,,-70641.0,10000.0,31255.0,,,,20000000.0,,,
2017-06-30,2017-08-14,10-Q,"Road Marshall, Inc.",RDMR,CIK0001657249,USD,4275.0,95631.0,30000.0,,30000.0,,0.0001,500000000.0,20000000.0,20000000.0,,2000.0,,12000.0,12000.0,,0.0,,4275.0,3000.0,,,,,,30000.0,4275.0,,,,-1275.0,4275.0,0.0001,20000000.0,100000.0,100000.0,10.0,,,,,,-71916.0,15000.0,25725.0,,,,20000000.0,,,
2017-09-30,2018-01-09,10-K,"Road Marshall, Inc.",RDMR,CIK0001657249,USD,2960.0,99906.0,8000.0,,8000.0,8000.0,0.0001,500000000.0,20000000.0,20000000.0,,2000.0,,32000.0,32000.0,,0.0,,39640.0,8000.0,,39640.0,,8000.0,,8000.0,2960.0,,,8000.0,-31640.0,39640.0,0.0001,20000000.0,100000.0,100000.0,10.0,38350.0,,,8000.0,-31640.0,-71876.0,40000.0,5040.0,,,,20000000.0,,,
2017-12-31,2018-02-14,10-Q,"Road Marshall, Inc.",RDMR,CIK0001657249,USD,460.0,110451.0,33000.0,,8000.0,,0.0001,500000000.0,20000000.0,20000000.0,,2000.0,,,,,0.0,,8045.0,,,8045.0,,,,33000.0,460.0,,,,-8045.0,8045.0,0.0001,20000000.0,100000.0,100000.0,10.0,,,,,,-79921.0,,32540.0,,,,20000000.0,,,
2018-03-31,2018-05-16,10-Q,"Road Marshall, Inc.",RDMR,CIK0001657249,USD,460.0,116390.0,33000.0,,8000.0,,0.0001,500000000.0,20000000.0,20000000.0,,2000.0,,,,,0.0,,12405.0,,,,,,,33000.0,460.0,,,,-12405.0,12405.0,0.0001,20000000.0,100000.0,100000.0,10.0,,,,,,-85860.0,,32540.0,,,,20000000.0,,,
2018-06-30,2018-08-14,10-Q,"Road Marshall, Inc.",RDMR,CIK0001657249,USD,460.0,128795.0,33000.0,,33000.0,,0.0001,500000000.0,20000000.0,20000000.0,,2000.0,,,,,0.0,,12405.0,,,,,,,33000.0,460.0,,,,-12405.0,12405.0,0.0001,20000000.0,100000.0,100000.0,10.0,,,,,,-98265.0,,32540.0,,,,20000000.0,,,
2018-09-30,2018-12-28,10-K,"Road Marshall, Inc.",RDMR,CIK0001657249,USD,5828.0,130700.0,8000.0,8000.0,8000.0,,0.0001,500000000.0,20000000.0,20000000.0,,2000.0,,,,,0.0,,33662.0,,,33662.0,,,,8000.0,5828.0,,,,-33662.0,33662.0,0.0001,20000000.0,100000.0,100000.0,10.0,,,,,,-105538.0,,2172.0,,,,20000000.0,,,
2018-12-31,2019-02-14,10-Q,"Road Marshall, Inc.",RDMR,CIK0001657249,USD,,144658.0,8000.0,,8000.0,,0.0001,500000000.0,20000000.0,20000000.0,,2000.0,,,,,0.0,,8130.0,,,8130.0,,,,8000.0,,,,,-8130.0,8130.0,0.0001,20000000.0,100000.0,100000.0,10.0,,,,,,-113668.0,,8000.0,,,,20000000.0,,,
2019-03-31,2019-05-15,10-Q,"Road Marshall, Inc.",RDMR,CIK0001657249,USD,2500.0,150338.0,8000.0,,8000.0,,0.0001,500000000.0,20000000.0,20000000.0,,2000.0,,,,,0.0,,8180.0,,,,,,,8000.0,2500.0,,,,-8180.0,8180.0,0.0001,20000000.0,100000.0,100000.0,10.0,,,,,,-121848.0,,5500.0,,,,20000000.0,,,
2019-06-30,2019-08-14,10-Q,"Road Marshall, Inc.",RDMR,CIK0001657249,USD,2500.0,154768.0,8000.0,,8000.0,,0.0001,500000000.0,20000000.0,20000000.0,,2000.0,,,,,0.0,,4430.0,,,,,,,8000.0,2500.0,,,,-4430.0,4430.0,0.0001,20000000.0,100000.0,100000.0,10.0,,,,,,-126278.0,,5500.0,,,,20000000.0,,,
2019-09-30,2019-12-31,10-K,"Road Marshall, Inc.",RDMR,CIK0001657249,USD,3837.0,159198.0,8000.0,8000.0,8000.0,,0.0001,500000000.0,20000000.0,20000000.0,,2000.0,,,,,0.0,,26507.0,,,26507.0,,,,8000.0,3837.0,,,,-26507.0,26507.0,0.0001,20000000.0,100000.0,100000.0,10.0,,,,,,-132045.0,,4163.0,4163.0,,,20000000.0,8000.0,,
