end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccountsReceivableGrossCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccruedSalariesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfRevenue,CumulativeTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,CustomerDepositsCurrent,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentConvertibleConversionRatio1,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,DepositsAssetsNoncurrent,DepositsAssetsNoncurrent,Depreciation,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EquityMethodInvestmentOwnershipPercentage,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossUnrealized,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,InterestAndDebtExpense,InterestExpense,InterestIncomeExpenseNet,InterestPaid,LeaseAndRentalExpense,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MinorityInterestOwnershipPercentageByNoncontrollingOwners,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLossCarryforwards,OtherAccountsPayableAndAccruedLiabilities,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherExpenses,OtherNonoperatingIncome,OtherReceivablesNetCurrent,PaymentsToAcquireLongtermInvestments,PaymentsToAcquireMachineryAndEquipment,PaymentsToAcquireRestrictedInvestments,PaymentsToDevelopSoftware,PrepaidExpenseCurrent,ProceedsFromInterestReceived,ProceedsFromIssuanceOfCommonStock,ProceedsFromPaymentsForLongTermLoansForRelatedParties,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionAmountsOfTransaction,RepaymentsOfRelatedPartyDebt,RestrictedCashAndInvestments,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,ShareBasedCompensation,StockholdersEquity,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,DebtSecuritiesGainLoss,ForeignCurrencyExchangeRateTranslation1,ForeignCurrencyExchangeRateTranslation1,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,OperatingLeaseExpense,OperatingLeaseExpense,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets
2010-06-30,2010-10-04,10-K,W&E Source Corp.,WESC,CIK0001368275,USD,,,,,,,,,,,,28601.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9981.0,,,,,,,,,,,,,,,,,
2010-09-30,2010-11-22,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,,,,,,,,,,,,28741.0,140.0,,,,,,-4649.0,,597.0,,,,,,,,,,,,,,,,,,,0.0,,-189.0,,,5057.0,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,100.0,,-557.0,-5246.0,,5246.0,,,,,,,,,,,,,,4689.0,,,,,,,,,0.0,,100.0,,,,,,,,,,0.0,,,,,,25900000.0,,,,,,,,,,,,,
2010-12-31,2011-02-18,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,,,,,,,,,,,,21915.0,,,,,,,-1515.0,,457.0,,,,,,,,,,,,,,,,,,,0.0,,-502.0,,,1470.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,25900000.0,,,,,,,,,,,,,
2011-03-31,2011-05-16,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,,,,,,,,,,,,17293.0,,,,,,,-4504.0,,-336.0,,,,,,,,,,,,,,,,,,,0.0,,-53.0,,,4115.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,25900000.0,,,,,,,,,,,,,
2011-06-30,2011-10-13,10-K,W&E Source Corp.,WESC,CIK0001368275,USD,5878.0,0.0,,0.0,5878.0,,1677.0,173695.0,14013.0,14013.0,,14013.0,-14588.0,0.0001,500000000.0,25900000.0,25900000.0,2590.0,-11917.0,,1047.0,0.0,,,,,,,,0.0,0.0,0.0,199860.0,,,,,30033.0,0.0,,,-674.0,,,12290.0,,,,0.0,-3620.0,0.0,0.0,0.0,0.0,,,,,,-250.0,,,,0.0,,,35911.0,14013.0,35911.0,,699.0,0.0,-16334.0,-12964.0,674.0,12290.0,-12290.0,,,,,,,,,,,,1047.0,,,0.0,,,,,0.0,,0.0,,699.0,0.0,0.0,,,,,,-199860.0,,0.0,,-21898.0,,,,25900000.0,,,,,,,,,,,,,
2011-09-30,2011-11-14,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,,,,,6044.0,,1655.0,173695.0,4201.0,,,4201.0,-9812.0,0.0001,25900000.0,25900000.0,25900000.0,2590.0,-9978.0,,-22.0,,,,,,,,,,0.0,,209816.0,,,,,30033.0,0.0,0.0,,-69.0,,,9887.0,,,,0.0,166.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,0.0,,,36077.0,4201.0,,,0.0,,-9790.0,-9956.0,-69.0,9887.0,-9887.0,,,,,,,,,,,-22.0,,166.0,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,-31876.0,,,,25900000.0,,,,,,,,,,,,,
2011-12-31,2012-02-10,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,9367.0,6769.0,,,,,1734.0,173695.0,70984.0,66984.0,,65831.0,,0.0001,500000000.0,25900000.0,25900000.0,2590.0,-39196.0,,79.0,,,,,,,,,4000.0,,,249091.0,,,,,125920.0,0.0,0.0,,0.0,,,39275.0,,,,,,,,,,,,,,,,,,0.0,,,,142056.0,70984.0,,,,,,-39275.0,0.0,39275.0,,,,,,,,,,,,79.0,,,,161.0,,,,,992.0,,,,,,,,,,,,,,0.0,,-71072.0,,,,25900000.0,,,,,,,,,,,,,
2012-03-31,2012-05-14,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,13781.0,7824.0,,,,,2030.0,801495.0,478146.0,419632.0,,393735.0,,0.0001,500000000.0,47900000.0,47900000.0,4790.0,-163740.0,,296.0,,,,,,,,,20302.0,,,413127.0,,,,,61353.0,0.0,0.0,,0.0,,,164050.0,0.0,-164036.0,0.0,,,,,,,,,,,,,,,14.0,,,,82958.0,478146.0,,,,,,-164036.0,14.0,164050.0,,,,,,,,,,,,296.0,,,,452.0,,,,,25445.0,,,,,,38212.0,,,,,,,,0.0,,395188.0,,,,33113115.0,,,,,,,,,,,,,
2012-06-30,2012-10-11,10-K,W&E Source Corp.,WESC,CIK0001368275,USD,16842.0,612.0,1380.0,1380.0,,,400.0,803226.0,422924.0,353048.0,,327215.0,313202.0,0.0001,500000000.0,47900000.0,47900000.0,4790.0,-306586.0,,-1277.0,8225.0,,,,,,,,35035.0,5619.0,5619.0,,,,,,93998.0,-0.01,,,-69.0,,,308889.0,,-305309.0,0.0,0.0,10964.0,612.0,1380.0,8225.0,35035.0,,,,,,24453.0,,,0.0,0.0,,,109087.0,422924.0,119677.0,,695696.0,-40460.0,-340757.0,-305309.0,-69.0,308889.0,-305240.0,,,,,,,,,,,-1277.0,-1277.0,,,,,40460.0,,,24453.0,,630000.0,,63965.0,0.0,34841.0,,,,,0.0,-505169.0,,3649.0,,303247.0,,630000.0,,34976503.0,,,,,,,,,,,,,
2012-09-30,2012-11-19,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,11556.0,0.0,533.0,,,,-1114.0,803226.0,124963.0,55813.0,,356281.0,29065.0,0.0001,500000000.0,47900000.0,47900000.0,4790.0,-46575.0,,6409.0,0.0,,,,,,,,37686.0,3290.0,,,,,,,157736.0,-0.01,,,570.0,,,52738.0,,591.0,,0.0,-5300.0,-10367.0,-724.0,-8225.0,2651.0,,,,,,-24034.0,,,21.0,0.0,,,,124963.0,169292.0,,55232.0,106.0,-32682.0,-45062.0,591.0,52738.0,-45653.0,,,,,,,,,,,-1513.0,,,,,,,301000.0,,0.0,,,,56887.0,106.0,31464.0,,,,0.0,301000.0,-550231.0,,7085.0,,-44329.0,,,,47900000.0,,,,,,,,,,,,,
