end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AdditionalPaidInCapital,Assets,AssetsNet,CommonStockOtherSharesOutstanding,CommonStockSharesHeldInEmployeeTrustShares,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GainLossOnInvestments,IncreaseDecreaseInOperatingAssets,InvestmentCompanyExpenseRatioIncludingIncentiveFee,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceContracts,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnrecognizedUnrealizedAppreciation,Liabilities,NetAssetValuePerShare,RealizedInvestmentGainsLosses,SharesOutstanding,SponsorFees,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,UnrealizedGainLossOnInvestments
2021-09-30,2021-11-05,10-Q,GrayscaleÂ® Bitcoin Cash Trust (BCH),BCHG,CIK0001732409,USD,0.0,-122301000.0,158328000.0,158328000.0,34812900.0,1802273.0,0.21,-7136000.0,-8262000.0,0.025,-0.21,-0.24,-0.03,-0.025,-1126000.0,118825000.0,158328000.0,318273.951642,1.0,39503000.0,0.0,4.55,395000.0,34812900.0,1126000.0,11124000.0,2378200.0,2378200.0,11124000.0,-7531000.0
2021-12-31,2022-02-10,10-Q,GrayscaleÂ® Bitcoin Cash Trust (BCH),BCHG,CIK0001732409,USD,0.0,-122301000.0,133035000.0,133035000.0,34812900.0,1784002.0,,-24184000.0,-25293000.0,0.025,-0.7,-0.73,-0.03,-0.025,-1109000.0,118079000.0,133035000.0,316274.627142,1.0,14956000.0,0.0,3.82,363000.0,34812900.0,1109000.0,0.0,0.0,0.0,0.0,-24547000.0
