end,filed,form,Name,Ticker,CIK,Currency,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,Cash,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DeferredCreditsAndOtherLiabilities,EarningsPerShareBasicAndDiluted,GeneralAndAdministrativeExpense,IncreaseDecreaseInAccruedLiabilities,Liabilities,NetIncomeLoss,OperatingExpenses,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,ProceedsFromContributedCapital,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesConversionOfUnits,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2021-09-30,2021-11-10,10-Q,"Prime Time Holdings, Inc.",PRTM,CIK0001874138,USD,500.0,-12883.0,0.0,0.0001,200000000.0,178750031.0,178750031.0,17875.0,1153.0,0.0,782.0,-3250.0,500.0,-782.0,782.0,0.0001,5000000.0,0.0,4032.0,-5492.0,0.0,-500.0,-500.0,178750031.0,178750031.0
2021-12-31,2022-01-24,10-Q,"Prime Time Holdings, Inc.",PRTM,CIK0001874138,USD,350.0,-10883.0,,0.0001,200000000.0,178750031.0,178750031.0,17875.0,1153.0,0.0,1850.0,,350.0,-1850.0,1850.0,0.0001,5000000.0,0.0,2000.0,-7342.0,,-350.0,-350.0,,178750031.0
