end,filed,form,Name,Ticker,CIK,Currency,AccruedLiabilitiesCurrentAndNoncurrent,AdjustmentForAmortization,Assets,AssetsNet,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashSegregatedUnderOtherRegulations,CommonUnitIssued,CostsAndExpenses,DeferredOfferingCosts,DueFromCorrespondentBrokers,DueToRelatedPartiesCurrentAndNoncurrent,ExpenseRelatedToDistributionOrServicingAndUnderwritingFees,GainLossOnSaleOfDerivatives,GainLossOnSaleOfInvestments,GeneralInsuranceExpense,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDeposits,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOperatingLiabilities,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInReceivables,IncreaseDecreaseInRestrictedCashForOperatingActivities,IncreaseDecreaseOfRestrictedInvestments,InterestExpense,InterestReceivable,InvestmentIncomeInterest,InvestmentIncomeInvestmentExpense,InvestmentIncomeNet,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,InvestmentsFairValueDisclosure,LegalFees,Liabilities,ManagementFeeExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseCommissionExpense,NoninterestExpenseDirectorsFees,NoninterestExpenseTransferAgentAndCustodianFees,OpenOptionContractsWrittenAtFairValue,OtherAccruedLiabilitiesCurrentAndNoncurrent,OtherAssets,OtherCostAndExpenseOperating,OtherLiabilities,OtherOperatingIncomeExpenseNet,PaymentForManagementFee,PaymentsForRepurchaseOfCommonStock,PostageExpense,ProceedsFromIssuanceOfCommonStock,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RealizedInvestmentGainsLosses,RestrictedCash,SaleOfStockNumberOfSharesIssuedInTransaction,SellingAndMarketingExpense,SharesSubjectToMandatoryRedemptionSettlementTermsAmount,SponsorFees,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodValue,TaxesOther,TrusteeFees,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnDerivativesAndCommodityContracts
2015-03-31,2015-05-15,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,,,,,,,,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,2015-09-25,10-K,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,,,,,,,,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18010.0,,,,,,,,,,,,,,,,,,1044.0,,
2015-09-30,2015-11-13,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,,,,,,,,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12518.0,,,,,,,,,,,,,,,,,,1256.0,,
2015-12-31,2016-02-12,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,,,,,,,,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12518.0,,,,,,,,,,,,,,,,,,1256.0,,
2016-03-31,2016-05-13,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,,,,,,,,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12382.0,,,,,,,,,,,,,,,,,,1243.0,,
2016-06-30,2016-09-28,10-K,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,,,,,,,,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,16745969.0,,,,,,,,,,,,,,,,,,49800.0,,,,,,,,,,,,,,,,,,5000.0,,
2016-09-30,2016-11-14,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,,,,,,,,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13812.0,,,,,,,,,,,,,,,,,,1260.0,,
2016-12-31,2017-02-13,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,,,,,,,,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,10655701.0,,,,,,,,,,,,,,,,,,13812.0,,,,,,,,,,,,,,,,,,1260.0,,
2017-03-31,2017-05-12,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,,,,,,,,,,50000.0,106141.0,,,,3699.0,147281.0,147281.0,3699.0,,,,,,,,,,,,,,17763.0,58900.0,-41137.0,18692483.0,,,8631.0,,1541.0,,,-251313.0,7718.0,1541.0,13512.0,,,,3736.0,,,13512.0,,5548.0,,20857.0,,,,,,,,4622.0,,8288095.0,8288095.0,,6164.0,1233.0,-357457.0,-210176.0
2017-06-30,2017-09-28,10-K,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,20863716.0,,1000.0,,,,,,521215.0,50000.0,542088.0,,,25260.0,17605.0,52681.0,52681.0,15000.0,,692.0,,4262.0,,,,-21795.0,,-20872.0,3357573.0,,712.0,67909.0,240364.0,-172455.0,20835979.0,1.0,20319994.0,35004.0,28737.0,15702.0,3854920.0,-3854920.0,234090.0,27257.0,15702.0,55623.0,3477.0,,,19426.0,,,,7908070.0,25849.0,11762990.0,73500.0,,,52681.0,,,,,50477.0,,3854920.0,11762990.0,-7908070.0,71307.0,5000.0,353864.0,406545.0
