end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AcquisitionCosts,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdvancesToAffiliate,AssetImpairmentCharges,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromOfficersOrStockholdersCurrent,DueToOfficersOrStockholdersCurrent,DueToOtherRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EquipmentExpense,EquityMethodInvestmentOwnershipPercentage,FeesAndCommissionsTransferAgent,GeneralAndAdministrativeExpense,ImpairmentOfIntangibleAssetsExcludingGoodwill,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDueToOfficersAndStockholdersCurrent,IncreaseDecreaseInDueToOtherRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IntangibleAssetsNetExcludingGoodwill,InterestAndDebtExpense,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,LeaseAndRentalExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseTransferAgentAndCustodianFees,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OccupancyNet,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetImpairmentCharges,OtherCostAndExpenseOperating,OtherCostOfServices,OtherExpenses,OtherGeneralExpense,OtherNonoperatingIncome,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireInterestInSubsidiariesAndAffiliates,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOther,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SalariesWagesAndOfficersCompensation,SaleOfStockPricePerShare,ServicingFees,ShareBasedCompensation,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,UnrecognizedTaxBenefitsResultingInNetOperatingLossCarryforward,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2012-03-31,2012-06-22,10-K,LOTUS BIOTECH DEVELOPMENT CORP.,LBTD,CIK0001520592,USD,11416.0,,,,,,20434.0,411.0,411.0,411.0,361.0,,,0.0,100000000.0,5000000.0,5000000.0,50.0,-35889.0,-10852.0,,,51439.0,,,,40384.0,,-0.01,,,,,,,,10866.0,4950.0,,,4950.0,4950.0,,,,,,,51800.0,411.0,51800.0,4950.0,-20434.0,-4589.0,-35889.0,,40384.0,,,,-35889.0,,20434.0,,,1380.0,,,20434.0,,,0.0,100000000.0,50.0,,14075.0,,,,,-51439.0,,,,,-51389.0,,,,,,,10852.0,5000000.0,5000000.0
2012-06-30,2012-08-02,10-Q,LOTUS BIOTECH DEVELOPMENT CORP.,LBTD,CIK0001520592,USD,10287.0,,,38446.0,,,,27386.0,,411.0,26975.0,,,,,,,54.0,-10346.0,,,,61785.0,,,,40384.0,,0.0,,,,,,-10346.0,-10346.0,-1129.0,,,,,,,,59.0,,,,50671.0,27386.0,,38450.0,,-11475.0,-10346.0,,,,,,,,,,,,,-59.0,,,,,,38450.0,38450.0,10287.0,,,,,,,,,,-23285.0,,,,,,,,5384500.0,5384500.0
2012-09-30,2012-11-13,10-Q,LOTUS BIOTECH DEVELOPMENT CORP.,LBTD,CIK0001520592,USD,950.0,,,49545.0,,,,,10019.0,411.0,9608.0,,,0.0,,5384500.0,5384500.0,55.0,-1888.0,,,,63673.0,,,,23142.0,,0.0,,,,,,-1888.0,,-10466.0,,,-17242.0,,,,,,,,,,10019.0,24092.0,32308.0,,-22700.0,-12234.0,,23142.0,8663.0,,,,,,,,,,,,,,,,49550.0,,1888.0,,,,,,,0.1,,,-14073.0,,,,,,,,5406489.0,
2012-12-31,2013-02-19,10-Q,LOTUS BIOTECH DEVELOPMENT CORP.,LBTD,CIK0001520592,USD,700.0,,,104240.0,,,,,15569.0,15569.0,15158.0,,,0.0,,6042500.0,6042500.0,60.0,-25758.0,,,,89431.0,,,,,,0.0,,,,,,-25758.0,,-10716.0,,,,-40384.0,,,,,,,,,15569.0,700.0,63866.0,,-48708.0,-37992.0,,,,,,,,,,,,,,,,,,,104250.0,,4140.0,,,,,,21618.0,,,,14869.0,,,,,,,,5203722.0,
2013-03-31,2013-07-01,10-K,LOTUS BIOTECH DEVELOPMENT CORP.,LBTD,CIK0001520592,USD,1350.0,,104240.0,104240.0,,,,4069.0,4069.0,4069.0,3658.0,4069.0,,0.0,100000000.0,6042500.0,6042500.0,60.0,,-32600.0,93000.0,,113577.0,,,,11996.0,,-0.01,,,,,,-62138.0,,-10066.0,,,,-28388.0,,28388.0,,,,,,13346.0,4069.0,13346.0,75862.0,,-72204.0,-62138.0,20000.0,,11996.0,,,,,,,,,,59.0,,,,0.0,100000000.0,104250.0,104250.0,20460.0,,,,,-113577.0,21619.0,,,,-26479.0,-26479.0,1042500.0,,104250.0,,,32600.0,5584427.0,
2013-06-30,2013-08-14,10-Q,LOTUS BIOTECH DEVELOPMENT CORP.,LBTD,CIK0001520592,USD,5200.0,,104240.0,,,,,,,168.0,-3901.0,,,,,,,60.0,-5550.0,,,,119127.0,,,,9795.0,,0.0,,,,,,-5550.0,,3850.0,799.0,,-3000.0,-2201.0,,,,,,,,,168.0,14995.0,-2201.0,,-10066.0,-5550.0,450.0,,,,,,,,,,,,,,,,,,,,5100.0,,,,,,,,,,-14827.0,,,,,,,,5553588.0,
2013-09-30,2013-11-14,10-Q,LOTUS BIOTECH DEVELOPMENT CORP.,LBTD,CIK0001520592,USD,550.0,,,104240.0,,,,1278.0,,69.0,-4000.0,,,,,,,60.0,-2249.0,,,,121376.0,,,,17804.0,,0.0,,1.0,,,,-2249.0,,-800.0,8908.0,,-3100.0,,,,,,1209.0,,,,1278.0,18354.0,-3100.0,-1209.0,309.0,-2249.0,499.0,,,,,,,,,,499.0,,,,1209.0,,,,,,1750.0,,,,,,,,,,-17076.0,,,,,,,,5553588.0,
2013-12-31,2014-02-24,10-Q,LOTUS BIOTECH DEVELOPMENT CORP.,LBTD,CIK0001520592,USD,3018.0,,104240.0,,,,,1278.0,,69.0,-4000.0,,,,,,,60.0,-3966.0,,,,125342.0,,,,19302.0,19302.0,0.0,,1.0,,,,-3966.0,,1668.0,10406.0,,,-3100.0,,,,,1209.0,,,,1278.0,22320.0,-3100.0,-1209.0,309.0,-11765.0,874.0,,,,,,,,,,,,,,1209.0,,,,,,3092.0,,,,,,,,,,-21042.0,,,,,,,,6042500.0,
2014-03-31,2014-07-15,10-K,LOTUS BIOTECH DEVELOPMENT CORP.,LBTD,CIK0001520592,USD,5720.0,-1209.0,101278.0,,,,,5.0,5.0,5.0,-4064.0,5.0,,0.0,200000000.0,181275000.0,181275000.0,1813.0,,,,,,,,,19555.0,33864.0,0.0,,1.0,2248.0,,,-15993.0,,4370.0,,,,7559.0,,,,,,1000.0,,25275.0,5.0,25275.0,7559.0,-1209.0,-11623.0,-18724.0,2248.0,,,,,,,,,,,,,,-1209.0,,0.0,100000000.0,,,13745.0,-18724.0,,,10273.0,-129570.0,,,,,-45203.0,-45203.0,,,,,,,181275000.0,
2014-06-30,2014-08-19,10-Q,LOTUS BIOTECH DEVELOPMENT CORP.,LBTD,CIK0001520592,USD,36407.0,,103152.0,,,,,105.0,,70.0,-35.0,70.0,,0.0,100000000.0,6042500.0,6042500.0,60.0,,,,,,45613.0,,,45613.0,,0.0,,,,,,-29942.0,,18037.0,,,,11870.0,,,,,,14000.0,8652.0,82020.0,70.0,,11870.0,,-11905.0,-29942.0,1437.0,,,,,,,,,,,5437.0,,,,,0.0,100000000.0,,,14505.0,,,,,-185162.0,,,,,-81950.0,,,,,,,,6042500.0,
