end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsNet,BenefitsLossesAndExpenses,BilledContractReceivables,BillingsInExcessOfCost,BillingsInExcessOfCostCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConstructionLoan,ContractsReceivableClaimsAndUncertainAmounts,ContractWithCustomerAssetNet,ContractWithCustomerAssetNetCurrent,ContractWithCustomerLiability,ContractWithCustomerLiabilityCurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostsInExcessOfBillingsOnUncompletedContractsOrPrograms,CostsInExcessOfBillingsOnUncompletedContractsOrProgramsExpectedToBeCollectedWithinOneYear,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentPeriodicPayment,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsPropertyPlantAndEquipment,DeferredTaxAssetsValuationAllowance,DepositContractsAssets,Depreciation,DepreciationDepletionAndAmortization,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EmployeeBenefitsAndShareBasedCompensation,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GeneralInsuranceExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesReceivable,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInBillingInExcessOfCostOfEarnings,IncreaseDecreaseInContractWithCustomerAsset,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInCostInExcessOfBillingOnUncompletedContract,IncreaseDecreaseInIncomeTaxesReceivable,IncreaseDecreaseInInventories,IncreaseDecreaseInInventoriesAndOtherOperatingAssets,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestExpense,InterestExpenseOther,InterestIncomeOther,InterestPaid,InterestPaidNet,InventoryRealEstate,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansAndLeasesReceivableRelatedParties,LongTermDebt,LongTermDebtMaturingInYearsTwoAndThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesIssued1,NotesPayable,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeasesRentExpenseMinimumRentals,OperatingLossCarryforwards,OriginationOfNotesReceivableFromRelatedParties,OtherAssetImpairmentCharges,OtherAssetsCurrent,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RecognitionOfDeferredRevenue,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueRemainingPerformanceObligation,Revenues,ShareBasedCompensation,StockGrantedDuringPeriodValueSharebasedCompensation,StockholdersEquity,StockholdersEquityOther,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,UtilitiesOperatingExpenseTaxes,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2017-06-30,2017-10-04,10-Q,"Reliant Holdings, Inc.",RELT,CIK0001682265,USD,,71871.0,1520.0,1520.0,,43365.0,,,,134536.0,110259.0,,,1520.0,94989.0,94989.0,98739.0,,,,0.001,,70000000.0,14585000.0,14585000.0,14585.0,,63798.0,,,,,,216477.0,47211.0,,,,0.0435,,180000.0,,,,,,,,,5000.0,0.0,,,,126744.0,,126824.0,83.0,,,10000.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,193691.0,134536.0,177473.0,,21831.0,,2847.0,1002.0,6256.0,5990.0,5736.0,16218.0,,,,83.0,,21831.0,5613.0,126744.0,80.0,,,,,,,3.0,,,0.001,5000000.0,0.0,0.0,,,,,,,,,24277.0,,,,,-117105.0,,343301.0,,,-59155.0,,,,,,,14585000.0
2017-09-30,2017-11-21,10-Q,"Reliant Holdings, Inc.",RELT,CIK0001682265,USD,,42428.0,,,12343.0,43365.0,,,,45829.0,23246.0,,,,82696.0,82696.0,13246.0,,,,0.001,,70000000.0,14585000.0,14585000.0,14585.0,,238372.0,,,,,183620.0,183620.0,169244.0,,,,0.0435,,,,,,,,,,,5000.0,0.0,,,,106921.0,,61556.0,-45520.0,,,10000.0,,,,,,,,,,,,,,,,162.0,,,,,,7.0,,,150504.0,45829.0,135737.0,,20380.0,,1396.0,1002.0,6256.0,5990.0,5736.0,14767.0,,,,-45520.0,,20380.0,5613.0,106921.0,-45365.0,,,234000.0,,,,-155.0,,,0.001,5000000.0,0.0,0.0,,,,,,,,,22583.0,,,,,-162625.0,,245176.0,,,-104675.0,,,,,,,14585000.0
2017-12-31,2018-04-13,10-K,"Reliant Holdings, Inc.",RELT,CIK0001682265,USD,,41247.0,570.0,570.0,14037.0,43365.0,0.0,,,64799.0,43910.0,,,570.0,21373.0,36461.0,18252.0,,-24421.0,,0.001,,70000000.0,14585000.0,14585000.0,14585.0,,83630.0,,15088.0,21373.0,36461.0,764697.0,764697.0,56032.0,15088.0,,,0.0435,537.0,,,35000.0,,35000.0,,,6775.0,,5000.0,0.0,0.35,,,446253.0,,413357.0,-33264.0,,,10000.0,-3000.0,14000.0,-11000.0,493.0,-5650.0,,-2033.0,14731.0,-2033.0,14731.0,,,,,,382.0,,,,956.0,,14.0,13181.0,,101692.0,64799.0,88444.0,,18984.0,,5736.0,,1000.0,6256.0,5990.0,13248.0,-492.0,,-23929.0,-33264.0,,18984.0,5736.0,446253.0,-32896.0,21422.0,,166000.0,,,,-368.0,,,,,,,,,,,,5000.0,,,20889.0,0.0,,5492.0,,-94843.0,,1178054.0,,,-36893.0,,,,,,,14585000.0
2018-03-31,2018-05-14,10-Q,"Reliant Holdings, Inc.",RELT,CIK0001682265,USD,,69095.0,370.0,370.0,15731.0,43365.0,,,,133966.0,114771.0,,,370.0,88906.0,88906.0,104401.0,,86149.0,,0.001,,70000000.0,14585000.0,14585000.0,14585.0,,291285.0,,,,,157873.0,157873.0,195161.0,,,,,,,,,,,,,1694.0,,5000.0,0.0,,,,81161.0,,71641.0,-9715.0,,,10000.0,,,,27848.0,-200.0,,52445.0,-15088.0,52445.0,-15088.0,,,,,,201.0,,,,956.0,,6.0,,,180574.0,133966.0,168799.0,,17573.0,,,,,,,11775.0,-1411.0,,87560.0,-9715.0,,17573.0,5798.0,81161.0,-9520.0,5565.0,,,,,,-195.0,,,,,,,,,,,,,,,19195.0,0.0,,1411.0,,-104558.0,,229514.0,,,-46608.0,,,,,,,14585000.0
2018-06-30,2018-08-10,10-Q,"Reliant Holdings, Inc.",RELT,CIK0001682265,USD,,91845.0,909.0,909.0,17424.0,43365.0,,,,185644.0,168142.0,,,909.0,73522.0,75834.0,154921.0,,,,0.001,,70000000.0,14585000.0,14585000.0,14585.0,,422323.0,,,,,280790.0,280790.0,282956.0,2312.0,,,,,,,,,,,,,,5000.0,0.0,,,,100884.0,,144482.0,43426.0,,,10000.0,,,,,,,,,,,,,,,,186.0,,,,,,14.0,,,188826.0,185644.0,178541.0,,16147.0,,,,,,,10285.0,,,,43426.0,,16147.0,5862.0,100884.0,43598.0,,,,,,,-172.0,,,,,,,,,,,,,,,17502.0,,,,,-61132.0,,425272.0,,,-3182.0,,,,,,,14585000.0
2018-09-30,2018-10-25,10-Q,"Reliant Holdings, Inc.",RELT,CIK0001682265,USD,,56314.0,,3000.0,19118.0,43365.0,0.0,,,241206.0,225398.0,,,3000.0,102760.0,102760.0,212398.0,,,,0.001,,70000000.0,14585000.0,14585000.0,14585.0,,136137.0,,,,,287232.0,,91212.0,,,,,,,,,,,,,,,5000.0,0.0,,,,85985.0,,151745.0,65608.0,,,10000.0,,,,,,,,,,,,,,,,170.0,,,,,,18.0,,,178780.0,241206.0,170000.0,,14706.0,,,,,,,8780.0,,,,65608.0,,14706.0,5926.0,85985.0,65760.0,,1745.0,,,,,-152.0,,,,,,,,,,,,,,,15808.0,,,,,4476.0,,438977.0,,,62426.0,,,,,,,14585000.0
2018-12-31,2019-04-01,10-K,"Reliant Holdings, Inc.",RELT,CIK0001682265,USD,,56859.0,,,20812.0,43365.0,3000.0,,0.0,216483.0,202369.0,-80215.0,,3000.0,80215.0,89991.0,181093.0,181093.0,162841.0,,0.001,,70000000.0,14585000.0,14585000.0,14585.0,,246169.0,9776.0,9776.0,89991.0,89991.0,1006910.0,,169683.0,9776.0,,,0.0435,537.0,,0.0,16000.0,,16000.0,,,6775.0,,5000.0,0.01,0.21,,,410992.0,,499920.0,88278.0,,,10000.0,,,19000.0,15612.0,-570.0,,,-5312.0,53530.0,,,,,,1500.0,712.0,,,,712.0,,62.0,,,165098.0,216483.0,157842.0,,13248.0,13248.0,5992.0,,,1000.0,6256.0,7256.0,-5736.0,,168577.0,88278.0,,13248.0,5992.0,410992.0,88928.0,22520.0,1795.0,77000.0,,,,-650.0,,,0.001,5000000.0,0.0,0.0,0.0,1500.0,,,,,,,14114.0,3000.0,,5736.0,,-6565.0,267000.0,1506830.0,,,51385.0,,,,19000.0,,,14585000.0
2019-03-31,2019-05-10,10-Q,"Reliant Holdings, Inc.",RELT,CIK0001682265,USD,,75070.0,,,22506.0,43365.0,3000.0,,,203710.0,191290.0,,,3000.0,54140.0,54140.0,176593.0,,-4500.0,,0.001,,70000000.0,14585000.0,14585000.0,14585.0,,117177.0,,,54140.0,54140.0,-230046.0,,78509.0,,,,0.0435,537.0,,,,,,,,1694.0,,5000.0,0.0,,,,122711.0,,129167.0,6340.0,,,10000.0,,,,18211.0,,,,9776.0,-35851.0,,,,,,-3197.0,-138.0,,,,138.0,,22.0,,,145985.0,203710.0,140265.0,,11775.0,,,,,,,5720.0,-1473.0,,-3027.0,6340.0,,11775.0,6055.0,-122711.0,6456.0,5715.0,,,,,,-116.0,,,,,,,,4697.0,,,,,,6340.0,12420.0,0.0,,-1473.0,,-225.0,,359213.0,,,57725.0,,,,,,,14585000.0
2019-06-30,2019-08-12,10-Q,"Reliant Holdings, Inc.",RELT,CIK0001682265,USD,,60286.0,,,24199.0,43365.0,3000.0,,,243683.0,232956.0,-99595.0,,3000.0,99595.0,,206955.0,206955.0,,,0.001,,70000000.0,14585000.0,14585000.0,14585.0,,188391.0,12346.0,12346.0,111941.0,111941.0,238632.0,,126222.0,,,,0.0435,,,,,,,,,,,5000.0,0.0,,,,121947.0,,120496.0,-1555.0,0.0,,10000.0,,,,,,,,,,,,,,,,123.0,,-19.0,,,,19.0,,,187513.0,243683.0,183351.0,,10286.0,,,,,,,4162.0,,,,-1555.0,,10286.0,6124.0,121947.0,-1451.0,,,,,,,-104.0,-104.0,,,,,,,3655.0,,,,,,,10727.0,,,,,-1780.0,,359128.0,,,56170.0,,,,,,,14585000.0
2019-09-30,2019-11-14,10-Q,"Reliant Holdings, Inc.",RELT,CIK0001682265,USD,,97619.0,,,25893.0,43365.0,3000.0,,,312287.0,303254.0,,,3000.0,,,246754.0,246754.0,,,0.001,,70000000.0,14585000.0,14585000.0,14585.0,,,29076.0,29076.0,78364.0,78364.0,-401284.0,,,,,,0.0435,,,,,,,,,,,,0.01,,,,110378.0,,190607.0,80134.0,0.0,,10000.0,,,,,,,,,,,,,,,,127.0,-127.0,32.0,,,,32.0,,,175983.0,312287.0,175983.0,,,,,,,,,,,,,80134.0,,,,-110378.0,80229.0,,1795.0,,,,17424.0,-95.0,-95.0,,,,,,,,,,,,,80134.0,9033.0,,,,,78354.0,,591891.0,,,136304.0,,,,,,,14585000.0
