end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccruedInsuranceCurrentAndNoncurrent,AccruedProfessionalFeesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationOtherLongtermIncentivePlansRequisiteServicePeriodRecognition,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsNoncurrent,BasicEarningsPerShareProForma,CapitalizedComputerSoftwareGross,CapitalLeasesFutureMinimumPaymentsReceivable,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsAndShortTermInvestments,CashFDICInsuredAmount,CommonStockOtherSharesOutstanding,CommonStockOtherValueOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ConvertiblePreferredStockSharesIssuedUponConversion,CostOfGoodsAndServicesSold,CostOfRevenue,CostOfServices,CostsAndExpensesRelatedParty,CurrentStateAndLocalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentFaceAmount,DebtInstrumentInterestRateStatedPercentage,Depreciation,DepreciationAmortizationAndAccretionNet,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DividendsPreferredStock,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EmployeeRelatedLiabilitiesCurrent,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInRestrictedCashForOperatingActivities,InterestExpense,InterestExpenseRelatedParty,InterestPaid,InterestPayableCurrent,InventoryGross,InventoryNet,InventoryPartsAndComponentsNetOfReserves,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesAssumed1,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansAndLeasesReceivableLoansInProcess,LoansAndLeasesReceivableRelatedPartiesAdditions,LoansPayableCurrent,LossContingencyAccrualProductLiabilityDueInRemainderOfFiscalYear,LossContingencyLossInPeriod,LossContingencyRelatedReceivableCarryingValuePeriodIncreaseDecrease,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,NotesAndLoansPayable,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OtherAssetsCurrent,OtherBorrowings,OtherLiabilitiesCurrent,OtherNonrecurringIncomeExpense,PaymentsToAcquireOtherProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreconfirmationPreferredAndCommonStockHeldInTreasury,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfConvertiblePreferredStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfLoansHeldForInvestment,ProfitLoss,PropertyPlantAndEquipmentFairValueDisclosure,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOtherNet,RealEstateInvestmentPropertyAccumulatedDepreciation,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionDueFromToRelatedParty,RelatedPartyTransactionRate,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,SalesRevenueServicesNet,SharesIssued,SharesIssuedPricePerShare,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesStockSplits,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,TreasuryStockCommonValue,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,DueToRelatedPartiesCurrentAndNoncurrent,PreferredStockConvertibleSharesIssuable
2018-08-31,2018-10-18,10-Q,VADO CORP.,VADP,CIK0001700849,USD,,7000.0,,,,,,1615.0,,,,,,14853.0,3361.0,18214.0,,,,3361.0,3361.0,,,,,,,75000000.0,2085.0,2085000.0,0.001,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,5068.0,,,,-784.0,-784.0,0.0,,,,,,,,,,,,,,,,,18214.0,,,20724.0,20724.0,,,13724.0,,,,,,,-784.0,,,,,,,0.0,,938.0,,,,,,,,,,,,,,,,,,,,-784.0,,,13915.0,,,,,,-6210.0,4284.0,,,,,,-2510.0,,,,,,,,,2007826.0,,,,,
2018-11-30,2019-02-11,10-K,VADO CORP.,VADP,CIK0001700849,USD,5000.0,5000.0,,,,,,25755.0,25755.0,,25755.0,,,13999.0,27990.0,41989.0,,,,27842.0,27842.0,18934.0,,,,27110.0,,75000000.0,3355.0,3355500.0,0.001,27110.0,,,1102.0,1102.0,,,,,,,,,,2251.0,,,2251.0,,,13724.0,0.0,13724.0,14711.0,14182.0,,,-529.0,,0.0,0.0,,2500.0,2500.0,,,-148.0,,-148.0,,,0.0,,148.0,148.0,,41989.0,23265.0,,18724.0,18724.0,,,,,-529.0,,31110.0,-16250.0,4074.0,-529.0,,,,,,-15813.0,1102.0,-529.0,834.0,-834.0,,14711.0,16250.0,-16250.0,,,,,,,4000.0,27110.0,,,,,,4000.0,-529.0,,13999.0,13165.0,,,,,,-5845.0,15284.0,,15284.0,3355500.0,0.02,,23265.0,23265.0,,27110.0,1355500.0,,,,,2202041.0,,2202041.0,,,
2019-02-28,2019-03-27,10-Q,VADO CORP.,VADP,CIK0001700849,USD,3000.0,,,,,,,,25755.0,,,,,28205.0,,,,,,14912.0,14912.0,-12930.0,,,,,,75000000.0,3355500.0,3355500.0,3355.0,,,,0.0,,,,,,,,,,,854.0,,,854.0,,,13724.0,0.0,,11784.0,0.0,-11784.0,,-11784.0,,0.0,0.0,,-2000.0,-2000.0,,,,,,,,0.0,,,148.0,,16724.0,28205.0,,,,,,,,-11784.0,,0.0,0.0,-12930.0,-11784.0,,,,,,,11784.0,-11784.0,,,,11784.0,,,,,,,,,,,,,,,,0.0,-11784.0,,13145.0,,,,,,,-17629.0,0.0,,,,,,11481.0,11481.0,,,,,,,,3355500.0,,3355000.0,,,
2019-05-31,2019-06-17,10-Q,VADO CORP.,VADP,CIK0001700849,USD,,0.0,13724.0,250000.0,,624.0,,25755.0,,,,,0.0,12291.0,8348.0,20639.0,,,,8200.0,8200.0,,,,,,,75000000.0,3355.0,3355000.0,0.001,3355000.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,13724.0,4566.0,,,-4566.0,-4566.0,,0.0,,,,,,,,,,0.0,,,,148.0,,,20639.0,6915.0,,13724.0,13724.0,13724.0,,,,,,,,,-4566.0,,0.0,,,,,4566.0,-4566.0,626.0,,,,,,,,,,,,,,,,,,,,-4566.0,,,11665.0,,3325.0,,,,-22195.0,0.0,,,,,,6915.0,,,,,,,,,3355000.0,3355000.0,,,,
2019-08-31,2019-10-02,10-Q,VADO CORP.,VADP,CIK0001700849,USD,,6.0,,,,,34582.0,25755.0,,,,,0.0,11437.0,821.0,12258.0,,,,673.0,673.0,,,,,,,75000000.0,3355.0,3355000.0,0.001,,,,,,,,,,,,,,,,3325.0,,,0.0,,,0.0,17724.0,12387.0,,,-12387.0,-12387.0,-12387.0,0.0,,,,,,,,,,0.0,0.0,,,148.0,,,12258.0,-5472.0,,17730.0,17730.0,,,,,,,,,,-12387.0,-12387.0,0.0,,,,,12387.0,-12387.0,522.0,,,,,,,,,,,,,,,,,,,,-12387.0,,,10915.0,,,,,,-34582.0,0.0,,,,,3355000.0,-5472.0,,,,,,,,,3355000.0,3355000.0,,,,
2019-11-30,2020-01-13,10-K,VADO CORP.,VADP,CIK0001700849,USD,,0.0,,,11273.0,,,25755.0,,,,,0.0,10965.0,382.0,10965.0,,,375.0,234.0,234.0,-27608.0,,,,,0.001,75000000.0,3355500.0,3355500.0,3355.0,27110.0,,,15284.0,,,,0.0,,,0.0,,,,3416.0,,,3416.0,0.0,,,-0.01,23524.0,35824.0,,,-35824.0,-35824.0,,0.0,0.0,-5000.0,,-5000.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,148.0,148.0,,23524.0,10965.0,,23524.0,23524.0,,,23524.0,41669.0,-35824.0,,9800.0,0.0,-37408.0,-42911.0,-35824.0,0.0,,23524.0,,-35824.0,35824.0,-35824.0,418.0,-418.0,0.0,,0.0,,59.6,,,,,0.0,,0.0,0.0,,0.0,0.0,9800.0,9800.0,-35824.0,,,10165.0,418.0,,,,,-41669.0,0.0,,,,,3355500.0,-12557.0,,,,,,,,2000000.0,3355500.0,3355500.0,,,,
2020-02-29,2020-04-14,10-Q,VADO CORP.,VADP,CIK0001700849,USD,,,,,,,,25755.0,,,,,,9729.0,181.0,9910.0,,,,33.0,33.0,-200.0,,,,,,75000000.0,3355.0,3355500.0,0.001,,,,,,,,,,,,,,,854.0,,5585.0,854.0,,,,0.0,29973.0,7503.0,,-7503.0,-7503.0,-7503.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,148.0,,,9910.0,-20063.0,,29973.0,29973.0,,,,,-7503.0,,6449.0,,-6649.0,-7503.0,-7503.0,0.0,,,,,7503.0,-7503.0,314.0,,,,,,,,,,,,,,,,,6449.0,,6449.0,-7503.0,,,9415.0,,,,,,-49173.0,0.0,,,3355500.0,,,-13352.0,,0.0,,,,,,,3355500.0,10066500.0,,,,
2020-05-31,2020-07-15,10-Q,VADO CORP.,VADP,CIK0001700849,USD,,,,,,5585.0,,27710.0,,,1955.0,,9729.0,0.0,0.0,,,,,0.0,0.0,,,250000.0,,,,75000000.0,33328500.0,33328500.0,33328.0,,,,,,,,,,,,,,,,,,,,,,0.0,,2137.0,,,-11925.0,,,0.0,,,,,,,,,,59.0,59.0,,59.0,,0.0,,59.0,0.0,,59.0,,,,,,,,,,,-11925.0,-11925.0,-9788.0,,0.0,,,2137.0,-2137.0,,,,,,,,0.001,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,-61097.0,0.0,,,,,,66597.0,,,,,,89919.0,,,,18861423.0,,,,
2020-08-31,2020-10-08,10-Q,VADO CORP.,VADP,CIK0001700849,USD,,,,,,,,226826.0,,200000.0,,200000000000.0,0.0,139069.0,139069.0,,-0.01,,,139069.0,139069.0,,,250000.0,,,0.001,75000000.0,33328500.0,99985500.0,33328.0,,20.0,,,,45000.0,,,,,200000.0,,,,,,,,200000.0,,,0.0,,60161.0,,,-60161.0,-60161.0,,0.0,,,,,,,,,,0.0,0.0,,59.0,,0.0,,73.0,139069.0,,73.0,,,,,,,,,,,-60161.0,-260161.0,0.0,0.0,0.0,,,60161.0,-60161.0,,,14.0,,,,,0.001,10000000.0,,,100.0,,,,,,,,,,,,0.0,0.0,,,,,-121258.0,0.0,,,,,,205652.0,,,,,,,199216.0,,,99985500.0,,,,
2020-11-30,2021-02-03,10-K,VADO CORP.,VADP,CIK0001700849,USD,,12376.0,,,,,,160168.0,,,1955.0,200000.0,9729.0,81840.0,81840.0,,,,,81840.0,81840.0,81606.0,,250000.0,,,0.001,490000000.0,99985500.0,99985500.0,99986.0,,,,,,,,29973.0,,,200000.0,,,,,,,854.0,200000.0,0.0,,-0.01,,139360.0,,,-149148.0,,,0.0,0.0,12376.0,,,0.0,,-148.0,27.0,,59.0,59.0,59.0,0.0,,0.0,,12403.0,81840.0,200000.0,12403.0,,,,,,,,207620.0,,-126014.0,-149148.0,-349148.0,-9788.0,,0.0,,,139360.0,-139360.0,,,27.0,,,,,0.001,10000000.0,100000.0,100000.0,100.0,,,199216.0,,1955.0,6449.0,,,,,,0.0,0.0,,90000.0,,,-190817.0,0.0,,,,,,69437.0,,,,,,29971.0,199216.0,,,57237123.0,,6000000.0,,
