end,filed,form,Name,Ticker,CIK,Currency,AccountsAndNotesReceivableNet,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,AvailableForSaleSecurities,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,DebtAndCapitalLeaseObligations,DebtConversionConvertedInstrumentAmount1,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentDecreaseForgiveness,DebtInstrumentFaceAmount,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentUnamortizedDiscount,DepreciationDepletionAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EquityMethodInvestments,GainLossOnInvestments,GainLossOnSaleOfInvestments,GainLossOnSaleOfOtherAssets,GainsLossesOnExtinguishmentOfDebt,GrossProfit,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInInterestPayableNet,InterestExpense,InterestIncomeOperating,InterestIncomeOther,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LitigationSettlementExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetRealizedOrUnrealizedGainLossOnTradingSecurities,NotesPayable,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OtherAccruedLiabilitiesCurrent,OtherAssets,OtherAssetsNoncurrent,OtherLiabilitiesCurrent,OtherThanTemporaryImpairmentLossesInvestmentsAvailableforsaleSecurities,ProceedsFromConvertibleDebt,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfAvailableForSaleSecurities,ProceedsFromSaleOfLongtermInvestments,ProceedsFromSaleOfNotesReceivable,PropertyPlantAndEquipmentNet,RepaymentsOfDebt,RetainedEarningsAccumulatedDeficit,Revenues,SellingGeneralAndAdministrativeExpense,StockholdersEquity,StockIssuedDuringPeriodValueConversionOfUnits,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AdjustmentsToAdditionalPaidInCapitalOther,IncreaseDecreaseInPrepaidExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent
2017-06-30,2018-04-12,10-K,WATERSIDE CAPITAL CORPORATION,WSCC,CIK0000924095,USD,,,,15479680.0,,,,,0.0,,,17650.0,,-458485.0,,,1.0,10000000.0,1915548.0,1915548.0,1915548.0,,,,,150000.0,,,,,,438.0,,-0.2,,,-104000.0,-104000.0,,192.0,,,,,192.0,192.0,147569.0,,10574869.0,0.0,10574869.0,10427300.0,-274002.0,85000.0,-269483.0,-373921.0,-100425.0,,10427300.0,374113.0,,147569.0,,,,100000.0,,,,10000.0,85000.0,85000.0,,274002.0,-27970097.0,192.0,273688.0,-10574869.0,,1915548.0,,,,,,,
2017-09-30,2018-04-26,10-Q,WATERSIDE CAPITAL CORPORATION,WSCC,CIK0000924095,USD,,,2845.0,15494291.0,,,,,0.0,,,,,,,,1.0,10000000.0,1915548.0,1915548.0,1915548.0,7305.0,21916.0,,21916.0,,14611.0,,,,,,22517.0,-0.01,,,,,,,2845.0,,601.0,601.0,,,147569.0,,10585620.0,0.0,10578315.0,10427300.0,21916.0,,-21916.0,25362.0,,,10427300.0,25362.0,,601.0,,,,,21916.0,,,,,,,,-27995459.0,,24761.0,-10585620.0,,1915548.0,,,,,,,
2017-12-31,2018-05-11,10-Q,WATERSIDE CAPITAL CORPORATION,WSCC,CIK0000924095,USD,,,2478.0,15506479.0,,,,,8065.0,,,8065.0,,,8065.0,,1.0,10000000.0,1915548.0,1915548.0,1915548.0,25733.0,,49338.0,49338.0,,,,,,23605.0,,50792.0,-0.01,,,,,,,,,,4047.0,,,147569.0,,10604534.0,8065.0,10578801.0,,,,,23037.0,,,10427300.0,23037.0,,1454.0,,,,,,,,,,,,,-28018496.0,,18990.0,-10596469.0,,1915548.0,,,,,,,
2018-03-31,2018-06-06,10-Q,WATERSIDE CAPITAL CORPORATION,WSCC,CIK0000924095,USD,,,845.0,15523144.0,,,,,7590.0,,,7590.0,,,7590.0,,1.0,10000000.0,1915548.0,1915548.0,1915548.0,42124.0,,,74338.0,,,,,,32214.0,,,-0.02,,,,,,,,,,9516.0,,,147569.0,,10622752.0,7590.0,10580628.0,,,,,-35358.0,,,10427300.0,35358.0,,2914.0,,,,,,,,,,,,,-28053854.0,,25842.0,-10165160.0,,1915548.0,,,,,,,
2018-06-30,2018-09-05,10-K,WATERSIDE CAPITAL CORPORATION,WSCC,CIK0000924095,USD,,,6595.0,15539813.0,15539813.0,23850.0,60133.0,,4624.0,,,4624.0,,4624.0,4624.0,4624.0,1.0,10000000.0,1915548.0,1915548.0,1915548.0,,,63055.0,99338.0,,60133.0,,,,36283.0,,,-0.07,,,,,,,6595.0,,15692.0,39542.0,,,163261.0,156933.0,10660211.0,4624.0,10660211.0,10427300.0,99338.0,,-94714.0,-140851.0,,,10427300.0,140851.0,-140851.0,,,,,,99338.0,,,,,,,,-28110948.0,,101309.0,-10655587.0,,1915548.0,,,,,,,
2018-09-30,2018-11-13,10-Q,WATERSIDE CAPITAL CORPORATION,WSCC,CIK0000924095,USD,,,2845.0,15556480.0,,,16667.0,15251.0,17650.0,,,17650.0,,13026.0,17650.0,13026.0,1.0,10000000.0,1915548.0,1915548.0,1915548.0,,,86639.0,124338.0,,76800.0,,,,37699.0,,,-0.02,,,,,,,-3750.0,,5913.0,21165.0,,,169174.0,,10685958.0,17650.0,10685958.0,,25000.0,,-11974.0,-29388.0,,,10427300.0,29388.0,-29388.0,,,,,,25000.0,,,,,,,,-28140336.0,,8223.0,-10668308.0,,1915548.0,,,,,,,
2018-12-31,2019-02-19,10-Q,WATERSIDE CAPITAL CORPORATION,WSCC,CIK0000924095,USD,,,2845.0,15566480.0,,,10000.0,,10744.0,,,10744.0,,,10774.0,,1.0,10000000.0,1915548.0,1915548.0,1915548.0,,,113821.0,139338.0,,,,,,25517.0,,,-0.03,,,,,,,,,,28412.0,,,175405.0,,10719371.0,10744.0,10719371.0,,,,,-50289.0,,,10427300.0,50288.0,-50288.0,,,,,,,,,,,,,,-28190625.0,,21876.0,-10708597.0,,1915548.0,,,,,,,
2019-03-31,2019-05-20,10-Q,WATERSIDE CAPITAL CORPORATION,WSCC,CIK0000924095,USD,,,2845.0,15576480.0,,,10000.0,,13509.0,,,13509.0,,,13509.0,,1.0,10000000.0,1915548.0,1915548.0,1915548.0,,,154338.0,,,,,,,,,,-0.03,,,,,,,,,,42477.0,,,182335.0,,10766818.0,13509.0,10766818.0,,,,,-54712.0,,,10427300.0,54712.0,-54712.0,,,,,,,,,,,,,,-28245337.0,,12265.0,-10753309.0,,1915548.0,,,,,,,
2019-06-30,2019-09-30,10-K,WATERSIDE CAPITAL CORPORATION,WSCC,CIK0000924095,USD,,,7308.0,,15586480.0,75450.0,46667.0,75450.0,8993.0,,,8993.0,,,8993.0,4369.0,1.0,10000000.0,1915548.0,1915548.0,1915548.0,,,161838.0,,,,,,,,,184880.0,5.44,,,,,10584254.0,,713.0,,16735.0,92185.0,,,23042.0,23042.0,192188.0,8993.0,192188.0,,70000.0,,-65631.0,10425725.0,,,0.0,158529.0,-158529.0,,,,,,70000.0,,,,,,,,-17685223.0,,66344.0,-183195.0,,1915548.0,,,,,,,
2019-09-30,2019-11-19,10-Q,WATERSIDE CAPITAL CORPORATION,WSCC,CIK0000924095,USD,,,7308.0,,15596480.0,,10000.0,17500.0,11197.0,,,11197.0,,,11197.0,2204.0,1.0,10000000.0,1915548.0,1915548.0,1915548.0,,,184338.0,,,116800.0,,116800.0,,,,,-0.02,,,,,,,0.0,,5161.0,22661.0,,,28203.0,,219849.0,11197.0,219849.0,,15000.0,,-12796.0,35457.0,,,,35457.0,-35457.0,,,,,,15000.0,,,,,,,,-17720680.0,,12796.0,-208652.0,,1915548.0,,,,,,,
