end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableTradeCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapitalCommonStock,Assets,AssetsCurrent,BuildingsAndImprovementsGross,Cash,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsSold,DeferredOfferingCosts,Depreciation,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,GainsLossesOnExtinguishmentOfDebt,Goodwill,GrossProfit,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestExpense,InterestPaid,InterestPayableCurrent,InvestmentIncomeInterest,LaborAndRelatedExpense,Land,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LinesOfCreditCurrent,LongTermDebtCurrent,LongTermDebtNoncurrent,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesAndLoansReceivableNetNoncurrent,OperatingExpenses,OperatingIncomeLoss,OtherNoncashIncomeExpense,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromCollectionOfNotesReceivable,ProceedsFromIssuanceOfDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfLinesOfCredit,ProfessionalFees,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RepaymentsOfDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SalesRevenueNet,ShareBasedCompensation,StockholdersEquity,StockIssued1
2010-03-31,2010-07-06,10-K,"MK AUTOMOTIVE, INC.",MASN,CIK0001486452,USD,,,,,,,,111658.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-16,10-Q,"MK AUTOMOTIVE, INC.",MASN,CIK0001486452,USD,,,,,,,,86024.0,-25634.0,,,,,,896599.0,,,,0.0,,,256296.0,-11772.0,5680.0,-52790.0,-2144.0,37839.0,31581.0,,597.0,26013.0,,,,,,,,,11430.0,-83688.0,,58054.0,70596.0,-37242.0,,148458.0,107838.0,,,,,,-3471.0,91354.0,,1589.0,71917.0,8300.0,,1152895.0,55556.0,,
2010-09-30,2010-11-18,10-Q,"MK AUTOMOTIVE, INC.",MASN,CIK0001486452,USD,,,,,,,,39028.0,,,,,,,1056681.0,,,,0.0,,,180848.0,,,,,45266.0,,,586.0,32964.0,,,,,,,,,9529.0,,,,2153.0,-44680.0,,134015.0,46833.0,,,,,,,68602.0,,341.0,,,,1237529.0,,,
2010-12-31,2011-02-14,10-Q,"MK AUTOMOTIVE, INC.",MASN,CIK0001486452,USD,,,,,,,,53499.0,,,,,,,980808.0,,,,0.0,,,61180.0,,,,,49691.0,,,577.0,29831.0,,,,,,,,,13203.0,,,,-78395.0,-49114.0,,90461.0,-29281.0,,,,,,,22739.0,,5787.0,,,,1041988.0,,,
2011-03-31,2011-06-27,10-K,"MK AUTOMOTIVE, INC.",MASN,CIK0001486452,USD,198233.0,56913.0,223629.0,2119654.0,2729657.0,139006.0,480620.0,80260.0,,0.001,50000000.0,30414145.0,30414145.0,30415.0,,,,220857.0,,,1218379.0,,,,,,,,223766.0,,,919380.0,2639706.0,2729657.0,1411843.0,1227863.0,96601.0,612145.0,1227863.0,,,,,,,37822.0,,,,1833.0,,,,,,1334450.0,,,,-2060118.0,,,89951.0,
2011-06-30,2011-09-14,10-Q,"MK AUTOMOTIVE, INC.",MASN,CIK0001486452,USD,221254.0,59564.0,227572.0,2143929.0,2716933.0,158047.0,480620.0,49578.0,-30682.0,0.001,50000000.0,31139145.0,31139145.0,31140.0,820299.0,20000.0,3943.0,220857.0,0.0,,1228379.0,116019.0,23021.0,2651.0,2164.0,-750.0,54100.0,35620.0,236595.0,,30654.0,919380.0,2626006.0,2716933.0,1362779.0,1263227.0,93397.0,541100.0,1263227.0,7965.0,-38885.0,,8203.0,-24024.0,-54100.0,,85943.0,30076.0,,28905.0,,,,-3204.0,31209.0,1330507.0,,35681.0,,-2084142.0,936318.0,5000.0,90927.0,
2011-09-30,2011-11-21,10-Q,"MK AUTOMOTIVE, INC.",MASN,CIK0001486452,USD,204326.0,50069.0,231515.0,2143929.0,2671693.0,116750.0,480620.0,34580.0,,0.001,50000000.0,31139145.0,31139145.0,31140.0,840148.0,,,220857.0,0.0,,1228379.0,103190.0,,,,,51855.0,,240808.0,,31429.0,919380.0,2635942.0,2671693.0,1438335.0,1197607.0,90351.0,639051.0,1197607.0,4936.0,,,,-55226.0,-51855.0,,106561.0,-3371.0,,32101.0,,,,,52508.0,1326564.0,227.0,,,-2139318.0,943338.0,,35751.0,
2011-12-31,2012-02-21,10-Q,"MK AUTOMOTIVE, INC.",MASN,CIK0001486452,USD,227136.0,196667.0,235347.0,2397075.0,2842567.0,225275.0,480620.0,24065.0,,0.001,50000000.0,38014672.0,38014672.0,38015.0,807654.0,,,446561.0,0.01,239382.0,1218379.0,238672.0,,,,,36877.0,,,,32021.0,919380.0,2204732.0,2842567.0,1019721.0,1185011.0,87287.0,138184.0,1185011.0,400.0,,,,342063.0,202505.0,76181.0,99114.0,139558.0,,4543.0,,,,,37078.0,1322732.0,13554.0,,,-1797255.0,1046326.0,,637835.0,
