end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccruedProfessionalFeesCurrent,AccruedProfessionalFeesCurrentAndNoncurrent,AccruedSalariesCurrent,AdditionalPaidInCapital,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalOther,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivable,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCosts,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetImpairmentCharges,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashFDICInsuredAmount,CommonStockDividendsShares,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConcentrationRiskPercentage1,ContractWithCustomerLiabilityRevenueRecognized,CostOfRevenue,DebtInstrumentInterestRateStatedPercentage,DeferredCompensationLiabilityCurrent,DeferredRevenue,DeferredTaxAssetsOperatingLossCarryforwards,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EquityMethodInvestmentOwnershipPercentage,ExtinguishmentOfDebtAmount,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsNet,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfIntangibleAssetsFinitelived,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedSalaries,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueToOtherRelatedParties,IncreaseDecreaseInOperatingLeaseLiability,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestExpenseDebt,InterestPayableCurrent,LaborAndRelatedExpense,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesAssumed1,LiabilitiesCurrent,LiabilityForUncertainTaxPositionsCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesAssumed1,NotesIssued1,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesReduction,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAccruedLiabilitiesCurrent,OtherNonoperatingExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalFees,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,SaleOfStockPricePerShare,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,SharePrice,SharesOutstanding,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2018-12-31,2019-05-14,10-K,"Webstar Technology Group, Inc.",WBSR,CIK0001645155,USD,,,1256.0,56756.0,330000.0,1604732.0,,8800.0,,100000.0,,,,,,71200.0,14497.0,6497.0,5241.0,5241.0,5241.0,-8114.0,,,,0.0001,0.0001,300000000.0,114300000.0,114300000.0,11430.0,,,8800.0,0.035,3116667.0,,607989.0,,179230.0,-0.01,0.0,0.21,-0.265,0.265,0.055,,,8800.0,8000.0,128556.0,-6295.0,71200.0,-1222201.0,269928.0,2883031.0,,1256.0,263700.0,645900.0,,,,,,71200.0,,0.0,,645900.0,,,6106335.0,14497.0,,6106335.0,,85817.0,-93931.0,-1222201.0,,,675000.0,,675000.0,,1215906.0,-1222201.0,,,,,2883031.0,607989.0,330000.0,,0.0001,1000000.0,,,,,,,355525.0,270250.0,269708.0,-6103268.0,2505.0,,100000.0,100000.0,,,-6091838.0,1700.0,,587000.0,,,108198630.0
2019-03-31,2019-07-03,10-Q,"Webstar Technology Group, Inc.",WBSR,CIK0001645155,USD,12175.0,,100.0,46423.0,,1752751.0,,400.0,,25000.0,,15000.0,,,,,62972.0,55372.0,55272.0,,55272.0,50031.0,,,,0.0001,,300000000.0,114300000.0,114300000.0,11430.0,,,400.0,,3141667.0,746.0,705784.0,,238563.0,0.0,0.0,0.21,-0.265,0.265,0.055,,,9200.0,7600.0,54144.0,1198.0,,-290465.0,70348.0,290465.0,12921.0,-1156.0,4000.0,148019.0,746.0,,,,,,,,,173019.0,,,,62972.0,,6445275.0,,84333.0,-34302.0,-290466.0,,,,40000.0,675000.0,,291663.0,,,,,,2663334.0,705784.0,,,0.0001,1000000.0,,,,,,25000.0,221450.0,64500.0,162117.0,-6393733.0,1598.0,,25000.0,25000.0,1.0,,-6382304.0,,,,,,139300000.0
2019-06-30,2019-12-17,10-Q,"Webstar Technology Group, Inc.",WBSR,CIK0001645155,USD,36122.0,,599.0,5000.0,,1900770.0,3141667.0,,,0.0,,,,,,,264052.0,4632.0,4033.0,,4033.0,,,,,0.0001,,300000000.0,114300000.0,114300000.0,11430.0,,,400.0,,,497.0,,,226669.0,0.0,,,,,,,,9600.0,7200.0,130369.0,349.0,,-281060.0,,,,,,,,,,,,,3021.0,0.0,3021.0,96719.0,296916.0,22333.0,3785749.0,264052.0,,3652076.0,,,,-281060.0,281409.0,,,60000.0,675000.0,,278388.0,,276490.0,142547.0,133673.0,252220.0,,,,3021.0,0.0001,1000000.0,,,,,,,,51300.0,,-6674794.0,749.0,,0.0,,,,-3521697.0,,,,,,139300000.0
2019-09-30,2020-01-30,10-Q,"Webstar Technology Group, Inc.",WBSR,CIK0001645155,USD,2239.0,,999.0,,,1981508.0,3141667.0,,,0.0,,,,,,,243940.0,12402.0,11403.0,,11403.0,,,,,0.0001,,300000000.0,114300000.0,114300000.0,11430.0,,,400.0,,,248.0,,,365551.0,0.0,,,,,,,,10000.0,6800.0,68165.0,1048.0,,-251868.0,,,,,,,,,,,,,2813.0,2813.0,5833.0,80738.0,284820.0,23444.0,4017505.0,243940.0,,3876397.0,,,,-251868.0,252916.0,,,60000.0,675000.0,,250103.0,,261376.0,120268.0,141108.0,224738.0,,,,,0.0001,1000000.0,,,,,,,,101200.0,,-6926662.0,1448.0,,0.0,,,,-3773565.0,,,,,,139300000.0
2019-12-31,2020-03-23,10-K,"Webstar Technology Group, Inc.",WBSR,CIK0001645155,USD,5609.0,,1398.0,,,309444.0,6354443.0,8800.0,61346.0,25000.0,,15000.0,15000.0,1600.0,,,52013.0,39058.0,,36535.0,36535.0,31294.0,,,,,0.0001,300000000.0,114300000.0,114300000.0,11430.0,,995.0,1600.0,,,,171209.0,583084.0,583084.0,-0.01,0.0,0.21,-0.25458,0.25458,0.04458,,,10400.0,6400.0,258783.0,2842.0,,-1115416.0,87033.0,641096.0,5609.0,142.0,,455392.0,,239300.0,,12500.0,1125.0,,20883.0,5833.0,,455392.0,,,904824.0,52013.0,1907130.0,899464.0,,383021.0,-351727.0,-1115416.0,,65833.0,,,,675000.0,1097375.0,-1094533.0,6687.0,1327.0,5360.0,6555.0,641096.0,348428.0,,,0.0001,1000000.0,,,1125.0,,,45000.0,712330.0,383200.0,374309.0,-7218684.0,4442.0,,25000.0,0.0,1.0,,-852811.0,,,,,,139300000.0
2020-03-31,2020-05-08,10-Q,"Webstar Technology Group, Inc.",WBSR,CIK0001645155,USD,30997.0,,3842.0,,,578225.0,6354443.0,400.0,,0.0,,,,400.0,,,24506.0,12265.0,,8424.0,8424.0,-28111.0,,,,,0.0001,300000000.0,114300000.0,114300000.0,11430.0,,249.0,400.0,,,,,,643434.0,0.0,,,,,,,,10800.0,6000.0,74321.0,1298.0,,-381704.0,,,25388.0,2444.0,,268781.0,,,,,-1125.0,,,,,291581.0,,,1259021.0,24506.0,,1254008.0,,60350.0,-88461.0,-381704.0,,,,,,,383002.0,,6364.0,1352.0,5012.0,6240.0,,,,,0.0001,1000000.0,,,,,,,60710.0,17100.0,360.0,-7600389.0,1698.0,,,,,,-1234515.0,,,,,,139300000.0
2020-06-30,2020-08-13,10-Q,"Webstar Technology Group, Inc.",WBSR,CIK0001645155,USD,15838.0,,,,,840069.0,6604443.0,,,0.0,,,,,,,12588.0,1069.0,,1069.0,1069.0,,,,,,0.0001,300000000.0,139300000.0,139300000.0,13930.0,,249.0,400.0,,,,,446824.0,446824.0,0.0,,,,,,0.05,,11200.0,5600.0,27402.0,498.0,,-311547.0,,,,,,,,,,,,,,,,284643.0,,,1308650.0,12588.0,,1304108.0,,,,-311547.0,312045.0,,,,,,312045.0,,5919.0,1377.0,4542.0,5919.0,,,,,0.0001,1000000.0,1000.0,1000.0,,,,,,,,-7914435.0,898.0,,,,1.0,,-1296062.0,,,,250000.0,250000.0,139300000.0
2020-09-30,2020-11-10,10-Q,"Webstar Technology Group, Inc.",WBSR,CIK0001645155,USD,57276.0,,1948.0,,,1092575.0,6664383.0,,,0.0,,,,,,,73450.0,62658.0,,60710.0,60710.0,,,,,,0.0001,300000000.0,139900000.0,139900000.0,13990.0,,249.0,400.0,,,,,502257.0,,0.0,,,,,,,,11600.0,5200.0,74788.0,1797.0,,-348297.0,,,,,,,,,,,,,,,,275306.0,,,1657809.0,73450.0,,1653511.0,,,,-348297.0,350094.0,,,,,,350094.0,,5701.0,1403.0,4298.0,5592.0,,,,,0.0001,1000000.0,1000.0,1000.0,,,,,,,,-8262732.0,2197.0,,,,1.0,,-1584359.0,,,,60000.0,,139300000.0
2020-12-31,2021-04-13,10-K,"Webstar Technology Group, Inc.",WBSR,CIK0001645155,USD,48017.0,1349.0,1349.0,,,1345081.0,6664383.0,8800.0,,,0.0,,,1600.0,,,14949.0,4891.0,,1505.0,1505.0,-35030.0,0.0,0.0,,,0.0001,300000000.0,139900000.0,139900000.0,13990.0,,995.0,1600.0,,,,,511177.0,,-0.01,,0.21,-0.25458,0.25458,0.04458,,,12000.0,4800.0,213077.0,5139.0,,-1351875.0,,,42408.0,-49.0,,1035637.0,,,,,912.0,,,,,1126837.0,,,1909635.0,14949.0,,1905705.0,0.0,238093.0,-273123.0,-1351875.0,,,,,,,1357014.0,-1351875.0,5360.0,1430.0,3930.0,5258.0,957334.0,,,,0.0001,1000000.0,,,2037.0,,60000.0,,178453.0,17100.0,360.0,-8573059.0,6739.0,,,,,,-1894686.0,,,,250000.0,60000.0,139474247.0
2021-03-31,2021-05-14,10-Q,"Webstar Technology Group, Inc.",WBSR,CIK0001645155,USD,58806.0,,1349.0,,,1613862.0,6664383.0,,,,,,,400.0,,,11542.0,2224.0,,875.0,875.0,-630.0,,,,,0.0001,300000000.0,139900000.0,139900000.0,13990.0,,,,,,,,538577.0,,0.0,,,,,,,,12400.0,4400.0,18449.0,,,-310030.0,,,10789.0,,,268781.0,,,,,-2037.0,,,,,291581.0,,,2216258.0,11542.0,,2212702.0,0.0,27400.0,-28030.0,-310030.0,,,,,,,310030.0,,5012.0,1457.0,3556.0,4918.0,,,,,0.0001,1000000.0,,,,,,,27400.0,,,-8883089.0,,,,,,,-2204716.0,,,,,,139900000.0
