end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,BankOverdrafts,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxCredits,EmployeeBenefitsAndShareBasedCompensation,GainOrLossOnSaleOfPreviouslyUnissuedStockBySubsidiary,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationEquityInEarningsLossesOfUnconsolidatedSubsidiary,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPrepaidExpense,InterestExpenseRelatedParty,InvestmentIncomeInterest,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherNonoperatingIncomeExpense,PaymentsForRent,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,RetainedEarningsAccumulatedDeficit,SaleOfStockPricePerShare,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForServices,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2019-12-31,2020-04-15,10-K,STRATUS CAPITAL CORP,SRUS,CIK0001761540,USD,697.0,95373.0,-9179.0,244.0,244.0,,244.0,244.0,,0.0001,25000000.0,21525481.0,21525481.0,2153.0,,95977.0,-0.01,0.26,0.21,-0.26,,0.05,0.0,75500.0,,222452.0,-227342.0,-59108.0,,59108.0,-24.0,76890.0,,,,4890.0,192047.0,244.0,192047.0,75220.0,,-74976.0,-227342.0,222452.0,-222452.0,496303.0,4890.0,120.0,0.0001,9000000.0,0.0,0.0,,10000.0,65620.0,-400.0,-184877.0,,-191803.0,,21525481.0
2020-03-31,2020-05-15,10-Q,STRATUS CAPITAL CORP,SRUS,CIK0001761540,USD,3439.0,115428.0,-9179.0,40.0,40.0,,40.0,,-204.0,0.0001,25000000.0,21525481.0,21525481.0,2153.0,,109799.0,0.0,,,,,,,,,34769.0,-36823.0,,,,,20055.0,2742.0,,2054.0,2054.0,228666.0,40.0,228666.0,13822.0,,-14026.0,-36823.0,34769.0,-34769.0,,,120.0,0.0001,9000000.0,0.0,0.0,,,13822.0,,-221700.0,,-228626.0,,21525481.0
2020-06-30,2020-08-14,10-Q,STRATUS CAPITAL CORP,SRUS,CIK0001761540,USD,93.0,135794.0,-9179.0,6544.0,6544.0,,44.0,,,0.0001,25000000.0,21525481.0,21525481.0,2153.0,,135048.0,0.0,,,,,,,,,33399.0,-35765.0,,,,,,,,2366.0,,270935.0,6544.0,270935.0,,,,-35765.0,33399.0,-33399.0,,,,0.0001,9000000.0,0.0,0.0,6500.0,,,,-257465.0,,-264391.0,,21525481.0
2020-09-30,2020-11-16,10-Q,STRATUS CAPITAL CORP,SRUS,CIK0001761540,USD,2224.0,156630.0,-9179.0,5231.0,5231.0,,356.0,,,0.0001,25000000.0,21525481.0,21525481.0,2153.0,,143710.0,0.0,,,,,,,,,30106.0,-32942.0,,,,,,,,2836.0,,302564.0,5231.0,302564.0,,,,-32942.0,30106.0,-30106.0,,,,0.0001,9000000.0,0.0,0.0,4875.0,,,,-290407.0,,-297333.0,,21525481.0
2020-12-31,2021-03-31,10-K,STRATUS CAPITAL CORP,SRUS,CIK0001761540,USD,4773.0,165630.0,-9179.0,3289.0,3289.0,,39.0,-205.0,,0.0001,25000000.0,21525481.0,21525481.0,2153.0,,158874.0,-0.01,0.26,0.21,-0.26,0.8,0.05,0.0,,,126928.0,-134185.0,-34888.0,,31888.0,4076.0,70257.0,,3250.0,,7257.0,329277.0,3289.0,329277.0,62897.0,,-63102.0,-134185.0,126928.0,-126928.0,630000.0,7257.0,120.0,0.0001,4000000.0,0.0,0.0,3250.0,,62897.0,,-319062.0,,-325988.0,,21525481.0
2021-03-31,2021-05-17,10-Q,STRATUS CAPITAL CORP,SRUS,CIK0001761540,USD,1852.0,178061.0,-9179.0,2180.0,2180.0,,555.0,,516.0,0.0001,25000000.0,21525481.0,21525481.0,2153.0,,185342.0,0.0,,,,,,,,,33656.0,-37087.0,,,,,12431.0,-2921.0,-1625.0,3431.0,,365255.0,2180.0,365255.0,26468.0,,-25952.0,-37087.0,33656.0,-33656.0,,,120.0,0.0001,4000000.0,0.0,0.0,1625.0,,26468.0,,-356149.0,,-363075.0,,21525481.0
2021-06-30,2021-08-20,10-Q,STRATUS CAPITAL CORP,SRUS,CIK0001761540,USD,16506.0,193456.0,-9179.0,372.0,372.0,,372.0,,,0.0001,25000000.0,21525481.0,21525481.0,2153.0,,204442.0,0.0,,,,,,,,,47062.0,-50957.0,,,,,,,,3895.0,,414404.0,372.0,414404.0,,,,-50957.0,47062.0,-47062.0,,,,0.0001,4000000.0,0.0,0.0,,,,,-407106.0,,-414032.0,,21525481.0
2021-09-30,2022-01-20,10-Q,STRATUS CAPITAL CORP,SRUS,CIK0001761540,USD,26475.0,206625.0,-9179.0,4456.0,4456.0,,331.0,,,0.0001,25000000.0,21525481.0,21525481.0,2153.0,,210016.0,0.0,,,,,,,,,20460.0,-24628.0,,,,,,,,4168.0,,443116.0,4456.0,443116.0,,,,-24628.0,20460.0,-20460.0,,,,0.0001,4000000.0,0.0,0.0,4125.0,,,,-431734.0,,-438660.0,,21525481.0
