end,filed,form,Name,Ticker,CIK,Currency,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AmortizationOfDebtDiscountPremium,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,DefinedContributionPlanEmployerDiscretionaryContributionAmount,Depreciation,DepreciationAndAmortization,Dividends,DueFromAffiliates,EarningsPerShareBasicAndDiluted,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,GeneralAndAdministrativeExpense,IncentiveFeeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseDueFromAffiliates,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInSelfInsuranceReserve,InterestExpense,InterestIncomeOther,InterestPaidNet,InvestmentsFairValueDisclosure,LongTermDebt,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonconsolidatedLegalEntityFinancialSupportAmount,NonoperatingIncomeExpense,NotesPayableFairValueDisclosure,OperatingExpenses,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,PartnersCapitalAccountContributions,PaymentsOfDividendsCommonStock,PaymentsOfDividendsMinorityInterest,PaymentsOfFinancingCosts,PaymentsToAcquireInvestments,PaymentsToMinorityShareholders,ProceedsFromContributionsFromParent,ProceedsFromLinesOfCredit,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleMaturityAndCollectionsOfInvestments,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfLinesOfCredit,RepaymentsOfNotesPayable,RevenueFromContractWithCustomerIncludingAssessedTax,ShareBasedCompensation,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueShareBasedCompensationForfeited,StockRepurchasedAndRetiredDuringPeriodValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AmortizationOfFinancingCosts,BusinessAcquisitionCostOfAcquiredEntityTransactionCosts,CommonStockDividendsPerShareDeclared,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DeferredFederalIncomeTaxExpenseBenefit,DeferredFinanceCostsNet,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxLiabilitiesNet,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsLossReserves,DeferredTaxAssetsUnrealizedLossesOnTradingSecurities,DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,DefinedContributionPlanEmployersMatchingContributionAnnualVestingPercentage,DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent,DepositsAssetsCurrent,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,ExtinguishmentOfDebtAmount,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchases,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,FiniteLivedIntangibleAssetsNet,GainLossOnSaleOfPropertyPlantEquipment,IncreaseDecreaseInDueToAffiliates,InvestmentIncomeNet,Investments,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,OtherExpenses,PaymentsToAcquireBusinessesNetOfCashAcquired,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromMinorityShareholders,UnamortizedDebtIssuanceExpense,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued
2021-06-30,2021-08-17,10-Q,BRIDGE INVESTMENT GROUP HOLDINGS INC.,BRDG,CIK0001854401,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169641000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-30,2021-11-15,10-Q,BRIDGE INVESTMENT GROUP HOLDINGS INC.,BRDG,CIK0001854401,USD,3537000.0,,,193788000.0,,10290000.0,118869000.0,,300000.0,,,33668000.0,0.41,44197000.0,6703000.0,0.0,121489000.0,,-2607000.0,,,,,,,,2407000.0,1008000.0,,9108000.0,150000000.0,0.0,75000000.0,0.0,0.0,0.0,,,,118882000.0,,1166000.0,12007000.0,56712000.0,,,,,,,,-13000.0,,,,,,,,,,,,7737000.0,4200000.0,,,92171000.0,,418075000.0,300000.0,,22284351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,2022-03-18,10-K,BRIDGE INVESTMENT GROUP HOLDINGS INC.,BRDG,CIK0001854401,USD,3839000.0,,523000.0,83872000.0,-23482000.0,23201000.0,408602000.0,2900000.0,1200000.0,2830000.0,,35379000.0,0.93,40123000.0,24815000.0,215000.0,416889000.0,8811000.0,-8262000.0,3959000.0,9847000.0,4488000.0,3487000.0,1933000.0,6438000.0,3455000.0,8504000.0,3265000.0,7968000.0,8035000.0,150000000.0,0.0,75000000.0,0.0,0.0,,-118447000.0,-114259000.0,209224000.0,408627000.0,14075000.0,2406000.0,12003000.0,249749000.0,18191000.0,2864000.0,2901000.0,2958000.0,3241000.0,2621000.0,3606000.0,-25000.0,,176273000.0,73175000.0,,14096000.0,110000.0,,135800000.0,,,1239000.0,7965000.0,4126000.0,135800000.0,0.0,330014000.0,21508000.0,549737000.0,,,22515868.0,429000.0,1000000.0,0.24,2887000.0,1300000.0,4970000.0,,3283000.0,1000.0,-895000.0,9000.0,59211000.0,59210000.0,178000.0,62000.0,1.0,1.0,0.04,30000000.0,0.0198,0.21,0.0007,0.0037,,2835000.0,1141000.0,4321000.0,1415000.0,717000.0,1309000.0,3441000.0,,1723000.0,339000000.0,44006000.0,75000000.0,0.0,1723000.0,30000000.0,,1143000.0,1858000.0,0.0
