end,filed,form,Name,Ticker,CIK,Currency,Assets,AssetsNet,Cash,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,DeferredOfferingCosts,DueToRelatedPartiesCurrentAndNoncurrent,GainLossOnInvestments,GainLossOnSaleOfTrustAssetsToPayExpenses,IncreaseDecreaseInDeferredCharges,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInReceivables,InvestmentCompanyExpenseRatioExcludingIncentiveFee,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyTotalReturn,InvestmentInPhysicalCommodities,InvestmentInPhysicalCommoditiesFairValueDisclosure,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceOtherMeasure,InvestmentOwnedPercentOfNetAssets,Liabilities,NetAssetValuePerShare,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonInvestmentAssetsLessNonInvestmentLiabilities,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OperatingExpenses,OperatingIncomeLoss,OrderFlowFees,OtherAmortizationOfDeferredCharges,OtherDeferredCostsGross,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromSaleOfTrustAssetsToPayExpenses,SaleOfTrustAssetsToPayExpenses,SharesIssuedPricePerShare,SharesOutstanding,SponsorFees,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,UnrealizedGainLossOnInvestments,InterestExpense,NetCashProvidedByUsedInInvestingActivities,OtherAssets,PaymentsToAcquireOtherInvestments
2021-03-31,2021-05-17,10-Q,wShares Enhanced Gold ETF,WGLD,CIK0001799858,USD,1710363.0,1709402.0,259.0,241.0,0.0,,961.0,-82935.0,-858.0,,961.0,,58582.0,26802.0,0.038,-0.83,-0.91,-0.08,-0.038,-0.0506,1624720.0,1709402.0,1706797.0,1624720.0,960.776,0.9505,961.0,17.09,1800000.0,-1799759.0,-90616.0,84682.0,0.0495,7681.0,-7681.0,500.0,,,58582.0,1800000.0,26802.0,,,100001.0,1313.0,1800018.0,100000.0,1800000.0,-82077.0,,,,
2021-06-30,2021-08-16,10-Q,wShares Enhanced Gold ETF,WGLD,CIK0001799858,USD,2057451.0,1777987.0,278021.0,,0.0,67366.0,2004.0,89019.0,21325.0,,,,,,0.0451,0.89,0.69,-0.2,-0.0451,0.0401,1712064.0,,1726447.0,1712064.0,971.026,0.9629,279464.0,17.78,,,68585.0,65923.0,0.0371,20434.0,-20434.0,,16555.0,90289.0,,,,,,100001.0,2949.0,1800018.0,,,67694.0,,,,
2021-09-30,2021-11-15,10-Q,wShares Enhanced Gold ETF,WGLD,CIK0001799858,USD,1740923.0,1737969.0,197.0,,0.0,38974.0,2954.0,-18976.0,572.0,,,,,,0.0465,-0.19,-0.4,-0.21,-0.0465,-0.0225,1672175.0,1672175.0,1706106.0,1672175.0,959.476,0.9621,2954.0,17.38,,,-40018.0,65794.0,0.0379,21042.0,-21042.0,,16738.0,78635.0,,,,,,100001.0,2939.0,1800018.0,,,-19548.0,30.0,,25569.0,
