end,filed,form,Name,Ticker,CIK,Currency,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AccruedInvestmentIncomeReceivable,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdvancePaymentsByBorrowersForTaxesAndInsurance,AdvancesFromFederalHomeLoanBanks,AdvertisingExpense,AmortizationOfDeferredLoanOriginationFeesNet,AmortizationOfESOPAward,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsHeldForSaleNotPartOfDisposalGroup,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAmortizedCostBasis,AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost,AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDate,AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDateAmortizedCostBasis,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateAmortizedCost,AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateFairValue,AvailableForSaleSecuritiesDebtSecurities,BankOwnedLifeInsurance,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,DebtSecuritiesAvailableForSaleGainLoss,DebtSecuritiesAvailableForSaleUnrealizedLossPosition,DebtSecuritiesAvailableForSaleUnrealizedLossPositionAccumulatedLoss,DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLoss,DeferredIncomeTaxExpenseBenefit,DefinedBenefitPlanAmountsRecognizedInOtherComprehensiveIncomeLossNetGainLossBeforeTax,DefinedBenefitPlanRecognizedNetGainLossDueToSettlements1,Deposits,DepreciationAmortizationAndAccretionNet,EarningsPerShareBasic,EarningsPerShareDiluted,EmployeeStockOwnershipPlanESOPCashContributionsToESOP,EmployeeStockOwnershipPlanESOPCompensationExpense,EmployeeStockOwnershipPlanESOPDeferredShares,EmployeeStockOwnershipPlanESOPDeferredSharesFairValue,EmployeeStockOwnershipPlanESOPNumberOfAllocatedShares,EmployeeStockOwnershipPlanESOPNumberOfSuspenseShares,EmployeeStockOwnershipPlanESOPSharesInESOP,EmployeeStockOwnershipPlanESOPWeightedAveragePurchasePriceOfSharesPurchased,FederalDepositInsuranceCorporationPremiumExpense,FinanceLeaseInterestExpense,FinancingReceivableAllowanceForCreditLosses,FinancingReceivableAllowanceForCreditLossesCollectivelyEvaluatedForImpairment,FinancingReceivableAllowanceForCreditLossesIndividuallyEvaluatedForImpairment1,FinancingReceivableAllowanceForCreditLossesRecovery,FinancingReceivableAllowanceForCreditLossesWriteOffs,FinancingReceivableCollectivelyEvaluatedForImpairment,FinancingReceivableIndividuallyEvaluatedForImpairment,FinancingReceivableModificationsNumberOfContracts2,FinancingReceivableModificationsRecordedInvestment,FinancingReceivableModificationsSubsequentDefaultRecordedInvestment1,FinancingReceivableRecordedInvestment90DaysPastDueAndStillAccruing,FinancingReceivableRecordedInvestmentNonaccrualStatus,GainLossOnSaleOfPropertyPlantEquipment,GainsLossesOnSalesOfInvestmentRealEstate,GoodwillImpairmentLoss,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain,HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss,HeldToMaturitySecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,HeldToMaturitySecuritiesDebtMaturitiesAfterFiveThroughTenYearsNetCarryingAmount,HeldToMaturitySecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,HeldToMaturitySecuritiesDebtMaturitiesAfterOneThroughFiveYearsNetCarryingAmount,HeldToMaturitySecuritiesDebtMaturitiesSingleMaturityDateAmortizedCostBasis,HeldToMaturitySecuritiesDebtMaturitiesSingleMaturityDateFairValue,HeldToMaturitySecuritiesDebtMaturitiesWithinOneYearFairValue,HeldToMaturitySecuritiesDebtMaturitiesWithinOneYearNetCarryingAmount,HeldToMaturitySecuritiesDebtMaturitiesWithoutSingleMaturityDateFairValue,HeldToMaturitySecuritiesDebtMaturitiesWithoutSingleMaturityDateNetCarryingAmount,HeldToMaturitySecuritiesFairValue,ImpairedFinancingReceivableAverageRecordedInvestment,ImpairedFinancingReceivableInterestIncomeAccrualMethod,ImpairedFinancingReceivableInterestIncomeCashBasisMethod,ImpairedFinancingReceivableRecordedInvestment,ImpairedFinancingReceivableRelatedAllowance,ImpairedFinancingReceivableUnpaidPrincipalBalance,ImpairedFinancingReceivableWithNoRelatedAllowanceAverageRecordedInvestment,ImpairedFinancingReceivableWithNoRelatedAllowanceInterestIncomeAccrualMethod,ImpairedFinancingReceivableWithNoRelatedAllowanceInterestIncomeCashBasisMethod,ImpairedFinancingReceivableWithNoRelatedAllowanceRecordedInvestment,ImpairedFinancingReceivableWithNoRelatedAllowanceUnpaidPrincipalBalance,ImpairedFinancingReceivableWithRelatedAllowanceAverageRecordedInvestment,ImpairedFinancingReceivableWithRelatedAllowanceInterestIncomeAccrualMethod,ImpairedFinancingReceivableWithRelatedAllowanceInterestIncomeCashBasisMethod,ImpairedFinancingReceivableWithRelatedAllowanceRecordedInvestment,ImpairedFinancingReceivableWithRelatedAllowanceUnpaidPrincipalBalance,ImpairmentOfLongLivedAssetsToBeDisposedOf,ImpairmentOfRealEstate,IncomeLossAttributableToParent,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAdvancePaymentsByBorrowersForTaxesAndInsurance,IncreaseDecreaseInDeposits,IncreaseDecreaseInInterestAndDividendsReceivable,IncreaseDecreaseInOperatingLeaseLiability,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingLiabilities,InformationTechnologyAndDataProcessing,InterestAndDividendIncomeOperating,InterestAndFeeIncomeLoansAndLeases,InterestExpense,InterestExpenseBorrowings,InterestExpenseDeposits,InterestIncomeExpenseAfterProvisionForLoanLoss,InterestIncomeExpenseNet,InterestIncomeExpenseNonoperatingNet,InterestIncomeSecuritiesMortgageBacked,InterestPaidNet,LaborAndRelatedExpense,LeaseCost,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LifeInsuranceCorporateOrBankOwnedChangeInValue,MultiemployerPlansWithdrawalObligation,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoncashContributionExpense,NoninterestExpense,NoninterestExpenseDirectorsFees,NoninterestIncome,NoninterestIncomeOtherOperatingIncome,NotesReceivableGross,NotesReceivableNet,OccupancyNet,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeaseWeightedAverageDiscountRatePercent,OtherAssets,OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationBeforeTax,OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAfterTax,OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax,OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationBeforeTax,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossTax,OtherLiabilities,OtherNoninterestExpense,OtherThanTemporaryImpairmentLossDebtSecuritiesAvailableForSale,PaymentsForProceedsFromFederalHomeLoanBankStock,PaymentsForProceedsFromLoansAndLeases,PaymentsOfStockIssuanceCosts,PaymentsToAcquireAvailableForSaleSecuritiesDebt,PaymentsToAcquireHeldToMaturitySecurities,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquireRestrictedInvestments,PrepaymentFeesOnAdvancesNet,ProceedsFromFederalHomeLoanBankBorrowings,ProceedsFromIssuanceOfCommonStock,ProceedsFromLifeInsurancePolicies,ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,ProceedsFromSaleOfHeldToMaturitySecurities,ProceedsFromSaleOfRestrictedInvestments,ProfessionalFees,PropertyPlantAndEquipmentNet,ProvisionForLoanAndLeaseLosses,ProvisionForLoanLossesExpensed,RealEstateAcquiredThroughForeclosure,RealEstateHeldforsale,ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodNetOfTax,RepaymentsOfFederalHomeLoanBankBorrowings,RestrictedInvestments,RetainedEarningsAccumulatedDeficit,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockPricePerShare,SecurityOwnedAndPledgedAsCollateralFairValue,StockholdersEquity,StockIssuedDuringPeriodValueNewIssues,TimeDepositMaturitiesRemainderOfFiscalYear,TimeDepositMaturitiesYearFour,TimeDepositMaturitiesYearOne,TimeDepositMaturitiesYearThree,TimeDepositMaturitiesYearTwo,TimeDeposits,TransferOfPortfolioLoansAndLeasesToHeldForSale1,UnamortizedLoanCommitmentAndOriginationFeesAndUnamortizedDiscountsOrPremiums,VariableLeaseCost,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesEmployeeStockOwnershipPlanSharesNotCommittedToBeReleased,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,BankingRegulationCapitalConservationBufferCommonEquityTierOneRiskBasedCapitalActual,BankingRegulationCapitalConservationBufferTierOneRiskBasedCapitalActual,BankingRegulationCapitalConservationBufferTotalRiskBasedCapitalActual,BankingRegulationCommonEquityTierOneRiskBasedCapitalRatioCapitalAdequacyMinimum,BankingRegulationCommonEquityTierOneRiskBasedCapitalRatioWellCapitalizedMinimum,Capital,CapitalRequiredForCapitalAdequacy,CapitalRequiredForCapitalAdequacyToRiskWeightedAssets,CapitalRequiredToBeWellCapitalized,CapitalRequiredToBeWellCapitalizedToRiskWeightedAssets,CapitalToRiskWeightedAssets,CommonEquityTierOneCapital,CommonEquityTierOneCapitalRatio,CommonEquityTierOneCapitalRequiredForCapitalAdequacy,CommonEquityTierOneCapitalRequiredToBeWellCapitalized,CurrentFederalStateAndLocalTaxExpenseBenefit,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtSecuritiesAvailableForSaleRealizedGain,DebtSecuritiesAvailableForSaleRealizedLoss,DebtSecuritiesRealizedGainLoss,DeferredFederalIncomeTaxExpenseBenefit,DeferredFederalStateAndLocalTaxExpenseBenefit,DeferredIncomeTaxLiabilities,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsCharitableContributionCarryforwards,DeferredTaxAssetsDerivativeInstruments,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,DeferredTaxAssetsOther,DeferredTaxAssetsPropertyPlantAndEquipment,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBonuses,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPensions,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPostretirementBenefits,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsProvisionForLoanLosses,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilitiesDeferredExpenseDeferredFinancingCosts,DeferredTaxLiabilitiesLeasingArrangements,DeferredTaxLiabilitiesOther,DeferredTaxLiabilitiesPropertyPlantAndEquipment,DeferredTaxLiabilitiesUnrealizedGainsOnTradingSecurities,DefinedContributionPlanEmployerDiscretionaryContributionAmount,DepositsSavingsDeposits,DepreciationDepletionAndAmortization,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EmployeeStockOwnershipPlanESOPDebtStructureDirectLoanAmount,EmployeeStockOwnershipPlanESOPNumberOfCommittedToBeReleasedShares,ExtinguishmentOfDebtAmount,FederalHomeLoanBankAdvances,FederalHomeLoanBankAdvancesBranchOfFHLBBankAmountOfAdvancesByBranch,FederalHomeLoanBankAdvancesGeneralDebtObligationsDisclosuresCollateralPledged1,FederalHomeLoanBankAdvancesGeneralDebtObligationsDisclosuresRepaymentAndPenalties,FederalHomeLoanBankAdvancesMaturitiesSummaryAverageInterestRateOfAmountsDueWithinOneYearOfBalanceSheetDate,FederalHomeLoanBankAdvancesMaturitiesSummaryAverageInterestRateOneToTwoYearsFromBalanceSheetDate,FederalHomeLoanBankAdvancesMaturitiesSummaryAverageInterestRateThreeToFourYearsFromBalanceSheetDate,FederalHomeLoanBankAdvancesMaturitiesSummaryAverageInterestRateTwoToThreeYearsFromBalanceSheetDate,FederalHomeLoanBankAdvancesMaturitiesSummaryDueFromOneToTwoYearsOfBalanceSheetDate,FederalHomeLoanBankAdvancesMaturitiesSummaryDueFromThreeToFourYearsOfBalanceSheetDate,FederalHomeLoanBankAdvancesMaturitiesSummaryDueFromTwoToThreeYearsOfBalanceSheetDate,FederalHomeLoanBankAdvancesMaturitiesSummaryDueWithinOneYearOfBalanceSheetDate,FederalHomeLoanBankAdvancesWeightedAverageInterestRate,FederalIncomeTaxExpenseBenefitContinuingOperations,FinancingReceivableBeforeAllowanceForCreditLossAndFee,GainsLossesOnSalesOfOtherRealEstate,HeldToMaturitySecuritiesDebtMaturitiesAfterTenYearsFairValue,HeldToMaturitySecuritiesDebtMaturitiesAfterTenYearsNetCarryingAmount,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpenseImpairmentLosses,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncomeTaxReconciliationTaxExemptIncome,NoninterestBearingDepositLiabilities,OperatingLossCarryforwardsValuationAllowance,OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditBeforeTax,OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansNetUnamortizedGainLossArisingDuringPeriodBeforeTax,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesBeforeTax,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansBeforeTax,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossBeforeTax,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,PaymentsToAcquireFederalHomeLoanBankStock,PaymentsToAcquireMortgageNotesReceivable,ProceedsFromSaleOfFederalHomeLoanBankStock,ProceedsFromSaleOfRealEstateHeldforinvestment,ProceedsFromSalesOfAssetsInvestingActivities,PropertyPlantAndEquipmentGross,RealEstateOwnedValuationAllowanceProvision1,RelatedPartyDepositLiabilities,StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,StatutoryAccountingPracticesPortionOfExcessRetainedEarningsNotTaxed,TierOneLeverageCapital,TierOneLeverageCapitalRequiredForCapitalAdequacy,TierOneLeverageCapitalRequiredForCapitalAdequacyToAverageAssets,TierOneLeverageCapitalRequiredToBeWellCapitalized,TierOneLeverageCapitalRequiredToBeWellCapitalizedToAverageAssets,TierOneLeverageCapitalToAverageAssets,TierOneRiskBasedCapital,TierOneRiskBasedCapitalRequiredForCapitalAdequacy,TierOneRiskBasedCapitalRequiredForCapitalAdequacyToRiskWeightedAssets,TierOneRiskBasedCapitalRequiredToBeWellCapitalized,TierOneRiskBasedCapitalRequiredToBeWellCapitalizedToRiskWeightedAssets,TierOneRiskBasedCapitalToRiskWeightedAssets,TimeDepositLiabilityAboveUsInsuranceLimit,TimeDepositMaturitiesYearFive,TransferToOtherRealEstate,ValuationAllowanceDeferredTaxAssetChangeInAmount
2021-03-31,2021-06-17,10-Q,BLUE FOUNDRY BANCORP,BLFY,CIK0001846017,USD,-112000.0,5933000.0,-434000.0,822000.0,10725000.0,324400000.0,470000.0,-53000.0,,,1963614000.0,5156000.0,4147000.0,2070000.0,272385000.0,40911000.0,41051000.0,64888000.0,66743000.0,4982000.0,4868000.0,274462000.0,272385000.0,5645000.0,5709000.0,155959000.0,156091000.0,274462000.0,21302000.0,292134000.0,292134000.0,-24311000.0,0.1,20000000.0,100000.0,100000.0,10000.0,-148000.0,13502000.0,204000.0,98595000.0,1866000.0,,112097000.0,2070000.0,7003000.0,0.0,52000.0,,1385829000.0,600000.0,,,,,,,,,,,125000.0,6000.0,16150000.0,16060000.0,90000.0,0.0,1000.0,1280737000.0,16972000.0,0.0,6100000.0,0.0,0.0,12385000.0,,0.0,,1000.0,0.0,,,0.0,0.0,7003000.0,7004000.0,7004000.0,7003000.0,,,7004000.0,18249000.0,123000.0,98000.0,16972000.0,90000.0,17755000.0,16755000.0,97000.0,78000.0,15485000.0,16270000.0,1494000.0,26000.0,20000.0,1487000.0,1485000.0,21000.0,0.0,-1296000.0,-551000.0,0.0,-116000.0,29644000.0,184000.0,-483000.0,-689000.0,1832000.0,1767000.0,13942000.0,12262000.0,4343000.0,1525000.0,2818000.0,10407000.0,9599000.0,,1545000.0,4355000.0,6021000.0,452000.0,28828000.0,17400000.0,2590000.0,1850000.0,2162000.0,2287000.0,2539000.0,3776000.0,1758162000.0,1963614000.0,116000.0,,24528000.0,-50609000.0,1770000.0,-745000.0,,12369000.0,140000.0,666000.0,140000.0,1292682000.0,1281559000.0,1953000.0,419000.0,748000.0,25052000.0,445000.0,24079000.0,0.0199,12121000.0,-3641000.0,317000.0,,4610000.0,,4948000.0,338000.0,597000.0,424000.0,12155000.0,706000.0,0.0,,13690000.0,,59609000.0,,3518000.0,,,182800000.0,,,,1700000.0,1704000.0,0.0,225000.0,1397000.0,22605000.0,-808000.0,-808000.0,624000.0,,-280000.0,187800000.0,16635000.0,205054000.0,0.0,,,11800000.0,205452000.0,,471314000.0,7171000.0,125813000.0,15519000.0,61268000.0,684429000.0,0.0,5027000.0,27000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,2021-08-06,10-Q,BLUE FOUNDRY BANCORP,BLFY,CIK0001846017,USD,,5507000.0,29000.0,822000.0,10417000.0,315400000.0,521000.0,,,,2576851000.0,6117000.0,5011000.0,1047000.0,290520000.0,36020000.0,36897000.0,67762000.0,70051000.0,4982000.0,4870000.0,294484000.0,290520000.0,25539000.0,25575000.0,156217000.0,157091000.0,294484000.0,21423000.0,925091000.0,925091000.0,,0.1,20000000.0,100000.0,100000.0,10000.0,-540000.0,9293000.0,185000.0,96469000.0,862000.0,,105762000.0,1047000.0,3002000.0,,52000.0,,2008068000.0,,,,,,,,,,,,129000.0,6000.0,15593000.0,15516000.0,77000.0,0.0,4000.0,1240220000.0,16549000.0,,5700000.0,,0.0,12467000.0,-86000.0,,0.0,0.0,1000.0,,,,,3002000.0,3001000.0,3001000.0,3002000.0,,,3001000.0,,,,16549000.0,77000.0,17093000.0,,,,15431000.0,15975000.0,,,,1118000.0,1118000.0,0.0,0.0,-720000.0,283000.0,,,,,,,,1885000.0,13802000.0,12056000.0,3894000.0,1515000.0,2379000.0,10461000.0,9908000.0,,1618000.0,,6369000.0,838000.0,30577000.0,17751000.0,2804000.0,2198000.0,2389000.0,2602000.0,2833000.0,3812000.0,2371939000.0,2576851000.0,,,,,,-1003000.0,,11801000.0,136000.0,620000.0,169000.0,1253558000.0,1241176000.0,2043000.0,765000.0,,26765000.0,852000.0,25700000.0,0.0196,12824000.0,1888000.0,172000.0,,-1245000.0,,-892000.0,353000.0,463000.0,232000.0,11289000.0,645000.0,0.0,,,1500000.0,,,,,,,,,,2300000.0,,,,546000.0,24876000.0,,-553000.0,624000.0,892000.0,-291000.0,,16027000.0,204051000.0,,,,10700000.0,204912000.0,,373006000.0,6953000.0,162712000.0,16981000.0,74594000.0,639043000.0,,3211000.0,67000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-30,2021-11-05,10-Q,BLUE FOUNDRY BANCORP,BLFY,CIK0001846017,USD,,5706000.0,-512000.0,281786000.0,10165000.0,247600000.0,603000.0,,554000.0,0.0,2024333000.0,6117000.0,4310000.0,1847000.0,311683000.0,38783000.0,39422000.0,91243000.0,93410000.0,4973000.0,4909000.0,314146000.0,311683000.0,11257000.0,11388000.0,165427000.0,165017000.0,314146000.0,21547000.0,324291000.0,324291000.0,,0.01,28522500.0,28522500.0,28522500.0,285000.0,-15511000.0,8866000.0,144000.0,135064000.0,1703000.0,,143930000.0,1847000.0,23325000.0,,52000.0,-9232000.0,1265617000.0,,-0.68,-0.68,,,22405000.0,30897000.0,41290.0,2240510.0,2281800.0,,130000.0,6000.0,15248000.0,15177000.0,71000.0,0.0,7000.0,1237959000.0,16264000.0,,5500000.0,,0.0,12464000.0,7000.0,,0.0,8000.0,186000.0,9080000.0,9241000.0,11067000.0,11084000.0,,,3000000.0,3000000.0,23147000.0,23325000.0,23147000.0,,,,16264000.0,71000.0,16106000.0,,,,15157000.0,14998000.0,,,,1107000.0,1108000.0,0.0,0.0,-21187000.0,-6217000.0,,,,,,,,1781000.0,14073000.0,12044000.0,2969000.0,1318000.0,1651000.0,11442000.0,11104000.0,,1901000.0,,5931000.0,815000.0,31084000.0,17821000.0,2971000.0,2321000.0,2401000.0,2708000.0,2862000.0,3791000.0,1576098000.0,2024333000.0,,,,,,-14970000.0,,33118000.0,136000.0,489000.0,135000.0,1249663000.0,1238975000.0,1853000.0,751000.0,,27293000.0,653000.0,26101000.0,0.0196,23877000.0,-1501000.0,-844000.0,,660000.0,,1028000.0,368000.0,-541000.0,-248000.0,25423000.0,931000.0,0.0,,,4800000.0,,,,,-1401000.0,,,,,10000000.0,,,,875000.0,26648000.0,,-338000.0,624000.0,892000.0,-303000.0,,12976000.0,189081000.0,,,,9800000.0,448235000.0,273598000.0,128516000.0,6801000.0,246645000.0,20173000.0,113255000.0,521510000.0,,4560000.0,58000.0,21979861.0,1892231.0,23872092.0,21979861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
