end,filed,form,Name,Ticker,CIK,Currency,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,Cash,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CurrentIncomeTaxExpenseBenefit,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,GeneralAndAdministrativeExpense,IncomeTaxExpenseBenefit,IncomeTaxReconciliationOtherReconcilingItems,IncreaseDecreaseInOtherCurrentAssetsAndLiabilitiesNet,Liabilities,LiabilitiesAndStockholdersEquity,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AssetsCurrent,Depreciation,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,InterestPaidNet,InventoryNet,LiabilitiesCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProFormaWeightedAverageSharesOutstandingDiluted,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,WeightedAverageNumberOfSharesOutstandingBasic
2021-11-30,2022-03-15,10-K,"KAT EXPLORATION, INC.",KATX,CIK0001474558,USD,0.0,864100.0,0.0,0.0,0.0,0.0,0.0,0.001,1759271048.0,1759271048.0,1759271.0,0.0,0.0,0.0,0.0,13000.0,0.0,13000.0,0.0,0.0,-13000.0,13000.0,0.0,0.0,0.0,0.0,-13000.0,0.0,13000.0,-13000.0,-2636371.0,0.0,-13000.0,1759271048.0,0.0,,0.0,0.0,0.0,,,,,,,,0.0,13000.0,,,,0.0,0.0,
2022-02-28,2022-03-15,10-Q,"KAT EXPLORATION, INC.",KATX,CIK0001474558,USD,0.0,864100.0,0.0,0.0,0.0,0.0,,0.001,1759271048.0,1759271048.0,1759271.0,,,,,14125.0,0.0,1125.0,,,,14125.0,0.0,0.0,0.0,0.0,-1125.0,0.0,1125.0,-1125.0,-2637496.0,0.0,-14125.0,1759271048.0,0.0,14125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1125.0,0.0,0.0,0.0,14125.0,0.0,0.0,1759271048.0,0.0,0.0,1759271048.0
