end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfRevenue,CostsAndExpensesRelatedParty,CustomerDepositsCurrent,DeferredRevenueCurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,FederalIncomeTaxExpenseBenefitContinuingOperations,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherPrepaidExpenseCurrent,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,PrepaidExpenseAndOtherAssetsCurrent
2013-08-31,2013-09-24,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,1250.0,,,3240.0,,5887.0,5887.0,,5887.0,,,,75000000.0,8360000.0,,8360.0,,,,,,,,,,317.0,0.0,,,,3039.0,,-3039.0,1250.0,,,,,,,1567.0,5887.0,,,,,,-3039.0,3039.0,-3039.0,,,,,,,,,,317.0,,,,,-7280.0,,,,,4320.0,,,,,,8013043.0,
2013-11-30,2013-12-18,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,1330.0,,,22950.0,,20092.0,20092.0,,20092.0,,,,75000000.0,10550000.0,,10550.0,,,,,,,,,,317.0,0.0,,,,7775.0,,-7775.0,,,,,,,,1647.0,20092.0,,,,,,-7775.0,7775.0,-7775.0,,,,,,,,,,,,,,,-15055.0,,,,,18445.0,,,,,,10134945.0,
2014-02-28,2014-03-28,10-K,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,,,,22950.0,22950.0,5882.0,5882.0,5882.0,5882.0,-2254.0,,0.001,75000000.0,10550000.0,10550000.0,10550.0,,,,,9498.0,,9498.0,,,317.0,0.0,,,9436.0,27754.0,,-27754.0,,,,,,,,317.0,5882.0,,25500.0,25500.0,-27754.0,-27754.0,-27754.0,27754.0,-27754.0,,,,,,,,,25500.0,,,,-27754.0,,-27935.0,,10550000.0,,5565.0,5565.0,2550000.0,2550000.0,25500.0,9436.0,,9164329.0,
2014-05-31,2017-05-03,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,,,,22950.0,,,,,,-5882.0,,0.001,75000000.0,10550000.0,10550000.0,10550.0,,,,,,,,,,,0.0,,,,5565.0,,-5565.0,,,,,,,,,,,,-317.0,,-5565.0,-5565.0,5565.0,-5565.0,,,,,,,,,,,,,,317.0,-33500.0,,,,,,,,,,,10550000.0,
2014-08-31,2017-05-04,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,36000.0,,,,22950.0,,,,,,,,0.001,75000000.0,10550000.0,10550000.0,10550.0,,,,,,,,,,,0.0,,,,36000.0,,-36000.0,,,,,,,,36000.0,,,,,,,-36000.0,36000.0,-36000.0,,,,,,,,,,,,,,,-69500.0,,,,,-36000.0,,,,,,10550000.0,
2014-11-30,2017-05-04,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,72000.0,,,,22950.0,,,,,,,,0.001,75000000.0,10550000.0,10550000.0,10550.0,,,,,,,,,,,0.0,,,,36000.0,,-36000.0,,,,,,,,72000.0,,,,,,,-36000.0,36000.0,-36000.0,,,,,,,,,,,,,,,-105500.0,,,,,-72000.0,,,,,,10550000.0,
2015-02-28,2017-05-09,10-K,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,,,108000.0,22950.0,,,,,,-5882.0,,0.001,75000000.0,10550000.0,10550000.0,10550.0,,,,,48110.0,,48110.0,,108000.0,,-0.01,,0.34,38612.0,113565.0,,-113565.0,,,108000.0,,,,,108000.0,,,,-317.0,,-5565.0,-113565.0,113565.0,-113565.0,141500.0,,,,,,,,,,,,,317.0,-141500.0,,,,-108000.0,-108000.0,,,,38612.0,,10550000.0,
2015-05-31,2017-05-10,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,,,144000.0,22950.0,,,,,,,,0.001,75000000.0,10550000.0,10550000.0,10550.0,,,,,,,,,,,0.0,,,,36000.0,,-36000.0,,,,,36000.0,,,144000.0,,,,,,,-36000.0,36000.0,-36000.0,,,,,,,,,,,,,,,-177500.0,,,,,-144000.0,,,,,,10550000.0,
2015-08-31,2017-05-11,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,,,180000.0,22950.0,,,,,,,,0.001,75000000.0,10550000.0,10550000.0,10550.0,,,,,,,,,,,0.0,,,,36000.0,,-36000.0,,,,,,,,180000.0,,,,,,,-36000.0,36000.0,-36000.0,,,,,,,,,,,,,,,-213500.0,,,,,-180000.0,,,,,,10550000.0,
2015-11-30,2017-05-11,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,,,216000.0,22950.0,,,,,,,,0.001,75000000.0,10550000.0,10550000.0,10550.0,,,,,,,,,,,0.0,,,,36000.0,,-36000.0,,,,,,,,216000.0,,,,,,,-36000.0,36000.0,-36000.0,,,,,,,,,,,,,,,-249500.0,,,,,-216000.0,,,,,,10550000.0,
2016-02-29,2017-05-15,10-K,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,,,252000.0,22950.0,,,,,,,,0.001,75000000.0,10550000.0,10550000.0,10550.0,,,,,97070.0,,97070.0,,252000.0,,-0.01,,0.34,48960.0,144000.0,,-144000.0,,,144000.0,,,,,252000.0,,,,,,,-144000.0,144000.0,-144000.0,285500.0,,,,,,,,,,,,,,-285500.0,,,,-252000.0,-252000.0,,,,48960.0,,10550000.0,
2016-05-31,2017-05-15,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,,,288000.0,22950.0,,,,,,,,0.001,75000000.0,10550000.0,10550000.0,10550.0,,,,,,,,,,,0.0,,,,36000.0,,-36000.0,,,36000.0,,36000.0,,,288000.0,,,,,,,-36000.0,36000.0,-36000.0,,,,,,,,,,,,,,,-321500.0,,,,,-288000.0,,,,,,10550000.0,
2016-08-31,2017-05-15,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,,,324000.0,22950.0,,,,,,,,0.001,75000000.0,10550000.0,10550000.0,10550.0,,,,,,,,,,,0.0,,,,36000.0,,-36000.0,,,,,,,,324000.0,,,,,,,-36000.0,36000.0,-36000.0,,,,,,,,,,,,,,,-357500.0,,,,,-324000.0,,,,,,10550000.0,
2016-11-30,2017-05-15,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,,,360000.0,22950.0,,,,,,,,0.001,75000000.0,10550000.0,10550000.0,10550.0,,,,,,,,,,,0.0,,,,36000.0,,-36000.0,,,,,,,,360000.0,,,,,,,-36000.0,36000.0,-36000.0,,,,,,,,,,,,,,,-393500.0,,,,,-360000.0,,,,,,94950000.0,
2017-02-28,2017-05-25,10-K,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,,,396000.0,-61450.0,,0.0,,,,,,0.001,500000000.0,94950000.0,94950000.0,94950.0,,,,,90200.0,,90200.0,,396000.0,,-0.01,0.0,0.34,30240.0,144000.0,,-144000.0,,,144000.0,,,,,396000.0,0.0,,,,,,-144000.0,144000.0,-144000.0,429500.0,,0.001,50000000.0,0.0,0.0,,,,,,,,,-429500.0,,,,-396000.0,-396000.0,,,,30240.0,94950000.0,10550000.0,
2017-05-31,2017-07-12,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,,,432000.0,22950.0,,300.0,300.0,300.0,300.0,300.0,,0.001,75000000.0,10550000.0,10550000.0,10550.0,,12000.0,,,,,,51030.0,,,0.0,,,,86730.0,,-86730.0,,,36000.0,,,,,483030.0,300.0,,51030.0,51030.0,-50730.0,-50730.0,-86730.0,86730.0,-86730.0,,,,,,,,,,,51030.0,,,,-516230.0,,,,,-482730.0,,,,,,94950000.0,
2017-08-31,2017-10-12,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,,,468000.0,22950.0,,240.0,240.0,240.0,240.0,,,0.001,,10550000.0,10550000.0,10550.0,,,,,,,,62193.0,,,0.0,,,,47223.0,,-47223.0,,,,,,,,530193.0,240.0,,,,,,-47223.0,47223.0,-47223.0,,,,,,,,,,,,,,,-563453.0,,,,,-529953.0,,,,,,10550000.0,
2017-11-30,2018-01-12,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,2150.0,,504000.0,-61450.0,,7710.0,7710.0,7710.0,,,,0.001,500000000.0,94950000.0,94950000.0,94950.0,,,,,,,,87835.0,,,0.0,,,,81322.0,,-81322.0,,,,,,,,593985.0,7710.0,,,,,,-81322.0,81322.0,-81322.0,,,0.001,50000000.0,0.0,0.0,,,,,,35915.0,,,-644775.0,,,,,-586275.0,,,,,,94950000.0,
2018-02-28,2018-05-25,10-K,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,896.0,,540000.0,-61450.0,,14063.0,14063.0,5730.0,5730.0,5730.0,,0.001,500000000.0,119950000.0,119950000.0,119950.0,,12000.0,,,146600.0,,146600.0,112904.0,,,,0.0,0.21,56400.0,268737.0,,-268737.0,896.0,,144000.0,,,,8333.0,653800.0,14063.0,,137904.0,,-132174.0,,-268737.0,268737.0,-268737.0,146600.0,,0.001,50000000.0,,,8333.0,112904.0,25000.0,,,100225.0,,,-698237.0,,,,-639737.0,-639737.0,,,25000.0,56400.0,102073288.0,,
2018-05-31,2018-07-13,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,1526.0,,576000.0,-61450.0,,6060.0,6060.0,277.0,277.0,-5503.0,,0.001,500000000.0,119950000.0,119950000.0,119950.0,,,,,,,,122904.0,,,0.0,,,,54633.0,,-54633.0,630.0,,36000.0,,,,-2500.0,700430.0,6060.0,,10000.0,,-15503.0,,-54633.0,54633.0,-54633.0,,,,,,,5833.0,,,,10000.0,,,,-752870.0,,,,-694370.0,-694370.0,,,,,,119950000.0,
2018-08-31,2018-10-15,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,2410.0,,612000.0,-61450.0,,5013.0,5013.0,1680.0,,,,0.001,500000000.0,119950000.0,119950000.0,119950.0,,,,,,,,132904.0,,,0.0,,,,47931.0,,-47931.0,,,,,,,,747314.0,5013.0,,,,,,-47931.0,47931.0,-47931.0,,,,,,,3333.0,,,,,,,,-800801.0,,,,-742301.0,-742301.0,,,,,,119950000.0,
2018-11-30,2019-01-14,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,15204.0,,648000.0,-61450.0,,16162.0,16162.0,3329.0,,,,0.001,500000000.0,119950000.0,119950000.0,119950.0,,,,,,,,177805.0,,,0.0,,,,82546.0,,-82546.0,,,,,,,,841009.0,16162.0,,,,,,-82546.0,82546.0,-82546.0,,,,,,,12833.0,,,,,,,,-883347.0,,,,-824847.0,-824847.0,,,,,,119950000.0,
2019-02-28,2019-06-24,10-K,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,9821.0,,684000.0,-61450.0,,23053.0,23053.0,553.0,553.0,-5177.0,-5177.0,0.001,500000000.0,119950000.0,119950000.0,119950.0,,,,,193000.0,,193000.0,189765.0,,,,0.0,0.21,46400.0,220796.0,,-220796.0,8925.0,,144000.0,,,,14167.0,883586.0,23053.0,883586.0,76861.0,,-82038.0,,-220796.0,220796.0,-220796.0,193000.0,,0.001,50000000.0,0.0,0.0,22500.0,76861.0,,,,,,,-919033.0,,,,-860533.0,-860533.0,,,,46400.0,119950000.0,,
2019-05-31,2019-07-15,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,10877.0,,720000.0,-61450.0,,139156.0,139156.0,69656.0,,69103.0,69103.0,0.001,500000000.0,119950000.0,119950000.0,119950.0,,,,137910.0,,,,189865.0,,,0.0,,,,58963.0,,-58963.0,1056.0,,36000.0,137910.0,,,47000.0,1058652.0,139156.0,,100.0,,69003.0,,-58963.0,58963.0,-58963.0,,50000.0,,,,,19500.0,,,,100.0,,,,-977996.0,,,,-919496.0,-919496.0,,,,,,119950000.0,
2019-08-31,2019-10-11,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,18289.0,,756000.0,-61450.0,,113002.0,113002.0,10302.0,,,,0.001,500000000.0,119950000.0,119950000.0,119950.0,,,,137910.0,,,,189865.0,,,0.0,,,,69566.0,,-69566.0,,,,,,,,1102064.0,113002.0,,,,,,-69566.0,69566.0,-69566.0,,98700.0,0.001,50000000.0,0.0,0.0,4000.0,,,,,,,,-1047562.0,,,,-989062.0,-989062.0,,,,,,119950000.0,
2019-11-30,2020-01-15,10-Q,"ANVI GLOBAL HOLDINGS, INC.",ANVI,CIK0001570132,USD,,22523.0,,792000.0,-61450.0,,105959.0,105959.0,1259.0,,,,0.001,500000000.0,119950000.0,119950000.0,119950.0,,,,137910.0,,,,196565.0,,,0.0,,,,53977.0,,-53977.0,,,,,,,,1148998.0,105959.0,,,,,,-53977.0,53977.0,-53977.0,,103700.0,0.001,50000000.0,0.0,0.0,1000.0,,,,,,,,-1101539.0,,,,-1043039.0,-1043039.0,,,,,,119950000.0,
