end,filed,form,Name,Ticker,CIK,Currency,AccountsAndNotesReceivableNet,AccountsPayableAndAccruedLiabilities,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccruedInvestmentIncomeReceivable,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AcquisitionCosts,AdditionalPaidInCapital,AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,AlternativeExcessNetCapital,AmortizationOfIntangibleAssets,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsFairValueDisclosure,BankOverdrafts,BusinessCombinationAcquisitionRelatedCosts,Cash,CashCashEquivalentsAndShortTermInvestments,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfRevenue,CurrentIncomeTaxExpenseBenefit,DeferredTaxAssetsOperatingLossCarryforwards,Depreciation,DepreciationExpense,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCash,FeesAndCommissions,FiniteLivedIntangibleAssetsNet,GainLossOnSaleOfInvestments,GainOnSaleOfInvestments,GoodwillAcquiredDuringPeriod,GrossProfit,ImpairmentOfInvestments,ImpairmentOfLeasehold,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInNotesReceivableCurrent,IncreaseDecreaseInNotesReceivableRelatedParties,InterestAndDividendIncomeOperating,InterestAndFeeIncomeLoansAndLeases,InterestAndOtherIncome,InterestExpense,InterestIncomeExpenseNet,InterestReceivable,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LicensesRevenue,MachineryAndEquipmentGross,MarketingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoncashOrPartNoncashAcquisitionInterestAcquired1,NotesAndLoansPayable,NotesPayable,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwardsValuationAllowance,OtherAdditionalCapital,OtherExpenses,OtherIncome,OtherNoncashIncomeExpense,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,OtherTaxExpenseBenefit,PaymentsForProceedsFromBusinessesAndInterestInAffiliates,PaymentsForProceedsFromShortTermInvestments,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpense,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfNotesPayable,ProfessionalFees,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentFairValueDisclosure,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,Revenues,RoyaltyRevenue,SellingGeneralAndAdministrativeExpense,ShortTermInvestments,StockholdersEquity,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesPurchaseOfAssets,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueShareBasedCompensation,SubscriptionRevenue,TemporaryEquityForeignCurrencyTranslationAdjustments,TimeDepositsAtCarryingValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageRateDomesticDepositSavings
2008-11-30,2009-03-02,10-K,PURTHANOL RESOURCES LTD.,PURT,CIK0001126162,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-63371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67267.0,,,,,,,,,,,,,,,,,
2009-11-30,2010-03-01,10-K,PURTHANOL RESOURCES LTD.,PURT,CIK0001126162,USD,,,,,,,,,,,,,,,,,,,,44019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-210712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-143445.0,,,,,,,,,,,,,,,,,
2010-08-31,2010-10-25,10-Q,PURTHANOL RESOURCES LTD.,PURT,CIK0001126162,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14832.0,2059.0,,,,,,,,,,31478.0,,,,,,18908.0,,,,,-12570.0,,,,,,,,,,,,,,,,,3000.0,,,,,,,15908.0,,,,,,,,,,,,,,,,,,67661990.0,
2010-11-30,2011-07-05,10-K,PURTHANOL RESOURCES LTD.,PURT,CIK0001126162,USD,,123108.0,,,123108.0,,,345714.0,,1448112.0,,,,,630656.0,371370.0,,32.0,,,,-44019.0,0.0001,260000000.0,67661190.0,67661190.0,6766.0,,,,,,2072236.0,-0.01,,,,,,,,,-345714.0,,-575562.0,25092.0,-195312.0,,,,-7498.0,,-58320.0,7498.0,,630656.0,1248014.0,,605000.0,,249729.0,-46151.0,-247597.0,-575562.0,,1097487.0,1097487.0,27387.0,27387.0,168417.0,-168417.0,,,,,,-407145.0,,,,-46151.0,0.0001,80000000.0,0.0,0.0,195312.0,195312.0,,249697.0,,,17000.0,,,259286.0,,,,151417.0,176058.0,-617358.0,,,,,,,101649.0,,,,,-10609.0,,,67661990.0,67661190.0,
2011-02-28,2011-07-22,10-Q,PURTHANOL RESOURCES LTD.,PURT,CIK0001126162,USD,,,,,,,,,,,,,,,,,,,,81.0,,81.0,,,,,,,,,,,,0.0,,,,,,,,,,,,7713.0,12467.0,,,,-2193.0,,-15330.0,2193.0,,,,,,,23183.0,-6880.0,-16222.0,-203539.0,,,,,,175573.0,-203539.0,,,,,,-27966.0,,,,-6880.0,,,,,,,,23215.0,,,3000.0,,,,,,,172573.0,,,,,,,,,,,,,,-14829.0,,,,67540585.0,
2011-05-31,2011-07-22,10-Q,PURTHANOL RESOURCES LTD.,PURT,CIK0001126162,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,-17187.0,2193.0,,,,,,,,,,-33034.0,,,,,,18040.0,-18040.0,,,,,,-14994.0,,,,,,,,,,,,,,,3000.0,,,,,,,15040.0,,,,,,,,,,,,,,,,,,75361990.0,
2011-08-31,2011-10-20,10-Q,PURTHANOL RESOURCES LTD.,PURT,CIK0001126162,USD,,558824.0,,,,,,,,1601342.0,,,,,606719.0,347433.0,,71.0,,,,,0.0001,260000000.0,75361990.0,67661990.0,7536.0,,,,,,-2769017.0,0.0,,,,,,,,,,,,,,,,,,,-16917.0,2193.0,,606719.0,1766858.0,,,,,,,-460208.0,,,1164701.0,,43262.0,445484.0,-445484.0,,,,-14724.0,,-14724.0,,,,,0.0001,80000000.0,,,157916.0,,,,,,3000.0,,,259286.0,,,,442484.0,189517.0,-1160139.0,,,,,,,,,,,,,,,,75361990.0,
2011-11-30,2013-08-14,10-K,PURTHANOL RESOURCES LTD.,PURT,CIK0001126162,USD,,,792901.0,1995236.0,792901.0,,,432142.0,,1667790.0,,,,,501319.0,328461.0,,,,9.0,,9.0,0.0001,260000000.0,82073890.0,82073890.0,8207.0,,0.0,,,,3169914.0,-0.01,,,,,,,,,-86428.0,,-1097678.0,669793.0,49863.0,1720.0,,,-8665.0,,-65953.0,8665.0,8665.0,501319.0,1995236.0,,605000.0,,11476.0,,-11467.0,-1097678.0,,1157954.0,1157954.0,44381.0,,957779.0,-957779.0,3169914.0,,,,,-139899.0,,1109470.0,,,0.0001,80000000.0,0.0,0.0,,145449.0,,11508.0,,,17000.0,,,172858.0,-3169914.0,,,940779.0,183003.0,-1493917.0,,,,,,,221119.0,,,,,3817.0,,1109470.0,74958815.0,74958815.0,
2012-02-29,2013-08-23,10-Q,PURTHANOL RESOURCES LTD.,PURT,CIK0001126162,USD,,,798488.0,2034697.0,,,,,,1667790.0,,-1711716.0,,,495839.0,322981.0,,,,14.0,,5.0,0.0001,260000000.0,82073890.0,82073890.0,8207.0,,,,,,3214855.0,0.0,,,,,,,,,,,,5587.0,12467.0,-4695.0,,,-2287.0,18633.0,-16898.0,2287.0,,495839.0,1191312.0,,,,16976.0,,-16971.0,-44941.0,,,,44897.0,,14462.0,-14462.0,,,,,,-30479.0,,,,,0.0001,80000000.0,0.0,0.0,,132982.0,,16976.0,,,2000.0,,,172858.0,,,,12462.0,189985.0,-1538858.0,,,,,,,,,,,,-15868.0,,,,82073890.0,
2012-05-31,2013-08-23,10-Q,PURTHANOL RESOURCES LTD.,PURT,CIK0001126162,USD,,,798614.0,2034711.0,,,,,,1667790.0,,-1726605.0,,,480964.0,308106.0,,,,14.0,,,0.0001,260000000.0,82073890.0,82073890.0,8207.0,,,,,,3229744.0,0.0,,,,,,,,,,,,,,,,,,20245.0,-16864.0,2287.0,,480964.0,1191716.0,,,,,,,-14889.0,,,,44381.0,,14449.0,-14449.0,,,,,,-440.0,,,,,0.0001,80000000.0,0.0,0.0,,120515.0,,,,,2000.0,,,172858.0,,,,12449.0,,-1553747.0,,,,,,,,,,,,14137.0,,,,82073890.0,
