end,filed,form,Name,Ticker,CIK,Currency,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,GeneralAndAdministrativeExpense,IncreaseDecreaseInAccountsAndNotesReceivable,IncreaseDecreaseInAccruedLiabilities,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OtherGeneralAndAdministrativeExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromContributionsFromAffiliates,RetainedEarningsAccumulatedDeficit,StockholdersEquity,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2019-03-31,2019-05-10,10-Q,"BLUBUZZARD, INC.",BZRD,CIK0001765826,USD,300.0,-66401.0,,,0.0,0.0,0.0,0.001,500000000.0,72948316.0,72948316.0,72948.0,,0.0,997.0,,-5250.0,300.0,,300.0,6247.0,-6247.0,-997.0,997.0,997.0,0.001,20000000.0,5000.0,5000.0,5.0,,-6852.0,-300.0,72948316.0,72948316.0
2019-06-30,2019-08-12,10-Q,"BLUBUZZARD, INC.",BZRD,CIK0001765826,USD,1750.0,-64551.0,0.0,,,,,0.001,500000000.0,72948316.0,72948316.0,72948.0,,0.0,3300.0,,,1750.0,0.0,1750.0,,,-3300.0,3300.0,,0.001,20000000.0,5000.0,5000.0,5.0,,-10152.0,-1750.0,72948316.0,
2019-09-30,2019-11-06,10-Q,"BLUBUZZARD, INC.",BZRD,CIK0001765826,USD,1750.0,-62726.0,0.0,,,,,0.001,500000000.0,72948316.0,72948316.0,72948.0,,0.0,1825.0,,,1750.0,0.0,1750.0,,,-1825.0,1825.0,,0.001,20000000.0,5000.0,5000.0,5.0,,-11977.0,-1750.0,72948316.0,
2019-12-31,2020-07-13,10-K,"BLUBUZZARD, INC.",BZRD,CIK0001765826,USD,8750.0,-717511.0,0.0,0.0,,0.0,,0.001,5000000000.0,729483160.0,729483160.0,729483.0,350.0,0.0,15222.0,350.0,3200.0,9100.0,0.0,9100.0,12022.0,-12022.0,-15222.0,15222.0,,0.001,20000000.0,5000.0,5000.0,5.0,11672.0,-21077.0,-9100.0,81941944.0,
2020-03-31,2020-11-25,10-Q,"BLUBUZZARD, INC.",BZRD,CIK0001765826,USD,8268.0,-717511.0,0.0,0.0,,0.0,0.0,0.001,5000000000.0,729483160.0,729483160.0,729483.0,10545.0,0.0,9713.0,10195.0,-482.0,18813.0,0.0,18813.0,10195.0,-10195.0,-9713.0,9713.0,,0.001,20000000.0,5000.0,5000.0,5.0,,-30791.0,-18813.0,729483160.0,
