end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AdditionalPaidInCapitalCommonStock,Assets,AssetsNet,CommonStockSharesHeldInEmployeeTrustShares,CommonStockSharesOutstanding,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GainLossOnInvestments,IncreaseDecreaseInOperatingAssets,InvestmentCompanyExpenseRatioIncludingIncentiveFee,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyNetAssetsFromOperationsIncreaseDecrease,InvestmentCompanyNetAssetsPeriodIncreaseDecrease,InvestmentCompanyTotalReturn,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceContracts,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,Liabilities,NetAssetValuePerShare,RealizedInvestmentGainsLosses,SharesOutstanding,SponsorFees,StockholdersEquityNoteStockSplitConversionRatio1,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,UnrealizedGainLossOnInvestments
2020-09-30,2020-11-06,10-Q,GrayscaleÂ® Ethereum Trust (ETH),ETHE,CIK0001725210,USD,0.0,-579860434.0,803953864.0,803954000.0,1043298.0,24262800.0,,221305000.0,216965000.0,0.025,1.35,1.33,-0.02,-0.025,216965000.0,421114000.0,5.1331,-4340000.0,571502927.0,803953864.0,2262491.8782,1.0,232450937.0,0.0,3.68,1389000.0,218365200.0,4340000.0,,204149000.0,55145700.0,55145700.0,204149000.0,219916000.0
2020-12-31,2021-03-05,10-K,GrayscaleÂ® Ethereum Trust (ETH),ETHE,CIK0001725210,USD,0.0,-918804000.0,2188127000.0,2188127000.0,10803454.0,285269400.0,0.21,2406751000.0,2383362000.0,0.025,6.41,6.32,-0.09,-0.025,1338132000.0,2124587000.0,4.8266,-23389000.0,905880000.0,2188127000.0,2937122.403118,1.0,1282247000.0,0.0,7.67,8432000.0,285269400.0,23389000.0,,786455000.0,238197600.0,238197600.0,786455000.0,2398319000.0
2021-03-31,2021-05-07,10-Q,GrayscaleÂ® Ethereum Trust (ETH),ETHE,CIK0001725210,USD,0.0,-1353419000.0,6030070000.0,6030070000.0,8427917.0,310158500.0,0.21,3436598000.0,3407328000.0,0.025,11.87,11.77,-0.1,-0.025,3407328000.0,3841943000.0,,-29270000.0,1333448000.0,6030070000.0,3173754.249608,1.0,4696622000.0,0.0,19.44,22223000.0,310158500.0,29270000.0,,434615000.0,24889100.0,24889100.0,434615000.0,3414375000.0
2021-06-30,2021-08-06,10-Q,GrayscaleÂ® Ethereum Trust (ETH),ETHE,CIK0001725210,USD,0.0,-1353419000.0,7077588000.0,7077588000.0,7992732.0,310158500.0,,1098607000.0,1047518000.0,0.025,3.54,3.38,-0.16,-0.025,1047518000.0,1047518000.0,,-51089000.0,1325162000.0,7077588000.0,3154033.477694,1.0,5752426000.0,0.0,22.82,42803000.0,310158500.0,51089000.0,,,,,,1055804000.0
2021-09-30,2021-11-05,10-Q,GrayscaleÂ® Ethereum Trust (ETH),ETHE,CIK0001725210,USD,0.0,-1353419000.0,9378779000.0,9378779000.0,5345715.0,310158500.0,,2357573000.0,2301191000.0,0.025,7.6,7.42,-0.18,-0.025,2301191000.0,2301191000.0,,-56382000.0,1316838000.0,9378779000.0,3134220.55749,1.0,8061941000.0,0.0,30.24,48058000.0,310158500.0,56382000.0,,,,,,2309515000.0
2021-12-31,2022-02-25,10-K,GrayscaleÂ® Ethereum Trust (ETH),ETHE,CIK0001725210,USD,0.0,-1353419000.0,11351691000.0,11351691000.0,11817876.0,310158500.0,0.21,11000010000.0,10701861000.0,0.025,29.64,28.93,-0.71,-0.025,8728949000.0,9163564000.0,,-298149000.0,1308566000.0,11351691000.0,3114532.097539,1.0,10043125000.0,0.0,36.6,257948000.0,310158500.0,298149000.0,,434615000.0,24889100.0,24889100.0,434615000.0,10742062000.0
