end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableTradeCurrent,AccountsReceivableNetCurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AdvertisingExpense,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivable,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AreaOfRealEstateProperty,Assets,AssetsCurrent,AssetsFairValueDisclosure,AvailableForSaleDebtSecuritiesAmortizedCostBasis,AvailableForSaleSecurities,AvailableForSaleSecuritiesAmortizedCost,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,AvailableForSaleSecuritiesCurrent,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleSecuritiesDebtSecuritiesCurrent,AvailableForSaleSecuritiesDebtSecuritiesNoncurrent,AvailableForSaleSecuritiesEquitySecurities,AvailableForSaleSecuritiesFairValueDisclosure,AvailableForSaleSecuritiesGrossRealizedGainLossNet,AvailableForSaleSecuritiesGrossUnrealizedGains,AvailableForSaleSecuritiesGrossUnrealizedLoss,AvailableForSaleSecuritiesGrossUnrealizedLosses1,AvailableForSaleSecuritiesNoncurrent,AvailableforsaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses1,AvailableforsaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses1,AvailableforsaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses2,AvailableforsaleSecuritiesFailedAuctionValue,AvailableforsaleSecuritiesGrossUnrealizedGain,AvailableforsaleSecuritiesGrossUnrealizedGainLoss1,BuildingsAndImprovementsGross,CapitalExpendituresIncurredButNotYetPaid,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ConstructionInProgressGross,ContractualObligation,ContractualObligationDueAfterFifthYear,ContractualObligationDueInFifthYear,ContractualObligationDueInFourthYear,ContractualObligationDueInNextTwelveMonths,ContractualObligationDueInSecondYear,ContractualObligationDueInThirdYear,ContractWithCustomerAssetNetCurrent,ContractWithCustomerLiability,ContractWithCustomerLiabilityCurrent,ContractWithCustomerLiabilityNoncurrent,CostMethodInvestments,CostmethodInvestmentsOtherThanTemporaryImpairment,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostsAndExpenses,CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,CurrentStateAndLocalTaxExpenseBenefit,DebtSecuritiesAvailableForSaleAllowanceForCreditLoss,DebtSecuritiesAvailableForSaleChangeInPresentValueExpenseReversal,DeferredIncomeTaxExpenseBenefit,DeferredRentCredit,DeferredRevenueCurrent,DeferredRevenueNoncurrent,DeferredTaxAssetsDeferredIncome,DeferredTaxAssetsGross,DeferredTaxAssetsInProcessResearchAndDevelopment,DeferredTaxAssetsInventory,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsOperatingLossCarryforwardsForeign,DeferredTaxAssetsOther,DeferredTaxAssetsTaxCreditCarryforwards,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilitiesLeasingArrangements,DeferredTaxLiabilitiesOther,DeferredTaxLiabilitiesOtherComprehensiveIncome,DeferredTaxLiabilitiesOtherFiniteLivedAssets,DeferredTaxLiabilitiesPropertyPlantAndEquipment,DefinedContributionPlanCostRecognized,DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DerivativeGainLossOnDerivativeNet,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseDepreciationAndAmortization,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxCredits,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,EmployeeRelatedLiabilitiesCurrent,EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,EquitySecuritiesFvNiGainLoss,EquitySecuritiesFvNiRealizedGain,EquitySecuritiesFvNiRealizedGainLoss,EquitySecuritiesFvNiRealizedLoss,EquitySecuritiesFvNiUnrealizedGain,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncome,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncomeLoss,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,ForeignIncomeTaxExpenseBenefitContinuingOperations,FurnitureAndFixturesGross,GainLossOnSaleOfPropertyPlantEquipment,GeneralAndAdministrativeExpense,Goodwill,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherDeferredLiability,IncreaseDecreaseInOtherNoncurrentLiabilities,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncrementalCommonSharesAttributableToCallOptionsAndWarrants,IndefiniteLivedIntangibleAssetsExcludingGoodwill,IntangibleAssetsNetExcludingGoodwill,InterestReceivableCurrent,InventoryFinishedGoodsNetOfReserves,InventoryNet,InventoryRawMaterialsNetOfReserves,InventoryWorkInProcessNetOfReserves,InventoryWriteDown,InvestmentIncomeNet,InvestmentsFairValueDisclosure,Land,LeaseAndRentalExpense,LeaseCost,LeaseholdImprovementsGross,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LicenseAndServicesRevenue,LongTermInvestments,LossContingencyClaimsDismissedNumber,LossContingencyNumberOfPlaintiffs,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NumberOfReportableSegments,NumberOfReportableSegments,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeaseRightOfUseAssetAmortizationExpense,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLeasesRentExpenseNet,OperatingLeaseWeightedAverageDiscountRatePercent,OperatingLossCarryforwards,OtherAssetsNoncurrent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,OtherLiabilitiesCurrent,OtherLiabilitiesNoncurrent,OtherSundryLiabilitiesCurrent,OtherThanTemporaryImpairmentLossesInvestmentsPortionRecognizedInEarningsNetAvailableforsaleSecurities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquireAvailableForSaleSecurities,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireBusinessTwoNetOfCashAcquired,PaymentsToAcquireLongtermInvestments,PaymentsToAcquireMarketableSecurities,PaymentsToAcquireOtherProductiveAssets,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PledgedAssetsSeparatelyReportedSecuritiesPledgedAsCollateralAtFairValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleOfAvailableForSaleSecurities,ProceedsFromSaleOfAvailableForSaleSecuritiesEquity,ProceedsFromSaleOfTradingSecuritiesHeldforinvestment,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,ResearchAndDevelopmentArrangementContractToPerformForOthersCostsIncurredGross,ResearchAndDevelopmentExpense,RestrictedCashAndInvestmentsNoncurrent,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,RoyaltyExpense,RoyaltyRevenue,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPricePerShare,SalesRevenueGoodsNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfAdditionalSharesAuthorized,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageRemainingContractualTerm,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageRemainingContractualTerm,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsOutstandingWeightedAverageRemainingContractualTerm1,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,StockIssuedDuringPeriodValueStockOptionsExercised,TaxCreditCarryforwardAmount,UnrealizedGainLossOnSecurities,UnrealizedLossOnSecurities,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,ValuationAllowanceDeferredTaxAssetChangeInAmount,VariableLeaseCost,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CurrentIncomeTaxExpenseBenefit,DeferredTaxAssetsGoodwillAndIntangibleAssets,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax
2008-12-31,2009-03-13,10-K,SEAGEN INC.,SGEN,CIK0001060736,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79018000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,2010-03-12,10-K,SEAGEN INC.,SGEN,CIK0001060736,USD,,,,,,-3622000.0,,,,,,,,,,11312000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18486000.0,-12314000.0,,,,,,,,,-81554000.0,,,,,,,,,,,,,,,,0.0,136822000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,798000.0,,,3300000.0,3260000.0,,,-0.9,,0.0,-0.35,0.52,,,,,,-0.03,-0.14,,,0.0,,,,,,,,,,,12459000.0,,,,,,,,,,,,,,,,,,,,,,3617000.0,71936000.0,,,68569000.0,0.0,1248000.0,,,,839000.0,,,,,,,,,,3174000.0,,,2800000.0,,,,,,,,,,,,,,,51965000.0,,,,196887000.0,,-147446000.0,,-61755000.0,,-81683000.0,,,,-84857000.0,,,,,,,,,,,,,,,,,,,,,,129000.0,,,,,,28000.0,396840000.0,,,,,,,4589000.0,,,,,,,,192141000.0,4746000.0,,251919000.0,,2092000.0,,,,,,5588000.0,119139000.0,,,,51965000.0,,,,,,,0.0,17683000.0,11849000.0,,,,,,,4400000.0,,,,,,5.84,,,,,,,,,,,,,206200000.0,146692.0,,,1240000.0,192141000.0,,3506000.0,,,,,,,,,42400000.0,,,,,,,,,
2010-03-31,2010-05-07,10-Q,SEAGEN INC.,SGEN,CIK0001060736,USD,,,,,,-1398000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18332000.0,-154000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816000.0,,0.11,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5231000.0,,,,,,,,,-4572000.0,-66307000.0,,,-31807000.0,,28000.0,,-29000.0,,1226000.0,,,,,,,,,,552000.0,,,,,,,,,,,,,,,,,,46455000.0,,,,1040000.0,,-45769000.0,,44575000.0,,11460000.0,,,35547000.0,10908000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146107000.0,,,,,,,1053000.0,,,,,,,,0.0,1040000.0,,101391000.0,,,,,,,,,30316000.0,,,,46455000.0,,,,,,,,,3184000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103036000.0,,100622000.0,,,,
2010-06-30,2010-08-06,10-Q,SEAGEN INC.,SGEN,CIK0001060736,USD,,,,,,,,,,,,,,,,11770000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49493000.0,,,,,,,,,,-9609000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,-0.08,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6467000.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,553000.0,,,,,,,,,,,,,,,,,,36878000.0,,,,,,,,,,-8323000.0,,,45754000.0,-8876000.0,,,,,,,,,,,,,,,,,,,,,,-1286000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39287000.0,,,,36878000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100919000.0,,100919000.0,,,,
2010-09-30,2010-11-05,10-Q,SEAGEN INC.,SGEN,CIK0001060736,USD,,,,,,,,,,,,,,,,12576000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22771000.0,,,,,,,,,,-34103000.0,,,,,,,,,,,,,,,,0.0,51325000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478000.0,,,,,,,,,,,,,,,,,,15991000.0,,,,,,,,,,-34856000.0,,,,-35334000.0,,,,,,,,,,,,,,,,,,,,,,753000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44287000.0,,,,15991000.0,,,,,,,0.0,7038000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,2011-02-28,10-K,SEAGEN INC.,SGEN,CIK0001060736,USD,,25783000.0,,5280000.0,19279000.0,-3429000.0,,21542000.0,-1373000.0,624759000.0,,,,,,12508000.0,,329936000.0,304116000.0,284629000.0,,,275388000.0,122581000.0,13031000.0,260682000.0,,,,,,,274016000.0,,,,1430000.0,13031000.0,1419000.0,11000.0,,,58000.0,,,,21127000.0,2641000.0,,,,0.001,150000000.0,101607000.0,101607000.0,102000.0,-66389000.0,,,,,,,,,,,,,,,,0.0,175668000.0,,,,,,2400000.0,29038000.0,110630000.0,41547000.0,182858000.0,26443000.0,,,0.0,73788000.0,,,5466000.0,26365000.0,7318000.0,,182858000.0,,,,,,800000.0,,,3600000.0,3562000.0,,,-1.0,,0.0,-0.35,0.38,,,,,,0.03,-0.06,,11195000.0,0.0,,,,,,,,,572000.0,,13031000.0,,,,,,,,,,,3131000.0,,,,,,,,,,,6287000.0,-60843000.0,,,-20200000.0,0.0,198000.0,,,,-4056000.0,,,,782000.0,0.0,0.0,0.0,0.0,,1933000.0,,,2700000.0,,12540000.0,,,,,,,,,,329936000.0,54821000.0,113597000.0,107470000.0,,,,7377000.0,,-11544000.0,,6808000.0,,-100811000.0,,,,-68198000.0,,,,,,,,,,,,,,,,,,,478000.0,,,-124000.0,,168000.0,,,0.0,-26000.0,453599000.0,,,,,,,3548000.0,,0.001,5000000.0,0.0,0.0,0.0,2246000.0,0.0,7377000.0,,443256000.0,,2321000.0,,,33853000.0,12311000.0,,5014000.0,146410000.0,478000.0,-461970000.0,,115616000.0,,,0.0,,,,0.0,29258000.0,14330000.0,,,12739831.0,,,,6000000.0,,,,,,6.27,,,9.94,,,,,,,,,,161518000.0,173379.0,,,1506000.0,,,5871000.0,,,1400000.0,0.0,,,,,27400000.0,,,,101055000.0,,,,,
2011-03-31,2011-05-06,10-Q,SEAGEN INC.,SGEN,CIK0001060736,USD,,,,,8621000.0,-827000.0,,,-1164000.0,800523000.0,,,,,,13912000.0,,480593000.0,455119000.0,,,,,,,381128000.0,,,,,,,,,,,,13256000.0,,,,,,,,,61469000.0,40342000.0,,,,0.001,150000000.0,113511000.0,113511000.0,114000.0,-32465000.0,,,,,,,,,,,,,,,,0.0,45147000.0,,,,,,,34424000.0,112962000.0,,,,,,,,,,,,,,,,,,,,,,,,875000.0,,-0.3,-0.3,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12713000.0,,,,,,,,,-390000.0,-10658000.0,,,7718000.0,0.0,18000.0,,1000.0,,427000.0,,,,1228000.0,,,,,,302000.0,,,,,,,,,,,,,,,480593000.0,59817000.0,115947000.0,12171000.0,,,,171508000.0,,-121593000.0,,-9573000.0,,-32674000.0,,,45147000.0,-32976000.0,,,,,,,,,,,,,,,,,,,,,,209000.0,,,,,,,238899000.0,,,,,,,304000.0,,0.001,5000000.0,0.0,0.0,0.0,,168118000.0,3390000.0,,117610000.0,,0.0,,,,11739000.0,,,32434000.0,479000.0,-494644000.0,,12171000.0,,,,,,,0.0,12713000.0,4268000.0,,,,,,,,,,,,,,,,,,,,,,,,,,304829000.0,,,,,,,,,,,,,,,,,,,108513000.0,,108513000.0,,,,
2011-06-30,2011-08-05,10-Q,SEAGEN INC.,SGEN,CIK0001060736,USD,,33836000.0,,,11011000.0,,,,-1204000.0,811268000.0,,,,,,13603.0,,453635000.0,427685000.0,413301000.0,,,345974000.0,,,331322000.0,,,,,,,344770000.0,,,,1306000.0,13144000.0,,,,,102000.0,,,,79797000.0,,,,,0.001,250000000.0,114419000.0,114419000.0,114000.0,-51546000.0,,,,,,,,,,,,,,,,0.0,64840000.0,,,,,,,35678000.0,116894000.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.45,-0.45,-0.45,,,,,,,,,,,,,,,,,,,,,,,,13144000.0,,,,,,,,,,,,,15197000.0,,,,,,,,,,,,,,,,,,,,0.0,,,1192000.0,,,,,,280000.0,,,,,,,,,,,,,,,453635000.0,69514000.0,120093000.0,13054000.0,,,,,,,,,,-51506000.0,,,64840000.0,-51786000.0,,,,,,,,,,,,,,,,,,,,,,-40000.0,,,,,,,,,,,,,,,,0.001,5000000.0,0.0,0.0,0.0,4363000.0,,,,,,,,,,12125000.0,,,49643000.0,681000.0,-546150000.0,,13054000.0,,,0.0,,,,0.0,15197000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,264028000.0,,,,,,,,,,,,,,,,,,,113996000.0,113996000.0,113996000.0,,,,
2011-09-30,2011-11-04,10-Q,SEAGEN INC.,SGEN,CIK0001060736,USD,,38287000.0,,,15447000.0,,,,-1617000.0,819581000.0,,,,,,14173000.0,,420490000.0,386911000.0,263404000.0,,,264304000.0,8091000.0,12791000.0,249592000.0,,,,,,,262687000.0,,,,1667000.0,12791000.0,1659000.0,8000.0,,12800000.0,50000.0,,,,112105000.0,,,,,0.001,250000000.0,114909000.0,114909000.0,115000.0,-41098000.0,,,,,,,,,,,,,,,,724000.0,61599000.0,,,,,,,35636000.0,111836000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,12791000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014000.0,8000.0,3428000.0,3035000.0,385000.0,,248000.0,,,,,,,,,,,,,,,420490000.0,73923000.0,115323000.0,10619000.0,,,,,,,,,,-40685000.0,,,,-40933000.0,,,,,,,,,,,,,,,,,,,6150000.0,,,-413000.0,,,,,,,,,,,,,,,,0.001,5000000.0,0.0,,0.0,5325000.0,,,,,,,,,,14638000.0,,,41080000.0,,-586835000.0,,20666000.0,,,0.0,,,,10047000.0,19795000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,231244000.0,,,,,,,,,,,,,,,,,,,,114727000.0,,,,,
