end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AdditionalPaidInCapital,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,Assets,AssetsCurrent,CapitalUnitsAuthorized,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostsAndExpenses,DeferredIncomeTaxLiabilities,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,DeferredTaxLiabilities,DeferredTaxLiabilitiesOther,DividendsPayableAmountPerShare,DividendsPayableCurrent,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,FederalDepositInsuranceCorporationPremiumExpense,IncomeLossFromContinuingOperations,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueFromRelatedPartiesCurrent,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherReceivables,InterestAndOtherIncome,InterestExpense,InterestPaid,InterestPaidNet,InvestmentIncomeInterest,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherIncome,OtherNoncashIncomeExpense,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherReceivables,OtherSellingGeneralAndAdministrativeExpense,PaymentsOfDividends,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProfessionalFees,ProfitLoss,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPercentageOfOwnershipBeforeTransaction,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,ValuationAllowanceAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2010-04-30,2010-07-28,10-K,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,,,,,,,,,,,,,386388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-31,2010-09-14,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,,,,,,,,-3962.0,,,,,378556.0,,-7832.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,-3962.0,,,,,,,,,0.0,,374.0,,,,0.0,0.0,-7832.0,,,,,-4244.0,,,,,,,,,,,,,,,,-3870.0,,,,,,,,0.0,4244.0,,,,,,,7350540.0
2010-10-31,2010-12-14,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,,,,,,,,,,,,,361268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,363.0,,,,,,,,,,,-16126.0,,,,,,,,,,,,,,,,-15763.0,,,,,,,,0.0,16126.0,,,,,,,7350540.0
2011-01-31,2011-03-09,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,,,,,,,,,,,,,354431.0,,,,,,,,,,,,8615.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,327.0,,,,,,,,,,,-8615.0,,,,,,,,,,,,,,,,-8288.0,,,,,,,,0.0,8615.0,,,,,,,7350540.0
2011-04-30,2011-07-13,10-K,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,0.0,,,,2372640.0,-4038.0,,,351605.0,351605.0,,351605.0,351605.0,,-34783.0,,,,0.0,0.001,10000000.0,7350540.0,7350540.0,7350.0,32064.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,-4038.0,,,,,,,,,0.0,,1319.0,,351605.0,0.0,0.0,0.0,-34783.0,,-30745.0,1319.0,,-32064.0,,,,,,0.0,,,,0.001,1000000.0,,,0.0,,-30745.0,,,,-2028385.0,,,,0.0,32064.0,351605.0,351605.0,,,,,7350540.0
2011-07-31,2011-09-12,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,5000.0,,,,2372640.0,,,5000.0,348413.0,348413.0,,,348413.0,,-3192.0,,,,0.0,0.001,10000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,5000.0,,,0.0,,,,,234.0,0.0,,234.0,,348413.0,5000.0,0.0,0.0,-3192.0,,-8192.0,,,-8426.0,,,,,,,,,,,,,,,,-8192.0,,,,-2036577.0,,,,0.0,8426.0,,343413.0,,,,,7350540.0
2011-10-31,2011-12-07,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,0.0,,,,2372640.0,,,,336294.0,336294.0,,,336294.0,,,,,,,0.001,10000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,,,,0.0,,,,,,,-7258.0,,,,,,,,,,,139.0,,139.0,,336294.0,0.0,,,,,,,,-7258.0,,,,,,,,,,,,,,,,-7119.0,,,,-2043696.0,,,,0.0,7258.0,,336294.0,,,,,7350540.0
2012-01-31,2012-03-09,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,0.0,,,,2372640.0,,,,331203.0,331203.0,,,331203.0,,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,5337.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,246.0,,246.0,,331203.0,0.0,,,,,-5091.0,,5337.0,-5337.0,,,,,,,,,,0.001,1000000.0,,,0.0,,-5091.0,,,,-2048787.0,,,,0.0,5337.0,,331203.0,,,,,7350540.0
2012-04-30,2012-07-16,10-K,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,0.0,,,,2372640.0,0.0,,,305904.0,305904.0,,305904.0,328452.0,328452.0,-23153.0,,,328452.0,0.0,0.001,10000000.0,7350540.0,7350540.0,7350.0,23934.0,,,0.0,,168000.0,,-168000.0,0.0,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,0.0,,781.0,0.0,305904.0,0.0,0.0,0.0,-23153.0,,-23153.0,781.0,23934.0,-23934.0,0.0,,,,781.0,0.0,,,,0.001,1000000.0,,,0.0,,-23153.0,,,,-2074086.0,,,,0.0,23934.0,328452.0,305904.0,,,0.0,,7350540.0
2012-07-31,2012-09-11,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,5000.0,,,,2372640.0,,,-1000.0,321194.0,321194.0,,,315914.0,,-13258.0,-13258.0,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,6000.0,,,0.0,,,,,,,,0.0,5000.0,,,-6000.0,,,,,160.0,0.0,,,,321194.0,5000.0,0.0,0.0,-13258.0,,-12258.0,,,-12420.0,,,,,,,,,,0.001,1000000.0,,,0.0,,-12258.0,,6000.0,,-2063796.0,,,,0.0,12420.0,,316194.0,,,,,7350540.0
