end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AdvanceRoyaltiesCurrent,AdvanceRoyaltiesNoncurrent,AdvertisingExpense,AmortizationOfAdvanceRoyalty,AssetImpairmentCharges,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentDecreaseForgiveness,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueFromRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsCurrent,InterestExpense,InterestPaid,InterestPaidNet,InvestmentIncomeInterest,LeaseAndRentalExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilityForUncertainTaxPositionsCurrent,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayable,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherCostAndExpenseOperating,OtherExpenses,OtherIncome,PaymentsToAcquireAssetsInvestingActivities,PaymentsToAcquireRoyaltyInterestsInMiningProperties,PensionAndOtherPostretirementDefinedBenefitPlansCurrentLiabilities,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommercialPaper,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfWarrants,ProceedsFromLoans,ProceedsFromOtherDebt,ProfessionalFees,ProfitLoss,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsExercised,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsForfeitures,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsGranted,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueOutstanding,SharePrice,SharesIssuedPricePerShare,StockAndWarrantsIssuedDuringPeriodValuePreferredStockAndWarrants,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesStockSplits,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,DividendsStock,PaymentsForRent,ProceedsFromLegalSettlements,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,StockIssuedDuringPeriodSharesStockOptionsExercised,PaymentsToAcquireIntangibleAssets
2020-01-31,2020-03-20,10-Q,Freedom Internet Group Inc.,FIGI,CIK0001791325,USD,6244.0,,,731884.0,,1880.0,13791.0,,1555023.0,823139.0,820300.0,-359197.0,,,0.01,,200000000.0,3076800.0,3076800.0,30768.0,,,,,,,,2839.0,-0.01,-126289.0,0.0,0.0,-1698.0,,-5000.0,,48.0,0.0,42.0,3900.0,,,1818244.0,1555023.0,,,,0.0,-250000.0,-109197.0,-109197.0,-126290.0,4240.0,,130530.0,-130530.0,225.0,225.0,,2471.0,4724.0,388.0,,250000.0,,0.01,5000000.0,0.0,0.0,0.0,0.0,,,0.0,,,,94720.0,,-293989.0,0.0,17442.0,,,,,,,,,,,,,,,,,,,,,9230400.0,3076800.0,9230400.0,,,,,,,
2020-04-30,2020-06-15,10-Q,Freedom Internet Group Inc.,FIGI,CIK0001791325,USD,17352.0,,,898467.0,,666.0,13417.0,,1469723.0,571256.0,568417.0,,,,0.01,,200000000.0,3076800.0,3076800.0,30768.0,,,,,,,,2839.0,-0.01,,,,,,,,0.0,,,2407.0,,,1829352.0,1469723.0,,,,,,,,-96410.0,2613.0,,120556.0,-99023.0,225.0,225.0,,14398.0,14398.0,206.0,,,,0.01,5000000.0,0.0,0.0,0.0,0.0,,,,,,,61313.0,,-390397.0,21533.0,30537.0,,,,,,,,0.0,,,0.0,,,,-359632.0,,,,,,9230400.0,,9230400.0,,,,,,,
2020-07-31,2020-09-14,10-Q,Freedom Internet Group Inc.,FIGI,CIK0001791325,USD,23569.0,625.0,625.0,883050.0,,9487.0,15417.0,,1461994.0,578944.0,578944.0,,,,,14375.0,200000000.0,3076800.0,3076800.0,30768.0,,,,0.0,,,,0.0,0.0,,,,,,,,0.0,,,181.0,,,1842969.0,1461994.0,1835569.0,,,,,,,-36346.0,6917.0,7400.0,83366.0,-43263.0,125.0,125.0,,696.0,696.0,6736.0,,,,0.01,5000000.0,0.0,0.0,0.0,0.0,,,,,,,27710.0,-36346.0,-426743.0,40103.0,29931.0,,,,0.0,0.0,2500.0,0.0,0.0,0.0,8.0,2500.0,,,625.0,-380978.0,,,,,,9230400.0,,9230400.0,,,,,,,
2020-10-31,2021-02-02,10-K,Freedom Internet Group Inc.,FIGI,CIK0001791325,USD,26474.0,2240447.0,19856.0,686175.0,730675.0,16455.0,54792.0,184706.0,1737962.0,1051787.0,1035120.0,-144377.0,0.0,2.67,0.01,,200000000.0,11132208.0,9230400.0,92304.0,1812000.0,1647297.0,3.3,0.0,0.0,26055.0,26055.0,0.0,-0.05,,,0.0,18533.0,-2839.0,11667.0,0.0,184706.0,,0.0,6667.0,650.0,143640.0,37774.0,1737962.0,26474.0,0.0,11300.0,520300.0,-430000.0,-234677.0,-234677.0,-483880.0,-170645.0,,415316.0,-313235.0,,650.0,651580.0,21963.0,21963.0,7394.0,0.0,430000.0,0.0,0.01,5000000.0,0.0,0.0,0.0,16667.0,,0.0,0.0,19857.0,11300.0,,70000.0,,-651580.0,102081.0,107816.0,0.0,0.28,,,,,0.0,,,2.67,,1.1,,19856.0,1700188.0,6158600.0,6158600.0,,,,9276257.0,,9276257.0,0.0,650.0,0.0,0.0,254511.0,0.0,
2021-01-31,2021-03-16,10-Q,Freedom Internet Group Inc.,FIGI,CIK0001791325,USD,2990.0,2240447.0,,674009.0,730675.0,6086.0,12167.0,,1666181.0,992172.0,979505.0,-55615.0,,,0.01,,200000000.0,9230400.0,9230400.0,92304.0,,,,,,,,,-0.01,,,0.0,-23485.0,,-4000.0,,0.0,48.0,,179.0,,28629.0,14290.0,1666181.0,2990.0,,11300.0,,0.0,,-55615.0,-48297.0,391.0,,73172.0,-48688.0,,75.0,,6278.0,,212.0,,0.0,,0.01,5000000.0,0.0,0.0,0.0,12667.0,,,,,,,28629.0,,-699877.0,24484.0,19937.0,,,,,,,,,,,,,,,1651891.0,,,,,,9230400.0,,9230400.0,,,,,,,0.0
2021-04-30,2021-06-14,10-Q,Freedom Internet Group Inc.,FIGI,CIK0001791325,USD,44416.0,2240447.0,,785320.0,,882.0,13689.0,,1599600.0,814280.0,761613.0,,,,0.01,,200000000.0,9230400.0,9230400.0,92304.0,,,,,,,,,-0.01,,,,,,,45000.0,,,,180.0,,,55716.0,1599600.0,44416.0,,11300.0,,,,,-108007.0,226.0,,126118.0,-108233.0,,75.0,,7942.0,,46.0,45000.0,,,0.01,5000000.0,0.0,0.0,0.0,7667.0,,,,,,,62626.0,,-807884.0,17885.0,40904.0,,,,,,,,,,,,,,,1543884.0,,,,,,9230400.0,,9230400.0,,,,,,,
2021-07-31,2021-09-13,10-Q,Freedom Internet Group Inc.,FIGI,CIK0001791325,USD,24909.0,2240447.0,,771070.0,,46.0,14250.0,,1507979.0,736909.0,585880.0,,,,0.01,,200000000.0,9230400.0,9230400.0,92304.0,,,,11300.0,,,,,-0.01,,,,,,,148362.0,0.0,,,3541.0,,,24909.0,1507979.0,24909.0,,11300.0,,,,,-60814.0,14911.0,,93078.0,-75725.0,,75.0,,6681.0,,70.0,146000.0,,,0.01,5000000.0,0.0,0.0,0.0,2667.0,,,,,,,42095.0,,-868698.0,17353.0,29931.0,,,,,,,,,,,,,,,1483070.0,,,,,,9230400.0,,9230400.0,,,,,,,
2021-10-31,2022-02-15,10-K,Freedom Internet Group Inc.,FIGI,CIK0001791325,USD,16794.0,2240447.0,,595820.0,,7058.0,54355.0,,1385847.0,790027.0,628513.0,-406607.0,,,,,200000000.0,11132208.0,11132208.0,111321.0,,,,11300.0,0.0,39300.0,39300.0,,-0.03,,,10500.0,-9680.0,0.0,-5167.0,150014.0,161000.0,,,5731.0,,127041.0,16794.0,1385847.0,16794.0,,11300.0,0.0,-275014.0,,-131593.0,-331135.0,38599.0,,358762.0,-292536.0,,300.0,982715.0,24330.0,,370.0,150014.0,125000.0,0.0,0.01,5000000.0,,,0.0,11500.0,,,,0.0,0.0,,25000.0,,-982715.0,66226.0,120678.0,,,,,,,0.0,,,0.0,,,,,1369053.0,,,,,,11132208.0,,11132208.0,,300.0,105000.0,0.0,0.0,0.0,
2022-01-31,2022-03-17,10-Q,Freedom Internet Group Inc.,FIGI,CIK0001791325,USD,1480.0,2240447.0,,584570.0,,70.0,11250.0,,1255078.0,670508.0,391775.0,-236738.0,,,,,200000000.0,11132208.0,11132208.0,111321.0,,,,,,,,,-0.01,,,0.0,-15314.0,,0.0,267233.0,,0.0,,2762.0,,63108.0,1480.0,1255078.0,1480.0,,,,-132597.0,,-104141.0,-115455.0,-12556.0,,115854.0,-102899.0,,50.0,,11016.0,,60.0,,,,0.01,5000000.0,,,0.0,11500.0,,,,,,,,,-1098170.0,12955.0,30360.0,,,,,,,,,,,,,,,1253598.0,,,,,,11132208.0,,11132208.0,,,,,,,132597.0
