end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNet,AdditionalPaidInCapital,AdjustmentForAmortization,Assets,AssetsCurrent,BusinessCombinationConsiderationTransferred1,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLand,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepreciationAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EscrowDepositDisbursementsRelatedToPropertyAcquisition1,ExplorationExpense,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentLossesRelatedToRealEstatePartnerships,ImpairmentOfLongLivedAssetsHeldForUse,ImpairmentOfOngoingProject,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InventoryFinishedGoods,InventoryNet,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,LaborAndRelatedExpense,Land,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesRentExpenseMinimumRentals,OperatingLossCarryforwards,OtherNonoperatingIncomeExpense,PaymentsForProceedsFromRealEstatePartnershipInvestmentNet,PaymentsForRepurchaseOfCommonStock,PaymentsToAcquireBusinessesGross,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireOilAndGasProperty,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRecoveriesOfLoanPreviouslyChargedOff,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromShortTermDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RepaymentsOfRelatedPartyDebt,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,RetainedEarningsUnappropriated,RevenueFromRelatedParties,Revenues,SalariesAndWages,SaleOfStockPricePerShare,ShareBasedGoodsAndNonemployeeServicesTransactionStockholdersEquity,SponsorFees,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockRepurchasedAndRetiredDuringPeriodValue,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2009-12-31,2010-04-08,10-K,CANNONAU CORP,CNNC,CIK0001410187,USD,,,,,,,,,,,,2448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24649.0,,,,,,,,,,,,
2010-06-30,2010-08-17,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,,,,,,,,,,,,1241048.0,,,,,,,,,,,,,,,0.0,,-0.01,,,0.0,41565.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,-284088.0,284088.0,-284088.0,,,,,0.0,,,,,,,,,,,,,,,,,,12150.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,38601374.0
2010-09-30,2010-11-15,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,,,,,,,,,,,,998142.0,,,,,,,,,,,,,,,,,-0.02,,,,57734.0,,,,,,,,,,,,,,,,,420.0,,,,,,,,,,,,-788105.0,788525.0,-788525.0,,,,,420.0,,,,,,,,,,,,,,,,,,265203.0,,,,,,,,,34000.0,,,,,,,,,,,,,,,,40452696.0
2010-12-31,2011-04-13,10-K,CANNONAU CORP,CNNC,CIK0001410187,USD,19037.0,,3317739.0,8193.0,1314114.0,682149.0,,,,,,432833.0,430385.0,,0.001,27000.0,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,8193.0,11982.0,-0.05,,,17400.0,139225.0,,79420.0,,419258.0,,,,-3035.0,,,,-249316.0,82.0,,,,1135.0,,,591000.0,43499.0,1314114.0,43499.0,12480.0,2101438.0,-428200.0,-1242853.0,,-1966090.0,1967143.0,-1967143.0,,,,,1053.0,100000.0,,,299622.0,,49158.0,0.001,10000000.0,,,0.0,249316.0,,20580.0,11982.0,2082001.0,359173.0,331210.0,,40965.0,,351718.0,-2115153.0,,,,109123.0,,468717.0,82585.0,-1270615.0,,,710636.0,,,441717.0,2057001.0,25000.0,,,,39412195.0
2011-03-31,2011-05-16,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,,,,4096.0,,,,,,,,246844.0,-185989.0,,,,,,,,,,,,,,4096.0,,-0.01,,,,74636.0,,,,,,,,63691.0,,,,19065.0,308.0,,,,44.0,,,,,,,,-11982.0,,-174007.0,,-260859.0,260595.0,-260595.0,,,,,-264.0,,,,,,,,,,,,,,,,-11982.0,,39388.0,,,,,,,,,32759.0,,,,,,,,,,,,,,,,41029000.0
2011-06-30,2011-08-22,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,40613.0,,3317739.0,,854044.0,230272.0,,,,,,91679.0,,,0.001,27000.0,290000000.0,41029000.0,41029000.0,,41029.0,,,,,,4097.0,1423.0,-0.01,,,0.0,79354.0,,,,,,,,,,,,,393.0,,,,0.0,,,591000.0,54516.0,854044.0,,12480.0,,,,,-210225.0,209832.0,-209832.0,,,,,-393.0,,,,,,,0.001,10000000.0,,,0.0,138593.0,,,,,,38184.0,,32772.0,,,-2586240.0,,,0.0,32516.0,,,,799528.0,,,,,,,,,,,,41029000.0
2011-09-30,2019-03-05,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,-0.01,,,,300255.0,,,631965.0,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,-932220.0,932220.0,-932220.0,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,36200.0,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2011-12-31,2019-04-26,10-K,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,-432833.0,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,1137408.0,1137408.0,,,-0.03,,,,609450.0,,,,,,-668471.0,668471.0,-36499.0,,,,249316.0,,,,,,,,,,0.0,7000.0,7000.0,,,-432833.0,,-1277615.0,1277615.0,-1277615.0,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,36200.0,,,,,-3392768.0,,,,,0.2,,,-7000.0,,,,,,,,,,,,41029000.0
2012-03-31,2019-04-29,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2012-06-30,2019-04-29,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
