end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedInsuranceCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccruedProfessionalFeesCurrent,AccruedProfessionalFeesCurrentAndNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AllocatedShareBasedCompensationExpense,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AreaOfRealEstateProperty,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsHeldForSaleNotPartOfDisposalGroup,AssetsHeldForSaleNotPartOfDisposalGroupCurrent,AssetsOfDisposalGroupIncludingDiscontinuedOperation,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAmortizedCostBasis,AvailableForSaleSecurities,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleSecuritiesAmortizedCost,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleSecuritiesDebtSecuritiesCurrent,AvailableForSaleSecuritiesFairValueDisclosure,AvailableForSaleSecuritiesGrossUnrealizedLosses1,AvailableForSaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositionsLessThanOneYear,AvailableForSaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositionsLessThanOneYear,AvailableforsaleSecuritiesGrossUnrealizedGain,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositions1,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositions1,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositionsGreaterThanOrEqualToOneYear,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositionsGreaterThanOrEqualToOneYear,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets,CapitalExpendituresIncurredButNotYetPaid,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashCashEquivalentsAndShortTermInvestments,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,ClassOfWarrantOrRightOutstanding,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockDividendsPerShareDeclared,CommonStockOtherSharesOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ConversionOfStockAmountConverted1,CostOfRevenue,CurrentFederalTaxExpenseBenefit,CurrentForeignTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtCurrent,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentUnamortizedDiscount,DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12MonthsNumberOfPositions,DebtSecuritiesAvailableForSaleUnrealizedLossPositionNumberOfPositions,DeferredCompensationArrangementWithIndividualCashAwardGrantedAmount,DeferredFinanceCostsNet,DeferredOfferingCosts,DeferredRentCredit,DeferredRentCreditCurrent,DeferredRentCreditNoncurrent,DeferredTaxAssetsGoodwillAndIntangibleAssets,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DeferredTaxAssetsTaxCreditCarryforwards,DeferredTaxAssetsTaxCreditCarryforwardsResearch,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxAssetsValuationAllowance,DefinedContributionPlanAdministrativeExpenses,DefinedContributionPlanCostRecognized,DefinedContributionPlanEmployerDiscretionaryContributionAmount,DefinedContributionPlanEmployerMatchingContributionPercent,DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent,Depreciation,DepreciationDepletionAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DividendsCommonStock,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationNondeductibleExpense,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxCreditsOther,EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,EmployeeRelatedLiabilitiesCurrent,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,EquityMethodInvestmentAggregateCost,EquityMethodInvestmentOwnershipPercentage,EquityMethodInvestmentSummarizedFinancialInformationGrossProfitLoss,EquityMethodInvestments,FairValueAdjustmentOfWarrants,FairValueAssetsLevel1ToLevel2TransfersAmount,FairValueAssetsLevel2ToLevel1TransfersAmount,FairValueLiabilitiesLevel1ToLevel2TransfersAmount,FairValueLiabilitiesLevel2ToLevel1TransfersAmount,FairValueOfAssetsAcquired,FinanceLeasePrincipalPayments,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossUnrealized,ForeignCurrencyTransactionLossBeforeTax,GainLossOnSaleOfPropertyPlantEquipment,GeneralAndAdministrativeExpense,ImpairmentOfLongLivedAssetsHeldForUse,ImpairmentOfLongLivedAssetsToBeDisposedOf,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromEquityMethodInvestments,IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,IncomeTaxCreditsAndAdjustments,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxesReceivable,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOperatingLeaseLiability,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInRestrictedCash,InterestAndDividendsPayableCurrent,InterestAndOtherIncome,InterestExpense,InterestExpenseDebt,InterestIncomeExpenseNet,InterestIncomeExpenseNonoperatingNet,InterestPaidNet,InterestReceivable,InventoryWriteDown,InvestmentIncomeInterest,InvestmentIncomeNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,LegalFees,LesseeOperatingLeaseDiscountRate,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebtCurrent,LongTermDebtNoncurrent,MarketableSecurities,MinorityInterest,MinorityInterestDecreaseFromRedemptions,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAvailableToCommonStockholdersBasic,NetRentableArea,NetRentableArea,NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,NoncashOrPartNoncashAcquisitionInvestmentsAcquired1,NoncontrollingInterestIncreaseFromSaleOfParentEquityInterest,NotesReceivableRelatedParties,NotesReceivableRelatedPartiesCurrent,NumberOfOperatingSegments,NumberOfOperatingSegments,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLeasesRentExpenseNet,OtherAccruedLiabilitiesCurrent,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToNoncontrollingInterest,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossTax,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,OtherGeneralExpense,OtherLiabilitiesNoncurrent,OtherNoncashIncomeExpense,OtherNonoperatingGainsLosses,OtherNonoperatingIncomeExpense,OtherPrepaidExpenseCurrent,OtherThanTemporaryImpairmentLossesInvestmentsAvailableforsaleSecurities,PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,PaymentsForRestructuring,PaymentsOfFinancingCosts,PaymentsOfLoanCosts,PaymentsOfStockIssuanceCosts,PaymentsToAcquireAdditionalInterestInSubsidiaries,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireInterestInJointVenture,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquireShortTermInvestments,PreferredStockDividendsPerShareCashPaid,PreferredStockDividendsPerShareDeclared,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,PrepaidInsurance,PrepaidRent,ProceedsFromConvertibleDebt,ProceedsFromDivestitureOfBusinessesAndInterestsInAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfConvertiblePreferredStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromIssuanceOfRedeemableConvertiblePreferredStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromMaturitiesPrepaymentsAndCallsOfShorttermInvestments,ProceedsFromNotesPayable,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleMaturityAndCollectionOfShorttermInvestments,ProceedsFromSaleOfPropertyHeldForSale,ProceedsFromSaleOfPropertyPlantAndEquipment,ProceedsFromSaleOfShortTermInvestments,ProceedsFromStockOptionsExercised,ProceedsFromWarrantExercises,ProfitLoss,PropertyPlantAndEquipmentDisposals,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RedeemableNoncontrollingInterestEquityCarryingAmount,RedeemableNoncontrollingInterestEquityPreferredCarryingAmount,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfDebt,RepaymentsOfDebtAndCapitalLeaseObligations,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,ResearchAndDevelopmentInProcess,RestrictedCash,RestrictedCashAndCashEquivalents,RestrictedCashAndCashEquivalentsAtCarryingValue,RestrictedCashAndCashEquivalentsNoncurrent,RestrictedCashCurrent,RestrictedCashNoncurrent,RestrictedStockValueSharesIssuedNetOfTaxWithholdings,RestructuringAndRelatedCostCostIncurredToDate1,RestructuringAndRelatedCostNumberOfPositionsEliminatedInceptionToDatePercent,RestructuringCharges,RestructuringCosts,RestructuringReserve,RestructuringReserveCurrent,RestructuringReserveSettledWithoutCash2,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,SecurityDeposit,SellingGeneralAndAdministrativeExpense,SeveranceCosts1,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedNumberOfShares,SharebasedCompensationArrangementBySharebasedPaymentAwardPurchasePriceOfCommonStockPercent,SharePrice,ShortTermInvestments,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,StockIssuedDuringPeriodValueStockOptionsExercised,SubleaseIncome,TangibleAssetImpairmentCharges,TaxCreditCarryforwardAmount,TemporaryEquityAccretionToRedemptionValue,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquityLiquidationPreference,TemporaryEquitySharesAuthorized,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TransferToInvestments,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,ValuationAllowanceDeferredTaxAssetChangeInAmount,VariableInterestEntityOwnershipPercentage,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesCommonStockSubjectToRepurchaseOrCancellation,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic,WriteOffOfDeferredDebtIssuanceCost
2012-06-30,2012-08-14,10-Q,"Tempest Therapeutics, Inc.",TPST,CIK0001544227,USD,605000.0,,,1205000.0,,,,22000.0,,804000.0,,,,,,299100.0,,,,,34985000.0,34276000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,34067000.0,,,,,,,,,10521858.0,,,0.001,23000.0,3529.0,1555.0,3000.0,-3234000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8095.0,,,,,,,,-2.09,,,,,,,,,,,,,347000.0,,,,,,,,,,,,,,,,,,1883000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1810000.0,34985000.0,1810000.0,,,,,,,,,,,,,-3234000.0,,-3234000.0,,,,,,,,,,3234000.0,-3234000.0,,,,,,,,,,,,,,,,114000.0,,275000.0,,,,,,,,,,,,200000.0,0.0,,,,,,,,,,,,,,,,,,209000.0,,9000.0,,,,,,,,,,,,,,,,,,,,,,,456000.0,434000.0,,,,,,1351000.0,,,,,,,,,,,,,,,,,-8824000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8017000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1548000.0,,,,
2012-09-30,2012-11-13,10-Q,"Tempest Therapeutics, Inc.",TPST,CIK0001544227,USD,1069000.0,,,845000.0,,,,51000.0,,46340000.0,,,,,,300000.0,,,,,36326000.0,35579000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,35119000.0,,,,,,,,,,,,0.001,100000000.0,14262276.0,12452612.0,14000.0,-3118000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19000.0,,,,,,,,-0.42,,,,,,,,,,,,,402000.0,,,,,,,,,,,,,,,,,,1525000.0,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,2000.0,,,,,,,,,,,,,,,1914000.0,36326000.0,1914000.0,,,,,,,,,,,,,-3118000.0,,-3118000.0,,,,,,,,,,3120000.0,-3120000.0,,,,,,,,,,,,,,,,73000.0,,93000.0,,,,,,,,,,,,28000.0,0.0,,,,,,,,,,,,,0.001,5000000.0,0.0,0.0,,460000.0,,211000.0,29000.0,,,,,,,,,,,,,,,,,,,,,,,654000.0,,,,,,1595000.0,,,,,,,,,,,,,,,,,-11942000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34412000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7438000.0,,,,
2012-12-31,2013-02-25,10-K,"Tempest Therapeutics, Inc.",TPST,CIK0001544227,USD,875000.0,,,1211000.0,,,,93000.0,-6000.0,46848000.0,,,1382000.0,,,,77000.0,3055000.0,,,32814000.0,31965000.0,,,,,,,31391000.0,,,31397000.0,11600000.0,,,,31391000.0,11000.0,,,5000.0,,,,,,,,14776000.0,14776000.0,,,,,13300000.0,,,,,,0.001,100000000.0,14268068.0,12622919.0,13000.0,-13516000.0,-6000.0,41192000.0,,,,,,,,,,,,,,,,,,,,,129000.0,5928000.0,,,5527000.0,-23000.0,,153000.0,142000.0,,,5928000.0,,100000.0,,,,,93000.0,,,-2.33,,0.34,-0.3664,,,-0.0278,,0.0542,,0.0,,,471000.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,7206000.0,,,,,,,0.0,,,599000.0,,733000.0,,,,530000.0,93000.0,,,,,,,,,,19000.0,,,200000.0,,,,,,,,,,,,2093000.0,32814000.0,2086000.0,,,,,,10235000.0,,39031000.0,,-17640000.0,,-11156000.0,-13510000.0,,-13510000.0,,,,,,,,1.0,,13529000.0,-13529000.0,,,,,,,,,,,,,,,,178000.0,,93000.0,,,,,,-6000.0,,7000.0,,,,,,,,,,,,,,849000.0,16698000.0,,,0.001,5000000.0,0.0,0.0,,574000.0,,,,,,4039000.0,34992000.0,,,,,,,,,,,,,,,,,,,756000.0,,,,,,6323000.0,,,,,,93000.0,,,,,,,,,,,-16134000.0,,,,,7206000.0,,1382000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16615000.0,30721000.0,,,,,,,,,,,,1000.0,,,,,,,,,,,,0.0,0.0,0.0,5000000.0,,5810000.0,,,,
2013-03-31,2013-05-15,10-Q,"Tempest Therapeutics, Inc.",TPST,CIK0001544227,USD,948000.0,,,1146000.0,,,,141000.0,1000.0,80334000.0,,,,,,,108000.0,4309000.0,,,61167000.0,60184000.0,,,,,,,,,,59702000.0,,,,,59703000.0,3000.0,,,4000.0,,,,,,,,43188000.0,43188000.0,,,,,8900000.0,,,,,,0.001,23000000.0,18191159.0,16710525.0,18000.0,-5150000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31000.0,,,,,47000.0,,,-0.39,,,,,,,,,,,,,370000.0,,,,,,,,,,,,,,,,,,2495000.0,,,,,,,,,,73000.0,,-61000.0,,,,-97000.0,,,,,,18000.0,,,,,18000.0,,,,,,,,,,,,,,,2105000.0,61167000.0,2094000.0,,,,,,28412000.0,,32652000.0,,-184000.0,,-4056000.0,-5157000.0,,-5157000.0,,,,,,,,1.0,,5175000.0,-5175000.0,,,,,,,,,,,,,,,,,,88000.0,,,,,,7000.0,,11000.0,,,,,,,,,,,,,,184000.0,,,,0.001,5000000.0,0.0,0.0,,481000.0,,,,,,32652000.0,,,,,,,,,,,,,,,,,,,,895000.0,,,,,,2680000.0,,,,,,,,,,,,,,,,,-21291000.0,,,,,,,837000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,16515000.0,59062000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13345000.0,,,,
2013-06-30,2013-08-13,10-Q,"Tempest Therapeutics, Inc.",TPST,CIK0001544227,USD,216000.0,,,1596000.0,,,,,-26000.0,81709000.0,,,,,,,,,,,56240000.0,55262000.0,,,,,,,,,,54371000.0,20200000.0,,,,54345000.0,27000.0,,,1000.0,,,,,,,,28193000.0,28193000.0,,,,,,,,,,,0.001,100000000.0,18203156.0,16887037.0,17000.0,-6023000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.36,,,,,,,,,,,,,,14200000.0,,,,,,,,,,,,,,,,,3445000.0,,,,,,,,,,,,,,,,,,,,,,25000.0,,,,,25000.0,,,,,,,,,,,,,,,1827000.0,56240000.0,1812000.0,,,,,,,,,,,,,-5996000.0,,-5996000.0,,,,,,,,,,6021000.0,-6021000.0,,,,,,,,,,,,,,,,,,88000.0,,,,,,-27000.0,,15000.0,,,,,0.0,,,,,,,,,,,,,0.001,5000000.0,0.0,0.0,,917000.0,,,,,,,,,,,,,,,,,,,,,,,,,,890000.0,,,,,,2576000.0,,,,,,,,,,,,,,,,,-27287000.0,,,,,3445000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26152000.0,54413000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16869000.0,,,,
2013-09-30,2013-11-13,10-Q,"Tempest Therapeutics, Inc.",TPST,CIK0001544227,USD,791000.0,,,1365000.0,,,,,3000.0,83162000.0,,,,,,200000.0,,,,364000.0,51225000.0,50407000.0,,,,,,,,,,49563000.0,14700000.0,,,,49566000.0,6000.0,,,9000.0,,,,,,,,21077000.0,21077000.0,,,,,,,,,,,0.001,100000000.0,18224173.0,17072569.0,17000.0,-6862000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,,,-0.4,,,,,,,,,,,,,,15900000.0,,,,,,,,,,,,,,,,,3663000.0,,,,,,,,,,,,,,,,,,,,,,34000.0,,,,,34000.0,,,,,,,,,,,,,,,2221000.0,51225000.0,2156000.0,,,,,,,,,,,,,-6891000.0,,-6891000.0,,,,,,,,,,6925000.0,-6925000.0,,,,,,,,,,,,,,,,,,88000.0,,,,,,29000.0,,65000.0,,,,,0.0,,,,,,,,,,,,,0.001,5000000.0,0.0,0.0,,841000.0,,,,,,,,,,,,,,,,,,,,,,,,,,730000.0,,,,,,3262000.0,,,,,,,,,,,,,,,,,-34178000.0,,,,,3663000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28489000.0,49004000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17048000.0,,,,
