end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableFromSecuritization,AccruedProfessionalFeesCurrentAndNoncurrent,AccruedRentNoncurrent,AccumulatedCapitalizedInterestCosts,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,Assets,Capital,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashCashEquivalentsAndShortTermInvestments,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockOtherValueOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,CommonStockValueOutstanding,ComprehensiveIncomeNetOfTax,CostsAndExpenses,CumulativeEarningsDeficit,DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible,DeferredTaxAssetsValuationAllowance,DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetGainsLossesAfterTax,Deposits,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,EmployeeRelatedLiabilitiesCurrent,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestPaid,LeaseAndRentalExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansAndLeasesReceivableRelatedParties,LongTermLoansPayable,LossContingencyLossInPeriod,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAllocatedToLimitedPartners,NoninterestExpenseTransferAgentAndCustodianFees,NotesPayableToBankCurrent,NotesReceivableRelatedPartiesCurrent,OperatingExpenses,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromBankDebt,ProceedsFromCollectionOfLongtermLoansToRelatedParties,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlans,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromRepaymentsOfRestrictedCashFinancingActivities,ProfessionalFees,ProfitLoss,ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,RelatedPartyDepositLiabilities,RelatedPartyTransactionDueFromToRelatedParty,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RelatedPartyTransactionDueFromToRelatedPartyNoncurrent,RetainedEarningsAccumulatedDeficit,SellingGeneralAndAdministrativeExpense,SharesIssued,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2019-09-30,2019-11-12,10-Q,LOVARRA,LOVA,CIK0001746278,USD,1500.0,,,,10196.0,10196.0,,3989.0,,0.0,,,,,,,,70000000.0,4500.0,4500000.0,,,,,1720.0,,,,,,0.0,,,8185.0,48.0,,,,,,,,,,22.0,0.0,-5696.0,3989.0,9685.0,,,,,,-1720.0,-1720.0,,0.0,,1720.0,,,,,3989.0,,,,,,,,,,,1650.0,-1720.0,,,,8185.0,,-10196.0,48.0,,,-5696.0,,,,,,4500000.0,
2019-12-31,2020-03-30,10-K,LOVARRA,LOVA,CIK0001746278,USD,1500.0,5865.0,8500.0,97.0,,11728.0,0.0,137.0,,40.0,40.0,,40.0,,,,0.001,70000000.0,4500.0,4500000.0,0.0,,4500.0,,11113.0,,0.0,-2463.0,,,0.0,23.34,44.0,5865.0,550.0,,2334.0,0.0,,1500.0,5790.0,3817.0,3817.0,0.0,89.0,,-7228.0,137.0,7365.0,5865.0,5865.0,-11113.0,50.0,-6.0,-11113.0,,,0.0,,11113.0,-11113.0,2463.0,2463.0,,97.0,97.0,,50.0,0.0,,,,50.0,,44.0,10474.0,-11113.0,0.0,,5865.0,5865.0,5865.0,-11728.0,,,,-7228.0,,,,,-2334.0,4500000.0,
2020-03-31,2020-05-05,10-Q,LOVARRA,LOVA,CIK0001746278,USD,2000.0,8015.0,,,,,7532.0,5240.0,,5165.0,5165.0,,,,,,,70000000.0,5038.0,5038000.0,,,,,5617.0,17345.0,,,17345.0,,0.0,,5125.0,8015.0,445.0,,,0.0,,500.0,2150.0,22.0,22.0,0.0,22.0,,-4775.0,5240.0,10015.0,,,-5617.0,8070.0,-2945.0,-5617.0,-5617.0,,,,,,,,,75.0,,0.0,0.0,8070.0,8070.0,,8070.0,0.0,0.0,5125.0,5150.0,-5617.0,,,,8015.0,,-17345.0,445.0,,3315.0,-4775.0,,538000.0,,8070.0,,5038000.0,
2020-06-30,2020-08-13,10-Q,LOVARRA,LOVA,CIK0001746278,USD,0.0,,,,,,7532.0,1370.0,,1370.0,1370.0,1370.0,,,,,,70000000.0,5038.0,5038000.0,,,,,1870.0,,,,19215.0,,0.0,,,8015.0,295.0,-1870.0,,,,,,,,,75.0,,-6645.0,1370.0,8015.0,8015.0,,,,,-1870.0,,,,,,,,,,0.0,,,,,,,,,,,1500.0,-1870.0,,,,,,-19215.0,,,,-6645.0,,,,,,5038000.0,5038000.0
2020-09-30,2020-11-05,10-Q,LOVARRA,LOVA,CIK0001746278,USD,2560.0,,,,,,17234.0,8272.0,,8272.0,8272.0,,8272.0,,,,,70000000.0,5731.0,5731.0,,,,,7205.0,,,,26420.0,,0.0,,,9215.0,445.0,-7205.0,,,,,,,,,0.0,2560.0,-3503.0,8272.0,11775.0,9215.0,,,,,-7205.0,,2560.0,,,7205.0,,,,,0.0,,,,,,,10347.0,,,,4200.0,-7205.0,-48.0,,,,,-26420.0,,,,-3503.0,,10347.0,693000.0,,,5514891.0,5514891.0
2020-12-31,2021-03-31,10-K,LOVARRA,LOVA,CIK0001746278,USD,0.0,,9000.0,,,,17176.0,5382.0,14843.0,4677.0,4677.0,,,,,,,70000000.0,5731000.0,5731000.0,-58.0,5731.0,,,26022.0,,,-7928.0,,,-0.01,,4637.0,20225.0,1480.0,,5465.0,0.0,,-1500.0,14360.0,,-608.0,0.0,97.0,,20225.0,5382.0,20225.0,,20225.0,-26022.0,18407.0,-13770.0,-26022.0,,,,20225.0,,-26022.0,,7928.0,705.0,705.0,,,0.0,18407.0,,,,,,,24445.0,,,20225.0,,,,-37750.0,,,18465.0,-14843.0,-14843.0,18407.0,,,-5465.0,4832975.0,
2021-03-31,2021-05-12,10-Q,LOVARRA,LOVA,CIK0001746278,USD,4500.0,,,,42970.0,,17234.0,5312.0,,4677.0,4677.0,,,,,,,75000000.0,5731.0,5731000.0,-58.0,,,,5220.0,,,,,,0.0,,0.0,20875.0,,,,0.0,,4500.0,650.0,,70.0,0.0,0.0,,-20063.0,5312.0,25375.0,,,-5220.0,0.0,0.0,-5220.0,-5220.0,,,,,,,,,635.0,,,,,,,0.0,,,,5220.0,,,20225.0,,,,-42970.0,0.0,,,-20063.0,,,,,,5731000.0,
2021-06-30,2021-08-12,10-Q,LOVARRA,LOVA,CIK0001746278,USD,1618.0,,,,,,17176.0,635.0,,,,,,,,,0.001,70000000.0,5731000.0,5731000.0,,5731.0,,,,,,,,,,,,,295.0,-1795.0,,,,,,,,,,,22493.0,635.0,,,,,,,-1795.0,,,,20875.0,,,,,635.0,,,,,,,,,,,,1500.0,,,,,,,-44765.0,,,,-21858.0,-21858.0,,,,,,5731000.0
2021-09-30,2021-11-08,10-Q,LOVARRA,LOVA,CIK0001746278,USD,1500.0,,,,,,17176.0,350.0,,,,,,,,,,,,,,5731.0,,,,,,,,,,,,,,-1785.0,,,,,,,,,,,23993.0,350.0,,21843.0,,,,,-1785.0,,285.0,,22493.0,1785.0,,,,350.0,,,,,,,,,,,,1500.0,,,,,,,-46550.0,,,,-23643.0,-23643.0,,,,,,5731000.0
