end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsPremiumsAndOtherReceivables,Assets,AssetsCurrent,CapitalLeaseObligationsCurrent,CapitalLeaseObligationsNoncurrent,CapitalLeasesFutureMinimumPaymentsDue,CapitalLeasesFutureMinimumPaymentsDueCurrent,CapitalLeasesFutureMinimumPaymentsDueInFiveYears,CapitalLeasesFutureMinimumPaymentsDueInFourYears,CapitalLeasesFutureMinimumPaymentsDueInThreeYears,CapitalLeasesFutureMinimumPaymentsDueInTwoYears,CapitalLeasesFutureMinimumPaymentsDueThereafter,CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,CapitalLeasesFutureMinimumPaymentsRemainderOfFiscalYear,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfRevenue,DebtInstrumentIncreaseAccruedInterest,DeferredCompensationEquity,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent,EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,EquityMethodInvestmentRealizedGainLossOnDisposal,EquityMethodInvestments,FinanceLeaseInterestExpense,FinanceLeaseLiabilityCurrent,FinanceLeaseLiabilityNoncurrent,FinanceLeaseRightOfUseAsset,FinanceLeaseRightOfUseAssetAmortization,GainLossOnSaleOfOtherAssets,GainLossOnSaleOfPropertyPlantEquipment,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInOperatingLeaseLiability,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestExpense,InterestExpenseLesseeAssetsUnderCapitalLease,InterestPaid,InterestPaidNet,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,LeaseCost,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseLeaseIncomeLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeaseRightOfUseAssetAmortizationExpense,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLeasesRentExpenseMinimumRentals,OperatingLossCarryforwards,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherNonoperatingIncome,PaymentOfFinancingAndStockIssuanceCosts,PaymentsToAcquireLoansReceivable,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromSaleOfLoansReceivable,ProfessionalFees,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfLongTermCapitalLeaseObligations,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesEmployeeBenefitPlan,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueEmployeeBenefitPlan,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,TaxesPayableCurrent,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2019-05-31,2019-07-25,10-Q,"UPAY, Inc.",UPYY,CIK0001677897,USD,,,,,,,,,,,,,,,,,,,,,,,-169707.0,,,,,,,87511.0,,,,,10996.0,,,0.0,0.0,0.0,,,,,,2250.0,,,,25052.0,35445.0,60874.0,2757.0,,,238871.0,270364.0,17373.0,,2034.0,,,,-239898.0,,,-23282.0,,,,,-2214.0,2540.0,,,2540.0,2173.0,,,74158.0,,,,,7907.0,,-730.0,,-179134.0,,17373.0,,252624.0,17740.0,,,,,,,,,,2250.0,19623.0,,,,730.0,,,,,,,,10000.0,,,,,,,,,357875.0,,,,,,,3750.0,,10000.0,,,,26010582.0,26010582.0,26010582.0
2019-08-31,2019-11-01,10-Q,"UPAY, Inc.",UPYY,CIK0001677897,USD,319441.0,80009.0,64815.0,-22054.0,390367.0,,593395.0,388748.0,,,62917.0,18557.0,6278.0,12694.0,12694.0,12694.0,,10503.0,52414.0,,,306162.0,,,0.001,100000000.0,26030310.0,26030310.0,26030.0,80482.0,,,,,11006.0,,,0.0,,0.0,,,,,,,,,,20292.0,32122.0,52091.0,2757.0,,,236660.0,242490.0,-7848.0,,,,,,,,,,,,,,,1697.0,,,,1782.0,,,,371855.0,593395.0,339733.0,,,,,,,,-7848.0,,250423.0,-7933.0,,,,,,,,,,-1464.0,-9312.0,,,,,0.001,10000000.0,0.0,0.0,,2577.0,,,,,,217371.0,152556.0,,,-172803.0,322972.0,,221540.0,,,,,,,,,,,26030310.0,,26030310.0
2019-11-30,2020-01-16,10-Q,"UPAY, Inc.",UPYY,CIK0001677897,USD,331649.0,95783.0,76209.0,-21962.0,393142.0,,620995.0,432272.0,,,57185.0,11204.0,6507.0,13158.0,13158.0,13158.0,,9437.0,47748.0,,,331852.0,,,0.001,100000000.0,23255310.0,23255310.0,23255.0,88667.0,,,,,11032.0,,,0.0,,0.0,,,,,,,,,,16821.0,30927.0,46936.0,2701.0,,,218585.0,251922.0,19966.0,,,,,,,,,,,,,,,1487.0,,,,1849.0,,,,379397.0,620995.0,348470.0,,,,,,,,19966.0,,232318.0,19604.0,,,,,2860.0,715.0,,,,92.0,20058.0,,,,,0.001,10000000.0,0.0,0.0,,4637.0,,,,,,217996.0,141787.0,,,-152837.0,340589.0,,241598.0,,,,,,,,,,,24494046.0,,24494046.0
2020-02-29,2020-07-08,10-K,"UPAY, Inc.",UPYY,CIK0001677897,USD,329294.0,94992.0,86558.0,-26295.0,393142.0,7133.0,560209.0,385854.0,,,46247.0,15361.0,,6122.0,12382.0,12382.0,,7682.0,38565.0,,,287425.0,-403792.0,,0.001,100000000.0,23255310.0,23255310.0,23255.0,359017.0,,,41000.0,41000.0,44110.0,,,0.0,0.0,0.0,0.18,0.21,0.18,,0.21,-2450.0,,,187.0,11755.0,26810.0,37487.0,10833.0,,,961620.0,1012608.0,-3740.0,16962.0,14318.0,-8000.0,5747.0,-785.0,-442193.0,,,-7735.0,,,,,-1439.0,7071.0,,,7071.0,7286.0,,,69953.0,373224.0,560209.0,346414.0,,1551.0,,-8052.0,,-394841.0,,-3740.0,,1016563.0,-3955.0,,,,,,10120.0,,,195000.0,-3455.0,-24157.0,,,,8052.0,0.001,10000000.0,0.0,0.0,,3437.0,,10000.0,,,,223426.0,136868.0,,,-203117.0,1371625.0,,186985.0,,,,,3750.0,,10000.0,,2775.0,5365.0,24953425.0,24953425.0,24953425.0
2020-05-31,2020-07-17,10-Q,"UPAY, Inc.",UPYY,CIK0001677897,USD,226024.0,49254.0,96261.0,-25165.0,393142.0,,406611.0,251198.0,,,35752.0,8265.0,,5449.0,11019.0,11019.0,,5942.0,29810.0,,,198784.0,-88641.0,,0.001,100000000.0,23255310.0,23255310.0,23255.0,70976.0,,,,,21479.0,,,0.0,0.0,0.0,,,,,,-7907.0,,,,8070.0,21740.0,28649.0,2234.0,,,195831.0,177656.0,-42113.0,,908.0,,,,-103860.0,-155.0,,-45738.0,,,,,-277.0,941.0,,,941.0,716.0,,,63388.0,260609.0,406611.0,238869.0,,-2734.0,,-1600.0,,-76400.0,,-42113.0,,219544.0,-41888.0,,,2234.0,10120.0,,12097.0,,,,1130.0,-40983.0,,,,1600.0,0.001,10000000.0,0.0,0.0,,3160.0,,,,,,223025.0,126764.0,,,-245230.0,248632.0,,146002.0,,,,,,,,,,4775.0,23255310.0,23255310.0,23255310.0
2020-08-31,2020-11-03,10-Q,"UPAY, Inc.",UPYY,CIK0001677897,USD,299418.0,51970.0,107682.0,-31361.0,393142.0,,504294.0,340451.0,,,34711.0,5797.0,,5732.0,11591.0,11591.0,,5380.0,29331.0,,,284253.0,,,0.001,100000000.0,23255310.0,23255310.0,23255.0,58925.0,,,,,421.0,,,0.0,0.0,0.0,,,,,,,-637.0,19363.0,,8733.0,20598.0,27769.0,2321.0,,,203447.0,136421.0,-72084.0,,,,,,,,,,,,,,,2232.0,,,,553.0,,,,436572.0,504294.0,339694.0,76280.0,,,,,,,-72084.0,26520.0,206189.0,-69768.0,,,,,,4475.0,,,,-6196.0,-78280.0,,,,,0.001,10000000.0,0.0,0.0,,4228.0,,,,,,224393.0,116711.0,,,-317314.0,195346.0,,67722.0,,,,,,,,,,5023.0,23255310.0,23255310.0,23255310.0
2020-11-30,2021-01-14,10-Q,"UPAY, Inc.",UPYY,CIK0001677897,USD,391420.0,61917.0,119848.0,-28108.0,393142.0,,581246.0,427017.0,,,34726.0,3163.0,,6257.0,12653.0,12653.0,,4986.0,29740.0,,,361608.0,,,0.001,100000000.0,23255310.0,23255310.0,23255.0,71769.0,,,,,11032.0,,,0.0,0.0,0.0,,,,,,,-285.0,19078.0,,9805.0,19935.0,27727.0,2437.0,,,221590.0,217893.0,-19171.0,,,,,,,,,,,,,,,2248.0,,,,528.0,,,,529442.0,581246.0,431707.0,77800.0,,,,,,,-19171.0,25000.0,235059.0,-17166.0,,,,,,1840.0,,,,3253.0,-15918.0,,,,,0.001,10000000.0,0.0,0.0,,3492.0,,,,,,227272.0,107424.0,,,-336485.0,289662.0,,51804.0,,,,,,,,,,5482.0,23255310.0,23255310.0,23255310.0
2021-02-28,2021-06-23,10-K,"UPAY, Inc.",UPYY,CIK0001677897,USD,356493.0,106318.0,131272.0,-23734.0,398227.0,920.0,627485.0,419319.0,,,110030.0,14828.0,1817.0,28123.0,33294.0,31968.0,,14566.0,95465.0,,,307949.0,20524.0,,0.001,100000000.0,23269878.0,23269878.0,23270.0,299842.0,1801.0,,68000.0,68000.0,44032.0,,,,-0.01,,0.18,0.21,0.18,0.21,,4857.0,-3362.0,16638.0,3791.0,24007.0,71458.0,92803.0,10917.0,354.0,,929441.0,810555.0,-179543.0,,,,29000.0,-37000.0,23506.0,3975.0,,11326.0,,,,,1615.0,8054.0,,,8054.0,2354.0,,,121577.0,560405.0,627485.0,411147.0,77800.0,126342.0,,-25905.0,,-84770.0,,-179543.0,25000.0,984390.0,-173835.0,1506.0,,,,,,,,325000.0,2561.0,-176982.0,3000.0,,,5905.0,0.001,10000000.0,0.0,0.0,,5052.0,,5100.0,102800.0,,,229997.0,98725.0,,,-382660.0,1110397.0,,67080.0,,,,,,,9300.0,,,5647.0,,23257186.0,
2021-05-31,2021-09-08,10-Q,"UPAY, Inc.",UPYY,CIK0001677897,USD,400958.0,87943.0,143734.0,-18855.0,751415.0,,705887.0,511571.0,,,110488.0,11208.0,1961.0,30368.0,35951.0,31000.0,,13667.0,96821.0,,,422026.0,114077.0,,0.001,100000000.0,24281878.0,24281878.0,24282.0,110451.0,2432.0,,,,11243.0,,10000.0,,-0.01,,,,,,,4496.0,-3754.0,12884.0,1956.0,26830.0,69991.0,,7101.0,,,524665.0,224738.0,-325971.0,,,,,,38810.0,5705.0,,-18375.0,,,,,-3570.0,4099.0,,,400.0,153.0,,,,657676.0,705887.0,509885.0,77800.0,43505.0,,-690.0,,66766.0,,-325971.0,66000.0,543009.0,-318271.0,,,7101.0,,,,,,,4879.0,-321092.0,,,,690.0,0.001,10000000.0,0.0,0.0,,1602.0,,,41400.0,,302223.0,232445.0,88711.0,,,-708631.0,335189.0,,48211.0,,,,,,302223.0,,,,6097.0,,23775878.0,
2021-08-31,2021-11-02,10-Q,"UPAY, Inc.",UPYY,CIK0001677897,USD,418410.0,62139.0,154102.0,-24632.0,751415.0,0.0,691689.0,525011.0,,,96568.0,15837.0,,20394.0,27491.0,32846.0,,11077.0,85491.0,,,442110.0,,,0.001,100000000.0,24281878.0,24281878.0,24282.0,127417.0,,,,,11295.0,,11420.0,,0.0,,,,,,,,-4822.0,8061.0,,26246.0,59245.0,,7137.0,,,213132.0,230900.0,-9866.0,,,,,,,,,,,,,,,4574.0,,,,194.0,,,,659121.0,691689.0,522076.0,77800.0,,,,,,,-9866.0,66000.0,231564.0,-664.0,,80564.0,,,,,,,,-5777.0,-15643.0,,,,,0.001,10000000.0,0.0,,,20762.0,,,,,,232155.0,78053.0,,,-718497.0,358317.0,,32568.0,,,,,,,,,,,,24281878.0,
2021-11-30,2022-01-10,10-Q,"UPAY, Inc.",UPYY,CIK0001677897,USD,546212.0,61971.0,163692.0,-40823.0,751415.0,846.0,858125.0,696599.0,,,79963.0,7186.0,,18384.0,24783.0,29610.0,,8446.0,71517.0,,,566339.0,,,0.001,100000000.0,24281878.0,24281878.0,24282.0,132856.0,,,,,11304.0,,48263.0,,0.0,,,,,,,,16572.0,24633.0,,24476.0,47041.0,,2298.0,,,237447.0,255262.0,16820.0,,,,,,,,,,,,,,,4225.0,,,,260.0,,,,820292.0,858125.0,695451.0,77800.0,,,,,,,16820.0,76500.0,251049.0,4213.0,,69103.0,,,,,,,,-16191.0,629.0,,,,,0.001,10000000.0,0.0,0.0,,68289.0,,,,,,231482.0,67790.0,,,-697041.0,388118.0,,37833.0,,,,,,,,,,,,24281878.0,
