end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsPremiumsAndOtherReceivables,Assets,AssetsCurrent,CapitalLeaseObligationsCurrent,CapitalLeaseObligationsNoncurrent,CapitalLeasesFutureMinimumPaymentsDue,CapitalLeasesFutureMinimumPaymentsDueCurrent,CapitalLeasesFutureMinimumPaymentsDueInFiveYears,CapitalLeasesFutureMinimumPaymentsDueInFourYears,CapitalLeasesFutureMinimumPaymentsDueInThreeYears,CapitalLeasesFutureMinimumPaymentsDueInTwoYears,CapitalLeasesFutureMinimumPaymentsDueThereafter,CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,CapitalLeasesFutureMinimumPaymentsRemainderOfFiscalYear,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfRevenue,DebtInstrumentIncreaseAccruedInterest,DeferredCompensationEquity,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent,EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,EquityMethodInvestmentRealizedGainLossOnDisposal,EquityMethodInvestments,FinanceLeaseInterestExpense,FinanceLeaseLiabilityCurrent,FinanceLeaseLiabilityNoncurrent,FinanceLeaseRightOfUseAsset,FinanceLeaseRightOfUseAssetAmortization,GainLossOnSaleOfOtherAssets,GainLossOnSaleOfPropertyPlantEquipment,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInOperatingLeaseLiability,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestExpense,InterestExpenseLesseeAssetsUnderCapitalLease,InterestPaid,InterestPaidNet,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,LeaseCost,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseLeaseIncomeLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeaseRightOfUseAssetAmortizationExpense,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLeasesRentExpenseMinimumRentals,OperatingLossCarryforwards,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherNonoperatingIncome,PaymentOfFinancingAndStockIssuanceCosts,PaymentsToAcquireLoansReceivable,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromSaleOfLoansReceivable,ProfessionalFees,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfLongTermCapitalLeaseObligations,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesEmployeeBenefitPlan,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueEmployeeBenefitPlan,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,TaxesPayableCurrent,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2016-11-30,2017-02-03,10-Q,"UPAY, Inc.",UPYY,CIK0001677897,USD,162451.0,0.0,18544.0,-4591.0,162832.0,,267541.0,259905.0,3866.0,4883.0,10225.0,1227.0,,,4090.0,4908.0,,,,,,253936.0,,,0.001,100000000.0,23815310.0,23815310.0,23815.0,14862.0,,23125.0,,,1406.0,0.0,,,0.0,,,,,,,,,,,,,,,,,113728.0,126860.0,11939.0,0.0,,,,,,,,,,,,,,362.0,,,,575.0,,,,171200.0,267541.0,166317.0,,,,,,,,11939.0,,115134.0,11726.0,,,,4056.0,,9842.0,,,,1927.0,13866.0,,,,,0.001,10000000.0,0.0,0.0,0.0,5969.0,,,,,,26180.0,7636.0,,,-62590.0,141722.0,,96341.0,0.0,,,,,,,,,0.0,,23815310.0,
2017-02-28,2018-07-18,10-K,"UPAY, Inc.",UPYY,CIK0001677897,USD,217589.0,89669.0,21370.0,-6320.0,172732.0,,363874.0,354947.0,,,,,,,,,,,,,,262974.0,116884.0,,0.001,100000000.0,23915310.0,23915310.0,23915.0,64521.0,,,,,5415.0,,,,0.0,,0.18,0.34,0.18,,,-375.0,,,,,,,,,,552130.0,508347.0,-49214.0,11677.0,11677.0,,,,134374.0,,,57669.0,5693.0,-9293.0,,,1133.0,1903.0,,,1903.0,1887.0,43000.0,,,222053.0,363874.0,222053.0,,61445.0,,-3682.0,,59496.0,,-60891.0,,557545.0,-49198.0,,,,12745.0,,,,,113000.0,-375.0,-61266.0,,,,3682.0,0.001,10000000.0,0.0,0.0,,2304.0,61445.0,,,,,30297.0,8927.0,,,-48506.0,572868.0,,141821.0,,,,,,43000.0,61445.0,,,4464.0,,23704770.0,
2017-05-31,2018-07-30,10-Q,"UPAY, Inc.",UPYY,CIK0001677897,USD,204171.0,55697.0,22849.0,-6419.0,172732.0,,332098.0,324835.0,,,,,,,,,,,,,,266848.0,3874.0,,0.001,100000000.0,23915310.0,23915310.0,23915.0,27784.0,,,,,1597.0,,,,0.0,,,,,,,-99.0,,,,,,,,,,164556.0,147552.0,-18231.0,,,,,,-17379.0,,,-33972.0,,4000.0,,,-14.0,,,,,370.0,,,,208608.0,332098.0,208608.0,,,,,,3973.0,,-18231.0,,166153.0,-18601.0,,,,12776.0,,,,,,-99.0,-18330.0,,,,,0.001,10000000.0,0.0,0.0,,2290.0,,,,,,30112.0,7263.0,,,-66738.0,175336.0,,123491.0,,,,,,,,,,4437.0,,23915310.0,
2017-08-31,2018-08-07,10-Q,"UPAY, Inc.",UPYY,CIK0001677897,USD,182434.0,19723.0,24571.0,-6349.0,172732.0,,275139.0,269093.0,,,,,,,,,,,,,,247069.0,,,0.001,100000000.0,23915310.0,23915310.0,23915.0,27724.0,,,,,1609.0,,,,0.0,,,,,,,,,,,,,,,,,233091.0,200161.0,-33704.0,,,,,,,,,,,,,,,20.0,,,,855.0,,,,185282.0,275139.0,185282.0,,,,,,,,-33704.0,,234700.0,-34539.0,,,,8808.0,,,,,,70.0,-33634.0,,,,,0.001,10000000.0,0.0,0.0,,2301.0,,,,,,30617.0,6046.0,,,-100441.0,227885.0,,89957.0,,,,,,,,,,2848.0,,23915310.0,
2017-11-30,2018-08-15,10-Q,"UPAY, Inc.",UPYY,CIK0001677897,USD,281987.0,51823.0,24965.0,-5557.0,172732.0,,362613.0,356866.0,,,,,,,,,,,,,,303664.0,,,0.001,100000000.0,23915310.0,23915310.0,23915.0,28073.0,,,,,1376.0,,,,0.0,,,,,,,,,,,,,,,,,101154.0,89308.0,-12742.0,,,,,,,,,,,,,,,36.0,,,,516.0,,,,284706.0,362613.0,284706.0,,,,,,,,-12742.0,,102530.0,-13222.0,,,,4302.0,,,,,,792.0,-11950.0,,,,,0.001,10000000.0,0.0,0.0,,1379.0,,,,,,30712.0,5747.0,,,-113183.0,117381.0,,77907.0,,,,,,,,,,2719.0,,23915310.0,
2018-02-28,2018-11-13,10-K,"UPAY, Inc.",UPYY,CIK0001677897,USD,424636.0,55135.0,,-8896.0,172732.0,,473306.0,467485.0,,,,,,,,,,,,,,409803.0,146829.0,,0.001,100000000.0,23915310.0,23915310.0,23915.0,143769.0,,,,,5855.0,,,,0.0,,0.18,0.32,0.18,,,-2576.0,,,,,,,,,,719972.0,634493.0,-89038.0,5005.0,5005.0,,,,202051.0,,,-34534.0,,4000.0,,,243.0,291.0,,,291.0,2587.0,,,,428104.0,473306.0,428104.0,,,,-2749.0,,152154.0,,-94043.0,,725827.0,-91334.0,,,,1430.0,,,,,184000.0,-2576.0,-96619.0,,,,2749.0,0.001,10000000.0,0.0,0.0,,2547.0,,,,,,,5821.0,,,-142549.0,778262.0,,45202.0,,,,,,,,,,3468.0,,23915310.0,
2018-05-31,2018-12-13,10-Q,"UPAY, Inc.",UPYY,CIK0001677897,USD,305085.0,53516.0,,-11447.0,370732.0,,570294.0,339551.0,,,32009.0,4801.0,6402.0,6402.0,6402.0,6402.0,1600.0,7661.0,24348.0,3814.0,,283368.0,-126435.0,,0.001,100000000.0,25915310.0,25915310.0,25915.0,50419.0,,,,,6015.0,,,,0.0,,,,,,,-2551.0,,,,,,,,,4649.0,191858.0,187955.0,-5061.0,,,,,,-125688.0,,,-1619.0,,4000.0,,,120.0,39.0,,,,247.0,,,,332704.0,570294.0,312170.0,,,,,,-123884.0,,-5061.0,,197873.0,-9918.0,,,,,7456.0,24693.0,17117.0,,,-2551.0,-7612.0,,,,,0.001,10000000.0,0.0,0.0,,2667.0,,,,,,,230743.0,,,-147610.0,238374.0,,237590.0,,,,,,,,,,3271.0,,24502267.0,
2018-08-31,2019-01-11,10-Q,"UPAY, Inc.",UPYY,CIK0001677897,USD,294519.0,53217.0,22835.0,-16586.0,370732.0,,535395.0,321831.0,,,25897.0,2726.0,5452.0,5452.0,5452.0,5452.0,1363.0,5911.0,19986.0,3374.0,,264602.0,,,0.001,100000000.0,25915310.0,25915310.0,25915.0,62051.0,,,,,12091.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,-253.0,186937.0,185473.0,-14347.0,,,,,,,,,,,,,,,792.0,,,,253.0,,,,317291.0,535395.0,300679.0,,,,,,,,-14347.0,,199028.0,-13555.0,,,,,6350.0,21454.0,8754.0,,,-5139.0,-19486.0,,,,,0.001,10000000.0,0.0,0.0,,4012.0,,,,,,236399.0,213564.0,,,-161957.0,247524.0,,218104.0,,,,,,,,,,2786.0,25915310.0,25915310.0,25915310.0
2018-11-30,2019-01-22,10-Q,"UPAY, Inc.",UPYY,CIK0001677897,USD,437100.0,70739.0,36516.0,-5553.0,376672.0,,723340.0,493620.0,,,66893.0,3525.0,14099.0,14099.0,14099.0,14099.0,6972.0,15263.0,51630.0,8735.0,,420746.0,,,0.001,100000000.0,25975310.0,25975310.0,25975.0,68156.0,,,,,13116.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,-157.0,202586.0,213302.0,-3504.0,,,,,,,,,,,,,,,1399.0,,,,452.0,,,,491707.0,723340.0,448812.0,,,,,,,,-3504.0,,215702.0,-2400.0,,,,,6785.0,22729.0,2290.0,,,11033.0,7529.0,,,,,0.001,10000000.0,0.0,0.0,,2135.0,,,,,,266236.0,229720.0,,,-165461.0,281458.0,,231633.0,,,,,,,,,,2977.0,25929710.0,25929710.0,25929710.0
2019-02-28,2019-06-14,10-K,"UPAY, Inc.",UPYY,CIK0001677897,USD,774124.0,102727.0,,,376672.0,,,798820.0,,,,,,,,,,,,8831.0,,691217.0,281414.0,,0.001,100000000.0,25975310.0,25975310.0,25975.0,272694.0,,,39900.0,39900.0,45047.0,,,0.0,0.0,0.0,0.18,0.21,0.18,,,-13944.0,,,,,,,,,4824.0,819968.0,826099.0,-35936.0,3930.0,3930.0,-2000.0,,-8000.0,348248.0,,,47592.0,,500.0,,,2329.0,3582.0,,,3582.0,1737.0,,,,,1022946.0,785683.0,,-4804.0,,-5022.0,,305184.0,,-39866.0,,865014.0,-38915.0,,,,,2860.0,2860.0,,,190000.0,-13944.0,-53810.0,,4804.0,,5022.0,0.001,10000000.0,0.0,0.0,,4876.0,,,,,,,,,,-182415.0,1098793.0,,197392.0,,,,,6000.0,,,,,2728.0,25584789.0,25584789.0,25584789.0
