end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AllocatedShareBasedCompensationExpense,AmortizationOfFinancingCosts,Assets,AssetsCurrent,BusinessAcquisitionPercentageOfVotingInterestsAcquired,CapitalUnitsAuthorized,Cash,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashFDICInsuredAmount,ClassOfWarrantOrRightOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ContractWithCustomerLiabilityCurrent,ContractWithCustomerLiabilityRevenueRecognized,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentFaceAmount,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsOperatingLossCarryforwardsForeign,DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,DeferredTaxAssetsOther,DeferredTaxAssetsPropertyPlantAndEquipment,DeferredTaxAssetsTaxCreditCarryforwards,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,DeferredTaxAssetsValuationAllowance,DepositAssets,Deposits,DepositsAssetsNoncurrent,Depreciation,DerivativeGainLossOnDerivativeNet,DerivativeGainOnDerivative,DerivativeLiabilitiesCurrent,DueToAffiliateCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EmployeeBenefitsAndShareBasedCompensation,EquityMethodInvestmentOwnershipPercentage,EquityMethodInvestmentRealizedGainLossOnDisposal,EquityMethodInvestments,GainLossOnInvestments,GainLossOnSaleOfInterestInProjects,GainOnSaleOfInvestments,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromEquityMethodInvestments,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDueToAffiliates,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInSecurityDeposits,InterestExpense,InterestExpenseDebt,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InvestmentOwnedAtCost,Land,LeaseCost,LeaseholdImprovementsGross,LesseeOperatingLeaseLiabilityPaymentsDue,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LossContingencyAccrualCarryingValueCurrent,LossContingencyDamagesSoughtValue,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeaseRightOfUseAssetAmortizationExpense,OperatingLeaseWeightedAverageDiscountRatePercent,OtherAccruedLiabilitiesCurrent,OtherAssets,OtherLiabilitiesCurrent,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PaymentsForDeposits,PaymentsForRent,PaymentsToAcquireEquityMethodInvestments,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,ProceedsFromDepositsFromCustomers,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfInvestmentProjects,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfDebtAndCapitalLeaseObligations,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SecurityDepositLiability,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardPerShareWeightedAveragePriceOfSharesPurchased,ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesPurchasedForAward,SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeOutstandingOptionsWeightedAverageExercisePriceBeginningBalance1,SharesIssued,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,StockIssuedDuringPeriodValueShareBasedCompensationGross,TransferOfInvestments,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2018-12-31,2020-04-01,10-K,"PINEAPPLE, INC.",PNPL,CIK0001654672,USD,1093535.0,5000.0,22066.0,7952586.0,,20875.0,,,1043351.0,1005000.0,,525000000.0,,,-22175.0,,,0.0,500000000.0,65862925.0,65862925.0,6.0,310680.0,,,,,3246964.0,3854072.0,3854072.0,670456.0,,2185.0,995849.0,600246.0,1648684.0,3246964.0,7944.0,470680.0,,8628.0,-323459.0,,,,,-0.02,,0.0,0.21,-0.243,0.0,0.0,0.061,,,,,,500000.0,,75832.0,984776.0,,-1365141.0,,181231.0,5000.0,,129363.0,,,,129364.0,,,,298719.0,,,700000.0,,,,5340958.0,1043351.0,5340958.0,,,245746.0,,-267921.0,-1365141.0,381737.0,19838.0,1236975.0,993404.0,-983404.0,,,,,,,,,7944.0,,,,,,,,0.0,20000000.0,0.0,0.0,,,85000.0,,165746.0,,55473.0,30407.0,,,5000.0,-12250199.0,10000.0,,165000.0,,,415625.0,0.68,1478836.0,0.88,,-4297607.0,206250.0,,922500.0,200000.0,,459375.0,,100000.0,459375.0,,,64731914.0
2019-12-31,2021-02-16,10-K,"PINEAPPLE, INC.",PNPL,CIK0001654672,USD,871528.0,,33695.0,14139607.0,-2500.0,723.0,,,12009212.0,1000000.0,0.5,525000000.0,,,,,,0.0,500000000.0,76890925.0,76890925.0,7.0,,160680.0,220400.0,488000.0,,3568918.0,5233856.0,,4050240.0,,2185.0,1381962.0,682937.0,1501833.0,3568918.0,7944.0,,,8629.0,,,,39048.0,,-0.02,,0.0,0.21,-0.276,,0.0,0.069,,0.5,61285.0,10938715.0,61285.0,,,104775.0,1622545.0,,-1168462.0,61285.0,398526.0,-5000.0,39048.0,13463.0,,,,17588.0,4125.0,,,6771.0,,11000000.0,,101973.0,,42856.0,11288259.0,12009212.0,11288259.0,140048.0,,353867.0,,-353867.0,-1168462.0,-447712.0,19838.0,2139753.0,1631174.0,-1616174.0,101973.0,,41142.0,101606.0,40775.0,101973.0,,1000000.0,10946659.0,5940720.0,631360.0,-631360.0,,,42856.0,,0.0,20000000.0,,,,,,,387367.0,,55473.0,21778.0,101606.0,,1000.0,-13418661.0,15000.0,122985.0,,,470680.0,293900.0,0.68,1478836.0,0.88,,720953.0,57500.0,488000.0,535000.0,,220400.0,295500.0,5500000.0,,295500.0,295500.0,,73948733.0
2020-03-31,2021-04-13,10-Q,"PINEAPPLE, INC.",PNPL,CIK0001654672,USD,896774.0,,35852.0,20079826.0,,,,,10870932.0,1000000.0,,525000000.0,,,,,,0.0,500000000.0,87446200.0,87446200.0,8.0,,,,,1004755.0,,,,,,,,,,,7944.0,,,2157.0,,,,61518.0,,0.0,,,,,,,,,0.517,50168.0,9826547.0,50168.0,,,,195805.0,,-276750.0,-50168.0,25246.0,,22470.0,24657.0,,,,28620.0,,,,27208.0,,,,25493.0,,18832.0,4486509.0,10870932.0,4486509.0,140048.0,,146771.0,,-146771.0,-276750.0,78788.0,19838.0,1534155.0,197962.0,-197962.0,,,16968.0,24474.0,16820.0,23995.0,,1000000.0,9834491.0,6000.0,,,,,22470.0,,0.0,20000000.0,,,,,,,148671.0,,55473.0,19621.0,,,1900.0,-13695411.0,,,,,,5500.0,0.68,1478836.0,0.88,10000.0,6384423.0,440220.0,,,,440220.0,,5500000.0,,,,5500000.0,82580637.0
2020-06-30,2021-04-13,10-Q,"PINEAPPLE, INC.",PNPL,CIK0001654672,USD,896478.0,,37474.0,20280626.0,,0.0,,,10797863.0,1001001.0,,525000000.0,1001.0,1001.0,,,,0.0,500000000.0,88461200.0,88461200.0,8.0,,,,,1004755.0,,,,,,,,,,,,,,1622.0,,,,78628.0,,0.0,,,,,,,,,,,9778863.0,47684.0,,,,197780.0,,-272287.0,47684.0,,,,,,,,25201.0,,,,52408.0,,,,,,,4484927.0,10797863.0,4484927.0,140048.0,,,,,-272287.0,72885.0,19838.0,1513527.0,199402.0,-199402.0,,,,,,,,,9778863.0,,,,,,,,0.0,20000000.0,,,,,,,,,55473.0,17999.0,,,,-13967698.0,0.0,,,,,,0.68,,0.88,,6312936.0,,,,,,,,,,,,88117793.0
2020-09-30,2021-04-13,10-Q,"PINEAPPLE, INC.",PNPL,CIK0001654672,USD,834455.0,,39015.0,20280626.0,,0.0,,,10693404.0,1000000.0,,525000000.0,,,,,,0.0,500000000.0,88461200.0,88461200.0,8.0,,,,,1004755.0,,,,,,,,,,,,,,1541.0,,,,83812.0,,0.0,,,,,,,,,0.4517,,9676946.0,101917.0,,,,134765.0,,-238223.0,,,,,,,,,,,,,52408.0,,,,,,,4618691.0,10693404.0,4618691.0,140048.0,,,,,-238223.0,101917.0,19838.0,1704130.0,136306.0,-136306.0,,,,,,,,,9676946.0,,,,,,,,0.0,20000000.0,,,,,,,,,55473.0,16458.0,,,,-14205921.0,,,,,,,0.68,,0.88,,6074713.0,,,,,,,,,,,,88461200.0
2020-12-31,2021-10-04,10-K,"PINEAPPLE, INC.",PNPL,CIK0001654672,USD,869911.0,,40556.0,21297078.0,,0.0,,,9503533.0,,,525000000.0,,,,0.0,0.0,0.0,500000000.0,88461200.0,88461200.0,8.0,0.0,,,,,3875155.0,6209054.0,,5025438.0,17867.0,2185.0,1654858.0,705408.0,1494837.0,3875155.0,,,,6861.0,,,,90556.0,,-0.02,,0.0,0.21,-0.266,,0.0,0.066,,0.4517,388099.0,9488616.0,388099.0,,,-25000.0,661557.0,,-1148828.0,388099.0,25888.0,,51508.0,53117.0,,,7944.0,53821.0,,,,6771.0,,11000000.0,,42489.0,,,2773936.0,9503533.0,2773936.0,100048.0,,543624.0,,-543624.0,-1148828.0,480410.0,19838.0,857175.0,668418.0,-668418.0,,,,42856.0,,40775.0,,,9488616.0,,,63490.0,,3750.0,22470.0,,0.0,20000000.0,0.0,0.0,,,,,551824.0,,55473.0,14917.0,,,8200.0,-14567489.0,,,,,,66303.0,0.68,1478836.0,0.88,,6729597.0,0.0,,490000.0,,1546223.0,80800.0,5500000.0,,,,5500000.0,64731914.0
2021-03-31,2021-10-27,10-Q,"PINEAPPLE, INC.",PNPL,CIK0001654672,USD,780225.0,,42097.0,21297078.0,,,,,9218800.0,,,525000000.0,,,,,,0.0,500000000.0,88461200.0,88461200.0,8.0,,,,,,,,,,,,,,,,,,,1541.0,,,,131134.0,,0.0,,,,,,,,,0.4517,283192.0,9205424.0,283192.0,,,,124697.0,,-409430.0,-283192.0,-36187.0,,40578.0,,50980.0,,,,,,,6771.0,,,,0.0,,,2751633.0,9218800.0,2751633.0,100048.0,,69326.0,,-69326.0,-409430.0,283192.0,19838.0,804500.0,126238.0,-126238.0,,,,0.0,,0.0,,,9205424.0,,,,,3000.0,,,0.0,20000000.0,,,,100000.0,147000.0,,9226.0,,55473.0,13376.0,,,86900.0,-14976919.0,,,,,,,,,,,6467167.0,,,,,,,,147000.0,,,,88461200.0
2021-06-30,2021-11-12,10-Q,"PINEAPPLE, INC.",PNPL,CIK0001654672,USD,713565.0,,43638.0,21581078.0,,0.0,,,8938147.0,,,525000000.0,,,,0.0,0.0,0.0,500000000.0,91301200.0,91301200.0,8.0,0.0,,,,,,,,,,,,,,,,,,1541.0,,,,269717.0,,-0.01,,,,,,,,-35000.0,0.4517,,8926312.0,279112.0,,,,161302.0,,-476955.0,,,,,,,,,,,,,6771.0,,,,,,,2810935.0,8938147.0,2810935.0,100048.0,,,,,-476955.0,314112.0,19838.0,735200.0,162843.0,-162843.0,,,,,,,,,8926312.0,,,,,,,,0.0,20000000.0,0.0,0.0,,,,,,,55473.0,11835.0,,,,-15453874.0,0.0,,,,,,,,,,6127212.0,,,,,,,,102000.0,,,,88648453.0
2021-09-30,2021-11-29,10-Q,"PINEAPPLE, INC.",PNPL,CIK0001654672,USD,734077.0,,45179.0,21581078.0,,0.0,,,8808784.0,,,525000000.0,,,,0.0,,0.0,500000000.0,89471569.0,89471569.0,8.0,0.0,,,,,,,,,,,,,,,,,100000.0,1541.0,,,,362128.0,,0.0,,,,,,,,,0.4517,,8698490.0,227822.0,,,,127031.0,,-356394.0,,,,,,,,,,,,,6771.0,,,,,,,3037966.0,8808784.0,3037966.0,100048.0,,,,,-356394.0,227822.0,19838.0,858986.0,128572.0,-128572.0,,,,,,,,,8798490.0,,,,,,,,0.0,20000000.0,0.0,0.0,,,,,,,55473.0,10294.0,,,,-15810268.0,,,,,,,,,,,5770818.0,,,,,,,,,,,,89695191.0
