end,filed,form,Name,Ticker,CIK,Currency,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,AssetsHeldInTrustNoncurrent,Cash,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,DeferredCosts,DeferredOfferingCosts,DilutiveSecurities,DueToRelatedPartiesCurrent,FairValueAssetsLevel1ToLevel2TransfersAmount,FairValueAssetsLevel2ToLevel1TransfersAmount,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,GainLossOnInvestments,GeneralAndAdministrativeExpense,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInPrepaidExpensesOther,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,PaymentsOfStockIssuanceCosts,PaymentsToAcquireMarketableSecurities,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromRelatedPartyDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForServices,TemporaryEquityCarryingAmountAttributableToParent,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued
2021-06-30,2021-08-27,10-Q,ARYA SCIENCES ACQUISITION CORP V,ARYE,CIK0001852432,USD,200750.0,24626.0,359258.0,42092.0,,42092.0,42092.0,42092.0,0.0,317166.0,,,150000.0,,,,,,7202.0,,,350750.0,359258.0,350750.0,58584.0,,-16492.0,-7202.0,,91416.0,,0.0001,1000000.0,0.0,0.0,0.0,,,,150000.0,,-16492.0,8508.0,,,0.0,0.0
2021-09-30,2021-11-15,10-Q,ARYA SCIENCES ACQUISITION CORP V,ARYE,CIK0001852432,USD,226349.0,0.0,150898960.0,1384427.0,149514533.0,844704.0,844704.0,,0.0,,,,,0.0,0.0,,,14533.0,363776.0,,,5458849.0,150898960.0,226349.0,,,,-349243.0,-363776.0,,,0.0001,1000000.0,0.0,0.0,0.0,539723.0,,,,,-4060313.0,-4059889.0,,149500000.0,0.0,0.0
