end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableGross,AccountsReceivableNet,AccountsReceivableNetCurrent,AccountsReceivableUnapprovedContractClaimsAmountExpectedToBeCollectedWithinOneYear,AccrualForTaxesOtherThanIncomeTaxesCurrent,AccruedBonusesCurrent,AccruedInsuranceCurrent,AccruedLiabilitiesCurrent,AccruedPayrollTaxesCurrent,AccruedSalariesCurrent,AccumulatedAmortizationDeferredFinanceCosts,AccumulatedAmortizationOfOtherDeferredCosts,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentExcludingCapitalLeasedAssets,AcquisitionCosts,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AdvertisingExpense,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivable,AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,AmortizationOfDeferredLoanOriginationFeesNet,AmortizationOfFinancingCosts,AmortizationOfIntangibleAssets,AssetAtFairValueChangesInFairValueResultingFromChangesInAssumptions,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsDisposedOfByMethodOtherThanSaleInPeriodOfDispositionGainLossOnDisposition1,BuildingsAndImprovementsGross,BusinessAcquisitionPurchasePriceAllocationAssetsAcquired,BusinessAcquisitionPurchasePriceAllocationAssetsAcquiredLiabilitiesAssumedNet,BusinessAcquisitionPurchasePriceAllocationCurrentAssets,BusinessAcquisitionPurchasePriceAllocationCurrentLiabilities,BusinessAcquisitionPurchasePriceAllocationDeferredTaxLiabilitiesNoncurrent,BusinessAcquisitionPurchasePriceAllocationGoodwillAmount,BusinessAcquisitionPurchasePriceAllocationGoodwillExpectedTaxDeductibleAmount,BusinessAcquisitionPurchasePriceAllocationIntangibleAssetsOtherThanGoodwill,BusinessAcquisitionPurchasePriceAllocationLiabilitiesAssumed,BusinessAcquisitionPurchasePriceAllocationPropertyPlantAndEquipment,BusinessAcquisitionsProFormaNetIncomeLoss,BusinessAcquisitionsProFormaRevenue,BusinessCombinationConsiderationTransferred1,BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationAsset1,BusinessCombinationContingentConsiderationLiability,BusinessCombinationContingentConsiderationLiabilityCurrent,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssets,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilities,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilitiesNoncurrent,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIndefiniteLivedIntangibleAssets,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilities,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedLessNoncontrollingInterest,CapitalizedComputerSoftwareAmortization,CapitalizedComputerSoftwareGross,CapitalLeasedAssetsGross,CapitalLeaseObligationsCurrent,CapitalLeaseObligationsNoncurrent,CapitalLeasesFutureMinimumPaymentsDue,CapitalLeasesFutureMinimumPaymentsDueInRollingYearFive,CapitalLeasesFutureMinimumPaymentsDueInRollingYearFour,CapitalLeasesFutureMinimumPaymentsDueInRollingYearThree,CapitalLeasesFutureMinimumPaymentsDueInRollingYearTwo,CapitalLeasesFutureMinimumPaymentsNextRollingTwelveMonths,CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,CapitalLeasesLesseeBalanceSheetAssetsByMajorClassFlightEquipmentGross,CapitalLeasesNetInvestmentInDirectFinancingLeasesAccumulatedAmortization,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CashIncludingDiscontinuedOperations,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,ChangeInUnrealizedGainLossOnFairValueHedgingInstruments1,CommitmentsFairValueDisclosure,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CompensatedAbsencesLiability,ConstructionLoanNoncurrent,ContractsReceivableClaimsAndUncertainAmounts,ContributionOfProperty,ConvertibleSubordinatedDebt,CostOfRevenue,CostOfServices,CostsAndExpenses,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtAndCapitalLeaseObligations,DebtInstrumentAnnualPrincipalPayment,DebtInstrumentIncreaseAccruedInterest,DebtorInPossessionFinancingBorrowingsOutstanding,DebtRelatedCommitmentFeesAndDebtIssuanceCosts,DeferredCosts,DeferredFederalIncomeTaxExpenseBenefit,DeferredFederalStateAndLocalTaxExpenseBenefit,DeferredFinanceCostsNoncurrentNet,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxesAndOtherAssetsCurrent,DeferredIncomeTaxesAndTaxCredits,DeferredIncomeTaxLiabilities,DeferredSetUpCostsNoncurrent,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsCharitableContributionCarryforwards,DeferredTaxAssetsGross,DeferredTaxAssetsGrossNoncurrent,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsLiabilitiesNetCurrent,DeferredTaxAssetsNet,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsOperatingLossCarryforwardsForeign,DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,DeferredTaxAssetsOther,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,DeferredTaxLiabilities,DeferredTaxLiabilitiesCurrent,DeferredTaxLiabilitiesGrossCurrent,DeferredTaxLiabilitiesGrossNoncurrent,DeferredTaxLiabilitiesNoncurrent,DeferredTaxLiabilitiesPrepaidExpenses,DepositLiabilitiesAccruedInterest,DepositsAssetsNoncurrent,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DepreciationExpense,DiscontinuedOperationAmountOfOtherIncomeLossFromDispositionOfDiscontinuedOperationsBeforeIncomeTax,DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,DisposalGroupIncludingDiscontinuedOperationOtherAssets,DividendsPreferredStock,DividendsPreferredStockCash,DividendsPreferredStockPaidinkind,DividendsPreferredStockStock,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationDeductionsMedicarePrescriptionDrugBenefit,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseImpairmentLosses,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseRestructuringCharges,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxCredits,EffectiveIncomeTaxRateReconciliationTaxCreditsOther,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,EmployeeStockOwnershipPlanESOPCompensationExpense,EquipmentExpense,ExpectedAmortizationExpenseOfEndingPresentValueOfFutureInsuranceProfitsYearFive,ExpectedAmortizationExpenseOfEndingPresentValueOfFutureInsuranceProfitsYearFour,ExpectedAmortizationExpenseOfEndingPresentValueOfFutureInsuranceProfitsYearOne,ExpectedAmortizationExpenseOfEndingPresentValueOfFutureInsuranceProfitsYearThree,ExpectedAmortizationExpenseOfEndingPresentValueOfFutureInsuranceProfitsYearTwo,ExtinguishmentOfDebtAmount,FairValueAdjustmentOfWarrants,FairValueAssumptionsExercisePrice,FairValueAssumptionsExpectedVolatilityRate,FairValueAssumptionsRiskFreeInterestRate,FairValueEstimateNotPracticableAccountsPayable,FinancialLiabilitiesFairValueDisclosure,FinancialServicesLiabilities,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,FurnitureAndFixturesGross,GainLossOnDispositionOfAssets,GainLossOnDispositionOfIntangibleAssets,GainsLossesOnExtinguishmentOfDebt,GainsLossesOnSalesOfAssets,GeneralAndAdministrativeExpense,GeneralInsuranceExpense,Goodwill,GoodwillAndIntangibleAssetImpairment,GoodwillImpairmentLoss,GrossProfit,ImpairmentChargeOnReclassifiedAssets,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicShare,IncomeLossFromContinuingOperationsPerDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationOtherAdjustments,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInIncomeTaxes,IncreaseDecreaseInIntangibleAssetsCurrent,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpensesOther,IncreaseDecreaseInRestrictedCash,IncreaseDecreaseInUnbilledReceivables,IncrementalCommonSharesAttributableToParticipatingNonvestedSharesWithNonForfeitableDividendRights,IntangibleAssetsCurrent,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestExpenseLesseeAssetsUnderCapitalLease,InterestExpenseRelatedParty,InterestIncomeExpenseNet,InterestPaid,InterestPaidDiscontinuedOperations,InterestPaidNet,InterestPayableCurrent,InventoryNet,LeaseAndRentalExpense,LeaseholdImprovementsGross,LeaseOperatingExpense,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesAssumed1,LiabilitiesCurrent,LineOfCreditFacilityInterestRateDuringPeriod,LongTermDebt,LongTermDebtCurrent,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermDebtNoncurrent,LossContingencyDiscountedAmountOfInsuranceRelatedAssessmentLiability,MachineryAndEquipmentGross,MinimumLeasePaymentsSaleLeasebackTransactions,MinimumLeasePaymentsSaleLeasebackTransactionsDueInRollingAfterYearFive,MinimumLeasePaymentsSaleLeasebackTransactionsWithinFiveYears,MinimumLeasePaymentsSaleLeasebackTransactionsWithinFourYears,MinimumLeasePaymentsSaleLeasebackTransactionsWithinOneYear,MinimumLeasePaymentsSaleLeasebackTransactionsWithinThreeYears,MinimumLeasePaymentsSaleLeasebackTransactionsWithinTwoYears,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInDiscontinuedOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,OtherAssets,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherCostAndExpenseOperating,OtherDepreciationAndAmortization,OtherExpenses,OtherLiabilitiesNoncurrent,OtherLongTermDebt,OtherNoncashExpense,OtherNonoperatingIncomeExpense,OtherPrepaidExpenseCurrent,OtherTaxExpenseBenefit,PaymentsForCapitalImprovements,PaymentsForMergerRelatedCosts,PaymentsForProceedsFromInvestments,PaymentsOfFinancingCosts,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquirePropertyPlantAndEquipment,PostconfirmationAccumulatedDepreciationAndAmortization,PreferredStockAccretionOfRedemptionDiscount,PreferredStockLiquidationPreferenceValue,PreferredStockParOrStatedValuePerShare,PreferredStockRedemptionAmount,PreferredStockRedemptionAmountFutureRedeemableSecurities,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,PrepaidInsurance,ProceedsFromIncomeTaxRefunds,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromLinesOfCredit,ProceedsFromOtherDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfOtherAssets,ProceedsFromSalesOfAssetsInvestingActivities,ProceedsFromStockOptionsExercised,ProFormaWeightedAverageSharesOutstandingDiluted,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentDisposals,PropertyPlantAndEquipmentFairValueDisclosure,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentGrossExcludingCapitalLeasedAssets,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentNetExcludingCapitalLeasedAssets,PropertyPlantAndEquipmentOtherNet,PropertyPlantAndEquipmentSalvageValue,PublicUtilitiesPropertyPlantAndEquipmentVehicles,RecapitalizationCosts,ReceivablesNetCurrent,RedeemablePreferredStockDividends,ReductionOfShortTermCapitalLeaseObligations,RepaymentsOfDebt,RepaymentsOfLongTermDebt,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RestrictedCashAndCashEquivalents,RestrictedCashAndInvestmentsCurrent,RestrictedCashCurrent,RetainedEarningsAccumulatedDeficit,Revenues,SaleLeasebackTransactionNetBookValue,SalesAndExciseTaxPayableCurrent,SalesRevenueNet,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,ServicingAssetAtFairValueAdditions,ServicingAssetAtFairValueAmount,SeveranceCosts1,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardPerShareWeightedAveragePriceOfSharesPurchased,SharePrice,SharesIssuedPricePerShare,ShorttermDebtAverageOutstandingAmount,SignificantSupplyCommitmentRemainingMinimumAmountCommitted,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesRestrictedStockAwardForfeited,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,StockIssuedDuringPeriodValueStockOptionsExercised,StockOptionPlanExpense,SubordinatedDebt,TaxAdjustmentsSettlementsAndUnusualProvisions,TreasuryStockShares,TreasuryStockValue,UnamortizedLoanCommitmentAndOriginationFeesAndUnamortizedDiscountsOrPremiums,UnbilledReceivablesCurrent,UtilitiesOperatingExpenseImpairments,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic,WorkersCompensationLiabilityCurrentAndNoncurrent
2010-03-31,2010-06-21,10-K,"ALY ENERGY SERVICES, INC.",ALYE,CIK0000946822,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814133.0,0.62,,,,,,-153021.0,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-04,10-Q,"ALY ENERGY SERVICES, INC.",ALYE,CIK0000946822,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333916.0,266731.0,,,,,127113.0,,,,,,,,,,,,,,,710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,67729.0,,,,,7947.0,,,,,-59632.0,-59632.0,,,462687.0,,,,,,,,,,,,,,,920.0,,,,,,,,-457345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339300.0,,-254.0,,72823.0,-54290.0,-403055.0,,150.0,,-59782.0,,,,,,,,,,,,,,,,,,,,,,,,,-3049.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,2010-11-12,10-Q,"ALY ENERGY SERVICES, INC.",ALYE,CIK0000946822,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664028.0,,,,,,,,,,,,,,,,,,,,,2701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,70397.0,,,,,4978.0,,,,,-73257.0,-73257.0,,,450573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474645.0,,-7838.0,,-65419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,2011-02-11,10-Q,"ALY ENERGY SERVICES, INC.",ALYE,CIK0000946822,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625669.0,,,,,,,,,,,,,,,,,,,,,1123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.0,,,,60533.0,,,,,5044.0,,,,,-55254.0,-55254.0,-0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-55254.0,,235.0,,-55489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,2011-06-27,10-K,"ALY ENERGY SERVICES, INC.",ALYE,CIK0000946822,USD,,,1082.0,,,,,6771.0,,,,,,698.0,,,,41224.0,,,,20481148.0,,,0.0,,,,,,,,,517569.0,495802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,688.0,,,,,,,,,,,,,,,,489031.0,-111616.0,,,,,1044005.0,,,,0.001,100000000.0,6130184.0,,6130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5883000.0,,,,,,,,,-5883000.0,,,,,,,,,4485.0,,,-14005.0,8397.0,447385.0,97329.0,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22317.0,11763.0,,,11763.0,329731.0,,,,,,,,,,-317968.0,-317968.0,-0.05,,889449.0,,,0.16,,,,,1000.0,-37000.0,-1780.0,,,,,-1785.0,,,,,,12393.0,,-952326.0,,-1780.0,,,,,,,,,23692.0,,,,58500.0,,,,,,,,,,,,,,517569.0,,1780.0,,,,,,,,,,8567.0,,,,,,,,-283516.0,,-1111500.0,,239395.0,,760489.0,,668810.0,,11763.0,,-329731.0,,,,,,,,,,17668.0,5878000.0,,,,4485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000.0,14395.0,,,,,,,58506.0,,17282.0,,,,,,,,,,,1111500.0,,,,,-19969983.0,,,,,,,,,,,,,,-635000.0,179133.0,0.6,,,,,,515789.0,,,,,,,,,,,,,4500.0,1506.0,,,,-581000.0,,,,,
2011-06-30,2011-07-22,10-Q,"ALY ENERGY SERVICES, INC.",ALYE,CIK0000946822,USD,,,1563.0,,,,,7074.0,,,,,,,,,,41332.0,,,,20481148.0,,,,0.0,,,,,,,,500928.0,479269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472195.0,-16836.0,,,,,2857.0,,,,0.001,100000000.0,6130184.0,,6130.0,,,,,,,773.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4485.0,,,-108.0,,,,,,,,,,-0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22317.0,,,,,19281.0,,,,,3083.0,,,,,-19281.0,-19281.0,-0.003,,2857.0,,,0.0,,,,,,,-217.0,,,,,-303.0,,,,,,,,-3269.0,,217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,500928.0,,1563.0,,,,,,,,,,8567.0,,,,,,,,-19693.0,,,,,,-16836.0,-16836.0,-16424.0,,,,-19281.0,,,,,,,,,,514.0,,,,,4485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58506.0,,17174.0,,,,,,,,,,,,,,,,-19986407.0,,,,,3856.0,,,,,,,,,,,,,,,,,499365.0,,,,,,,,,,,,,4500.0,-1506.0,,,,,,,,,
2011-09-30,2011-11-02,10-Q,"ALY ENERGY SERVICES, INC.",ALYE,CIK0000946822,USD,,,14901.0,,,,,6995.0,,,,,,,,,,41440.0,,,,20481148.0,,,,,,,,,,,,480329.0,458778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451783.0,,,,,,,,,,0.001,100000000.0,6130184.0,,6130.0,,,,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4485.0,,,,,,,,,,,,,-0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22317.0,,,,,36913.0,,,,,2999.0,,,,,-36913.0,-36913.0,-0.006,,2977.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480329.0,,14901.0,,,,,,,,,,8567.0,,,,,,,,,,,,,,,,-33936.0,,,,-36913.0,,,,,,,,,,507.0,,,,,4485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58506.0,,17066.0,,,,,,,,,,,,,,,,-20020344.0,,,,,3110.0,,,,,,,,,,,,,,,,,465428.0,,,,,,,,,,,,,4500.0,1506.0,,,,,,,,,
