end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AllowanceForDoubtfulAccountsReceivableRecoveries,Assets,AssetsCurrent,AssetsDesignatedToClosedBlockCashAndCashEquivalents,CapitalLeaseObligationsCurrent,CapitalLeaseObligationsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ComprehensiveIncomeNetOfTax,ConvertibleLongTermNotesPayable,ConvertiblePreferredStockSharesOutstanding,CostOfGoodsAndServicesSoldAmortization,CostOfRevenue,CustomerDepositsCurrent,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentPeriodicPaymentPrincipal,DeferredIncomeTaxesAndTaxCredits,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxCreditCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxExpenseFromStockOptionsExercised,DepositLiabilitiesAccruedInterest,Depreciation,DepreciationDepletionAndAmortization,DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DirectTaxesAndLicensesCosts,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationNondeductibleExpense,EffectiveIncomeTaxRateReconciliationTaxContingencies,EffectOfExchangeRateOnCashAndCashEquivalents,FacilityCosts,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationDeductions,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationTaxCredits,IncreaseDecreaseDueFromOtherRelatedParties,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInCustomerAdvances,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInRestrictedCash,IntangibleAssetsNetExcludingGoodwill,InterestAndDebtExpense,InterestExpense,InterestExpenseOther,InterestPaid,InterestPaidNet,InventoryNet,LeaseCost,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,MachineryAndEquipmentGross,MinorityInterest,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAvailableToCommonStockholdersBasic,NetInvestmentIncome,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeaseImpairmentLoss,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeaseWeightedAverageDiscountRatePercent,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAssetsCurrent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherLiabilitiesCurrent,OtherNonoperatingExpense,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherReceivablesNetCurrent,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidTaxes,ProceedsFromConvertibleDebt,ProceedsFromDebtNetOfIssuanceCosts,ProceedsFromHedgeFinancingActivities,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,ProfitLossFromRealEstateOperations,PropertyPlantAndEquipmentNet,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionDueFromToRelatedParty,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SecuritiesBorrowed,SellingAndMarketingExpense,SharesIssued,ShortTermLeaseCost,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityOther,StockholdersEquityQualifiedForNetCapital,StockIssuedDuringPeriodSharesConversionOfUnits,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,TaxAdjustmentsSettlementsAndUnusualProvisions,TaxesPayableCurrent,TemporaryEquityForeignCurrencyTranslationAdjustments,TravelAndEntertainmentExpense,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2012-03-31,2012-05-08,10-Q,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3240.0,,,,,,,6237.0,,,,,,,,,,,,,,,,,,,5000000.0
2012-06-30,2012-10-03,10-K,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,2365.0,,,,,,,49500.0,,,51162.0,51162.0,,,,51162.0,51162.0,,,,,0.0001,8999886999.0,5000000.0,,500.0,500.0,,,,,,5000.0,,,,,,,,,,,,,-6203.0,,,,,,,,,,,,,9638.0,,,,0.0,,,,,,,,,5000.0,,,,,,,,,,41662.0,,,,,,,,,,51162.0,7376.0,,,,,,40000.0,-3338.0,,,,,9638.0,,,,,,,,,,,,,,,,,,,0.0001,9989886988.0,,,,,,,,,,,,,-3338.0,,,,,,,6300.0,,,43797.0,,44814.0,,,,,,,,,,,,,,5000000.0
2012-09-30,2012-11-01,10-Q,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,2365.0,,,,,,,49500.0,,,52189.0,52189.0,,,,,52189.0,,,,,0.0001,8999886999.0,,,500.0,,,,,,,,,,,,,,,,,,,,-176.0,,,,,,,,,,,,,1140.0,,,,0.0,,,,,,,,,,,,,,,-1140.0,,,,38860.0,,,,,,,,,,52189.0,2365.0,,,,40000.0,,1027.0,6027.0,,,-1140.0,,1140.0,,,,,,,,,,,,,,,,,,,0.0001,9989886988.0,,,,,,,,,40000.0,,,,,,,,,,,6237.0,,,,,49824.0,,,,,,,,,,,,,,5000000.0
2012-12-31,2013-02-01,10-Q,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,2188.0,,,,,,,49500.0,,,49738.0,49738.0,,,,,49738.0,,,,,0.0001,8999886999.0,,,500.0,,,,,,,,,,,,,,,,,,,,-2450.0,,,,,,,,,,,,,2274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49738.0,2188.0,,,,,,,,,,,,2274.0,,,,,,,,,,,,,,,,,,,0.0001,9989886988.0,,,,,,,,,,,,,,,,,,,,,,,,,47550.0,,,,,,,,,,,,,,5000000.0
2013-03-31,2013-05-08,10-Q,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,,,,,,49500.0,,,45214.0,45214.0,,,,,45214.0,,,,,0.0001,8999886999.0,,,500.0,,,,,,,,,,,,,,,,,,,,-4786.0,,,,,,,,,,,,,2336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45214.0,,,,,,,,,,,,,2336.0,,,,,,,,,,,,,,,,,,,0.0001,9989886988.0,,,,,,,,,,,,,,,,,,,,,,,,,45214.0,,,,,,,,,,,,,,5000000.0
2013-06-30,2013-10-07,10-K,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,,,,,,49500.0,,,44814.0,44814.0,,,,44814.0,44814.0,,,,,0.0001,8999886999.0,5000000.0,5000000.0,500.0,500.0,,,0.0,,,,,,,,,,,,,,,,-5186.0,,,,0.0,,,,,,,,,5220.0,,,,0.0,,,,,,,,,-2365.0,,,,,,-5000.0,,,,-6348.0,,,,,,,,,,44814.0,,,,,,,-6348.0,1017.0,,,,,5220.0,,,,,,,,,,,,,,,,,,,0.0001,9989886988.0,0.0,0.0,,,,,,,,,,,-28070.0,1017.0,,,,,-5186.0,6237.0,,,44814.0,,16744.0,,,,,,,,,,,,,,5000000.0
2013-09-30,2013-10-28,10-Q,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,,,,,,49500.0,,,43314.0,43314.0,,,,,43314.0,,,,,0.0001,8999886999.0,,,500.0,,,,0.0,,,,,,,,,,,,,,,,-6686.0,,,,0.0,,,,,,,,,1500.0,,,,,,,,,,,,,,,,,,,-1500.0,,,,-1500.0,,,,,,,,,,43314.0,,,,,,,-1500.0,-1500.0,,,-1500.0,,1500.0,,,,,,,,,,,,,,,,,,,0.0001,9989886988.0,,,,,,,,,,,,,,-1500.0,,,,,,,,,,,43314.0,,,,,,,,,,,,,,5000000.0
2013-12-31,2014-02-12,10-Q,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,,,,,,49500.0,,,31574.0,31574.0,,,,,31574.0,,,,,0.0001,8999886999.0,5000000.0,5000000.0,500.0,,,,,,,,,,,,,,,,,,,,-18426.0,,,,0.0,,,,,,,,,11740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31574.0,,,,,,,,-11740.0,,,,,11740.0,,,,,,,,,,,,,,,,,,,0.0001,9989886988.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,31574.0,,,,,,,,,,,,,,5000000.0
2014-03-31,2014-05-13,10-Q,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,,,,,,49500.0,,,30789.0,30789.0,,,,,30789.0,,,,,0.0001,8999886999.0,5000000.0,5000000.0,500.0,,,,,,,,,,,,,,,,,,,,-19211.0,,,,0.0,,,,,,,,,785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30789.0,,,,,,,,-785.0,,,,,785.0,-785.0,,,,,,,,,,,,,,,,,,0.0001,9989886988.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,30789.0,,,,,,,,,,,,,5000000.0,5000000.0
2014-06-30,2014-09-30,10-K,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,,,,,,49500.0,,,16744.0,,,,,,16744.0,16744.0,,,,0.0001,8999886999.0,5000000.0,5000000.0,500.0,,,,,,,,,,,,,,,11307.0,,,,,,,,,0.0,,0.34,,,,,,,28070.0,,,,,,,,,,,,,,,,,,,,,,,-28070.0,,,,,,,,,,16744.0,,,,,,,-28070.0,-28070.0,,,,,28070.0,33256.0,,,,,,,,33256.0,,,,,,,,,,0.0001,9989886988.0,0.0,0.0,,,,,,,,,,,-15165.0,-28070.0,,0.0,,,-33256.0,,0.0,,,,16744.0,,,16744.0,,,,,,,,11307.0,,,5000000.0
