end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AdditionalPaidInCapital,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalOther,AllowanceForDoubtfulAccountsReceivable,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetImpairmentCharges,Assets,AssetsCurrent,CapitalizedComputerSoftwareAccumulatedAmortization,CapitalizedComputerSoftwareGross,CapitalizedComputerSoftwareNet,CapitalizedSoftwareDevelopmentCostsForSoftwareSoldToCustomers,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConcentrationRiskPercentage1,ContractWithCustomerLiabilityRevenueRecognized,ConvertibleLongTermNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateStatedPercentage,DeferredFederalIncomeTaxExpenseBenefit,DeferredRevenueCurrent,DeferredRevenueRevenueRecognized1,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,DepreciationDepletionAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseOther,InterestExpenseRelatedParty,InterestPayableCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCreditFacilityInterestRateAtPeriodEnd,LinesOfCreditCurrent,LongTermLoansPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersDiluted,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherNonoperatingIncomeExpense,PaymentsForRent,PaymentsToDevelopSoftware,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseNoncurrent,ProceedsFromBankDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromLinesOfCredit,ProceedsFromLoans,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromRepaymentsOfLinesOfCredit,ProceedsFromRepaymentsOfShortTermDebt,ProvisionForDoubtfulAccounts,RepaymentsOfLinesOfCredit,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SellingAndMarketingExpense,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsForfeituresAndExpirations,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsOutstandingNumber,SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueOutstanding,SharesIssuedPricePerShare,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesRestrictedStockAwardGross,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueRestrictedStockAwardGross,TaxesPayableCurrent,TravelAndEntertainmentExpense,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,DebtInstrumentConvertibleConversionPrice1,IncreaseDecreaseInOtherCurrentLiabilities,IntangibleAssetsNetExcludingGoodwill,LineOfCredit,MinorityInterest,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingLossCarryforwardsValuationAllowance,OtherLiabilitiesCurrent,ProfitLoss,PropertyPlantAndEquipmentNet,SharePrice,StockIssuedDuringPeriodValueAcquisitions
2018-06-30,2018-09-20,10-Q,"FDCTECH, INC.",FDCT,CIK0001722731,USD,5256.0,76826.0,401234.0,2160.0,,,24600.0,,,,,814990.0,400236.0,18000.0,432754.0,414754.0,414754.0,,321035.0,,321035.0,,0.0001,100000000.0,68533332.0,68533332.0,6853.0,0.1011,,,1000000.0,2160.0,,,,,1640.0,,,,,,,,0.0,,,,,,,123770.0,180338.0,21250.0,,,,,,,,,,,,,15000.0,,15000.0,106908.0,,650.0,1129266.0,814990.0,1129266.0,,15462.0,,,,,21250.0,,-16867.0,142221.0,38117.0,,2375.0,,-1867.0,,,0.0001,10000000.0,4000000.0,4000000.0,400.0,,,,,,,,,,,,,,,-722763.0,182498.0,182498.0,18451.0,,,,,-314275.0,,,,,,,,,,,,68533332.0,,,,,,,,,,,,,,
2018-09-30,2018-11-14,10-Q,"FDCTECH, INC.",FDCT,CIK0001722731,USD,6233.0,100122.0,401234.0,2160.0,,,42350.0,,,,,824903.0,341711.0,20160.0,503352.0,483192.0,483192.0,,239214.0,,239214.0,,0.0001,100000000.0,68533332.0,68533332.0,6853.0,0.1027,,,1000000.0,2160.0,,,,,,,,,,,,,0.0,,,,,,,107602.0,134652.0,-1976.0,,,,,,,,,,,,,15000.0,,15000.0,121909.0,,2595.0,1141154.0,824903.0,1141154.0,,13012.0,,,,,-1976.0,,-14982.0,121646.0,13006.0,,2375.0,,18.0,,,0.0001,10000000.0,4000000.0,4000000.0,400.0,,,,,,,,,,,,,,,-724738.0,136812.0,136812.0,14044.0,,,,,-316251.0,,,,,,,,,,,,68533332.0,,,,,,,,,,,,,,
2018-12-31,2019-04-16,10-K,"FDCTECH, INC.",FDCT,CIK0001722731,USD,5500.0,37155.0,401234.0,8640.0,,,68675.0,68675.0,,,,788717.0,249594.0,22320.0,561443.0,539123.0,539123.0,210064.0,210064.0,-254239.0,210064.0,-254239.0,0.0001,100000000.0,68533332.0,68533332.0,6853.0,0.1436,,,1000000.0,8640.0,,,,163759.0,,,163759.0,779804.0,163759.0,,8640.0,,0.0,0.21,36087.0,0.0,146507.0,178993.0,178993.0,529692.0,527756.0,-141088.0,,-163759.0,163759.0,5500.0,-3796.0,,,,,60000.0,,,,,60335.0,136908.0,,8253.0,1160034.0,788717.0,1160034.0,,17626.0,,379.0,-241141.0,-13477.0,-141088.0,,-62143.0,606701.0,-78945.0,141088.0,2375.0,,-1808.0,890.0,241141.0,0.0001,10000000.0,4000000.0,4000000.0,400.0,,,,,,379.0,,,,379.0,,49675.0,,17752.0,-779804.0,536396.0,536396.0,77009.0,,653332.0,,,-371317.0,,,,,,,,,,-163759.0,,68533332.0,,,,,,,,,,,,,,
2019-03-31,2019-05-15,10-Q,"FDCTECH, INC.",FDCT,CIK0001722731,USD,2572.0,71030.0,415175.0,10282.0,,,88675.0,,,,,821651.0,215508.0,32602.0,638745.0,606143.0,606143.0,136725.0,136725.0,-73339.0,136725.0,-73339.0,0.0001,100000000.0,68626332.0,68626332.0,6862.0,0.0565,,,1000000.0,10282.0,,,,,,,,,,,10282.0,,0.0,,,,,,,127159.0,164254.0,12249.0,2572.0,,,-2928.0,53875.0,,,,,15000.0,5378.0,,,,15000.0,151908.0,9000.0,2750.0,1169342.0,821651.0,1169342.0,,14862.0,,2185.0,-77302.0,-1778.0,9677.0,9677.0,-14989.0,137016.0,27238.0,,7753.0,,11.0,890.0,77302.0,0.0001,10000000.0,4000000.0,4000000.0,400.0,,,,4950.0,,,,,,-2765.0,,20000.0,2765.0,,-770128.0,174535.0,174535.0,9856.0,,,,0.15,-347691.0,,,,,9000.0,4950.0,,,,,,68602099.0,,,,,,,,,,,,,,
2019-06-30,2019-08-14,10-Q,"FDCTECH, INC.",FDCT,CIK0001722731,USD,,40078.0,415175.0,9562.0,,,78087.0,78087.0,,,,805059.0,142842.0,42163.0,704380.0,662217.0,662217.0,95011.0,95011.0,,95011.0,,0.0001,100000000.0,68626332.0,68626332.0,6862.0,0.0686,,,1000000.0,9562.0,,,,,1000.0,,,,,,,,0.0,,,,,,,95473.0,82705.0,-34091.0,-2572.0,,,,,,,,,,,,,,15000.0,166908.0,,,1184269.0,805059.0,1184269.0,,16361.0,,,,,-31519.0,,-14999.0,101798.0,-19093.0,,7753.0,,1.0,,,0.0001,10000000.0,4000000.0,4000000.0,400.0,,,,,,,,,,,,,,,-801647.0,92267.0,,6325.0,,,,0.15,-379209.0,,,,,,,,,,,,68626332.0,,,,,,,,,,,,,,
2019-09-30,2019-11-12,10-Q,"FDCTECH, INC.",FDCT,CIK0001722731,USD,,15878.0,415175.0,48127.0,,,78087.0,78087.0,,,,765124.0,89184.0,90290.0,766230.0,675940.0,675940.0,65553.0,65553.0,,65553.0,,0.0001,100000000.0,68626332.0,68626332.0,6862.0,0.063,,,1000000.0,48127.0,,,,,3000.0,,,182000.0,,,,,0.0,,,,,,,55177.0,9633.0,-64180.0,,,,,,,,,,,,,,,15000.0,181908.0,,,1208513.0,765124.0,1208513.0,,23605.0,,,,,-64180.0,,-15000.0,58813.0,-49180.0,,7753.0,,,,,0.0001,10000000.0,4000000.0,4000000.0,400.0,,,,,,,,,,,,,,,-865826.0,57760.0,,3636.0,,,,0.15,-443389.0,,,,,,,,,,,,68626332.0,,,,,,,,,,,,,,
2019-12-31,2020-04-07,10-K,"FDCTECH, INC.",FDCT,CIK0001722731,USD,21000.0,16479.0,418678.0,117554.0,,3503.0,78087.0,78087.0,,,,739366.0,49741.0,139875.0,829500.0,689625.0,689625.0,27884.0,27884.0,,27884.0,-182180.0,0.0001,100000000.0,68626332.0,68626332.0,6862.0,0.0559,,,1000000.0,117554.0,,,,217454.0,,,217454.0,1035494.0,217454.0,,117554.0,,0.0,0.21,198336.0,0.0,0.0,165850.0,198336.0,470087.0,297608.0,-255690.0,,53695.0,,15500.0,-676.0,,99498.0,,,60000.0,3003.0,,,,60000.0,196908.0,9000.0,,1348920.0,739366.0,1348920.0,,31514.0,,22341.0,-268056.0,-63535.0,-255690.0,,-59988.0,493310.0,-195702.0,255690.0,5378.0,,12.0,890.0,268056.0,0.0001,10000000.0,4000000.0,4000000.0,400.0,,,,4950.0,,,,,,13888.0,,20000.0,,0.0,-1035494.0,415162.0,,23223.0,653332.0,653332.0,,,-609554.0,,,,,9000.0,4950.0,,99498.0,,-217454.0,,68620357.0,,,,,,,,,,,,,,
2020-03-31,2020-05-13,10-Q,"FDCTECH, INC.",FDCT,CIK0001722731,USD,71000.0,28840.0,418678.0,49584.0,,,78087.0,78087.0,,59585.0,,755104.0,53463.0,189459.0,891100.0,701641.0,701641.0,,19245.0,,19245.0,-8639.0,0.0001,100000000.0,68626332.0,68626332.0,6862.0,0.0146,,,1000000.0,49584.0,,,,,,,,,,,49584.0,,0.0,,,,,,,75623.0,34323.0,-59585.0,,,,50000.0,12361.0,,5527.0,,,15000.0,,,,,15000.0,211908.0,,,1424243.0,755104.0,1424243.0,,36310.0,,4796.0,-61600.0,48165.0,-59585.0,9677.0,-17059.0,76849.0,-42456.0,,5378.0,,-2059.0,890.0,61600.0,0.0001,10000000.0,4000000.0,4000000.0,400.0,,,,,,,,,,4796.0,,,,0.0,-1095079.0,83907.0,,1226.0,653332.0,,,,-669139.0,,,,,,,,105025.0,,,,68626332.0,,,,,,,,,,,,,,
2020-06-30,2020-08-10,10-Q,"FDCTECH, INC.",FDCT,CIK0001722731,USD,41000.0,12965.0,1104667.0,65144.0,,,95961.0,95961.0,,163581.0,,1466521.0,788366.0,391834.0,932758.0,678155.0,678155.0,,124524.0,,124524.0,,0.0001,100000000.0,71371385.0,71371385.0,7137.0,0.0113,,,1000000.0,65144.0,,,,,,,,,,938.0,,,0.0,,,,,,,133446.0,-18644.0,-163581.0,,,,,,,,,,,,,,938.0,15000.0,226908.0,,,1612977.0,1466521.0,1433272.0,,38624.0,144900.0,,,,-163581.0,,-10964.0,133973.0,-152617.0,,650877.0,,4974.0,,,0.0001,10000000.0,4000000.0,4000000.0,400.0,,,,,,,,,,,,,,,-1258660.0,46500.0,,527.0,,,,,-146456.0,,,,,686264.0,,,109975.0,,,,69440798.0,,,,,,,,,,,,,,
2020-09-30,2020-11-05,10-Q,"FDCTECH, INC.",FDCT,CIK0001722731,USD,53500.0,15365.0,418678.0,68616.0,,,95961.0,95961.0,,,,757857.0,101017.0,391834.0,980058.0,656840.0,656840.0,,59024.0,,59024.0,,0.0001,100000000.0,71371385.0,71371385.0,6862.0,0.0906,,,1000000.0,68616.0,,,,,,,,,,2340.0,,,0.0,,,,,,,7796.0,-25616.0,-53351.0,,,,,,,,,,,,,,1402.0,15000.0,241908.0,,,1643928.0,757857.0,1469137.0,,35723.0,144900.0,,,,-53351.0,,-16045.0,11690.0,-37306.0,,26628.0,,357.0,,,0.0001,10000000.0,4000000.0,4000000.0,400.0,,,,,,,,,,,,17875.0,,0.0,-1312011.0,43000.0,,3894.0,,,,,-886071.0,,,,,,,,114925.0,,,,70297234.0,,,,,,,,,,,,,,
